School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Pass Int,Turnovers
Arizona,2015-09-03,1,,Texas-San Antonio,W,22,36,61.1,229,4,38,163,4.3,0,3,,1,0,1
Ball State,2015-09-03,1,,Virginia Military Institute,W,34,53,64.2,338,1,42,229,5.5,5,7,1,0,1,1
Central Michigan,2015-09-03,1,,Oklahoma State,L,29,42,69.0,265,0,28,78,2.8,1,4,2,0,1,1
Colorado,2015-09-03,1,@,Hawaii,L,23,40,57.5,156,0,53,215,4.1,2,5,1,2,1,3
Connecticut,2015-09-03,1,,Villanova,W,12,20,60.0,202,2,39,105,2.7,1,8,4,0,1,1
Duke,2015-09-03,1,@,Tulane,W,29,44,65.9,324,2,49,206,4.2,1,6,4,2,0,2
Florida International,2015-09-03,1,@,Central Florida,W,29,38,76.3,260,1,31,131,4.2,1,8,2,1,0,1
Fresno State,2015-09-03,1,,Abilene Christian,W,22,45,48.9,217,4,39,225,5.8,0,8,5,1,2,3
Georgia Tech,2015-09-03,1,,Alcorn State,W,4,5,80.0,77,1,52,476,9.2,9,8,2,1,0,1
Hawaii,2015-09-03,1,,Colorado,W,19,38,50.0,202,3,34,100,2.9,0,8,4,0,2,2
Idaho,2015-09-03,1,,Ohio,L,36,48,75.0,297,1,28,100,3.6,2,3,2,1,2,3
Michigan,2015-09-03,1,@,Utah,L,27,43,62.8,279,2,29,76,2.6,0,9,1,0,3,3
Minnesota,2015-09-03,1,,Texas Christian,L,19,35,54.3,197,1,39,144,3.7,1,6,1,2,0,2
Nevada,2015-09-03,1,,California-Davis,W,13,23,56.5,163,1,39,232,5.9,3,5,1,0,0,0
North Carolina,2015-09-03,1,N,South Carolina,L,19,31,61.3,232,1,32,208,6.5,0,3,1,0,3,3
Ohio,2015-09-03,1,@,Idaho,W,20,25,80.0,284,3,38,205,5.4,2,3,3,1,0,1
Oklahoma State,2015-09-03,1,@,Central Michigan,W,22,32,68.8,266,1,35,153,4.4,2,8,4,0,0,0
San Jose State,2015-09-03,1,,New Hampshire,W,30,35,85.7,422,1,53,285,5.4,5,4,1,0,0,0
South Carolina,2015-09-03,1,N,North Carolina,W,12,27,44.4,140,1,47,254,5.4,1,5,4,0,0,0
Texas Christian,2015-09-03,1,@,Minnesota,W,26,42,61.9,246,1,44,203,4.6,1,3,2,1,1,2
Tulane,2015-09-03,1,,Duke,L,24,42,57.1,246,1,23,25,1.1,0,4,,0,1,1
UCF,2015-09-03,1,,Florida International,L,23,34,67.6,249,2,29,46,1.6,0,2,,0,0,0
