School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Pass Int,Turnovers
Utah,2015-09-03,1,,Michigan,W,24,33,72.7,208,0,37,129,3.5,2,3,,0,1,1
Utah State,2015-09-03,1,,Southern Utah,W,16,33,48.5,110,0,35,140,4.0,0,10,5,0,1,1
UTSA,2015-09-03,1,@,Arizona,L,25,45,55.6,332,2,50,193,3.9,2,5,1,1,1,2
Vanderbilt,2015-09-03,1,,Western Kentucky,L,18,34,52.9,217,1,42,176,4.2,0,5,2,1,2,3
Wake Forest,2015-09-03,1,,Elon,W,29,40,72.5,388,3,42,203,4.8,2,3,,0,0,0
Western Kentucky,2015-09-03,1,@,Vanderbilt,W,19,30,63.3,209,1,23,37,1.6,1,6,1,0,0,0
Army,2015-09-04,1,,Fordham,L,7,16,43.8,133,2,42,256,6.1,3,6,3,1,1,2
Baylor,2015-09-04,1,@,Southern Methodist,W,17,32,53.1,423,6,37,300,8.1,2,11,3,0,1,1
Boise State,2015-09-04,1,,Washington,W,17,27,63.0,152,0,53,185,3.5,2,7,2,1,1,2
Charlotte,2015-09-04,1,@,Georgia State,W,19,32,59.4,244,1,54,164,3.0,0,9,2,2,2,4
Georgia State,2015-09-04,1,,Charlotte,L,25,43,58.1,299,2,26,93,3.6,0,9,4,2,1,3
Michigan State,2015-09-04,1,@,Western Michigan,W,15,31,48.4,256,2,40,196,4.9,3,11,7,1,0,1
Oregon State,2015-09-04,1,,Weber State,W,12,22,54.5,110,2,56,281,5.0,0,5,3,0,1,1
SMU,2015-09-04,1,,Baylor,L,16,24,66.7,166,2,54,203,3.8,1,3,1,0,2,2
Syracuse,2015-09-04,1,,Rhode Island,W,10,20,50.0,114,2,58,312,5.4,2,9,1,0,1,1
Washington,2015-09-04,1,@,Boise State,L,20,35,57.1,150,0,22,29,1.3,0,5,2,0,1,1
Western Michigan,2015-09-04,1,,Michigan State,L,33,50,66.0,365,2,23,18,0.8,0,3,,0,2,2
Air Force,2015-09-05,1,,Morgan State,W,4,7,57.1,119,2,63,394,6.3,5,7,5,0,0,0
Akron,2015-09-05,1,@,Oklahoma,L,6,26,23.1,88,0,44,138,3.1,0,4,1,1,0,1
Alabama,2015-09-05,1,N,Wisconsin,W,22,29,75.9,264,1,37,238,6.4,4,4,3,0,0,0
Appalachian State,2015-09-05,1,,Howard,W,21,28,75.0,287,4,56,376,6.7,3,7,2,1,0,1
Arizona State,2015-09-05,1,N,Texas A&M,L,25,41,61.0,199,1,41,92,2.2,1,8,3,2,0,2
Arkansas,2015-09-05,1,,Texas-El Paso,W,14,20,70.0,308,4,34,182,5.4,2,11,1,0,0,0
Arkansas State,2015-09-05,1,@,Southern California,L,17,37,45.9,193,0,50,208,4.2,1,6,5,2,2,4
Auburn,2015-09-05,1,N,Louisville,W,11,21,52.4,137,1,41,190,4.6,2,9,4,0,3,3
Boston College,2015-09-05,1,,Maine,W,14,25,56.0,155,1,49,204,4.2,2,8,5,0,0,0
Bowling Green State,2015-09-05,1,N,Tennessee,L,29,51,56.9,433,2,34,124,3.6,1,5,1,1,0,1
Brigham Young,2015-09-05,1,@,Nebraska,W,28,46,60.9,379,2,26,132,5.1,2,9,3,0,1,1
Buffalo,2015-09-05,1,,Albany,W,22,29,75.9,255,2,43,212,4.9,4,2,2,0,0,0
California,2015-09-05,1,,Grambling State,W,34,49,69.4,471,4,39,185,4.7,4,8,3,1,2,3
Cincinnati,2015-09-05,1,,Alabama A&M,W,26,38,68.4,340,3,51,296,5.8,4,4,3,2,0,2
Clemson,2015-09-05,1,,Wofford,W,30,37,81.1,311,2,43,222,5.2,5,10,1,2,0,2
Colorado State,2015-09-05,1,,Savannah State,W,27,36,75.0,381,6,33,217,6.6,2,16,6,4,1,5
East Carolina,2015-09-05,1,,Towson,W,29,37,78.4,230,0,34,210,6.2,4,8,2,0,0,0
Eastern Michigan,2015-09-05,1,,Old Dominion,L,22,36,61.1,192,2,47,252,5.4,2,9,2,1,2,3
Florida,2015-09-05,1,,New Mexico State,W,30,37,81.1,382,4,42,224,5.3,4,4,3,1,0,1
Florida Atlantic,2015-09-05,1,@,Tulsa,L,23,35,65.7,263,2,61,300,4.9,3,5,3,0,0,0
Florida State,2015-09-05,1,,Texas State,W,25,32,78.1,370,5,41,266,6.5,3,6,1,1,0,1
Georgia,2015-09-05,1,,Louisiana-Monroe,W,10,14,71.4,192,3,38,243,6.4,4,6,3,0,0,0
Georgia Southern,2015-09-05,1,@,West Virginia,L,2,13,15.4,29,0,57,195,3.4,0,4,2,1,4,5
Houston,2015-09-05,1,,Tennessee Tech,W,27,38,71.1,355,1,44,272,6.2,6,8,2,1,0,1
Illinois,2015-09-05,1,,Kent State,W,14,29,48.3,208,5,36,134,3.7,2,14,1,0,1,1
Indiana,2015-09-05,1,,Southern Illinois,W,19,32,59.4,349,1,42,246,5.9,5,2,1,0,0,0
Iowa,2015-09-05,1,,Illinois State,W,16,25,64.0,221,1,44,210,4.8,3,10,5,1,0,1
Iowa State,2015-09-05,1,,Northern Iowa,W,21,29,72.4,233,2,32,77,2.4,1,13,6,2,0,2
Kansas,2015-09-05,1,,South Dakota State,L,25,40,62.5,291,1,51,285,5.6,3,3,3,1,1,2
Kansas State,2015-09-05,1,,South Dakota,W,9,18,50.0,147,1,40,185,4.6,2,5,2,1,0,1
Kent State,2015-09-05,1,@,Illinois,L,19,40,47.5,186,0,39,59,1.5,0,4,1,1,3,4
Kentucky,2015-09-05,1,,Louisiana,W,16,34,47.1,257,3,26,178,6.8,2,5,2,0,1,1
Louisiana,2015-09-05,1,@,Kentucky,L,26,41,63.4,232,0,47,247,5.3,4,8,3,2,2,4
Louisiana Tech,2015-09-05,1,,Southern,W,21,29,72.4,380,5,32,207,6.5,2,6,2,0,2,2
Louisiana-Monroe,2015-09-05,1,@,Georgia,L,23,29,79.3,206,2,26,45,1.7,0,3,1,0,1,1
Louisville,2015-09-05,1,N,Auburn,L,17,33,51.5,167,0,48,238,5.0,3,3,,1,1,2
Maryland,2015-09-05,1,,Richmond,W,12,22,54.5,138,2,45,341,7.6,3,6,4,0,1,1
Memphis,2015-09-05,1,,Missouri State,W,16,21,76.2,202,3,60,317,5.3,5,4,1,0,0,0
Miami (FL),2015-09-05,1,,Bethune-Cookman,W,17,31,54.8,184,2,26,195,7.5,3,10,5,1,0,1
Miami (OH),2015-09-05,1,,Presbyterian,W,17,23,73.9,261,2,40,205,5.1,2,5,1,2,0,2
Middle Tennessee State,2015-09-05,1,,Jackson State,W,25,32,78.1,351,4,63,282,4.5,4,6,4,1,1,2
Mississippi State,2015-09-05,1,@,Southern Mississippi,W,22,38,57.9,237,2,28,205,7.3,1,3,3,2,0,2
Missouri,2015-09-05,1,,Southeast Missouri State,W,18,32,56.3,319,3,33,98,3.0,0,10,2,0,1,1
Navy,2015-09-05,1,,Colgate,W,3,6,50.0,67,0,47,371,7.9,5,2,,1,0,1
Nebraska,2015-09-05,1,,Brigham Young,L,24,41,58.5,319,3,37,126,3.4,1,9,3,1,1,2
New Mexico,2015-09-05,1,,Mississippi Valley State,W,11,18,61.1,151,0,51,370,7.3,8,13,6,0,0,0
New Mexico State,2015-09-05,1,@,Florida,L,14,28,50.0,128,1,23,72,3.1,1,4,1,0,1,1
North Carolina State,2015-09-05,1,,Troy,W,22,26,84.6,199,2,58,251,4.3,5,4,1,0,0,0
Northern Illinois,2015-09-05,1,,Nevada-Las Vegas,W,21,26,80.8,360,2,42,185,4.4,3,6,4,0,0,0
Northwestern,2015-09-05,1,,Stanford,W,12,25,48.0,105,0,54,225,4.2,1,8,3,0,0,0
Notre Dame,2015-09-05,1,,Texas,W,19,23,82.6,313,3,52,214,4.1,2,7,4,0,0,0
Oklahoma,2015-09-05,1,,Akron,W,28,42,66.7,439,3,33,100,3.0,2,7,1,1,1,2
Old Dominion,2015-09-05,1,@,Eastern Michigan,W,18,32,56.3,184,1,41,229,5.6,4,8,2,0,0,0
Ole Miss,2015-09-05,1,,Tennessee-Martin,W,19,28,67.9,324,5,36,338,9.4,5,4,1,0,1,1
Oregon,2015-09-05,1,,Eastern Washington,W,19,25,76.0,246,2,57,485,8.5,6,4,1,1,0,1
Penn State,2015-09-05,1,@,Temple,L,11,25,44.0,103,0,27,77,2.9,1,15,2,0,1,1
Pitt,2015-09-05,1,,Youngstown State,W,11,18,61.1,133,1,43,325,7.6,4,10,6,1,2,3
Rice,2015-09-05,1,,Wagner,W,12,21,57.1,142,1,54,401,7.4,7,9,2,1,1,2
Rutgers,2015-09-05,1,,Norfolk State,W,13,15,86.7,248,4,47,291,6.2,4,9,4,1,0,1
San Diego State,2015-09-05,1,,San Diego,W,11,23,47.8,139,0,36,166,4.6,1,7,1,0,1,1
South Alabama,2015-09-05,1,,Gardner-Webb,W,14,25,56.0,184,2,31,224,7.2,2,8,,1,2,3
South Florida,2015-09-05,1,,Florida A&M,W,20,26,76.9,281,3,46,275,6.0,4,15,4,0,1,1
Southern Mississippi,2015-09-05,1,,Mississippi State,L,30,44,68.2,311,1,36,102,2.8,0,5,1,0,2,2
Stanford,2015-09-05,1,@,Northwestern,L,20,35,57.1,155,0,27,85,3.1,0,5,,1,1,2
Temple,2015-09-05,1,,Penn State,W,16,21,76.2,168,0,43,149,3.5,3,11,10,1,0,1
Tennessee,2015-09-05,1,N,Bowling Green State,W,15,23,65.2,205,2,64,399,6.2,6,8,3,0,0,0
Texas,2015-09-05,1,@,Notre Dame,L,8,23,34.8,103,0,29,60,2.1,0,9,1,0,0,0
Texas A&M,2015-09-05,1,N,Arizona State,W,19,35,54.3,247,2,45,178,4.0,2,14,9,1,2,3
Texas State,2015-09-05,1,@,Florida State,L,26,42,61.9,168,1,33,132,4.0,1,4,2,1,0,1
Texas Tech,2015-09-05,1,,Sam Houston State,W,34,57,59.6,437,4,31,174,5.6,2,5,2,0,1,1
Troy,2015-09-05,1,@,North Carolina State,L,14,21,66.7,184,1,25,121,4.8,2,7,3,1,1,2
Tulsa,2015-09-05,1,,Florida Atlantic,W,21,35,60.0,424,2,51,194,3.8,4,11,2,2,2,4
UCLA,2015-09-05,1,,Virginia,W,28,37,75.7,351,3,34,152,4.5,1,4,1,0,0,0
UNLV,2015-09-05,1,@,Northern Illinois,L,22,40,55.0,329,2,47,164,3.5,1,7,3,0,1,1
USC,2015-09-05,1,,Arkansas State,W,23,32,71.9,324,4,32,185,5.8,3,4,1,0,0,0
UTEP,2015-09-05,1,@,Arkansas,L,14,19,73.7,146,0,34,58,1.7,1,5,,2,1,3
Virginia,2015-09-05,1,@,UCLA,L,21,35,60.0,238,1,34,98,2.9,0,6,1,0,1,1
Washington State,2015-09-05,1,,Portland State,L,28,45,62.2,307,2,30,104,3.5,0,6,3,1,1,2
West Virginia,2015-09-05,1,,Georgia Southern,W,16,26,61.5,359,2,40,185,4.6,3,8,1,0,0,0
Wisconsin,2015-09-05,1,N,Alabama,L,26,39,66.7,228,2,21,40,1.9,0,9,3,0,1,1
Wyoming,2015-09-05,1,,North Dakota,L,20,39,51.3,289,2,19,41,2.2,0,5,1,0,0,0
Marshall,2015-09-06,1,,Purdue,W,23,36,63.9,234,2,29,163,5.6,1,6,2,2,1,3
Purdue,2015-09-06,1,@,Marshall,L,31,48,64.6,270,1,47,184,3.9,3,8,2,0,4,4
Ohio State,2015-09-07,1,@,Virginia Tech,W,10,19,52.6,212,3,37,360,9.7,3,8,4,2,1,3
Virginia Tech,2015-09-07,1,,Ohio State,L,15,25,60.0,192,3,44,128,2.9,0,4,,1,1,2
Louisiana Tech,2015-09-10,2,@,Western Kentucky,L,28,49,57.1,357,2,31,223,7.2,3,6,1,1,1,2
Western Kentucky,2015-09-10,2,,Louisiana Tech,W,28,38,73.7,441,1,33,149,4.5,2,4,1,1,0,1
Florida Atlantic,2015-09-11,2,,Miami (FL),L,19,34,55.9,166,1,33,223,6.8,1,2,1,3,2,5
Miami (FL),2015-09-11,2,@,Florida Atlantic,W,22,34,64.7,300,1,44,226,5.1,4,3,2,0,0,0
Utah,2015-09-11,2,,Utah State,W,17,22,77.3,132,0,44,195,4.4,3,4,2,0,0,0
Utah State,2015-09-11,2,@,Utah,L,22,35,62.9,256,2,32,117,3.7,0,2,,1,2,3
Air Force,2015-09-12,2,,San Jose State,W,3,11,27.3,24,0,69,428,6.2,5,6,3,0,1,1
Akron,2015-09-12,2,,Pittsburgh,L,7,22,31.8,63,0,24,47,2.0,1,11,5,1,0,1
Alabama,2015-09-12,2,,Middle Tennessee State,W,26,43,60.5,312,2,39,220,5.6,3,3,,0,2,2
Appalachian State,2015-09-12,2,@,Clemson,L,9,28,32.1,95,1,45,203,4.5,0,6,3,1,3,4
Arizona,2015-09-12,2,@,Nevada,W,25,34,73.5,269,2,43,301,7.0,4,5,1,1,0,1
Arizona State,2015-09-12,2,,Cal Poly,W,23,35,65.7,283,3,45,248,5.5,2,12,2,1,1,2
Arkansas,2015-09-12,2,N,Toledo,L,32,53,60.4,412,0,31,103,3.3,1,3,,0,1,1
Arkansas State,2015-09-12,2,,Missouri,L,14,30,46.7,124,2,45,93,2.1,0,8,1,0,3,3
Army,2015-09-12,2,@,Connecticut,L,3,8,37.5,85,1,33,180,5.5,1,10,3,0,1,1
Auburn,2015-09-12,2,,Jacksonville State,W,21,32,65.6,236,2,38,165,4.3,1,6,2,1,2,3
Ball State,2015-09-12,2,@,Texas A&M,L,12,27,44.4,121,0,38,240,6.3,2,6,4,0,1,1
Baylor,2015-09-12,2,,Lamar,W,26,38,68.4,373,4,56,412,7.4,5,9,1,1,3,4
Boise State,2015-09-12,2,@,Brigham Young,L,25,38,65.8,297,1,31,64,2.1,2,10,4,0,3,3
Boston College,2015-09-12,2,,Howard,W,12,15,80.0,136,2,40,347,8.7,8,11,4,0,0,0
Bowling Green State,2015-09-12,2,@,Maryland,W,36,55,65.5,491,6,50,201,4.0,1,7,,0,1,1
Brigham Young,2015-09-12,2,,Boise State,W,17,29,58.6,309,2,39,72,1.8,2,7,4,0,2,2
Buffalo,2015-09-12,2,@,Penn State,L,24,35,68.6,205,2,33,69,2.1,0,3,,0,1,1
California,2015-09-12,2,,San Diego State,W,17,25,68.0,321,3,36,164,4.6,2,6,2,0,1,1
Central Michigan,2015-09-12,2,,Monmouth,W,25,36,69.4,328,3,34,74,2.2,1,7,2,0,1,1
Charlotte,2015-09-12,2,,Presbyterian,W,20,29,69.0,276,3,47,192,4.1,1,20,1,1,0,1
Cincinnati,2015-09-12,2,,Temple,L,30,52,57.7,427,2,31,130,4.2,1,7,1,1,4,5
Clemson,2015-09-12,2,,Appalachian State,W,21,31,67.7,252,3,44,140,3.2,1,10,1,0,2,2
Colorado,2015-09-12,2,,Massachusetts,W,15,24,62.5,168,1,59,390,6.6,5,7,3,0,0,0
Colorado State,2015-09-12,2,,Minnesota,L,16,32,50.0,142,1,41,172,4.2,1,5,1,2,2,4
Connecticut,2015-09-12,2,,Army,W,19,25,76.0,270,0,46,145,3.2,2,4,,1,0,1
Duke,2015-09-12,2,,North Carolina Central,W,19,26,73.1,367,3,59,288,4.9,4,5,2,0,0,0
East Carolina,2015-09-12,2,@,Florida,L,37,58,63.8,346,3,22,-13,-0.6,0,5,2,2,1,3
Eastern Michigan,2015-09-12,2,@,Wyoming,W,18,25,72.0,330,3,37,176,4.8,3,4,1,0,0,0
Florida,2015-09-12,2,,East Carolina,W,15,25,60.0,205,2,38,168,4.4,1,11,3,1,1,2
Florida International,2015-09-12,2,@,Indiana,L,24,47,51.1,283,3,33,123,3.7,0,3,1,2,1,3
Florida State,2015-09-12,2,,South Florida,W,14,26,53.8,163,1,46,278,6.0,3,6,3,0,0,0
Fresno State,2015-09-12,2,@,Mississippi,L,15,24,62.5,153,2,52,163,3.1,0,3,1,1,3,4
Georgia,2015-09-12,2,@,Vanderbilt,W,13,25,52.0,141,0,41,282,6.9,2,8,3,0,0,0
Georgia Southern,2015-09-12,2,,Western Michigan,W,1,4,25.0,7,0,52,413,7.9,5,2,2,0,0,0
Georgia State,2015-09-12,2,@,New Mexico State,W,32,43,74.4,372,2,46,210,4.6,2,5,2,2,1,3
Georgia Tech,2015-09-12,2,,Tulane,W,8,10,80.0,132,3,56,439,7.8,6,6,3,1,0,1
Hawaii,2015-09-12,2,@,Ohio State,L,8,26,30.8,85,0,35,80,2.3,0,6,2,2,2,4
Houston,2015-09-12,2,@,Louisville,W,23,35,65.7,236,3,57,226,4.0,0,5,2,0,1,1
Idaho,2015-09-12,2,@,Southern California,L,28,45,62.2,240,1,32,71,2.2,0,2,,0,0,0
Illinois,2015-09-12,2,,Western Illinois,W,38,54,70.4,353,2,40,147,3.7,2,6,,3,1,4
Indiana,2015-09-12,2,,Florida International,W,19,33,57.6,234,1,52,205,3.9,2,2,2,0,1,1
Iowa,2015-09-12,2,@,Iowa State,W,15,25,60.0,215,3,45,260,5.8,1,6,4,1,0,1
Iowa State,2015-09-12,2,,Iowa,L,19,35,54.3,247,2,27,63,2.3,0,7,3,0,1,1
Kansas,2015-09-12,2,,Memphis,L,18,38,47.4,165,0,46,194,4.2,2,3,1,0,0,0
Kansas State,2015-09-12,2,@,Texas-San Antonio,W,12,23,52.2,243,0,44,175,4.0,3,7,4,0,0,0
Kent State,2015-09-12,2,,Delaware State,W,18,26,69.2,214,3,65,278,4.3,2,16,6,3,0,3
Kentucky,2015-09-12,2,@,South Carolina,W,21,29,72.4,192,0,38,207,5.4,3,4,2,0,1,1
Louisiana,2015-09-12,2,,Northwestern State,W,7,9,77.8,187,0,42,360,8.6,6,9,4,0,0,0
Louisiana-Monroe,2015-09-12,2,,Nicholls State,W,28,38,73.7,391,3,38,202,5.3,3,9,2,0,0,0
Louisville,2015-09-12,2,,Houston,L,27,45,60.0,325,2,26,70,2.7,2,6,2,2,2,4
LSU,2015-09-12,2,@,Mississippi State,W,9,14,64.3,71,0,47,266,5.7,3,5,3,0,0,0
Marshall,2015-09-12,2,@,Ohio,L,16,33,48.5,106,0,25,157,6.3,1,4,2,2,2,4
Maryland,2015-09-12,2,,Bowling Green State,L,16,33,48.5,185,2,26,156,6.0,0,5,4,1,3,4
Massachusetts,2015-09-12,1,@,Colorado,L,24,42,57.1,250,1,29,147,5.1,1,5,,1,1,2
Memphis,2015-09-12,2,@,Kansas,W,24,27,88.9,370,2,52,281,5.4,5,7,2,3,0,3
Miami (OH),2015-09-12,2,@,Wisconsin,L,13,34,38.2,160,0,24,-3,-0.1,0,3,2,1,3,4
Michigan,2015-09-12,2,,Oregon State,W,18,26,69.2,180,0,48,225,4.7,4,7,2,1,1,2
Michigan State,2015-09-12,2,,Oregon,W,20,32,62.5,192,2,37,197,5.3,2,6,4,0,1,1
Middle Tennessee State,2015-09-12,2,@,Alabama,L,23,43,53.5,189,1,31,86,2.8,0,6,,3,1,4
Minnesota,2015-09-12,2,@,Colorado State,W,23,45,51.1,233,2,41,180,4.4,0,4,1,2,0,2
Mississippi State,2015-09-12,2,,Louisiana State,L,34,54,63.0,335,1,26,43,1.7,1,6,1,0,0,0
Missouri,2015-09-12,2,@,Arkansas State,W,16,37,43.2,148,3,34,140,4.1,0,14,2,0,3,3
Nebraska,2015-09-12,2,,South Alabama,W,26,38,68.4,303,3,37,258,7.0,3,8,2,0,1,1
Nevada,2015-09-12,2,,Arizona,L,18,34,52.9,159,2,42,168,4.0,0,8,2,0,1,1
New Mexico,2015-09-12,2,,Tulsa,L,11,21,52.4,166,1,47,224,4.8,2,0,,1,1,2
New Mexico State,2015-09-12,2,,Georgia State,L,31,55,56.4,445,3,23,84,3.7,1,3,1,0,1,1
North Carolina,2015-09-12,2,,North Carolina A&T,W,20,27,74.1,248,3,44,215,4.9,4,6,1,0,0,0
North Carolina State,2015-09-12,2,,Eastern Kentucky,W,21,30,70.0,244,1,48,199,4.1,4,7,2,1,0,1
North Texas,2015-09-12,1,@,Southern Methodist,L,16,34,47.1,128,0,33,112,3.4,1,5,3,2,2,4
Northern Illinois,2015-09-12,2,,Murray State,W,31,41,75.6,389,4,43,254,5.9,3,8,3,2,0,2
Northwestern,2015-09-12,2,,Eastern Illinois,W,11,16,68.8,152,1,69,344,5.0,3,8,3,1,0,1
Notre Dame,2015-09-12,2,@,Virginia,W,15,30,50.0,207,3,34,253,7.4,1,6,1,0,0,0
Ohio,2015-09-12,2,,Marshall,W,15,28,53.6,156,1,51,229,4.5,2,2,2,1,1,2
Ohio State,2015-09-12,2,,Hawaii,W,20,34,58.8,181,0,49,182,3.7,4,5,4,0,0,0
Oklahoma,2015-09-12,2,@,Tennessee,W,19,39,48.7,187,3,48,161,3.4,1,8,3,0,2,2
Oklahoma State,2015-09-12,2,,Central Arkansas,W,25,39,64.1,414,3,35,164,4.7,1,9,2,0,1,1
Old Dominion,2015-09-12,2,,Norfolk State,W,12,22,54.5,122,0,59,338,5.7,3,5,2,0,1,1
Ole Miss,2015-09-12,2,,Fresno State,W,26,37,70.3,392,4,35,215,6.1,4,10,1,2,1,3
Oregon,2015-09-12,2,@,Michigan State,L,22,39,56.4,309,1,43,123,2.9,2,6,,0,2,2
Oregon State,2015-09-12,2,@,Michigan,L,9,20,45.0,79,1,33,59,1.8,0,3,1,1,0,1
Penn State,2015-09-12,2,,Buffalo,W,14,27,51.9,128,1,39,200,5.1,2,7,6,0,0,0
Pitt,2015-09-12,2,@,Akron,W,18,25,72.0,180,1,46,127,2.8,2,8,3,0,0,0
Purdue,2015-09-12,2,,Indiana State,W,20,36,55.6,289,4,45,251,5.6,1,13,5,2,0,2
Rice,2015-09-12,2,@,Texas,L,23,38,60.5,234,2,58,228,3.9,2,5,1,2,3,5
Rutgers,2015-09-12,2,,Washington State,L,23,29,79.3,204,1,37,198,5.4,1,3,1,2,1,3
San Diego State,2015-09-12,2,@,California,L,14,32,43.8,173,1,43,152,3.5,0,5,2,0,2,2
San Jose State,2015-09-12,2,@,Air Force,L,18,33,54.5,140,1,20,150,7.5,1,0,,0,2,2
SMU,2015-09-12,2,,North Texas,W,17,24,70.8,171,2,53,273,5.2,2,4,2,3,0,3
South Alabama,2015-09-12,2,@,Nebraska,L,26,45,57.8,313,1,24,19,0.8,0,5,,2,1,3
South Carolina,2015-09-12,2,,Kentucky,L,17,27,63.0,222,1,34,195,5.7,1,2,1,0,1,1
South Florida,2015-09-12,2,@,Florida State,L,12,24,50.0,125,2,36,149,4.1,0,7,3,0,1,1
Southern Mississippi,2015-09-12,2,,Austin Peay,W,22,40,55.0,275,3,30,239,8.0,3,11,3,0,1,1
Stanford,2015-09-12,2,,Central Florida,W,18,30,60.0,361,3,41,130,3.2,1,6,2,0,0,0
Syracuse,2015-09-12,2,,Wake Forest,W,8,14,57.1,221,2,37,149,4.0,0,9,4,0,0,0
Temple,2015-09-12,2,@,Cincinnati,W,13,20,65.0,81,2,36,215,6.0,1,4,1,1,0,1
Tennessee,2015-09-12,2,,Oklahoma,L,13,31,41.9,125,1,45,129,2.9,2,9,2,0,1,1
Texas,2015-09-12,2,,Rice,W,5,10,50.0,128,2,28,149,5.3,2,6,2,1,0,1
Texas A&M,2015-09-12,2,,Ball State,W,21,29,72.4,233,4,49,270,5.5,2,6,1,1,0,1
Texas Christian,2015-09-12,2,,Stephen F. Austin,W,26,37,70.3,403,5,45,224,5.0,4,11,4,0,1,1
Texas State,2015-09-12,2,,Prairie View A&M,W,18,22,81.8,333,3,50,316,6.3,5,11,3,2,0,2
Texas Tech,2015-09-12,2,,Texas-El Paso,W,23,42,54.8,445,4,30,229,7.6,5,7,1,0,0,0
Toledo,2015-09-12,2,N,Arkansas,W,21,38,55.3,237,1,24,81,3.4,1,5,,0,0,0
Troy,2015-09-12,2,,Charleston Southern,W,19,28,67.9,249,2,28,125,4.5,3,8,3,0,0,0
Tulane,2015-09-12,2,@,Georgia Tech,L,15,33,45.5,177,1,33,71,2.2,0,4,1,1,1,2
Tulsa,2015-09-12,2,@,New Mexico,W,16,30,53.3,321,2,59,279,4.7,2,0,,1,0,1
UCF,2015-09-12,2,@,Stanford,L,14,36,38.9,151,1,29,30,1.0,0,7,,1,1,2
UCLA,2015-09-12,2,@,Nevada-Las Vegas,W,24,51,47.1,253,1,47,273,5.8,2,5,,0,3,3
UNLV,2015-09-12,2,,UCLA,L,6,23,26.1,56,0,43,181,4.2,0,3,,1,1,2
USC,2015-09-12,2,,Idaho,W,30,37,81.1,453,3,37,284,7.7,5,6,1,0,0,0
UTEP,2015-09-12,2,@,Texas Tech,L,19,31,61.3,187,1,46,227,4.9,1,3,,2,0,2
UTSA,2015-09-12,2,,Kansas State,L,23,37,62.2,192,0,25,37,1.5,0,5,2,0,0,0
Vanderbilt,2015-09-12,2,,Georgia,L,24,50,48.0,295,1,39,105,2.7,0,3,1,0,3,3
Virginia,2015-09-12,2,,Notre Dame,L,26,38,68.4,289,2,30,127,4.2,2,5,2,1,0,1
Virginia Tech,2015-09-12,2,,Furman,W,19,31,61.3,284,2,41,299,7.3,3,7,3,0,0,0
