School,Date,G,Loc,Opponent,WL,Total TD,Points For,Points Difference,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp
Georgia State,2014-08-27,1,,Abilene Christian,W,5,38,1,30,40,75.0,403,4,36,95,2.6,0,0,1,1
Akron,2014-08-28,1,,Howard,W,6,41,41,12,26,46.2,68,0,51,148,2.9,0,1,0,1
Arizona State,2014-08-28,1,,Weber State,W,6,45,31,14,29,48.3,156,1,32,152,4.8,1,0,0,0
Boise State,2014-08-28,1,N,Mississippi,L,1,13,-22,25,36,69.4,387,4,34,71,2.1,1,0,3,3
Central Michigan,2014-08-28,1,,Chattanooga,W,3,20,4,13,24,54.2,150,2,29,106,3.7,0,0,4,4
Louisiana-Monroe,2014-08-28,1,,Wake Forest,W,2,17,7,12,22,54.5,97,0,27,-3,-0.1,0,0,1,1
Minnesota,2014-08-28,1,,Eastern Illinois,W,6,42,22,32,57,56.1,310,2,39,99,2.5,1,2,1,3
New Mexico State,2014-08-28,1,,Cal Poly,W,4,28,18,2,7,28.6,6,0,49,259,5.3,1,1,1,2
Northern Illinois,2014-08-28,1,,Presbyterian,W,7,55,52,10,18,55.6,58,0,31,69,2.2,0,2,1,3
Ole Miss,2014-08-28,1,N,Boise State,W,5,35,22,36,48,75.0,264,1,37,135,3.6,0,0,4,4
Rutgers,2014-08-28,1,N,Washington State,W,5,41,3,40,56,71.4,532,5,14,6,0.4,0,1,1,2
San Jose State,2014-08-28,1,,North Dakota,W,6,42,32,14,20,70.0,126,0,32,118,3.7,1,1,1,2
South Carolina,2014-08-28,1,,Texas A&M,L,4,28,-24,44,60,73.3,511,3,39,169,4.3,4,0,0,0
Temple,2014-08-28,1,@,Vanderbilt,W,4,37,30,16,34,47.1,224,0,29,54,1.9,0,4,3,7
Texas A&M,2014-08-28,1,@,South Carolina,W,7,52,24,20,40,50.0,366,4,22,67,3.0,0,0,1,1
Tulane,2014-08-28,1,@,Tulsa,L,4,31,-7,31,53,58.5,438,4,36,154,4.3,0,0,2,2
Tulsa,2014-08-28,1,,Tulane,W,4,38,7,22,44,50.0,262,3,30,254,8.5,1,1,1,2
Utah,2014-08-28,1,,Idaho State,W,8,56,42,21,40,52.5,158,2,44,179,4.1,0,0,0,0
Vanderbilt,2014-08-28,1,,Temple,L,1,7,-30,23,36,63.9,207,2,45,144,3.2,1,2,0,2
Wake Forest,2014-08-28,1,@,Louisiana-Monroe,L,1,10,-7,23,41,56.1,189,0,44,163,3.7,1,1,0,1
Washington State,2014-08-28,1,N,Rutgers,L,5,38,-3,16,27,59.3,281,2,43,215,5.0,3,0,1,1
Arizona,2014-08-29,1,,Nevada-Las Vegas,W,7,58,45,22,41,53.7,252,1,31,119,3.8,0,0,1,1
Bowling Green State,2014-08-29,1,@,Western Kentucky,L,4,31,-28,46,56,82.1,569,6,40,139,3.5,2,0,0,0
Brigham Young,2014-08-29,1,@,Connecticut,W,5,35,25,25,48,52.1,284,0,31,71,2.3,1,1,1,2
Colorado,2014-08-29,1,N,Colorado State,L,2,17,-14,13,23,56.5,134,1,45,266,5.9,3,1,0,1
Colorado State,2014-08-29,1,N,Colorado,W,4,31,14,24,39,61.5,241,2,34,134,3.9,0,0,0,0
Connecticut,2014-08-29,1,,Brigham Young,L,1,10,-25,28,36,77.8,308,3,37,205,5.5,2,2,0,2
Houston,2014-08-29,1,,Texas-San Antonio,L,1,7,-20,15,24,62.5,121,0,50,142,2.8,3,1,0,1
Michigan State,2014-08-29,1,,Jacksonville State,W,6,45,38,18,37,48.6,222,1,25,22,0.9,0,0,3,3
Syracuse,2014-08-29,1,,Villanova,W,3,27,1,16,27,59.3,199,1,60,190,3.2,1,0,0,0
UNLV,2014-08-29,1,@,Arizona,L,1,13,-45,26,46,56.5,434,4,48,353,7.4,3,0,0,0
UTSA,2014-08-29,1,@,Houston,W,3,27,20,25,50,50.0,234,0,23,-26,-1.1,1,2,4,6
Western Kentucky,2014-08-29,1,,Bowling Green State,W,8,59,28,25,36,69.4,313,1,35,152,4.3,3,0,0,0
Air Force,2014-08-30,1,,Nicholls State,W,6,44,28,18,31,58.1,200,1,30,63,2.1,1,0,0,0
Alabama,2014-08-30,1,N,West Virginia,W,3,33,10,29,45,64.4,365,1,24,28,1.2,0,0,0,0
Appalachian State,2014-08-30,1,@,Michigan,L,2,14,-38,16,19,84.2,210,3,36,350,9.7,3,0,1,1
Arkansas,2014-08-30,1,@,Auburn,L,3,21,-24,16,22,72.7,293,2,48,302,6.3,3,1,0,1
Arkansas State,2014-08-30,1,,Montana State,W,4,37,27,14,26,53.8,142,0,44,86,2.0,1,0,2,2
Auburn,2014-08-30,1,,Arkansas,W,6,45,24,18,31,58.1,175,2,29,153,5.3,1,0,1,1
Ball State,2014-08-30,1,,Colgate,W,3,30,20,14,26,53.8,137,0,28,90,3.2,1,0,0,0
Boston College,2014-08-30,1,N,Massachusetts,W,3,30,23,9,22,40.9,147,1,22,55,2.5,0,0,1,1
Buffalo,2014-08-30,1,,Duquesne,W,5,38,10,18,37,48.6,322,3,33,51,1.5,1,1,0,1
California,2014-08-30,1,@,Northwestern,W,4,31,7,24,44,54.5,246,2,36,108,3.0,1,0,2,2
Clemson,2014-08-30,1,@,Georgia,L,3,21,-24,18,26,69.2,131,0,41,328,8.0,5,1,0,1
Duke,2014-08-30,1,,Elon,W,7,52,39,19,38,50.0,190,0,31,138,4.5,1,0,0,0
East Carolina,2014-08-30,1,,North Carolina Central,W,7,52,45,13,22,59.1,104,0,31,70,2.3,0,1,0,1
Eastern Michigan,2014-08-30,1,,Morgan State,W,4,31,3,18,28,64.3,269,3,41,210,5.1,1,1,0,1
Florida Atlantic,2014-08-30,1,@,Nebraska,L,1,7,-48,17,35,48.6,286,2,57,498,8.7,5,0,0,0
Florida International,2014-08-30,1,,Bethune-Cookman,L,1,12,-2,8,17,47.1,149,1,43,90,2.1,1,0,0,0
Florida State,2014-08-30,1,N,Oklahoma State,W,4,37,6,15,28,53.6,203,1,42,161,3.8,3,1,1,2
Fresno State,2014-08-30,1,@,Southern California,L,2,13,-39,28,41,68.3,424,4,64,277,4.3,3,2,0,2
