School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Pass Int,Turnovers
Arizona State,2011-09-01,1,,California-Davis,W,24,32,75.0,300,2,40,217,5.4,3,6,4,1,1,2
Bowling Green State,2011-09-01,1,@,Idaho,W,19,31,61.3,291,2,48,187,3.9,2,6,4,0,0,0
Central Michigan,2011-09-01,1,,South Carolina State,W,14,27,51.9,168,2,35,88,2.5,1,12,2,0,2,2
Florida International,2011-09-01,1,,North Texas,W,16,23,69.6,193,1,40,208,5.2,4,8,3,2,0,2
Georgia Tech,2011-09-01,1,,Western Carolina,W,11,16,68.8,365,3,48,297,6.2,6,8,4,2,0,2
Idaho,2011-09-01,1,,Bowling Green State,L,20,44,45.5,228,2,21,52,2.5,0,5,1,2,1,3
Kentucky,2011-09-01,1,N,Western Kentucky,W,7,18,38.9,97,1,33,93,2.8,1,5,2,0,3,3
Louisville,2011-09-01,1,,Murray State,W,17,33,51.5,226,2,37,159,4.3,1,8,2,3,1,4
Memphis,2011-09-01,1,,Mississippi State,L,26,40,65.0,174,1,47,164,3.5,1,4,0,2,1,3
Mississippi State,2011-09-01,1,@,Memphis,W,19,31,61.3,336,3,38,309,8.1,5,8,2,1,0,1
North Texas,2011-09-01,1,@,Florida International,L,19,35,54.3,204,0,38,97,2.6,0,3,1,1,0,1
Rutgers,2011-09-01,1,,North Carolina Central,W,15,34,44.1,210,2,41,137,3.3,2,15,9,0,1,1
Syracuse,2011-09-01,1,,Wake Forest,W,20,28,71.4,178,3,30,121,4.0,2,9,3,1,0,1
Temple,2011-09-01,1,,Villanova,W,14,20,70.0,235,2,45,240,5.3,4,8,4,0,0,0
Toledo,2011-09-01,1,,New Hampshire,W,27,36,75.0,304,5,47,278,5.9,2,8,2,0,0,0
UNLV,2011-09-01,1,@,Wisconsin,L,18,27,66.7,146,2,38,146,3.8,0,2,1,0,0,0
Utah,2011-09-01,1,,Montana State,W,15,23,65.2,101,2,38,191,5.0,1,3,2,0,0,0
Wake Forest,2011-09-01,1,@,Syracuse,L,24,41,58.5,326,3,43,80,1.9,0,6,1,0,1,1
Western Kentucky,2011-09-01,1,N,Kentucky,L,9,27,33.3,93,0,42,141,3.4,0,6,3,0,4,4
Wisconsin,2011-09-01,1,,Nevada-Las Vegas,W,11,15,73.3,258,2,38,241,6.3,5,6,3,0,0,0
Baylor,2011-09-02,1,,Texas Christian,W,23,29,79.3,414,6,36,150,4.2,1,3,0,1,0,1
Michigan State,2011-09-02,1,,Youngstown State,W,19,23,82.6,237,1,35,159,4.5,3,6,0,1,0,1
Texas Christian,2011-09-02,1,@,Baylor,L,25,40,62.5,251,4,38,215,5.7,2,3,1,0,1,1
Air Force,2011-09-03,1,,South Dakota,W,4,9,44.4,96,1,61,391,6.4,4,6,6,1,2,3
Akron,2011-09-03,1,@,Ohio State,L,7,19,36.8,55,0,27,35,1.3,0,0,0,0,1,1
Alabama,2011-09-03,1,,Kent State,W,21,37,56.8,299,1,35,183,5.2,5,7,4,1,4,5
Arizona,2011-09-03,1,,Northern Arizona,W,34,42,81.0,417,5,20,75,3.8,1,9,2,0,0,0
Arkansas,2011-09-03,1,,Missouri State,W,28,35,80.0,364,3,33,102,3.1,2,6,2,1,0,1
Arkansas State,2011-09-03,1,@,Illinois,L,20,32,62.5,290,0,32,60,1.9,1,8,3,2,1,3
Army,2011-09-03,1,@,Northern Illinois,L,7,16,43.8,106,1,63,303,4.8,3,7,1,2,1,3
Auburn,2011-09-03,1,,Utah State,W,18,24,75.0,286,3,30,78,2.6,2,9,1,0,0,0
Ball State,2011-09-03,1,N,Indiana,W,23,29,79.3,173,2,46,210,4.6,1,9,4,0,0,0
Boise State,2011-09-03,1,@,Georgia,W,28,34,82.4,261,3,37,129,3.5,2,7,6,0,1,1
Boston College,2011-09-03,1,,Northwestern,L,24,44,54.5,351,0,30,104,3.5,2,8,2,0,1,1
Brigham Young,2011-09-03,1,@,Mississippi,W,24,38,63.2,225,1,31,91,2.9,0,5,1,0,1,1
Buffalo,2011-09-03,1,@,Pittsburgh,L,32,49,65.3,276,0,44,127,2.9,2,6,2,0,1,1
California,2011-09-03,1,N,Fresno State,W,16,35,45.7,266,2,35,151,4.3,2,12,6,1,1,2
Cincinnati,2011-09-03,1,,Austin Peay,W,14,22,63.6,174,4,49,387,7.9,6,8,2,0,0,0
Clemson,2011-09-03,1,,Troy,W,21,31,67.7,271,3,38,197,5.2,2,3,1,0,1,1
Colorado,2011-09-03,1,@,Hawaii,L,16,30,53.3,223,2,28,17,0.6,0,6,5,0,1,1
Colorado State,2011-09-03,1,@,New Mexico,W,22,26,84.6,178,1,28,92,3.3,1,13,9,1,0,1
Connecticut,2011-09-03,1,,Fordham,W,12,21,57.1,228,1,42,206,4.9,4,6,1,0,1,1
Duke,2011-09-03,1,,Richmond,L,23,34,67.6,201,0,35,178,5.1,3,3,0,2,0,2
East Carolina,2011-09-03,1,N,South Carolina,L,37,56,66.1,260,4,28,85,3.0,1,1,1,4,1,5
Florida,2011-09-03,1,,Florida Atlantic,W,25,36,69.4,271,1,33,197,6.0,3,10,2,0,3,3
Florida Atlantic,2011-09-03,1,@,Florida,L,14,27,51.9,107,0,30,30,1.0,0,7,0,0,0,0
Florida State,2011-09-03,1,,Louisiana-Monroe,W,23,35,65.7,280,3,28,92,3.3,1,10,4,0,1,1
Fresno State,2011-09-03,1,N,California,L,21,33,63.6,150,1,25,68,2.7,1,8,2,1,1,2
Georgia,2011-09-03,1,,Boise State,L,16,29,55.2,236,2,31,137,4.4,1,6,0,0,1,1
Hawaii,2011-09-03,1,,Colorado,W,20,33,60.6,178,1,32,165,5.2,3,10,7,1,0,1
Houston,2011-09-03,1,,UCLA,W,30,40,75.0,310,2,31,159,5.1,3,6,0,1,0,1
Illinois,2011-09-03,1,,Arkansas State,W,17,25,68.0,271,2,50,202,4.0,2,7,2,1,0,1
Indiana,2011-09-03,1,N,Ball State,L,20,32,62.5,272,1,32,103,3.2,1,2,0,0,0,0
Iowa,2011-09-03,1,,Tennessee Tech,W,15,26,57.7,246,2,33,148,4.5,1,5,1,1,0,1
Iowa State,2011-09-03,1,,Northern Iowa,W,18,40,45.0,187,1,39,141,3.6,2,4,0,1,3,4
Kansas,2011-09-03,1,,McNeese State,W,7,10,70.0,146,3,55,301,5.5,3,10,3,0,0,0
