School,Date,G,Loc,Opponent,WL,Total TD,Points For,Points Difference,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp
Arizona State,2011-09-01,1,,California-Davis,W,6,48,34,18,30,60.0,155,0,26,88,3.4,2,1,0,1
Bowling Green State,2011-09-01,1,@,Idaho,W,4,32,17,20,44,45.5,228,2,21,52,2.5,0,2,1,3
Central Michigan,2011-09-01,1,,South Carolina State,W,3,21,15,12,26,46.2,78,0,43,59,1.4,0,0,0,0
Florida International,2011-09-01,1,,North Texas,W,5,41,25,19,35,54.3,204,0,38,97,2.6,0,1,0,1
Georgia Tech,2011-09-01,1,,Western Carolina,W,9,63,42,22,37,59.5,197,0,40,104,2.6,2,2,1,3
Idaho,2011-09-01,1,,Bowling Green State,L,2,15,-17,19,31,61.3,291,2,48,187,3.9,2,0,0,0
Kentucky,2011-09-01,1,N,Western Kentucky,W,2,14,11,9,27,33.3,93,0,42,141,3.4,0,0,4,4
Louisville,2011-09-01,1,,Murray State,W,3,21,12,17,34,50.0,148,0,49,143,2.9,1,0,3,3
Memphis,2011-09-01,1,,Mississippi State,L,2,14,-45,19,31,61.3,336,3,38,309,8.1,5,1,0,1
Mississippi State,2011-09-01,1,@,Memphis,W,8,59,45,26,40,65.0,174,1,47,164,3.5,1,2,1,3
North Texas,2011-09-01,1,@,Florida International,L,2,16,-25,16,23,69.6,193,1,40,208,5.2,4,2,0,2
Rutgers,2011-09-01,1,,North Carolina Central,W,6,48,48,14,30,46.7,112,0,30,8,0.3,0,2,2,4
Syracuse,2011-09-01,1,,Wake Forest,W,5,36,7,24,41,58.5,326,3,43,80,1.9,0,0,1,1
Temple,2011-09-01,1,,Villanova,W,6,42,35,12,26,46.2,153,0,35,122,3.5,1,1,3,4
Toledo,2011-09-01,1,,New Hampshire,W,7,58,36,24,33,72.7,180,1,33,152,4.6,2,3,2,5
UNLV,2011-09-01,1,@,Wisconsin,L,2,17,-34,11,15,73.3,258,2,38,241,6.3,5,0,0,0
