School,Date,G,Loc,Opponent,WL,Total TD,Points For,Points Difference,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp
Ball State,2009-09-03,1,,North Texas,L,1,10,-10,23,33,69.7,216,1,51,296,5.8,1,1,1,2
Boise State,2009-09-03,1,,Oregon,W,2,19,11,14,27,51.9,121,0,17,31,1.8,1,1,1,2
Bowling Green State,2009-09-03,1,,Troy,W,4,31,17,28,44,63.6,263,1,21,41,2.0,1,0,2,2
Indiana,2009-09-03,1,,Eastern Kentucky,W,2,19,6,17,26,65.4,278,1,31,100,3.2,0,1,0,1
Iowa State,2009-09-03,1,,North Dakota State,W,4,34,17,15,27,55.6,178,1,38,210,5.5,1,1,1,2
Kent State,2009-09-03,1,,Coastal Carolina,W,2,18,18,12,26,46.2,107,0,40,78,2.0,0,1,1,2
North Carolina State,2009-09-03,1,,South Carolina,L,0,3,-4,13,22,59.1,148,0,42,108,2.6,1,0,1,1
North Texas,2009-09-03,1,@,Ball State,W,2,20,10,15,35,42.9,140,0,24,169,7.0,1,1,1,2
Oregon,2009-09-03,1,@,Boise State,L,1,8,-11,19,30,63.3,197,1,59,164,2.8,1,3,0,3
South Carolina,2009-09-03,1,@,North Carolina State,W,1,7,4,13,25,52.0,74,0,31,59,1.9,0,1,0,1
Temple,2009-09-03,1,,Villanova,L,3,24,-3,25,36,69.4,293,2,36,64,1.8,0,1,0,1
Troy,2009-09-03,1,@,Bowling Green State,L,2,14,-17,32,44,72.7,339,2,28,50,1.8,1,0,1,1
Utah,2009-09-03,1,,Utah State,W,4,35,18,10,26,38.5,121,0,34,221,6.5,2,0,1,1
Utah State,2009-09-03,1,@,Utah,L,2,17,-18,20,30,66.7,286,2,50,233,4.7,2,2,1,3
Hawaii,2009-09-04,1,,Central Arkansas,W,3,25,5,20,31,64.5,186,1,38,84,2.2,2,1,0,1
Tulane,2009-09-04,1,,Tulsa,L,1,13,-24,15,20,75.0,211,1,43,201,4.7,2,1,0,1
Tulsa,2009-09-04,1,@,Tulane,W,4,37,24,19,32,59.4,325,1,34,39,1.1,0,0,2,2
Air Force,2009-09-05,1,,Nicholls State,W,10,72,72,7,13,53.8,61,0,44,90,2.0,0,4,0,4
Akron,2009-09-05,1,@,Penn State,L,1,7,-24,32,44,72.7,379,3,30,136,4.5,1,1,1,2
Alabama,2009-09-05,1,N,Virginia Tech,W,3,34,10,9,20,45.0,91,0,31,64,2.1,2,2,0,2
Arizona,2009-09-05,1,,Central Michigan,W,1,19,13,18,31,58.1,108,0,20,74,3.7,1,1,1,2
Arizona State,2009-09-05,1,,Idaho State,W,5,50,47,9,20,45.0,42,0,27,-5,-0.2,0,1,4,5
Arkansas,2009-09-05,1,,Missouri State,W,6,48,38,13,22,59.1,123,0,36,82,2.3,1,0,2,2
Arkansas State,2009-09-05,1,,Mississippi Valley State,W,9,61,61,6,16,37.5,39,0,28,30,1.1,0,2,0,2
Army,2009-09-05,1,@,Eastern Michigan,W,4,27,13,18,31,58.1,183,1,29,40,1.4,1,1,2,3
Auburn,2009-09-05,1,,Louisiana Tech,W,4,37,24,18,33,54.5,149,1,37,96,2.6,0,1,1,2
Baylor,2009-09-05,1,@,Wake Forest,W,3,24,3,20,31,64.5,143,2,34,126,3.7,1,1,3,4
Boston College,2009-09-05,1,,Northeastern,W,7,54,54,8,14,57.1,49,0,40,82,2.1,0,0,0,0
Brigham Young,2009-09-05,1,N,Oklahoma,W,2,14,1,16,26,61.5,147,1,31,118,3.8,0,2,0,2
Buffalo,2009-09-05,1,@,Texas-El Paso,W,3,23,6,27,46,58.7,233,0,29,139,4.8,2,0,0,0
California,2009-09-05,1,,Maryland,W,7,52,39,17,30,56.7,176,0,44,139,3.2,1,2,0,2
Central Michigan,2009-09-05,1,@,Arizona,L,1,6,-13,19,30,63.3,202,0,46,246,5.3,1,1,1,2
Clemson,2009-09-05,1,,Middle Tennessee State,W,4,37,23,21,44,47.7,207,1,37,92,2.5,0,0,3,3
Connecticut,2009-09-05,1,@,Ohio,W,3,23,7,15,28,53.6,186,2,32,61,1.9,0,1,1,2
Duke,2009-09-05,1,,Richmond,L,2,16,-8,13,24,54.2,157,0,40,125,3.1,2,0,0,0
East Carolina,2009-09-05,1,,Appalachian State,W,3,29,5,14,25,56.0,144,0,48,102,2.1,3,0,1,1
Eastern Michigan,2009-09-05,1,,Army,L,2,14,-13,2,5,40.0,8,0,49,300,6.1,4,1,0,1
Florida,2009-09-05,1,,Charleston Southern,W,9,62,59,28,49,57.1,228,0,27,95,3.5,0,0,1,1
Florida Atlantic,2009-09-05,1,@,Nebraska,L,0,3,-46,17,25,68.0,231,2,32,259,8.1,5,0,1,1
Fresno State,2009-09-05,1,,California-Davis,W,7,51,51,19,42,45.2,188,0,20,43,2.2,0,0,1,1
Georgia,2009-09-05,1,@,Oklahoma State,L,1,10,-14,11,22,50.0,135,2,46,172,3.7,1,0,0,0
Georgia Tech,2009-09-05,1,,Jacksonville State,W,5,37,20,23,38,60.5,193,2,33,98,3.0,0,1,1,2
Houston,2009-09-05,1,,Northwestern State,W,8,55,48,22,36,61.1,106,1,40,157,3.9,0,3,0,3
Idaho,2009-09-05,1,@,New Mexico State,W,3,21,15,22,34,64.7,235,0,33,104,3.2,1,2,1,3
Illinois,2009-09-05,1,N,Missouri,L,1,9,-28,26,35,74.3,325,3,37,117,3.2,1,0,0,0
Iowa,2009-09-05,1,,Northern Iowa,W,2,17,1,23,38,60.5,270,1,32,84,2.6,0,1,0,1
Kansas,2009-09-05,1,,Northern Colorado,W,7,49,46,20,31,64.5,172,0,25,74,3.0,0,2,0,2
Kansas State,2009-09-05,1,,Massachusetts,W,3,21,4,10,34,29.4,102,1,26,110,4.2,0,0,2,2
Kentucky,2009-09-05,1,N,Miami (OH),W,6,42,42,13,34,38.2,126,0,22,62,2.8,0,0,2,2
Louisiana,2009-09-05,1,,Southern,W,6,42,23,20,34,58.8,265,2,36,115,3.2,1,0,3,3
Louisiana Tech,2009-09-05,1,@,Auburn,L,1,13,-24,17,27,63.0,255,2,52,301,5.8,2,2,0,2
Louisiana-Monroe,2009-09-05,1,@,Texas,L,2,20,-39,25,35,71.4,363,2,49,199,4.1,5,2,1,3
Louisville,2009-09-05,1,,Indiana State,W,3,30,20,10,21,47.6,82,0,31,19,0.6,1,1,3,4
LSU,2009-09-05,1,@,Washington,W,4,31,8,25,45,55.6,321,2,38,157,4.1,0,1,1,2
Marshall,2009-09-05,1,,Southern Illinois,W,4,31,3,22,38,57.9,206,2,28,105,3.8,2,2,1,3
Maryland,2009-09-05,1,@,California,L,1,13,-39,17,27,63.0,298,4,36,246,6.8,3,0,0,0
Miami (OH),2009-09-05,1,N,Kentucky,L,0,0,-42,20,31,64.5,243,2,49,245,5.0,3,0,0,0
Michigan,2009-09-05,1,,Western Michigan,W,4,31,24,23,39,59.0,263,1,24,38,1.6,0,1,2,3
Michigan State,2009-09-05,1,,Montana State,W,5,44,41,13,26,50.0,98,0,28,62,2.2,0,0,0,0
Middle Tennessee State,2009-09-05,1,@,Clemson,L,2,14,-23,9,21,42.9,159,2,47,202,4.3,0,1,1,2
Minnesota,2009-09-05,1,@,Syracuse,W,2,23,3,19,31,61.3,167,1,34,90,2.6,1,1,1,2
