School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Pass Int,Turnovers
Ball State,2009-09-03,1,,North Texas,L,15,35,42.9,140,0,24,169,7.0,1,6,0,1,1,2
Boise State,2009-09-03,1,,Oregon,W,19,30,63.3,197,1,59,164,2.8,1,5,1,3,0,3
Bowling Green State,2009-09-03,1,,Troy,W,32,44,72.7,339,2,28,50,1.8,1,9,2,0,1,1
Indiana,2009-09-03,1,,Eastern Kentucky,W,27,36,75.0,326,1,31,73,2.4,1,7,4,1,2,3
Iowa State,2009-09-03,1,,North Dakota State,W,17,31,54.8,238,2,40,204,5.1,2,8,4,2,0,2
Kent State,2009-09-03,1,,Coastal Carolina,W,21,35,60.0,201,0,40,143,3.6,2,8,3,0,2,2
North Carolina State,2009-09-03,1,,South Carolina,L,13,25,52.0,74,0,31,59,1.9,0,7,3,1,0,1
North Texas,2009-09-03,1,@,Ball State,W,23,33,69.7,216,1,51,296,5.8,1,3,0,1,1,2
Oregon,2009-09-03,1,@,Boise State,L,14,27,51.9,121,0,17,31,1.8,1,6,2,1,1,2
South Carolina,2009-09-03,1,@,North Carolina State,W,13,22,59.1,148,0,42,108,2.6,1,9,6,0,1,1
Temple,2009-09-03,1,,Villanova,L,19,28,67.9,317,2,30,139,4.6,1,11,5,2,3,5
Troy,2009-09-03,1,@,Bowling Green State,L,28,44,63.6,263,1,21,41,2.0,1,4,1,0,2,2
Utah,2009-09-03,1,,Utah State,W,20,30,66.7,286,2,50,233,4.7,2,7,2,2,1,3
Utah State,2009-09-03,1,@,Utah,L,10,26,38.5,121,0,34,221,6.5,2,5,1,0,1,1
Hawaii,2009-09-04,1,,Central Arkansas,W,21,32,65.6,304,3,28,111,4.0,0,5,2,3,1,4
Tulane,2009-09-04,1,,Tulsa,L,19,32,59.4,325,1,34,39,1.1,0,6,4,0,2,2
Tulsa,2009-09-04,1,@,Tulane,W,15,20,75.0,211,1,43,201,4.7,2,13,5,1,0,1
Air Force,2009-09-05,1,,Nicholls State,W,5,7,71.4,102,1,68,474,7.0,8,6,3,0,0,0
Akron,2009-09-05,1,@,Penn State,L,13,24,54.2,158,1,30,28,0.9,0,5,1,0,1,1
Alabama,2009-09-05,1,N,Virginia Tech,W,15,30,50.0,230,1,49,268,5.5,2,9,5,1,1,2
Arizona,2009-09-05,1,,Central Michigan,W,19,30,63.3,202,0,46,246,5.3,1,3,2,1,1,2
Arizona State,2009-09-05,1,,Idaho State,W,17,30,56.7,208,1,39,199,5.1,3,10,2,0,0,0
Arkansas,2009-09-05,1,,Missouri State,W,30,41,73.2,447,3,30,144,4.8,2,8,3,0,1,1
Arkansas State,2009-09-05,1,,Mississippi Valley State,W,9,14,64.3,138,1,53,358,6.8,8,9,4,1,0,1
Army,2009-09-05,1,@,Eastern Michigan,W,2,5,40.0,8,0,49,300,6.1,4,9,6,1,0,1
Auburn,2009-09-05,1,,Louisiana Tech,W,17,27,63.0,255,2,52,301,5.8,2,7,3,2,0,2
Baylor,2009-09-05,1,@,Wake Forest,W,16,25,64.0,169,2,37,197,5.3,1,5,3,1,0,1
Boston College,2009-09-05,1,,Northeastern,W,15,22,68.2,205,2,38,236,6.2,4,9,0,0,0,0
Brigham Young,2009-09-05,1,N,Oklahoma,W,26,38,68.4,329,2,33,28,0.8,0,4,1,2,2,4
Buffalo,2009-09-05,1,@,Texas-El Paso,W,12,19,63.2,159,1,42,150,3.6,2,2,1,0,0,0
California,2009-09-05,1,,Maryland,W,17,27,63.0,298,4,36,246,6.8,3,11,6,0,0,0
Central Michigan,2009-09-05,1,@,Arizona,L,18,31,58.1,108,0,20,74,3.7,1,4,1,1,1,2
Clemson,2009-09-05,1,,Middle Tennessee State,W,9,21,42.9,159,2,47,202,4.3,0,6,3,1,1,2
Connecticut,2009-09-05,1,@,Ohio,W,11,24,45.8,127,2,49,259,5.3,1,5,3,1,3,4
Duke,2009-09-05,1,,Richmond,L,34,55,61.8,350,2,16,19,1.2,0,1,0,0,0,0
East Carolina,2009-09-05,1,,Appalachian State,W,12,27,44.4,131,1,35,189,5.4,2,11,3,0,2,2
Eastern Michigan,2009-09-05,1,,Army,L,18,31,58.1,183,1,29,40,1.4,1,5,2,1,2,3
Florida,2009-09-05,1,,Charleston Southern,W,18,27,66.7,255,3,33,369,11.2,5,4,0,0,0,0
Florida Atlantic,2009-09-05,1,@,Nebraska,L,20,41,48.8,236,0,35,132,3.8,0,2,0,1,2,3
Fresno State,2009-09-05,1,,California-Davis,W,8,13,61.5,201,1,52,310,6.0,5,3,0,1,1,2
Georgia,2009-09-05,1,@,Oklahoma State,L,15,30,50.0,162,1,30,95,3.2,0,2,0,2,1,3
Georgia Tech,2009-09-05,1,,Jacksonville State,W,7,12,58.3,162,1,50,335,6.7,3,6,3,3,0,3
Houston,2009-09-05,1,,Northwestern State,W,32,44,72.7,447,5,27,91,3.4,3,4,1,1,0,1
Idaho,2009-09-05,1,@,New Mexico State,W,11,22,50.0,179,2,32,171,5.3,1,3,1,0,1,1
Illinois,2009-09-05,1,N,Missouri,L,22,37,59.5,215,0,35,110,3.1,1,10,2,1,1,2
Iowa,2009-09-05,1,,Northern Iowa,W,22,34,64.7,242,1,31,87,2.8,1,5,2,2,0,2
Kansas,2009-09-05,1,,Northern Colorado,W,15,22,68.2,219,2,47,328,7.0,5,7,3,0,0,0
Kansas State,2009-09-05,1,,Massachusetts,W,14,27,51.9,182,2,48,225,4.7,1,2,1,2,1,3
