School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Pass Int,Turnovers
Georgia State,2014-08-27,1,,Abilene Christian,W,31,49,63.3,413,4,33,153,4.6,1,7,2,1,2,3
Akron,2014-08-28,1,,Howard,W,27,43,62.8,396,5,29,117,4.0,1,0,0,0,0,0
Arizona State,2014-08-28,1,,Weber State,W,24,39,61.5,303,2,45,267,5.9,4,4,2,0,0,0
Boise State,2014-08-28,1,N,Mississippi,L,36,48,75.0,264,1,37,135,3.6,0,11,2,0,4,4
Central Michigan,2014-08-28,1,,Chattanooga,W,15,26,57.7,173,2,46,148,3.2,1,8,1,1,0,1
Louisiana-Monroe,2014-08-28,1,,Wake Forest,W,23,41,56.1,189,0,44,163,3.7,1,9,7,1,0,1
Minnesota,2014-08-28,1,,Eastern Illinois,W,10,18,55.6,156,1,40,182,4.6,4,6,3,1,0,1
New Mexico State,2014-08-28,1,,Cal Poly,W,18,27,66.7,118,2,47,197,4.2,2,5,0,0,1,1
Northern Illinois,2014-08-28,1,,Presbyterian,W,19,32,59.4,211,2,77,424,5.5,5,7,3,0,0,0
Ole Miss,2014-08-28,1,N,Boise State,W,25,36,69.4,387,4,34,71,2.1,1,10,3,0,3,3
Rutgers,2014-08-28,1,N,Washington State,W,16,27,59.3,281,2,43,215,5.0,3,6,3,0,1,1
San Jose State,2014-08-28,1,,North Dakota,W,23,26,88.5,256,3,40,150,3.8,2,7,1,0,0,0
South Carolina,2014-08-28,1,,Texas A&M,L,20,40,50.0,366,4,22,67,3.0,0,3,1,0,1,1
Temple,2014-08-28,1,@,Vanderbilt,W,23,36,63.9,207,2,45,144,3.2,1,4,4,2,0,2
Texas A&M,2014-08-28,1,@,South Carolina,W,44,60,73.3,511,3,39,169,4.3,4,5,3,0,0,0
Tulane,2014-08-28,1,@,Tulsa,L,22,44,50.0,262,3,30,254,8.5,1,6,1,1,1,2
Tulsa,2014-08-28,1,,Tulane,W,31,53,58.5,438,4,36,154,4.3,0,4,1,0,2,2
Utah,2014-08-28,1,,Idaho State,W,22,32,68.8,351,1,46,238,5.2,5,8,4,1,0,1
Vanderbilt,2014-08-28,1,,Temple,L,16,34,47.1,224,0,29,54,1.9,0,7,1,4,3,7
