School,Date,G,Loc,Opponent,WL,Total TD,Points For,Points Difference,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp
Oregon,2016-10-29,8,,Arizona State,W,6,54,19,23,40,57.5,329,2,36,139,3.9,3,0,3,3
Oregon State,2016-10-29,8,,Washington State,L,4,31,-4,33,46,71.7,415,5,26,137,5.3,0,2,0,2
Penn State,2016-10-29,8,@,Purdue,W,8,62,38,36,55,65.5,295,2,26,46,1.8,1,2,2,4
Purdue,2016-10-29,8,,Penn State,L,3,24,-38,13,25,52.0,254,3,38,257,6.8,5,0,0,0
Rice,2016-10-29,8,@,Louisiana Tech,L,2,16,-45,24,31,77.4,434,3,39,301,7.7,5,1,0,1
San Jose State,2016-10-29,9,,Nevada-Las Vegas,W,3,30,6,12,30,40.0,185,1,40,217,5.4,2,0,1,1
SMU,2016-10-29,8,@,Tulane,W,5,35,4,13,26,50.0,164,2,46,227,4.9,2,0,1,1
South Alabama,2016-10-29,8,,Georgia State,W,1,13,3,11,18,61.1,113,0,40,127,3.2,1,1,0,1
South Carolina,2016-10-29,8,,Tennessee,W,3,24,3,12,27,44.4,161,1,37,136,3.7,1,1,2,3
Southern Mississippi,2016-10-29,8,,Marshall,W,3,24,10,20,34,58.8,166,1,25,60,2.4,1,0,0,0
Stanford,2016-10-29,8,@,Arizona,W,4,34,24,5,20,25.0,116,1,44,170,3.9,0,2,1,3
Temple,2016-10-29,9,,Cincinnati,W,4,34,21,15,27,55.6,119,2,22,67,3.0,0,2,0,2
Tennessee,2016-10-29,8,@,South Carolina,L,3,21,-3,15,21,71.4,167,2,49,158,3.2,1,0,0,0
Texas,2016-10-29,8,,Baylor,W,4,35,1,14,28,50.0,226,2,68,398,5.9,2,1,1,2
Texas A&M,2016-10-29,8,,New Mexico State,W,7,52,42,21,38,55.3,147,1,39,169,4.3,0,0,0,0
Texas Christian,2016-10-29,8,,Texas Tech,L,3,24,-3,24,40,60.0,206,2,49,139,2.8,1,1,1,2
