School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Pass Int,Turnovers
Arizona State,2006-08-31,1,,Northern Arizona,W,17,24,70.8,261,2,34,154,4.5,2,13,9,1,1,2
Ball State,2006-08-31,1,,Eastern Michigan,W,17,28,60.7,230,4,36,159,4.4,1,7,3,0,0,0
Boise State,2006-08-31,1,,Sacramento State,W,15,24,62.5,212,2,42,215,5.1,4,5,0,1,0,1
Boston College,2006-08-31,1,@,Central Michigan,W,32,47,68.1,323,3,33,66,2.0,1,5,2,2,0,2
Buffalo,2006-08-31,1,,Temple,W,13,24,54.2,188,0,41,168,4.1,1,9,1,1,0,1
Central Michigan,2006-08-31,1,,Boston College,L,24,42,57.1,243,1,27,123,4.6,2,4,2,1,1,2
Connecticut,2006-08-31,1,,Rhode Island,W,8,13,61.5,149,2,52,418,8.0,5,9,4,0,0,0
Eastern Michigan,2006-08-31,1,@,Ball State,L,18,28,64.3,209,1,38,226,5.9,1,8,3,0,1,1
Florida International,2006-08-31,1,@,Middle Tennessee State,L,22,39,56.4,150,0,25,97,3.9,1,9,6,1,0,1
Iowa State,2006-08-31,1,,Toledo,W,17,26,65.4,234,2,41,159,3.9,4,5,3,1,0,1
Kent State,2006-08-31,1,,Minnesota,L,7,13,53.8,150,0,37,132,3.6,0,2,0,3,3,6
Louisiana-Monroe,2006-08-31,1,,Alcorn State,W,11,20,55.0,131,1,46,179,3.9,1,7,2,2,2,4
Miami (OH),2006-08-31,1,,Northwestern,L,16,26,61.5,175,0,29,72,2.5,0,2,1,0,0,0
Middle Tennessee State,2006-08-31,1,,Florida International,W,11,18,61.1,83,0,35,92,2.6,1,8,2,0,1,1
Minnesota,2006-08-31,1,@,Kent State,W,8,15,53.3,146,1,55,322,5.9,5,7,5,0,1,1
Mississippi State,2006-08-31,1,,South Carolina,L,8,23,34.8,82,0,33,79,2.4,0,9,4,0,2,2
New Mexico State,2006-08-31,1,,Southeastern Louisiana,W,29,40,72.5,381,2,44,134,3.0,2,8,2,4,0,4
Northwestern,2006-08-31,1,@,Miami (OH),W,13,17,76.5,106,1,39,193,4.9,1,6,5,0,0,0
Oregon State,2006-08-31,1,,Eastern Washington,W,19,30,63.3,274,4,38,209,5.5,3,10,5,1,1,2
San Diego State,2006-08-31,1,,Texas-El Paso,L,24,30,80.0,275,0,46,109,2.4,3,7,0,1,2,3
South Carolina,2006-08-31,1,@,Mississippi State,W,15,27,55.6,193,1,29,81,2.8,0,8,5,0,1,1
Temple,2006-08-31,1,@,Buffalo,L,20,25,80.0,103,0,27,80,3.0,0,10,4,0,1,1
Toledo,2006-08-31,1,@,Iowa State,L,39,49,79.6,367,3,27,45,1.7,3,5,2,1,1,2
Tulsa,2006-08-31,1,,Stephen F. Austin,W,20,28,71.4,346,4,43,175,4.1,2,3,1,0,0,0
UTEP,2006-08-31,1,@,San Diego State,W,20,29,69.0,213,3,19,30,1.6,1,10,3,0,4,4
Fresno State,2006-09-01,1,,Nevada,W,16,24,66.7,124,1,38,212,5.6,3,2,1,1,0,1
Nevada,2006-09-01,1,@,Fresno State,L,18,34,52.9,183,2,34,168,4.9,1,2,0,1,0,1
Akron,2006-09-02,1,@,Penn State,L,23,43,53.5,192,1,34,33,1.0,1,10,0,1,2,3
Alabama,2006-09-02,1,,Hawaii,W,16,29,55.2,253,1,36,125,3.5,1,5,3,0,0,0
