School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Pass Int,Turnovers
Colorado State,2016-10-01,5,,Wyoming,L,23,42,54.8,370,1,33,111,3.4,1,8,3,1,1,2
Duke,2016-10-01,5,,Virginia,L,33,54,61.1,324,1,31,106,3.4,1,9,3,1,5,6
East Carolina,2016-10-01,5,,Central Florida,L,38,70,54.3,488,3,32,33,1.0,1,7,,2,3,5
Eastern Michigan,2016-10-01,5,@,Bowling Green State,W,21,30,70.0,262,3,45,212,4.7,1,4,2,1,1,2
Florida,2016-10-01,5,@,Vanderbilt,W,19,28,67.9,144,0,35,92,2.6,1,3,2,1,0,1
Florida Atlantic,2016-10-01,5,@,Florida International,L,9,21,42.9,92,1,36,236,6.6,2,5,1,1,0,1
Florida International,2016-10-01,5,,Florida Atlantic,W,15,30,50.0,199,1,49,270,5.5,3,2,1,0,2,2
Florida State,2016-10-01,5,,North Carolina,L,20,32,62.5,372,0,43,223,5.2,5,5,3,0,0,0
Fresno State,2016-10-01,5,@,Nevada-Las Vegas,L,16,45,35.6,296,2,32,64,2.0,0,5,,0,1,1
Georgia,2016-10-01,5,,Tennessee,L,17,28,60.7,211,2,46,181,3.9,2,5,2,1,1,2
Georgia State,2016-10-01,4,@,Appalachian State,L,19,44,43.2,153,0,25,88,3.5,0,5,1,0,4,4
Georgia Tech,2016-10-01,5,,Miami (FL),L,11,19,57.9,94,1,54,267,4.9,2,3,,2,1,3
Hawaii,2016-10-01,5,,Nevada,W,15,18,83.3,222,2,40,344,8.6,3,7,4,1,0,1
Idaho,2016-10-01,5,,Troy,L,19,34,55.9,166,1,36,89,2.5,0,3,,0,2,2
Illinois,2016-10-01,4,@,Nebraska,L,14,23,60.9,146,0,21,124,5.9,1,4,,0,0,0
Indiana,2016-10-01,4,,Michigan State,W,17,28,60.7,281,3,39,156,4.0,0,6,2,0,1,1
Iowa,2016-10-01,5,,Northwestern,L,19,27,70.4,204,1,41,79,1.9,3,2,1,0,1,1
Iowa State,2016-10-01,5,,Baylor,L,17,23,73.9,261,2,54,204,3.8,4,5,2,0,0,0
Kansas State,2016-10-01,4,@,West Virginia,L,10,30,33.3,166,0,42,120,2.9,1,5,3,0,1,1
Kent State,2016-10-01,5,,Akron,L,19,36,52.8,285,2,41,138,3.4,1,4,2,0,0,0
Kentucky,2016-10-01,5,@,Alabama,L,13,22,59.1,89,0,36,72,2.0,0,4,2,2,0,2
Louisiana,2016-10-01,5,@,New Mexico State,L,20,36,55.6,227,1,49,205,4.2,2,9,5,0,2,2
Louisiana Tech,2016-10-01,5,,Texas-El Paso,W,19,28,67.9,191,2,22,196,8.9,2,5,3,0,0,0
Louisiana-Monroe,2016-10-01,4,@,Auburn,L,19,33,57.6,139,1,32,112,3.5,0,4,1,1,1,2
Louisville,2016-10-01,5,@,Clemson,L,27,44,61.4,295,1,55,273,5.0,3,2,,2,1,3
LSU,2016-10-01,5,,Missouri,W,19,30,63.3,216,0,52,418,8.0,6,2,2,0,0,0
Marshall,2016-10-01,4,@,Pittsburgh,L,20,32,62.5,240,2,30,104,3.5,2,4,,0,1,1
Maryland,2016-10-01,4,,Purdue,W,9,17,52.9,96,3,46,400,8.7,4,11,6,1,1,2
Massachusetts,2016-10-01,5,,Tulane,L,16,30,53.3,181,2,24,131,5.5,1,6,1,1,1,2
Memphis,2016-10-01,4,@,Mississippi,L,31,47,66.0,355,0,31,119,3.8,4,2,1,1,3,4
Miami (FL),2016-10-01,4,@,Georgia Tech,W,13,19,68.4,241,1,27,114,4.2,2,8,4,0,0,0
Miami (OH),2016-10-01,5,,Ohio,L,18,34,52.9,205,1,32,33,1.0,0,11,4,2,2,4
Michigan,2016-10-01,5,,Wisconsin,W,20,32,62.5,219,1,44,130,3.0,1,2,2,0,1,1
Michigan State,2016-10-01,4,@,Indiana,L,21,35,60.0,263,3,41,175,4.3,0,2,,1,0,1
Middle Tennessee State,2016-10-01,5,@,North Texas,W,24,45,53.3,295,2,32,182,5.7,1,8,4,0,1,1
Minnesota,2016-10-01,4,@,Penn State,L,24,41,58.5,241,1,48,228,4.8,1,6,,0,1,1
Missouri,2016-10-01,5,@,Louisiana State,L,18,38,47.4,188,1,22,77,3.5,0,2,1,0,1,1
Navy,2016-10-01,4,@,Air Force,L,17,31,54.8,260,0,38,57,1.5,2,1,,1,2,3
Nebraska,2016-10-01,5,,Illinois,W,16,23,69.6,220,1,49,203,4.1,3,4,1,1,1,2
Nevada,2016-10-01,5,@,Hawaii,L,19,33,57.6,203,1,42,194,4.6,1,3,2,0,0,0
New Mexico,2016-10-01,4,,San Jose State,W,4,8,50.0,45,0,64,446,7.0,5,7,3,0,1,1
New Mexico State,2016-10-01,5,,Louisiana,W,31,49,63.3,354,2,42,145,3.5,1,6,1,0,2,2
North Carolina,2016-10-01,5,@,Florida State,W,31,38,81.6,405,3,32,133,4.2,2,4,2,1,0,1
North Carolina State,2016-10-01,4,,Wake Forest,W,24,37,64.9,327,3,39,200,5.1,1,4,4,0,0,0
North Texas,2016-10-01,5,,Middle Tennessee State,L,33,54,61.1,303,1,22,5,0.2,1,5,1,0,0,0
Northern Illinois,2016-10-01,5,@,Ball State,W,26,41,63.4,298,2,46,355,7.7,2,12,5,2,1,3
Northwestern,2016-10-01,5,@,Iowa,W,18,30,60.0,164,3,42,198,4.7,2,9,6,1,0,1
Notre Dame,2016-10-01,5,N,Syracuse,W,23,35,65.7,471,3,37,183,4.9,2,7,1,0,1,1
Ohio,2016-10-01,5,@,Miami (OH),W,7,18,38.9,56,0,49,141,2.9,1,8,7,0,1,1
Ohio State,2016-10-01,4,,Rutgers,W,25,36,69.4,259,4,53,410,7.7,4,7,3,0,1,1
Oklahoma,2016-10-01,4,@,Texas Christian,W,23,30,76.7,274,2,48,260,5.4,5,8,4,2,0,2
Oklahoma State,2016-10-01,5,,Texas,W,19,28,67.9,392,3,43,163,3.8,3,4,,0,0,0
Old Dominion,2016-10-01,5,@,Charlotte,W,17,29,58.6,274,3,40,207,5.2,4,8,3,1,1,2
Ole Miss,2016-10-01,5,,Memphis,W,30,44,68.2,361,1,44,263,6.0,4,7,2,0,1,1
Oregon,2016-10-01,5,@,Washington State,L,17,27,63.0,202,0,37,214,5.8,4,5,2,1,1,2
Oregon State,2016-10-01,4,@,Colorado,L,13,32,40.6,100,0,34,126,3.7,0,1,,0,2,2
Penn State,2016-10-01,5,,Minnesota,W,19,42,45.2,335,1,28,136,4.9,2,9,2,0,0,0
Pitt,2016-10-01,5,,Marshall,W,17,24,70.8,280,2,41,252,6.1,3,4,2,0,0,0
Purdue,2016-10-01,4,@,Maryland,L,22,53,41.5,195,1,27,10,0.4,0,5,4,0,1,1
Rice,2016-10-01,5,@,Southern Mississippi,L,16,20,80.0,166,2,45,180,4.0,2,7,2,0,0,0
Rutgers,2016-10-01,5,@,Ohio State,L,3,16,18.8,33,0,38,83,2.2,0,3,,0,0,0
San Diego State,2016-10-01,4,@,South Alabama,L,13,22,59.1,159,1,41,157,3.8,2,5,3,2,0,2
San Jose State,2016-10-01,5,@,New Mexico,L,16,30,53.3,314,3,26,129,5.0,3,3,1,0,1,1
SMU,2016-10-01,5,@,Temple,L,22,44,50.0,199,2,32,89,2.8,0,7,2,2,2,4
South Alabama,2016-10-01,5,,San Diego State,W,16,21,76.2,242,3,40,89,2.2,2,10,4,0,1,1
South Carolina,2016-10-01,5,,Texas A&M,L,22,35,62.9,217,0,35,161,4.6,1,5,1,1,1,2
South Florida,2016-10-01,5,@,Cincinnati,W,22,33,66.7,228,0,48,226,4.7,5,7,2,0,0,0
Southern Mississippi,2016-10-01,5,,Rice,W,25,36,69.4,591,4,34,111,3.3,1,12,7,2,1,3
Syracuse,2016-10-01,5,N,Notre Dame,L,31,51,60.8,363,2,37,126,3.4,3,4,2,0,0,0
Temple,2016-10-01,5,,Southern Methodist,W,7,18,38.9,124,1,45,244,5.4,4,6,4,1,2,3
Tennessee,2016-10-01,5,@,Georgia,W,16,26,61.5,230,3,38,127,3.3,1,8,3,2,1,3
Texas,2016-10-01,4,@,Oklahoma State,L,21,33,63.6,239,1,49,329,6.7,4,7,3,0,1,1
Texas A&M,2016-10-01,5,@,South Carolina,W,23,40,57.5,206,0,39,216,5.5,3,10,3,1,1,2
Texas Christian,2016-10-01,5,,Oklahoma,L,26,45,57.8,449,5,29,65,2.2,1,6,2,0,1,1
Texas State,2016-10-01,4,,Incarnate Word,W,32,42,76.2,540,6,50,130,2.6,1,2,,0,0,0
Troy,2016-10-01,5,@,Idaho,W,31,42,73.8,373,3,33,157,4.8,1,7,4,1,2,3
Tulane,2016-10-01,5,@,Massachusetts,W,11,21,52.4,168,1,64,280,4.4,3,2,2,1,0,1
UCF,2016-10-01,5,@,East Carolina,W,11,29,37.9,156,0,44,217,4.9,4,10,5,0,2,2
UCLA,2016-10-01,5,,Arizona,W,20,37,54.1,350,3,32,125,3.9,3,5,2,0,0,0
UNLV,2016-10-01,5,,Fresno State,W,8,16,50.0,129,1,54,364,6.7,5,4,2,0,0,0
USC,2016-10-01,5,,Arizona State,W,24,36,66.7,366,3,33,157,4.8,2,6,3,0,0,0
Utah,2016-10-01,5,@,California,L,24,43,55.8,266,0,54,176,3.3,3,4,1,0,0,0
Utah State,2016-10-01,5,@,Boise State,L,29,51,56.9,287,1,25,71,2.8,0,5,1,0,0,0
UTEP,2016-10-01,5,@,Louisiana Tech,L,25,34,73.5,293,1,35,122,3.5,0,2,,1,1,2
Vanderbilt,2016-10-01,5,,Florida,L,12,32,37.5,118,0,37,147,4.0,0,6,2,1,2,3
Virginia,2016-10-01,5,@,Duke,W,23,41,56.1,336,3,36,80,2.2,1,4,2,0,1,1
Wake Forest,2016-10-01,5,@,North Carolina State,L,27,46,58.7,283,1,21,69,3.3,0,4,1,0,0,0
Washington State,2016-10-01,4,,Oregon,W,36,48,75.0,371,1,40,280,7.0,6,8,2,0,0,0
West Virginia,2016-10-01,4,,Kansas State,W,24,41,58.5,298,1,35,124,3.5,1,8,3,1,1,2
Western Kentucky,2016-10-01,5,,Houston Baptist,W,16,22,72.7,283,3,30,252,8.4,3,5,4,0,0,0
Western Michigan,2016-10-01,5,@,Central Michigan,W,15,21,71.4,170,3,41,254,6.2,3,9,8,0,0,0
Wisconsin,2016-10-01,5,@,Michigan,L,9,25,36.0,88,1,28,71,2.5,0,6,4,0,3,3
Wyoming,2016-10-01,5,@,Colorado State,W,7,18,38.9,165,1,49,269,5.5,3,5,3,0,0,0
Arkansas State,2016-10-05,5,,Georgia Southern,W,16,28,57.1,182,2,49,343,7.0,1,13,1,3,2,5
Georgia Southern,2016-10-05,5,@,Arkansas State,L,14,23,60.9,203,1,45,162,3.6,1,7,,0,0,0
Louisiana Tech,2016-10-06,6,,Western Kentucky,W,33,45,73.3,454,5,27,107,4.0,2,5,2,0,0,0
Memphis,2016-10-06,5,,Temple,W,17,26,65.4,174,0,31,151,4.9,2,2,2,1,0,1
Temple,2016-10-06,6,@,Memphis,L,36,59,61.0,445,2,29,86,3.0,1,10,4,1,2,3
Western Kentucky,2016-10-06,6,@,Louisiana Tech,L,36,50,72.0,340,5,23,87,3.8,1,3,,2,0,2
Boise State,2016-10-07,5,@,New Mexico,W,21,30,70.0,391,5,29,65,2.2,2,10,3,0,0,0
Boston College,2016-10-07,6,,Clemson,L,12,24,50.0,96,1,48,155,3.2,0,2,2,1,1,2
Clemson,2016-10-07,6,@,Boston College,W,16,26,61.5,278,4,35,230,6.6,3,8,3,1,0,1
Massachusetts,2016-10-07,6,@,Old Dominion,L,16,33,48.5,237,1,32,169,5.3,1,7,3,0,2,2
New Mexico,2016-10-07,5,,Boise State,L,4,15,26.7,39,1,61,382,6.3,2,3,,0,1,1
Old Dominion,2016-10-07,6,,Massachusetts,W,20,35,57.1,248,1,47,274,5.8,3,5,4,0,0,0
SMU,2016-10-07,6,@,Tulsa,L,29,52,55.8,258,2,35,154,4.4,2,6,4,0,0,0
Tulsa,2016-10-07,5,,Southern Methodist,W,25,44,56.8,247,1,59,315,5.3,4,5,,0,1,1
Air Force,2016-10-08,5,@,Wyoming,L,6,19,31.6,188,2,39,149,3.8,1,5,3,1,3,4
Akron,2016-10-08,6,,Miami (OH),W,15,29,51.7,174,3,35,125,3.6,2,5,2,0,0,0
Alabama,2016-10-08,6,@,Arkansas,W,13,17,76.5,253,2,34,264,7.8,3,9,6,2,1,3
Arizona,2016-10-08,6,@,Utah,L,16,29,55.2,348,2,37,127,3.4,1,4,2,0,3,3
Arizona State,2016-10-08,6,,UCLA,W,20,39,51.3,196,1,34,79,2.3,1,9,5,1,2,3
Arkansas,2016-10-08,6,,Alabama,L,25,48,52.1,400,3,36,73,2.0,1,3,,2,3,5
Army,2016-10-08,5,@,Duke,L,3,11,27.3,49,0,43,165,3.8,1,10,5,2,1,3
Auburn,2016-10-08,6,@,Mississippi State,W,14,18,77.8,204,1,56,228,4.1,3,6,3,1,1,2
Ball State,2016-10-08,6,@,Central Michigan,L,18,30,60.0,174,1,39,166,4.3,2,11,5,0,2,2
Bowling Green State,2016-10-08,6,@,Ohio,L,22,38,57.9,253,2,39,114,2.9,1,5,,1,3,4
Brigham Young,2016-10-08,6,@,Michigan State,W,18,29,62.1,138,1,49,260,5.3,3,5,3,0,0,0
Buffalo,2016-10-08,5,,Kent State,L,21,40,52.5,256,1,37,116,3.1,1,5,2,1,0,1
California,2016-10-08,6,@,Oregon State,L,24,45,53.3,124,0,44,317,7.2,4,1,,0,1,1
Central Michigan,2016-10-08,6,,Ball State,W,21,32,65.6,269,1,37,153,4.1,1,3,2,0,0,0
Cincinnati,2016-10-08,6,@,Connecticut,L,29,56,51.8,315,0,22,2,0.1,0,6,2,0,1,1
Colorado,2016-10-08,6,@,Southern California,L,28,44,63.6,275,2,29,96,3.3,0,1,1,0,1,1
Colorado State,2016-10-08,6,,Utah State,W,17,32,53.1,240,2,47,224,4.8,2,7,4,0,0,0
Connecticut,2016-10-08,6,,Cincinnati,W,18,33,54.5,224,2,41,188,4.6,0,6,3,0,2,2
Duke,2016-10-08,6,,Army,W,8,16,50.0,44,2,50,145,2.9,0,8,,1,0,1
East Carolina,2016-10-08,6,@,South Florida,L,33,56,58.9,308,1,35,168,4.8,1,2,,0,1,1
Eastern Michigan,2016-10-08,6,,Toledo,L,20,38,52.6,255,1,20,62,3.1,1,7,1,1,1,2
Florida International,2016-10-08,6,@,Texas-El Paso,W,21,31,67.7,241,3,44,258,5.9,1,5,1,0,1,1
Florida State,2016-10-08,6,@,Miami (FL),W,21,33,63.6,240,2,43,167,3.9,0,7,3,0,1,1
Fresno State,2016-10-08,6,@,Nevada,L,16,28,57.1,197,1,48,255,5.3,1,2,1,2,0,2
Georgia State,2016-10-08,5,,Texas State,W,27,40,67.5,340,2,37,196,5.3,3,6,4,3,0,3
Georgia Tech,2016-10-08,6,@,Pittsburgh,L,7,10,70.0,130,1,45,241,5.4,2,5,1,0,0,0
Hawaii,2016-10-08,6,@,San Jose State,W,24,33,72.7,287,2,31,144,4.6,2,11,6,2,0,2
Houston,2016-10-08,6,@,Navy,L,32,50,64.0,359,3,33,125,3.8,2,6,,1,2,3
Idaho,2016-10-08,6,@,Louisiana-Monroe,W,21,38,55.3,211,1,33,203,6.2,1,5,,0,0,0
Illinois,2016-10-08,5,,Purdue,L,14,23,60.9,184,0,46,315,6.8,3,4,,1,0,1
Indiana,2016-10-08,5,@,Ohio State,L,14,28,50.0,182,2,40,99,2.5,0,2,1,1,1,2
Iowa,2016-10-08,6,@,Minnesota,W,17,31,54.8,142,0,41,179,4.4,1,5,2,1,2,3
Iowa State,2016-10-08,6,@,Oklahoma State,L,25,44,56.8,283,3,42,165,3.9,1,6,1,1,2,3
Kansas,2016-10-08,5,,Texas Christian,L,31,45,68.9,348,0,44,122,2.8,2,9,4,1,3,4
Kansas State,2016-10-08,5,,Texas Tech,W,10,20,50.0,104,1,39,231,5.9,2,5,3,0,0,0
Kent State,2016-10-08,6,@,Buffalo,W,7,13,53.8,89,0,45,341,7.6,4,3,1,0,0,0
Kentucky,2016-10-08,6,,Vanderbilt,W,10,24,41.7,49,0,52,258,5.0,2,6,4,1,1,2
Louisiana-Monroe,2016-10-08,5,,Idaho,L,20,38,52.6,302,2,38,221,5.8,2,6,,1,3,4
Marshall,2016-10-08,5,@,North Texas,L,20,42,47.6,258,1,28,13,0.5,1,12,6,0,1,1
Maryland,2016-10-08,5,@,Penn State,L,10,16,62.5,100,1,38,170,4.5,1,6,3,1,1,2
Miami (FL),2016-10-08,5,,Florida State,L,19,32,59.4,214,2,28,62,2.2,0,6,2,0,1,1
