School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Pass Int,Turnovers
Ball State,2008-08-28,1,,Northeastern,W,22,26,84.6,297,3,31,190,6.1,3,10,2,0,0,0
Baylor,2008-08-28,1,,Wake Forest,L,15,30,50.0,156,0,34,94,2.8,2,7,1,3,2,5
Buffalo,2008-08-28,1,,Texas-El Paso,W,10,16,62.5,221,4,50,263,5.3,2,6,2,2,0,2
Central Michigan,2008-08-28,1,,Eastern Illinois,W,21,31,67.7,217,3,44,172,3.9,1,6,4,0,0,0
Cincinnati,2008-08-28,1,,Eastern Kentucky,W,26,35,74.3,348,4,44,209,4.8,2,9,3,1,0,1
Connecticut,2008-08-28,1,,Hofstra,W,18,30,60.0,233,0,43,218,5.1,5,11,7,2,3,5
Eastern Michigan,2008-08-28,1,,Indiana State,W,21,29,72.4,224,1,53,413,7.8,6,12,3,1,0,1
Georgia Tech,2008-08-28,1,,Jacksonville State,W,8,15,53.3,135,0,46,349,7.6,6,7,4,2,0,2
Iowa State,2008-08-28,1,,South Dakota State,W,13,19,68.4,159,2,42,229,5.5,2,2,1,3,0,3
Miami (FL),2008-08-28,1,,Charleston Southern,W,17,27,63.0,192,1,38,224,5.9,5,9,3,1,0,1
Miami (OH),2008-08-28,1,,Vanderbilt,L,19,42,45.2,244,1,25,96,3.8,0,10,2,0,3,3
Middle Tennessee State,2008-08-28,1,,Troy,L,20,34,58.8,200,1,50,84,1.7,1,5,2,1,1,2
North Carolina State,2008-08-28,1,@,South Carolina,L,5,20,25.0,49,0,37,89,2.4,0,7,5,2,2,4
Oregon State,2008-08-28,1,@,Stanford,L,34,54,63.0,404,3,28,86,3.1,0,7,2,1,2,3
South Carolina,2008-08-28,1,,North Carolina State,W,17,27,63.0,198,2,42,171,4.1,2,4,2,0,4,4
Stanford,2008-08-28,1,,Oregon State,W,10,17,58.8,91,1,48,210,4.4,2,3,2,0,0,0
Troy,2008-08-28,1,@,Middle Tennessee State,W,17,28,60.7,136,1,36,164,4.6,3,14,5,3,1,4
UTEP,2008-08-28,1,@,Buffalo,L,20,37,54.1,199,1,26,67,2.6,1,2,2,0,3,3
Vanderbilt,2008-08-28,1,@,Miami (OH),W,9,16,56.3,91,1,50,269,5.4,3,6,3,2,0,2
Wake Forest,2008-08-28,1,@,Baylor,W,27,36,75.0,220,3,44,156,3.5,2,7,2,2,0,2
Army,2008-08-29,1,,Temple,L,6,15,40.0,74,0,58,210,3.6,1,3,0,2,1,3
Rice,2008-08-29,1,,Southern Methodist,W,24,37,64.9,258,6,44,208,4.7,1,8,2,2,0,2
SMU,2008-08-29,1,@,Rice,L,30,49,61.2,326,4,14,11,0.8,0,7,2,2,3,5
Temple,2008-08-29,1,@,Army,W,16,23,69.6,166,2,30,84,2.8,1,1,0,1,1,2
Air Force,2008-08-30,1,,Southern Utah,W,8,12,66.7,75,1,76,433,5.7,3,8,4,2,0,2
Akron,2008-08-30,1,@,Wisconsin,L,22,37,59.5,227,2,22,70,3.2,0,2,0,1,0,1
Alabama,2008-08-30,1,N,Clemson,W,22,30,73.3,180,2,50,239,4.8,1,6,3,0,0,0
Arizona,2008-08-30,1,,Idaho,W,23,31,74.2,256,4,49,265,5.4,5,6,0,0,0,0
Arizona State,2008-08-30,1,,Northern Arizona,W,23,36,63.9,387,1,23,94,4.1,2,9,2,1,0,1
Arkansas,2008-08-30,1,,Western Illinois,W,25,41,61.0,318,2,21,76,3.6,2,8,1,2,1,3
Arkansas State,2008-08-30,1,@,Texas A&M,W,15,28,53.6,160,1,45,255,5.7,0,9,4,1,0,1
Auburn,2008-08-30,1,,Louisiana-Monroe,W,13,27,48.1,85,1,46,321,7.0,1,9,2,0,1,1
Boise State,2008-08-30,1,,Idaho State,W,19,29,65.5,352,3,37,230,6.2,4,6,4,2,0,2
Boston College,2008-08-30,1,@,Kent State,W,12,18,66.7,106,0,47,230,4.9,3,6,3,0,0,0
Bowling Green State,2008-08-30,1,@,Pittsburgh,W,26,42,61.9,190,2,28,64,2.3,2,7,3,0,1,1
Brigham Young,2008-08-30,1,,Northern Iowa,W,34,41,82.9,486,2,27,82,3.0,4,12,1,4,0,4
California,2008-08-30,1,,Michigan State,W,20,30,66.7,264,2,36,203,5.6,2,3,0,0,2,2
Clemson,2008-08-30,1,N,Alabama,L,20,34,58.8,188,0,14,0,0.0,0,2,0,1,1,2
Duke,2008-08-30,1,,James Madison,W,18,31,58.1,146,2,48,218,4.5,2,7,2,2,0,2
East Carolina,2008-08-30,1,N,Virginia Tech,W,19,25,76.0,211,1,41,158,3.9,2,5,2,2,0,2
Florida,2008-08-30,1,,Hawaii,W,10,17,58.8,151,1,38,255,6.7,4,6,4,0,0,0
Florida Atlantic,2008-08-30,1,@,Texas,L,17,39,43.6,255,1,23,37,1.6,0,4,0,1,1,2
Florida International,2008-08-30,1,@,Kansas,L,10,29,34.5,73,0,26,66,2.5,0,9,1,1,2,3
Georgia,2008-08-30,1,,Georgia Southern,W,17,27,63.0,323,3,32,212,6.6,3,8,3,1,0,1
Hawaii,2008-08-30,1,@,Florida,L,21,39,53.8,181,1,24,60,2.5,0,3,1,2,4,6
Houston,2008-08-30,1,,Southern,W,39,49,79.6,467,6,33,148,4.5,1,7,3,1,0,1
Idaho,2008-08-30,1,@,Arizona,L,10,27,37.0,48,0,25,64,2.6,0,1,0,1,4,5
Illinois,2008-08-30,1,N,Missouri,L,26,42,61.9,451,5,35,81,2.3,0,7,1,0,2,2
Indiana,2008-08-30,1,,Western Kentucky,W,18,30,60.0,153,2,41,297,7.2,2,8,3,0,1,1
Iowa,2008-08-30,1,,Maine,W,18,29,62.1,212,1,44,245,5.6,4,7,1,0,1,1
Kansas,2008-08-30,1,,Florida International,W,37,52,71.2,256,3,36,128,3.6,1,7,4,1,1,2
Kansas State,2008-08-30,1,,North Texas,W,27,42,64.3,306,3,36,165,4.6,3,4,2,1,1,2
Kent State,2008-08-30,1,,Boston College,L,13,21,61.9,134,0,36,126,3.5,0,2,0,1,2,3
Louisiana,2008-08-30,1,@,Southern Mississippi,L,11,24,45.8,131,1,43,263,6.1,2,6,1,2,2,4
Louisiana Tech,2008-08-30,1,,Mississippi State,W,14,41,34.1,175,1,32,94,2.9,1,8,4,1,2,3
Louisiana-Monroe,2008-08-30,1,@,Auburn,L,20,38,52.6,136,0,30,84,2.8,0,3,1,2,0,2
LSU,2008-08-30,1,,Appalachian State,W,13,24,54.2,193,3,40,266,6.7,2,6,3,0,1,1
Marshall,2008-08-30,1,,Illinois State,W,11,22,50.0,161,2,32,229,7.2,3,5,2,1,1,2
Maryland,2008-08-30,1,,Delaware,W,11,21,52.4,126,0,45,271,6.0,2,2,0,0,2,2
Memphis,2008-08-30,1,@,Mississippi,L,24,44,54.5,265,2,40,188,4.7,1,6,1,0,2,2
Michigan,2008-08-30,1,,Utah,L,19,38,50.0,167,2,25,36,1.4,1,11,6,2,1,3
Michigan State,2008-08-30,1,@,California,L,20,48,41.7,321,1,31,81,2.6,2,7,1,0,1,1
Minnesota,2008-08-30,1,,Northern Illinois,W,24,37,64.9,298,2,31,127,4.1,2,8,2,1,0,1
Mississippi State,2008-08-30,1,@,Louisiana Tech,L,22,40,55.0,257,1,31,91,2.9,1,5,0,2,3,5
Missouri,2008-08-30,1,N,Illinois,W,26,45,57.8,323,3,37,226,6.1,2,12,5,1,1,2
Navy,2008-08-30,1,,Towson,W,2,5,40.0,44,1,58,558,9.6,4,5,3,1,0,1
Nebraska,2008-08-30,1,,Western Michigan,W,20,36,55.6,345,4,31,138,4.5,1,7,4,0,2,2
Nevada,2008-08-30,1,,Grambling State,W,18,32,56.3,203,0,53,426,8.0,7,17,6,2,1,3
New Mexico,2008-08-30,1,,Texas Christian,L,7,24,29.2,130,0,32,56,1.8,0,6,2,1,2,3
North Carolina,2008-08-30,1,,McNeese State,W,15,26,57.7,221,2,29,163,5.6,2,7,0,1,1,2
North Texas,2008-08-30,1,@,Kansas State,L,16,29,55.2,100,1,26,105,4.0,0,2,0,0,0,0
Northern Illinois,2008-08-30,1,@,Minnesota,L,17,30,56.7,326,2,31,72,2.3,1,6,2,1,0,1
Northwestern,2008-08-30,1,,Syracuse,W,23,35,65.7,215,3,42,269,6.4,0,5,2,1,1,2
Ohio,2008-08-30,1,@,Wyoming,L,29,41,70.7,248,1,21,39,1.9,0,2,0,1,1,2
Ohio State,2008-08-30,1,,Youngstown State,W,21,31,67.7,244,2,43,251,5.8,2,7,2,1,0,1
Oklahoma,2008-08-30,1,,Chattanooga,W,31,38,81.6,305,3,46,182,4.0,5,12,5,0,1,1
Oklahoma State,2008-08-30,1,@,Washington State,W,20,27,74.1,193,0,42,174,4.1,3,7,2,0,1,1
Ole Miss,2008-08-30,1,,Memphis,W,11,23,47.8,222,2,36,216,6.0,3,4,1,0,0,0
Oregon,2008-08-30,1,,Washington,W,16,28,57.1,240,3,44,256,5.8,3,6,3,0,1,1
Penn State,2008-08-30,1,,Coastal Carolina,W,19,26,73.1,260,1,43,334,7.8,7,4,4,0,0,0
Pitt,2008-08-30,1,,Bowling Green State,L,29,51,56.9,264,1,35,129,3.7,1,8,2,3,1,4
San Diego State,2008-08-30,1,,Cal Poly,L,27,45,60.0,352,3,23,27,1.2,1,5,3,3,2,5
San Jose State,2008-08-30,1,,California-Davis,W,26,34,76.5,231,2,24,42,1.8,0,4,1,1,2,3
South Florida,2008-08-30,1,,Tennessee-Martin,W,14,19,73.7,220,2,52,300,5.8,5,8,1,3,1,4
Southern Mississippi,2008-08-30,1,,Louisiana,W,14,22,63.6,206,2,61,427,7.0,5,1,0,0,2,2
Syracuse,2008-08-30,1,@,Northwestern,L,14,28,50.0,103,0,30,122,4.1,1,5,1,0,1,1
Texas,2008-08-30,1,,Florida Atlantic,W,28,35,80.0,271,4,46,232,5.0,3,7,0,0,0,0
Texas A&M,2008-08-30,1,,Arkansas State,L,19,27,70.4,170,0,36,133,3.7,2,4,2,2,2,4
Texas Christian,2008-08-30,1,@,New Mexico,W,16,26,61.5,120,0,48,171,3.6,3,10,5,0,1,1
Texas Tech,2008-08-30,1,,Eastern Washington,W,43,58,74.1,536,2,25,103,4.1,5,6,3,1,1,2
Tulsa,2008-08-30,1,@,Alabama-Birmingham,W,21,25,84.0,361,3,38,240,6.3,3,2,1,0,0,0
UAB,2008-08-30,1,,Tulsa,L,17,31,54.8,169,2,36,245,6.8,0,5,1,2,1,3
UCF,2008-08-30,1,,South Carolina State,W,9,16,56.3,90,0,59,228,3.9,2,4,1,1,0,1
UNLV,2008-08-30,1,,Utah State,W,19,32,59.4,221,3,30,132,4.4,0,2,1,0,0,0
USC,2008-08-30,1,@,Virginia,W,28,38,73.7,350,4,40,208,5.2,3,7,2,1,1,2
Utah,2008-08-30,1,@,Michigan,W,21,34,61.8,305,1,43,36,0.8,1,10,3,2,1,3
Utah State,2008-08-30,1,@,Nevada-Las Vegas,L,18,33,54.5,203,1,37,111,3.0,1,6,1,1,1,2
Virginia,2008-08-30,1,,Southern California,L,18,35,51.4,155,0,21,32,1.5,1,1,0,3,1,4
Virginia Tech,2008-08-30,1,N,East Carolina,L,14,23,60.9,139,0,35,104,3.0,2,2,1,0,2,2
Washington,2008-08-30,1,@,Oregon,L,17,35,48.6,147,0,43,95,2.2,1,3,0,1,0,1
Washington State,2008-08-30,1,,Oklahoma State,L,12,25,48.0,82,1,34,114,3.4,1,6,1,0,1,1
West Virginia,2008-08-30,1,,Villanova,W,26,34,76.5,205,5,22,149,6.8,0,7,6,0,1,1
Western Kentucky,2008-08-30,1,@,Indiana,L,19,31,61.3,219,1,31,63,2.0,0,9,2,1,0,1
Western Michigan,2008-08-30,1,@,Nebraska,L,30,49,61.2,342,2,25,8,0.3,1,7,0,1,1,2
Wisconsin,2008-08-30,1,,Akron,W,7,10,70.0,75,1,63,404,6.4,4,4,2,2,1,3
Wyoming,2008-08-30,1,,Ohio,W,14,22,63.6,111,2,40,160,4.0,1,2,1,0,2,2
Colorado,2008-08-31,1,N,Colorado State,W,20,29,69.0,214,1,36,153,4.3,3,11,4,1,1,2
Colorado State,2008-08-31,1,N,Colorado,L,27,38,71.1,187,1,26,71,2.7,0,1,0,0,2,2
Kentucky,2008-08-31,1,@,Louisville,W,16,31,51.6,147,0,33,63,1.9,1,7,2,1,0,1
Louisville,2008-08-31,1,,Kentucky,L,20,43,46.5,152,0,29,53,1.8,0,4,1,2,3,5
Fresno State,2008-09-01,1,@,Rutgers,W,11,24,45.8,216,0,39,206,5.3,3,7,1,0,0,0
Rutgers,2008-09-01,1,,Fresno State,L,20,39,51.3,263,0,34,106,3.1,1,5,2,0,2,2
Tennessee,2008-09-01,1,@,UCLA,L,19,42,45.2,189,0,34,177,5.2,2,9,1,1,1,2
UCLA,2008-09-01,1,,Tennessee,W,25,43,58.1,259,1,31,29,0.9,1,6,1,0,4,4
South Carolina,2008-09-04,2,@,Vanderbilt,L,23,39,59.0,233,2,29,92,3.2,0,5,2,1,2,3
Vanderbilt,2008-09-04,2,,South Carolina,W,8,13,61.5,90,1,41,135,3.3,2,8,4,1,0,1
Ball State,2008-09-05,2,,Navy,W,21,28,75.0,326,4,29,162,5.6,1,5,2,0,2,2
Navy,2008-09-05,2,@,Ball State,L,6,11,54.5,67,0,59,346,5.9,2,1,0,0,1,1
Air Force,2008-09-06,2,@,Wyoming,W,3,4,75.0,15,0,63,261,4.1,2,5,4,0,1,1
Akron,2008-09-06,2,@,Syracuse,W,20,26,76.9,260,3,46,218,4.7,3,3,2,0,1,1
Alabama,2008-09-06,2,,Tulane,W,11,23,47.8,73,0,26,99,3.8,1,7,1,1,0,1
Arizona,2008-09-06,2,,Toledo,W,26,34,76.5,299,2,33,153,4.6,3,7,1,1,0,1
Arizona State,2008-09-06,2,,Stanford,W,27,36,75.0,345,3,36,127,3.5,2,4,2,1,1,2
Arkansas,2008-09-06,2,,Louisiana-Monroe,W,22,34,64.7,323,2,36,183,5.1,2,4,2,0,0,0
Arkansas State,2008-09-06,2,,Texas Southern,W,9,10,90.0,229,4,44,441,10.0,5,12,2,1,0,1
Army,2008-09-06,2,,New Hampshire,L,7,11,63.6,95,1,55,169,3.1,0,4,2,4,0,4
Auburn,2008-09-06,2,,Southern Mississippi,W,21,34,61.8,248,0,41,132,3.2,3,7,3,3,1,4
