School,Date,G,Loc,Opponent,WL,Total TD opp,Points Against
California,2003-08-23,1,@,Kansas State,L,5,42
Kansas State,2003-08-23,1,,California,W,4,28
San Jose State,2003-08-23,1,,Grambling State,W,0,0
Akron,2003-08-28,1,,Kent State,L,5,41
Ball State,2003-08-28,1,,Indiana State,W,1,7
Bowling Green State,2003-08-28,1,,Eastern Kentucky,W,2,13
Brigham Young,2003-08-28,1,,Georgia Tech,W,1,13
Eastern Michigan,2003-08-28,1,,East Tennessee State,W,3,21
Georgia Tech,2003-08-28,1,@,Brigham Young,L,3,24
Kent State,2003-08-28,1,@,Akron,W,5,38
Louisiana Tech,2003-08-28,1,,Miami (FL),L,6,48
Maryland,2003-08-28,1,@,Northern Illinois,L,2,20
Miami (FL),2003-08-28,1,@,Louisiana Tech,W,0,9
Middle Tennessee State,2003-08-28,1,,Florida Atlantic,L,3,20
Northern Illinois,2003-08-28,1,,Maryland,W,1,13
Ohio,2003-08-28,1,,Southeast Missouri State,W,0,3
Oregon State,2003-08-28,1,,Sacramento State,W,1,7
Utah,2003-08-28,1,,Utah State,W,2,20
Utah State,2003-08-28,1,@,Utah,L,5,40
Toledo,2003-08-29,1,@,Nevada-Las Vegas,L,4,28
UNLV,2003-08-29,1,,Toledo,W,3,18
Air Force,2003-08-30,1,,Wofford,W,0,0
Alabama,2003-08-30,1,,South Florida,W,2,17
Arizona,2003-08-30,1,,Texas-El Paso,W,1,7
Arkansas State,2003-08-30,1,@,Texas A&M,L,2,26
Auburn,2003-08-30,1,,Southern California,L,2,23
Baylor,2003-08-30,1,,Alabama-Birmingham,L,3,24
Boston College,2003-08-30,1,,Wake Forest,L,5,32
Buffalo,2003-08-30,1,@,Rutgers,L,3,24
California,2003-08-30,2,,Southern Mississippi,W,0,2
Central Michigan,2003-08-30,1,@,Michigan,L,6,45
Clemson,2003-08-30,1,,Georgia,L,3,30
Colorado,2003-08-30,1,N,Colorado State,W,5,35
Colorado State,2003-08-30,1,N,Colorado,L,6,42
Connecticut,2003-08-30,1,,Indiana,W,1,10
Duke,2003-08-30,1,@,Virginia,L,3,27
Florida,2003-08-30,1,,San Jose State,W,0,3
Florida State,2003-08-30,1,@,North Carolina,W,0,0
Fresno State,2003-08-30,1,@,Tennessee,L,3,24
Georgia,2003-08-30,1,@,Clemson,W,0,0
Hawaii,2003-08-30,1,,Appalachian State,W,2,17
Houston,2003-08-30,1,,Rice,W,2,14
Idaho,2003-08-30,1,N,Washington State,L,2,25
Illinois,2003-08-30,1,N,Missouri,L,3,22
Indiana,2003-08-30,1,@,Connecticut,L,4,34
Iowa,2003-08-30,1,,Miami (OH),W,0,3
Iowa State,2003-08-30,1,,Northern Iowa,W,1,10
Kansas,2003-08-30,1,,Northwestern,L,4,28
Kansas State,2003-08-30,2,,Troy,W,0,5
Louisiana,2003-08-30,1,@,South Carolina,L,2,14
Louisiana-Monroe,2003-08-30,1,@,Louisiana State,L,7,49
LSU,2003-08-30,1,,Louisiana-Monroe,W,1,7
Marshall,2003-08-30,1,,Hofstra,W,3,21
Memphis,2003-08-30,1,,Tennessee Tech,W,1,10
Miami (OH),2003-08-30,1,@,Iowa,L,3,21
Michigan,2003-08-30,1,,Central Michigan,W,1,7
Michigan State,2003-08-30,1,,Western Michigan,W,3,21
Minnesota,2003-08-30,1,,Tulsa,W,1,10
Mississippi State,2003-08-30,1,,Oregon,L,6,42
Missouri,2003-08-30,1,N,Illinois,W,1,15
Navy,2003-08-30,1,,Virginia Military Institute,W,1,10
Nebraska,2003-08-30,1,,Oklahoma State,W,1,7
Nevada,2003-08-30,1,,Southern Utah,W,3,23
New Mexico,2003-08-30,1,,Texas State,W,1,8
