School,Date,G,Loc,Opponent,WL,Total TD opp,Points Against
Georgia State,2014-08-27,1,,Abilene Christian,W,4,37
Akron,2014-08-28,1,,Howard,W,0,0
Arizona State,2014-08-28,1,,Weber State,W,2,14
Boise State,2014-08-28,1,N,Mississippi,L,5,35
Central Michigan,2014-08-28,1,,Chattanooga,W,2,16
Louisiana-Monroe,2014-08-28,1,,Wake Forest,W,1,10
Minnesota,2014-08-28,1,,Eastern Illinois,W,3,20
New Mexico State,2014-08-28,1,,Cal Poly,W,1,10
Northern Illinois,2014-08-28,1,,Presbyterian,W,0,3
Ole Miss,2014-08-28,1,N,Boise State,W,1,13
Rutgers,2014-08-28,1,N,Washington State,W,5,38
San Jose State,2014-08-28,1,,North Dakota,W,1,10
South Carolina,2014-08-28,1,,Texas A&M,L,7,52
Temple,2014-08-28,1,@,Vanderbilt,W,1,7
Texas A&M,2014-08-28,1,@,South Carolina,W,4,28
Tulane,2014-08-28,1,@,Tulsa,L,4,38
Tulsa,2014-08-28,1,,Tulane,W,4,31
Utah,2014-08-28,1,,Idaho State,W,2,14
Vanderbilt,2014-08-28,1,,Temple,L,4,37
Wake Forest,2014-08-28,1,@,Louisiana-Monroe,L,2,17
Washington State,2014-08-28,1,N,Rutgers,L,5,41
Arizona,2014-08-29,1,,Nevada-Las Vegas,W,1,13
Bowling Green State,2014-08-29,1,@,Western Kentucky,L,8,59
Brigham Young,2014-08-29,1,@,Connecticut,W,1,10
Colorado,2014-08-29,1,N,Colorado State,L,4,31
Colorado State,2014-08-29,1,N,Colorado,W,2,17
Connecticut,2014-08-29,1,,Brigham Young,L,5,35
Houston,2014-08-29,1,,Texas-San Antonio,L,3,27
Michigan State,2014-08-29,1,,Jacksonville State,W,1,7
Syracuse,2014-08-29,1,,Villanova,W,3,26
UNLV,2014-08-29,1,@,Arizona,L,7,58
UTSA,2014-08-29,1,@,Houston,W,1,7
Western Kentucky,2014-08-29,1,,Bowling Green State,W,4,31
Air Force,2014-08-30,1,,Nicholls State,W,2,16
Alabama,2014-08-30,1,N,West Virginia,W,2,23
Appalachian State,2014-08-30,1,@,Michigan,L,7,52
Arkansas,2014-08-30,1,@,Auburn,L,6,45
Arkansas State,2014-08-30,1,,Montana State,W,1,10
Auburn,2014-08-30,1,,Arkansas,W,3,21
