School,Date,G,Loc,Opponent,WL,Total TD,Points For,Points Difference,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp
Miami (OH),2004-08-28,1,,Indiana State,W,7,49,49,18,33,54.5,160,0,31,44,1.4,0,2,1,3
USC,2004-08-28,1,N,Virginia Tech,W,3,24,11,14,29,48.3,153,1,34,141,4.1,0,1,1,2
Virginia Tech,2004-08-28,1,N,Southern California,L,1,13,-11,19,29,65.5,272,3,29,101,3.5,0,0,0,0
Arizona State,2004-09-02,1,,Texas-El Paso,W,5,41,32,21,44,47.7,196,0,31,87,2.8,1,1,4,5
Ball State,2004-09-02,1,,Boston College,L,0,11,-8,12,23,52.2,135,1,43,205,4.8,1,1,1,2
Boston College,2004-09-02,1,@,Ball State,W,3,19,8,19,33,57.6,147,0,33,64,1.9,0,0,0,0
Buffalo,2004-09-02,1,@,Eastern Michigan,L,5,34,-3,11,20,55.0,91,2,52,248,4.8,1,4,0,4
Eastern Michigan,2004-09-02,1,,Buffalo,W,4,37,3,19,44,43.2,174,1,48,225,4.7,3,1,2,3
Northwestern,2004-09-02,1,@,Texas Christian,L,6,45,-3,20,38,52.6,368,4,36,157,4.4,2,1,1,2
Texas A&M,2004-09-02,1,@,Utah,L,3,21,-20,22,31,71.0,370,3,45,212,4.7,3,0,0,0
Texas Christian,2004-09-02,1,,Northwestern,W,6,48,3,39,62,62.9,513,4,38,124,3.3,2,0,1,1
Utah,2004-09-02,1,,Texas A&M,W,6,41,20,20,43,46.5,270,0,31,167,5.4,3,0,0,0
UTEP,2004-09-02,1,@,Arizona State,L,1,9,-32,23,44,52.3,356,4,42,131,3.1,0,0,1,1
Western Michigan,2004-09-02,1,,Tennessee-Martin,W,6,42,42,9,25,36.0,136,0,37,86,2.3,0,1,1,2
New Mexico,2004-09-03,1,,Washington State,L,2,17,-4,24,38,63.2,240,3,31,31,1.0,0,1,2,3
Washington State,2004-09-03,1,@,New Mexico,W,3,21,4,16,31,51.6,229,0,43,186,4.3,2,1,3,4
Air Force,2004-09-04,1,,California,L,2,14,-42,12,18,66.7,231,1,44,342,7.8,7,0,0,0
Akron,2004-09-04,1,@,Penn State,L,1,10,-38,16,23,69.6,193,3,41,352,8.6,4,0,0,0
Alabama,2004-09-04,1,,Utah State,W,6,48,31,17,34,50.0,205,2,25,61,2.4,0,0,2,2
Arizona,2004-09-04,1,,Northern Arizona,W,3,21,18,20,37,54.1,176,0,30,104,3.5,0,1,3,4
Arkansas,2004-09-04,1,,New Mexico State,W,9,63,50,17,26,65.4,161,2,29,55,1.9,0,3,0,3
Arkansas State,2004-09-04,1,@,Missouri,L,2,20,-32,16,24,66.7,243,3,34,263,7.7,3,1,1,2
Auburn,2004-09-04,1,,Louisiana-Monroe,W,4,31,31,17,23,73.9,99,0,35,140,4.0,0,2,1,3
Baylor,2004-09-04,1,@,Alabama-Birmingham,L,2,14,-42,9,17,52.9,173,3,53,343,6.5,3,1,1,2
Boise State,2004-09-04,1,,Idaho,W,9,65,58,13,29,44.8,91,0,33,121,3.7,1,1,1,2
Bowling Green State,2004-09-04,1,@,Oklahoma,L,3,24,-16,21,31,67.7,238,3,52,258,5.0,2,1,1,2
Brigham Young,2004-09-04,1,,Notre Dame,W,2,20,3,26,47,55.3,265,1,21,11,0.5,0,1,0,1
California,2004-09-04,1,@,Air Force,W,8,56,42,9,18,50.0,89,1,53,182,3.4,1,1,1,2
Central Michigan,2004-09-04,1,@,Indiana,L,1,10,-31,11,17,64.7,131,1,51,203,4.0,4,2,0,2
Cincinnati,2004-09-04,1,@,Ohio State,L,0,6,-21,16,29,55.2,242,2,43,220,5.1,1,1,2,3
Clemson,2004-09-04,1,,Wake Forest,W,4,37,7,10,25,40.0,156,1,54,254,4.7,2,1,0,1
Colorado,2004-09-04,1,,Colorado State,W,3,27,3,29,42,69.0,403,2,28,44,1.6,1,0,1,1
Colorado State,2004-09-04,1,@,Colorado,L,3,24,-3,13,25,52.0,117,0,45,255,5.7,2,0,1,1
Connecticut,2004-09-04,1,,Murray State,W,7,52,38,7,19,36.8,91,0,39,76,1.9,1,0,1,1
Duke,2004-09-04,1,@,Navy,L,1,12,-15,8,9,88.9,129,1,57,301,5.3,3,3,0,3
East Carolina,2004-09-04,1,@,West Virginia,L,3,23,-33,6,15,40.0,143,1,56,478,8.5,6,0,2,2
Florida A&M,2004-09-04,1,@,Illinois,L,2,13,-39,18,23,78.3,258,1,48,296,6.2,5,0,0,0
Florida Atlantic,2004-09-04,1,@,Hawaii,W,4,35,7,38,66,57.6,302,2,10,27,2.7,2,0,0,0
Georgia,2004-09-04,1,,Georgia Southern,W,6,48,20,6,15,40.0,54,1,63,294,4.7,3,1,1,2
Georgia Tech,2004-09-04,1,,Samford,W,4,28,21,29,44,65.9,169,1,16,42,2.6,0,1,0,1
Hawaii,2004-09-04,1,,Florida Atlantic,L,4,28,-7,29,46,63.0,298,2,39,147,3.8,2,0,3,3
Idaho,2004-09-04,1,@,Boise State,L,1,7,-58,16,22,72.7,318,0,47,254,5.4,8,2,1,3
Illinois,2004-09-04,1,,Florida A&M,W,7,52,39,37,55,67.3,287,0,25,71,2.8,2,1,2,3
Indiana,2004-09-04,1,,Central Michigan,W,6,41,31,23,43,53.5,275,1,34,114,3.4,0,0,2,2
Iowa,2004-09-04,1,,Kent State,W,5,39,32,19,36,52.8,123,0,19,-13,-0.7,0,2,2,4
Iowa State,2004-09-04,1,,Northern Iowa,W,3,23,23,8,19,42.1,63,0,32,36,1.1,0,0,0,0
Kansas,2004-09-04,1,,Tulsa,W,2,21,18,11,24,45.8,91,0,35,50,1.4,0,1,2,3
Kansas State,2004-09-04,1,,Western Kentucky,W,3,27,14,10,21,47.6,182,1,25,77,3.1,1,0,0,0
Kent State,2004-09-04,1,@,Iowa,L,1,7,-32,18,30,60.0,223,2,60,214,3.6,2,0,1,1
