School,Date,G,Loc,Opponent,WL,Total TD opp,Points Against
Arizona,2015-09-03,1,,Texas-San Antonio,W,4,32
Ball State,2015-09-03,1,,Virginia Military Institute,W,0,36
Central Michigan,2015-09-03,1,,Oklahoma State,L,3,24
Colorado,2015-09-03,1,@,Hawaii,L,3,28
Connecticut,2015-09-03,1,,Villanova,W,0,15
Duke,2015-09-03,1,@,Tulane,W,1,7
Florida International,2015-09-03,1,@,Central Florida,W,2,14
Fresno State,2015-09-03,1,,Abilene Christian,W,0,13
Georgia Tech,2015-09-03,1,,Alcorn State,W,0,6
Hawaii,2015-09-03,1,,Colorado,W,2,20
Idaho,2015-09-03,1,,Ohio,L,6,45
Michigan,2015-09-03,1,@,Utah,L,3,24
Minnesota,2015-09-03,1,,Texas Christian,L,2,23
Nevada,2015-09-03,1,,California-Davis,W,0,17
North Carolina,2015-09-03,1,N,South Carolina,L,2,17
Ohio,2015-09-03,1,@,Idaho,W,3,28
Oklahoma State,2015-09-03,1,@,Central Michigan,W,1,13
San Jose State,2015-09-03,1,,New Hampshire,W,0,13
South Carolina,2015-09-03,1,N,North Carolina,W,1,13
Texas Christian,2015-09-03,1,@,Minnesota,W,2,17
Tulane,2015-09-03,1,,Duke,L,4,37
UCF,2015-09-03,1,,Florida International,L,2,15
Utah,2015-09-03,1,,Michigan,W,2,17
Utah State,2015-09-03,1,,Southern Utah,W,0,9
UTSA,2015-09-03,1,@,Arizona,L,6,42
Vanderbilt,2015-09-03,1,,Western Kentucky,L,2,14
Wake Forest,2015-09-03,1,,Elon,W,0,3
Western Kentucky,2015-09-03,1,@,Vanderbilt,W,1,12
Army,2015-09-04,1,,Fordham,L,0,37
Baylor,2015-09-04,1,@,Southern Methodist,W,3,21
Boise State,2015-09-04,1,,Washington,W,1,13
Charlotte,2015-09-04,1,@,Georgia State,W,2,20
Georgia State,2015-09-04,1,,Charlotte,L,2,23
Michigan State,2015-09-04,1,@,Western Michigan,W,3,24
Oregon State,2015-09-04,1,,Weber State,W,1,7
