"Team (Record)","Rating","Offense","Defense","Special Teams"
"1. Ohio St. (6-0)",30.9,"42.6 (6)","11.8 (4)","0.1 (35)"
"2. Alabama (6-0)",29.8,"45.9 (3)","16.0 (14)","-0.1 (75)"
"3. Oklahoma (6-0)",27.3,"48.0 (1)","20.6 (30)","0.0 (68)"
"4. Wisconsin (6-0)",26,"37.3 (16)","10.9 (2)","-0.3 (116)"
"5. LSU (6-0)",25.9,"46.8 (2)","21.5 (37)","0.5 (3)"
"6. Penn St. (6-0)",24.4,"38.7 (10)","14.6 (10)","0.3 (26)"
"7. Georgia (5-1)",24.4,"38.1 (12)","14.2 (9)","0.4 (6)"
"8. Clemson (6-0)",23.1,"36.7 (19)","13.6 (7)","-0.1 (82)"
"9. Oregon (5-1)",20.1,"31.0 (49)","10.7 (1)","-0.2 (95)"
"10. Missouri (5-1)",19.5,"34.3 (32)","15.2 (13)","0.4 (13)"
"11. Florida (6-1)",19.1,"35.4 (24)","16.7 (16)","0.4 (12)"
"12. Auburn (5-1)",19.1,"33.8 (35)","15.2 (12)","0.5 (5)"
"13. Michigan (5-1)",18.8,"30.3 (53)","11.5 (3)","0.0 (62)"
"14. Utah (5-1)",18.7,"37.6 (13)","19.0 (25)","0.1 (50)"
"15. Iowa St. (4-2)",17.6,"34.5 (31)","16.9 (17)","0.0 (64)"
"16. Baylor (6-0)",17.2,"35.6 (22)","18.2 (23)","-0.3 (111)"
"17. Minnesota (6-0)",17,"38.9 (9)","22.0 (38)","0.0 (65)"
"18. Washington (5-2)",16.5,"37.1 (17)","21.2 (33)","0.6 (2)"
"19. Iowa (4-2)",15.6,"28.6 (65)","13.2 (6)","0.2 (27)"
"20. UCF (4-2)",15.5,"33.3 (39)","17.8 (20)","0.0 (67)"
"21. Notre Dame (5-1)",15.1,"37.0 (18)","22.3 (40)","0.4 (7)"
"22. Texas (4-2)",15.1,"42.7 (5)","28.0 (67)","0.4 (8)"
"23. Texas A&M (3-3)",15.1,"35.3 (25)","20.2 (29)","0.0 (70)"
"24. Memphis (5-1)",14.9,"34.2 (33)","19.9 (27)","0.5 (4)"
"25. Indiana (4-2)",14.8,"35.6 (23)","21.2 (32)","0.4 (14)"
"26. Oklahoma St. (4-2)",14.3,"39.1 (8)","24.8 (49)","0.0 (63)"
"27. Michigan St. (4-3)",14,"28.0 (68)","13.9 (8)","-0.1 (85)"
"28. TCU (3-2)",13.4,"33.4 (37)","20.1 (28)","0.0 (52)"
"29. USC (3-3)",12.5,"38.3 (11)","26.0 (56)","0.1 (44)"
"30. Miami (3-3)",11.7,"30.8 (50)","19.0 (24)","-0.2 (101)"
"31. S. Carolina (3-3)",11,"27.4 (74)","16.6 (15)","0.3 (23)"
"32. Wash. St. (3-3)",10.6,"43.4 (4)","33.2 (90)","0.4 (10)"
"33. Arizona St. (5-1)",10.6,"29.5 (58)","19.2 (26)","0.3 (21)"
"34. Texas Tech (3-3)",10.5,"33.4 (38)","23.2 (45)","0.3 (18)"
"35. Miss. St. (3-3)",9.5,"32.9 (43)","23.0 (42)","-0.4 (124)"
"36. Cincinnati (5-1)",8.3,"29.2 (59)","21.1 (31)","0.1 (43)"
"37. Kansas St. (3-2)",7.9,"29.0 (61)","21.4 (35)","0.3 (24)"
"38. Tulane (5-1)",7.7,"33.5 (36)","26.2 (57)","0.3 (17)"
"39. SMU (6-0)",7.1,"34.2 (34)","26.9 (62)","-0.2 (109)"
"40. Temple (5-1)",6.3,"23.1 (97)","16.9 (18)","0.0 (55)"
"41. Navy (4-1)",6.2,"31.4 (48)","25.4 (52)","0.2 (29)"
"42. Boise St. (6-0)",6.1,"31.5 (47)","25.6 (54)","0.1 (37)"
"43. Maryland (3-3)",6,"29.6 (56)","23.1 (44)","-0.5 (125)"
"44. Nebraska (4-3)",5.9,"33.0 (41)","26.6 (59)","-0.5 (126)"
"45. Arizona (4-2)",5.5,"40.6 (7)","35.1 (104)","0.0 (71)"
"46. Virginia (4-2)",5.5,"23.0 (98)","17.7 (19)","0.1 (38)"
"47. Tennessee (2-4)",5,"26.4 (77)","21.5 (36)","0.1 (47)"
"48. Duke (4-2)",4.9,"27.8 (71)","23.1 (43)","0.2 (34)"
"49. Wake Forest (5-1)",4.6,"35.3 (26)","30.8 (78)","0.1 (41)"
"50. Ole Miss (3-4)",4.4,"28.4 (66)","23.8 (47)","-0.2 (103)"
"51. Purdue (2-4)",4.3,"37.6 (15)","33.2 (89)","-0.1 (80)"
"52. NC St. (4-2)",3.9,"25.1 (88)","21.3 (34)","0.1 (40)"
"53. Pittsburgh (4-2)",3.5,"18.5 (114)","14.7 (11)","-0.3 (112)"
"54. App. St. (5-0)",3.3,"34.7 (29)","31.5 (81)","0.2 (30)"
"55. California (4-2)",3.3,"21.3 (103)","17.8 (21)","-0.2 (108)"
"56. N. Carolina (3-3)",3.2,"32.6 (44)","29.3 (72)","-0.2 (92)"
"57. Louisville (4-2)",3,"36.2 (20)","33.3 (91)","0.1 (46)"
"58. Florida St. (3-3)",2.8,"34.9 (28)","31.9 (84)","-0.2 (93)"
"59. Air Force (4-2)",2.8,"32.3 (45)","29.8 (75)","0.3 (25)"
"60. Utah St. (3-2)",2.6,"25.5 (84)","22.9 (41)","0.0 (51)"
"61. Kentucky (3-3)",2.2,"28.9 (62)","26.7 (60)","0.1 (49)"
"62. Northwestern (1-4)",2.1,"14.9 (124)","12.6 (5)","-0.2 (97)"
"63. Stanford (3-3)",2,"27.9 (70)","25.8 (55)","-0.1 (79)"
"64. W. Virginia (3-3)",1.9,"29.8 (55)","27.6 (65)","-0.3 (113)"
"65. Colorado (3-3)",1.7,"37.6 (14)","36.2 (113)","0.3 (16)"
"66. Syracuse (3-3)",1.7,"26.1 (80)","24.8 (50)","0.4 (9)"
"67. Va. Tech (4-2)",1.3,"28.9 (63)","27.6 (66)","0.0 (58)"
"68. UL-Lafayette (4-2)",0,"29.6 (57)","29.6 (74)","0.0 (54)"
"69. Boston Coll. (3-3)",0,"34.6 (30)","34.4 (101)","-0.1 (90)"
"70. Army (3-3)",-0.1,"25.4 (85)","25.5 (53)","-0.1 (88)"
"71. Oregon St. (2-4)",-0.2,"36.0 (21)","36.0 (110)","-0.2 (96)"
"72. UCLA (1-5)",-0.4,"33.0 (42)","33.3 (92)","-0.1 (89)"
"73. Houston (2-4)",-0.6,"35.0 (27)","35.7 (107)","0.1 (45)"
"74. Illinois (2-4)",-0.7,"30.6 (52)","31.9 (83)","0.6 (1)"
"75. Arkansas (2-4)",-1.4,"24.8 (89)","26.3 (58)","0.1 (42)"
"76. Fresno St. (2-3)",-1.5,"28.3 (67)","29.8 (76)","0.0 (56)"
"77. Tulsa (2-4)",-2,"23.1 (96)","24.7 (48)","-0.4 (123)"
"78. Kansas (2-4)",-2,"27.7 (72)","29.5 (73)","-0.3 (114)"
