"Team (Record)","Rating","Offense","Defense","Special Teams"
"1. Ohio St. (7-0)",33.3,"43.4 (5)","10.4 (1)","0.3 (18)"
"2. Alabama (7-0)",32.2,"46.2 (3)","13.8 (7)","-0.2 (92)"
"3. Oklahoma (7-0)",29.9,"48.9 (1)","19.1 (27)","0.1 (46)"
"4. LSU (7-0)",28.6,"47.7 (2)","19.5 (29)","0.5 (3)"
"5. Georgia (6-1)",26.4,"38.3 (11)","12.4 (5)","0.4 (8)"
"6. Clemson (7-0)",26.2,"38.3 (12)","12.0 (3)","-0.1 (86)"
"7. Wisconsin (6-1)",24.7,"35.9 (22)","11.0 (2)","-0.2 (98)"
"8. Penn St. (7-0)",24.6,"39.3 (8)","15.0 (12)","0.3 (20)"
"9. Utah (6-1)",21.7,"37.0 (19)","15.3 (13)","0.0 (59)"
"10. Auburn (6-1)",21.6,"34.8 (28)","13.6 (6)","0.5 (5)"
"11. Oregon (6-1)",20.1,"34.5 (30)","14.1 (8)","-0.3 (119)"
"12. Florida (7-1)",20,"36.7 (20)","17.1 (18)","0.4 (13)"
"13. Washington (5-3)",18.9,"40.2 (7)","21.9 (38)","0.5 (2)"
"14. Michigan (5-2)",18.5,"30.9 (52)","12.3 (4)","0.0 (66)"
"15. Minnesota (7-0)",18.5,"38.5 (10)","19.9 (30)","-0.1 (88)"
"16. Baylor (7-0)",18.4,"37.6 (14)","18.9 (25)","-0.2 (109)"
"17. Iowa St. (5-2)",18.2,"34.8 (27)","16.5 (17)","-0.1 (87)"
"18. Missouri (5-2)",17.5,"31.7 (50)","14.3 (10)","0.2 (26)"
"19. Notre Dame (5-1)",17,"37.8 (13)","21.2 (35)","0.4 (6)"
"20. UCF (5-2)",16.9,"35.8 (23)","18.9 (24)","0.0 (65)"
"21. Memphis (6-1)",16.7,"37.4 (16)","21.2 (36)","0.5 (1)"
"22. Indiana (5-2)",14.8,"37.1 (17)","22.6 (41)","0.3 (17)"
"23. USC (4-3)",14.7,"37.5 (15)","23.1 (44)","0.2 (29)"
"24. Iowa (5-2)",14.5,"28.4 (67)","14.2 (9)","0.3 (21)"
"25. Texas A&M (4-3)",14.1,"33.5 (36)","19.4 (28)","-0.1 (84)"
"26. Wash. St. (4-3)",13.3,"43.6 (4)","30.6 (78)","0.3 (15)"
"27. Texas (5-2)",13.3,"43.1 (6)","30.3 (77)","0.4 (7)"
"28. Michigan St. (4-3)",13.1,"27.6 (72)","14.4 (11)","-0.1 (80)"
"29. Oklahoma St. (4-3)",12.5,"38.9 (9)","26.6 (57)","0.1 (47)"
"30. TCU (3-3)",11.9,"31.9 (47)","20.1 (32)","0.1 (50)"
"31. Miami (3-4)",11.8,"29.7 (57)","17.7 (20)","-0.2 (99)"
"32. Cincinnati (6-1)",9.4,"28.1 (68)","18.9 (23)","0.1 (40)"
"33. S. Carolina (3-4)",9.3,"28.0 (69)","19.1 (26)","0.4 (12)"
"34. Arizona St. (5-2)",9,"26.9 (75)","18.2 (22)","0.3 (19)"
"35. Virginia (5-2)",8.1,"23.3 (95)","15.3 (14)","0.2 (34)"
"36. SMU (7-0)",8,"33.9 (34)","25.5 (51)","-0.3 (116)"
"37. Navy (5-1)",8,"31.8 (48)","24.0 (46)","0.2 (27)"
"38. Kansas St. (4-2)",7.9,"29.0 (62)","21.4 (37)","0.3 (16)"
"39. Miss. St. (3-4)",7.8,"33.0 (38)","24.8 (48)","-0.4 (123)"
"40. App. St. (6-0)",7.8,"37.0 (18)","29.5 (71)","0.3 (23)"
"41. Texas Tech (3-4)",7.6,"33.5 (37)","26.1 (54)","0.3 (25)"
"42. Tulane (5-2)",7.4,"35.0 (26)","27.8 (64)","0.3 (24)"
"43. Boise St. (6-1)",5.7,"31.8 (49)","26.0 (53)","0.0 (62)"
"44. Temple (5-2)",5.3,"25.1 (87)","19.9 (31)","0.1 (38)"
"45. Wake Forest (6-1)",4.6,"32.9 (39)","28.5 (67)","0.1 (42)"
"46. Nebraska (4-3)",4.4,"32.2 (44)","27.4 (61)","-0.5 (126)"
"47. Maryland (3-4)",4.1,"31.3 (51)","26.7 (58)","-0.5 (127)"
"48. Ole Miss (3-5)",3.9,"27.1 (73)","22.9 (43)","-0.3 (113)"
"49. Air Force (5-2)",3.9,"35.3 (25)","31.5 (83)","0.2 (32)"
"50. Purdue (2-5)",3.8,"35.4 (24)","31.7 (85)","0.0 (63)"
"51. Tennessee (2-5)",3.6,"26.3 (79)","22.7 (42)","0.0 (54)"
"52. Pittsburgh (5-2)",3.5,"19.4 (110)","15.8 (15)","-0.2 (94)"
"53. UL-Lafayette (5-2)",3.2,"32.1 (45)","28.9 (70)","0.0 (55)"
"54. Utah St. (4-2)",3.1,"24.0 (93)","21.0 (33)","0.1 (52)"
"55. N. Carolina (3-4)",2.6,"32.4 (43)","29.5 (72)","-0.2 (107)"
"56. Duke (4-3)",2.6,"25.0 (88)","22.6 (40)","0.1 (44)"
"57. Florida St. (3-4)",2.6,"32.4 (42)","29.6 (73)","-0.2 (105)"
"58. Arizona (4-3)",2.4,"36.5 (21)","33.9 (101)","-0.2 (108)"
"59. Va. Tech (5-2)",2.1,"29.4 (60)","27.3 (60)","-0.1 (76)"
"60. NC St. (4-3)",2,"25.2 (84)","23.3 (45)","0.1 (48)"
"61. California (4-3)",1.7,"19.8 (109)","17.8 (21)","-0.2 (103)"
"62. Boston Coll. (4-3)",1.1,"34.2 (32)","32.9 (94)","-0.2 (110)"
"63. Louisville (4-3)",0.9,"34.5 (31)","33.7 (100)","0.2 (36)"
"64. Fresno St. (3-3)",0.8,"30.9 (53)","29.8 (75)","-0.2 (97)"
"65. UCLA (2-5)",0.6,"30.6 (54)","30.1 (76)","0.1 (45)"
"66. Kentucky (3-4)",0.2,"25.5 (82)","25.4 (50)","0.1 (49)"
"67. Syracuse (3-4)",-0.1,"24.5 (90)","25.0 (49)","0.3 (22)"
"68. Oregon St. (3-4)",-0.5,"33.9 (33)","34.2 (102)","-0.2 (106)"
"69. San Diego St. (6-1)",-0.5,"16.6 (120)","17.5 (19)","0.4 (9)"
"70. Illinois (3-4)",-0.5,"29.7 (56)","30.7 (80)","0.5 (4)"
"71. W. Virginia (3-4)",-1.2,"30.4 (55)","31.2 (82)","-0.3 (115)"
"72. Colorado (3-4)",-1.6,"34.6 (29)","36.5 (111)","0.2 (28)"
"73. Houston (3-4)",-1.6,"32.6 (40)","34.3 (103)","0.2 (37)"
"74. Northwestern (1-5)",-1.7,"14.6 (125)","16.2 (16)","-0.1 (89)"
"75. UAB (6-1)",-1.9,"20.2 (107)","22.0 (39)","-0.1 (83)"
"76. Stanford (3-4)",-2.1,"24.7 (89)","26.8 (59)","0.0 (70)"
"77. Army (3-4)",-2.7,"25.3 (83)","28.0 (66)","0.0 (74)"
"78. FAU (4-3)",-3.2,"28.6 (65)","32.0 (87)","0.1 (43)"
"79. BYU (3-4)",-3.6,"25.2 (85)","28.7 (69)","-0.1 (90)"
"80. Kansas (2-5)",-3.8,"29.0 (63)","32.5 (90)","-0.3 (114)"
"81. Wyoming (5-2)",-4,"22.2 (99)","26.2 (55)","0.0 (56)"
"82. Tulsa (2-5)",-4,"20.5 (106)","24.1 (47)","-0.5 (125)"
"83. La. Tech (6-1)",-4,"28.6 (66)","32.6 (91)","-0.1 (78)"
"84. FIU (4-3)",-4.7,"26.2 (80)","30.9 (81)","0.0 (69)"
"85. N. Texas (3-4)",-4.9,"27.9 (70)","33.2 (97)","0.4 (11)"
"86. WKU (5-2)",-4.9,"16.2 (121)","21.1 (34)","0.0 (64)"
"87. Arkansas St. (3-4)",-4.9,"32.4 (41)","37.5 (115)","0.2 (30)"
"88. Arkansas (2-5)",-5.1,"22.7 (96)","27.9 (65)","0.0 (57)"
