"Team (Record)","Rating","Offense","Defense","Special Teams"
"1. Ohio St. (8-0)",35.4,"44.0 (5)","9.0 (1)","0.3 (14)"
"2. Alabama (8-0)",34.1,"46.5 (2)","12.3 (8)","-0.1 (78)"
"3. LSU (8-0)",29.6,"46.1 (3)","16.9 (18)","0.4 (4)"
"4. Oklahoma (7-1)",28.8,"49.4 (1)","20.9 (30)","0.2 (25)"
"5. Clemson (9-0)",28.1,"40.5 (7)","12.1 (5)","-0.3 (120)"
"6. Georgia (7-1)",26.7,"38.1 (13)","12.0 (4)","0.5 (3)"
"7. Penn St. (8-0)",26.1,"37.9 (14)","12.1 (6)","0.3 (18)"
"8. Wisconsin (6-2)",23,"35.0 (27)","11.8 (2)","-0.1 (87)"
"9. Utah (8-1)",22.6,"37.1 (17)","14.4 (12)","0.0 (71)"
"10. Minnesota (8-0)",21.5,"39.9 (8)","18.2 (22)","-0.2 (91)"
"11. Michigan (7-2)",20.8,"32.8 (46)","11.9 (3)","0.0 (69)"
"12. Auburn (7-2)",20.7,"33.0 (43)","12.6 (9)","0.3 (12)"
"13. Florida (7-2)",20,"36.4 (21)","16.7 (16)","0.3 (16)"
"14. Oregon (8-1)",19.4,"36.7 (20)","17.1 (19)","-0.2 (102)"
"15. Baylor (8-0)",19.3,"36.0 (24)","16.6 (15)","-0.1 (88)"
"16. UCF (7-2)",19.3,"38.9 (11)","19.6 (25)","0.0 (68)"
"17. Washington (5-4)",17.9,"39.2 (10)","21.9 (33)","0.6 (1)"
"18. Iowa St. (5-3)",17.5,"34.5 (31)","16.8 (17)","-0.2 (94)"
"19. Memphis (8-1)",17,"39.7 (9)","23.2 (39)","0.5 (2)"
"20. Texas A&M (6-3)",16.7,"36.8 (19)","20.2 (27)","0.0 (58)"
"21. Indiana (7-2)",15.6,"37.5 (16)","22.3 (36)","0.4 (8)"
"22. Iowa (6-2)",15.5,"27.4 (70)","12.1 (7)","0.2 (26)"
"23. Missouri (5-3)",14.3,"29.6 (61)","15.4 (14)","0.1 (47)"
"24. Wash. St. (4-4)",13.8,"44.4 (4)","31.0 (82)","0.4 (7)"
"25. Notre Dame (6-2)",13.6,"33.9 (37)","20.4 (29)","0.1 (44)"
"26. Oklahoma St. (6-3)",12.3,"38.5 (12)","26.4 (54)","0.2 (32)"
"27. USC (5-4)",11.3,"36.9 (18)","25.8 (49)","0.2 (29)"
"28. Miami (5-4)",11.3,"26.7 (73)","15.3 (13)","-0.1 (84)"
"29. Michigan St. (4-4)",11.2,"25.3 (88)","13.8 (11)","-0.3 (114)"
"30. TCU (4-4)",11.1,"33.0 (42)","22.1 (35)","0.2 (38)"
"31. Navy (7-1)",10.8,"35.7 (26)","25.2 (47)","0.3 (19)"
"32. Kansas St. (6-2)",10.8,"33.3 (41)","22.8 (38)","0.4 (10)"
"33. Texas (5-3)",10.2,"41.2 (6)","31.3 (86)","0.3 (21)"
"34. Tulane (6-3)",9.4,"37.6 (15)","28.4 (67)","0.2 (27)"
"35. Cincinnati (7-1)",9.1,"30.8 (56)","21.9 (34)","0.2 (39)"
"36. App. St. (7-1)",8.2,"34.3 (32)","26.0 (50)","-0.1 (75)"
"37. UL-Lafayette (6-2)",7.9,"34.2 (33)","26.3 (52)","0.0 (60)"
"38. S. Carolina (4-5)",7.8,"27.1 (72)","19.6 (24)","0.4 (11)"
"39. Miss. St. (4-5)",7.3,"34.6 (30)","27.0 (59)","-0.2 (110)"
"40. SMU (8-1)",7.1,"34.0 (35)","26.6 (56)","-0.3 (113)"
"41. Air Force (7-2)",6.8,"34.9 (28)","28.5 (68)","0.4 (9)"
"42. Tennessee (4-5)",6.7,"26.4 (80)","19.7 (26)","0.1 (48)"
"43. Virginia (6-3)",6.7,"25.9 (86)","19.3 (23)","0.1 (46)"
"44. Arizona St. (5-3)",6.7,"27.9 (66)","21.5 (31)","0.3 (23)"
"45. Boise St. (7-1)",6.5,"34.2 (34)","27.7 (64)","0.1 (54)"
"46. Wake Forest (7-1)",6.4,"33.8 (38)","27.6 (63)","0.2 (34)"
