season,week,date,home_team,home_points,home_code,away_team,away_points,away_code
2015,1,20150910,NEW,28.0,16,PIT,21.0,21
2015,1,20150913,LAR,34.0,22,SEA,31.0,24
2015,1,20150913,CHI,23.0,3,GNB,31.0,11
2015,1,20150913,WAS,10.0,26,MIA,17.0,13
2015,1,20150913,HOU,20.0,32,KAN,27.0,12
2015,1,20150913,BUF,27.0,2,IND,14.0,6
2015,1,20150913,JAX,9.0,30,CAR,20.0,29
2015,1,20150913,NYJ,31.0,18,CLE,10.0,5
2015,1,20150913,ARI,31.0,7,NOR,19.0,15
2015,1,20150913,LAC,33.0,23,DET,28.0,10
2015,1,20150913,TAM,14.0,25,TEN,42.0,19
2015,1,20150913,OAK,13.0,27,CIN,33.0,4
2015,1,20150913,DEN,19.0,9,BAL,13.0,31
2015,1,20150913,DAL,27.0,8,NYG,26.0,17
2015,1,20150914,ATL,26.0,1,PHI,24.0,20
2015,1,20150914,SFO,20.0,28,MIN,3.0,14
2015,2,20150917,KAN,24.0,12,DEN,31.0,9
2015,2,20150920,CHI,23.0,3,ARI,48.0,7
2015,2,20150920,NYG,20.0,17,ATL,24.0,1
2015,2,20150920,CAR,24.0,29,HOU,17.0,32
2015,2,20150920,NOR,19.0,15,TAM,26.0,25
2015,2,20150920,PIT,43.0,21,SFO,18.0,28
2015,2,20150920,BUF,32.0,2,NEW,40.0,16
2015,2,20150920,CLE,28.0,5,TEN,14.0,19
2015,2,20150920,MIN,26.0,14,DET,16.0,10
2015,2,20150920,CIN,24.0,4,LAC,19.0,23
2015,2,20150920,WAS,24.0,26,LAR,10.0,22
2015,2,20150920,OAK,37.0,27,BAL,33.0,31
2015,2,20150920,JAX,23.0,30,MIA,20.0,13
2015,2,20150920,PHI,10.0,20,DAL,20.0,8
2015,2,20150920,GNB,27.0,11,SEA,17.0,24
2015,2,20150921,IND,7.0,6,NYJ,20.0,18
2015,3,20150924,NYG,32.0,17,WAS,21.0,26
2015,3,20150927,LAR,6.0,22,PIT,12.0,21
2015,3,20150927,CLE,20.0,5,OAK,27.0,27
2015,3,20150927,MIN,31.0,14,LAC,14.0,23
2015,3,20150927,BAL,24.0,31,CIN,28.0,4
2015,3,20150927,DAL,28.0,8,ATL,39.0,1
2015,3,20150927,CAR,27.0,29,NOR,22.0,15
2015,3,20150927,TEN,33.0,19,IND,35.0,6
2015,3,20150927,NYJ,17.0,18,PHI,24.0,20
2015,3,20150927,HOU,19.0,32,TAM,9.0,25
2015,3,20150927,NEW,51.0,16,JAX,17.0,30
2015,3,20150927,ARI,47.0,7,SFO,7.0,28
2015,3,20150927,MIA,14.0,13,BUF,41.0,2
2015,3,20150927,SEA,26.0,24,CHI,0.0,3
2015,3,20150927,DET,12.0,10,DEN,24.0,9
2015,3,20150928,GNB,38.0,11,KAN,28.0,12
2015,4,20151001,PIT,20.0,21,BAL,23.0,31
2015,4,20151004,MIA,14.0,13,NYJ,27.0,18
2015,4,20151004,IND,16.0,6,JAX,13.0,30
2015,4,20151004,BUF,10.0,2,NYG,24.0,17
2015,4,20151004,CHI,22.0,3,OAK,20.0,27
2015,4,20151004,ATL,48.0,1,HOU,21.0,32
2015,4,20151004,WAS,23.0,26,PHI,20.0,20
2015,4,20151004,TAM,23.0,25,CAR,37.0,29
2015,4,20151004,CIN,36.0,4,KAN,21.0,12
2015,4,20151004,LAC,30.0,23,CLE,27.0,5
2015,4,20151004,DEN,23.0,9,MIN,20.0,14
2015,4,20151004,SFO,3.0,28,GNB,17.0,11
2015,4,20151004,ARI,22.0,7,LAR,24.0,22
2015,4,20151004,NOR,26.0,15,DAL,20.0,8
2015,4,20151005,SEA,13.0,24,DET,10.0,10
2015,5,20151008,HOU,20.0,32,IND,27.0,6
2015,5,20151011,TAM,38.0,25,JAX,31.0,30
2015,5,20151011,BAL,30.0,31,CLE,33.0,5
2015,5,20151011,KAN,17.0,12,CHI,18.0,3
2015,5,20151011,ATL,25.0,1,WAS,19.0,26
2015,5,20151011,GNB,24.0,11,LAR,10.0,22
2015,5,20151011,CIN,27.0,4,SEA,24.0,24
2015,5,20151011,TEN,13.0,19,BUF,14.0,2
2015,5,20151011,PHI,39.0,20,NOR,17.0,15
2015,5,20151011,DET,17.0,10,ARI,42.0,7
2015,5,20151011,OAK,10.0,27,DEN,16.0,9
2015,5,20151011,DAL,6.0,8,NEW,30.0,16
2015,5,20151011,NYG,30.0,17,SFO,27.0,28
2015,5,20151012,LAC,20.0,23,PIT,24.0,21
2015,6,20151015,NOR,31.0,15,ATL,21.0,1
2015,6,20151018,NYJ,34.0,18,WAS,20.0,26
2015,6,20151018,DET,37.0,10,CHI,34.0,3
2015,6,20151018,CLE,23.0,5,DEN,26.0,9
2015,6,20151018,JAX,20.0,30,HOU,31.0,32
2015,6,20151018,MIN,16.0,14,KAN,10.0,12
2015,6,20151018,BUF,21.0,2,CIN,34.0,4
2015,6,20151018,TEN,10.0,19,MIA,38.0,13
2015,6,20151018,PIT,25.0,21,ARI,13.0,7
2015,6,20151018,SEA,23.0,24,CAR,27.0,29
2015,6,20151018,GNB,27.0,11,LAC,20.0,23
2015,6,20151018,SFO,25.0,28,BAL,20.0,31
2015,6,20151018,IND,27.0,6,NEW,34.0,16
