season,week,date,home_team,home_points,home_code,away_team,away_points,away_code
2002,1,20020905,NYG,13.0,17,SFO,16.0,28
2002,1,20020908,JAX,25.0,30,IND,28.0,6
2002,1,20020908,CHI,27.0,3,MIN,23.0,14
2002,1,20020908,CAR,10.0,29,BAL,7.0,31
2002,1,20020908,CLE,39.0,5,KAN,40.0,12
2002,1,20020908,GNB,37.0,11,ATL,34.0,1
2002,1,20020908,BUF,31.0,2,NYJ,37.0,18
2002,1,20020908,CIN,6.0,4,LAC,34.0,23
2002,1,20020908,MIA,49.0,13,DET,21.0,10
2002,1,20020908,WAS,31.0,26,ARI,23.0,7
2002,1,20020908,TEN,27.0,19,PHI,24.0,20
2002,1,20020908,TAM,20.0,25,NOR,26.0,15
2002,1,20020908,DEN,23.0,9,LAR,16.0,22
2002,1,20020908,OAK,31.0,27,SEA,17.0,24
2002,1,20020908,HOU,19.0,32,DAL,10.0,8
2002,1,20020909,NEW,30.0,16,PIT,14.0,21
2002,2,20020915,IND,13.0,6,MIA,21.0,13
2002,2,20020915,KAN,16.0,12,JAX,23.0,30
2002,2,20020915,BAL,0.0,31,TAM,25.0,25
2002,2,20020915,DAL,21.0,8,TEN,13.0,19
2002,2,20020915,CLE,20.0,5,CIN,7.0,4
2002,2,20020915,NYJ,7.0,18,NEW,44.0,16
2002,2,20020915,NOR,35.0,15,GNB,20.0,11
2002,2,20020915,CAR,31.0,29,DET,7.0,10
2002,2,20020915,ATL,13.0,1,CHI,14.0,3
2002,2,20020915,LAR,21.0,22,NYG,26.0,17
2002,2,20020915,SFO,14.0,28,DEN,24.0,9
2002,2,20020915,SEA,13.0,24,ARI,24.0,7
2002,2,20020915,LAC,24.0,23,HOU,3.0,32
2002,2,20020915,MIN,39.0,14,BUF,45.0,2
2002,2,20020915,PIT,17.0,21,OAK,30.0,27
2002,2,20020916,WAS,7.0,26,PHI,37.0,20
2002,3,20020922,MIN,14.0,14,CAR,21.0,29
2002,3,20020922,HOU,3.0,32,IND,23.0,6
2002,3,20020922,MIA,30.0,13,NYJ,3.0,18
2002,3,20020922,PHI,44.0,20,DAL,13.0,8
2002,3,20020922,NEW,41.0,16,KAN,38.0,12
2002,3,20020922,TEN,28.0,19,CLE,31.0,5
2002,3,20020922,CHI,23.0,3,NOR,29.0,15
2002,3,20020922,DEN,28.0,9,BUF,23.0,2
2002,3,20020922,ARI,15.0,7,LAC,23.0,23
2002,3,20020922,NYG,9.0,17,SEA,6.0,24
2002,3,20020922,SFO,20.0,28,WAS,10.0,26
