"Player","unique_id","position","Date","G","School","Team Code","Loc","Opponent","Team Code opp","WL","Pass Comp","Pass Att","Pass Pct","Pass Yard","Pass TD","Pass Int","QBR","Rush Att","Rush Yard","Rush Avg","Rush TD","Rec","Rec Yards","Rec Avg","Rec TD","Tackle Solo","Tackle Assist","Tackle Tot","Tackle for Loss","Sack","Int Ret","Int Ret Yds","Int TD","Pass Broken Up","FR","FR Yds","FR TD","Fumble Forced","XP Made","XP Att","XP %","FG Made","FG Att","FG %","Pts","Kick Ret","Kick Ret Yds","Kick Ret Avg","Kick Ret TD","Punt Ret","Punt Ret Yds","Punt Ret Avg","Punt Ret TD"
"Bill Poland","bill-poland-1","['WR']","2003-09-27",4,"Cincinnati",2,"@","Miami (OH)",78,"L",,,,,,,,,,,,1,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lousaka Polite","lousaka-polite-1","[]","2003-09-27",4,"Pittsburgh",22,"@","Texas A&M",119,"W",,,,,,,,9,38,4.2,0,2,15,7.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jarwarski Pollock","jarwarski-pollock-1","['WR']","2003-09-27",4,"North Carolina",21,"@","NC State",20,"L",,,,,,,,1,0,0,0,11,134,12.2,0,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,0
"Adam Porter","adam-porter-1","[]","2003-09-27",4,"Ohio",80,,"Western Michigan",82,"L",,,,,,,,,,,,6,85,14.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Se'e Poumele","see-poumele-1","[]","2003-09-27",4,"Hawaii",87,,"Rice",59,"W",,,,,,,,,,,,1,12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Calen Powell","calen-powell-1","[]","2003-09-27",5,"Duke",15,,"Florida St.",16,"L",,,,,,,,,,,,1,25,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Luke Powell","luke-powell-1","[]","2003-09-27",3,"Stanford",101,"@","Washington",105,"L",,,,,,,,,,,,2,29,14.5,0,,,,,,,,,,,,,,,,,,,,,,,,,5,26,5.2,0
"Shatone Powers","shatone-powers-1","['WR']","2003-09-27",4,"Northern Illinois",79,,"Iowa St.",42,"W",,,,,,,,,,,,1,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ladarius Price","ladarius-price-1","[]","2003-09-27",4,"Memphis",6,,"Arkansas St.",122,"W",,,,,,,,1,6,6,0,2,14,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Najah Pruden","najah-pruden-1","['WR']","2003-09-27",5,"Kent State",77,,"Central Florida",1,"W",,,,,,,,,,,,1,12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johnny Quinn","johnny-quinn-1","['WR']","2003-09-27",5,"North Texas",57,,"Louisiana",126,"W",,,,,,,,,,,,5,176,35.2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,0
"Jason Rader","jason-rader-1","[]","2003-09-27",5,"Marshall",55,"@","Troy",129,"L",,,,,,,,,,,,4,18,4.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John Randle","john-randle-1","[]","2003-09-27",5,"Kansas",43,,"Missouri",115,"W",,,,,,,,12,61,5.1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Philip Reed","philip-reed-1","[]","2003-09-27",4,"Western Michigan",82,"@","Ohio",80,"W",,,,,,,,30,115,3.8,3,5,24,4.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fred Reid","fred-reid-1","[]","2003-09-27",4,"Mississippi St.",114,,"LSU",113,"L",,,,,,,,6,29,4.8,0,1,2,2,0,,,,,,,,,,,,,,,,,,,,,5,106,21.2,0,,,,
"Willie Reid","willie-reid-1","['RB', 'WR']","2003-09-27",5,"Florida St.",16,"@","Duke",15,"W",,,,,,,,8,15,1.9,1,2,3,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Walter Reyes","walter-reyes-1","[]","2003-09-27",4,"Syracuse",23,,"Toledo",81,"W",,,,,,,,17,162,9.5,2,5,20,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Damien Rhodes","damien-rhodes-1","['RB']","2003-09-27",4,"Syracuse",23,,"Toledo",81,"W",,,,,,,,14,36,2.6,0,4,29,7.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jermaine Richardson","jermaine-richardson-1","[]","2003-09-27",5,"Troy",129,,"Marshall",55,"W",,,,,,,,3,7,2.3,0,1,36,36,1,,,,,,,,,,,,,,,,,,,,,2,33,16.5,0,,,,
"Terry Richardson","terry-richardson-1","['WR']","2003-09-27",4,"Arizona St.",96,"@","Oregon St.",100,"L",,,,,,,,,,,,4,79,19.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brandon Rideau","brandon-rideau-1","[]","2003-09-27",5,"Kansas",43,,"Missouri",115,"W",,,,,,,,,,,,4,41,10.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dante Ridgeway","dante-ridgeway-1","[]","2003-09-27",5,"Ball St.",72,"@","Boston College",13,"L",,,,,,,,,,,,6,95,15.8,2,,,,,,,,,,,,,,,,,,,,,1,13,13,0,,,,
"Trumaine Riley","trumaine-riley-1","['WR']","2003-09-27",5,"Eastern Michigan",76,,"Maryland",30,"L",,,,,,,,,,,,1,30,30,0,,,,,,,,,,,,,,,,,,,,,7,125,17.9,0,1,7,7,0
"John Ritcher","john-ritcher-1","['RB', 'TE']","2003-09-27",5,"NC State",20,,"North Carolina",21,"W",,,,,,,,,,,,2,26,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Matt Rivera","matt-rivera-1","['RB']","2003-09-27",5,"Fresno St.",86,,"Portland State",139,"W",,,,,,,,,,,,1,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jason Rivers","jason-rivers-1","['WR']","2003-09-27",4,"Hawaii",87,,"Rice",59,"W",,,,,,,,,,,,7,45,6.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Justin Robbins","justin-robbins-1","[]","2003-09-27",4,"Washington",105,,"Stanford",101,"W",,,,,,,,,,,,1,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chris Roberson","chris-roberson-1","[]","2003-09-27",5,"Eastern Michigan",76,,"Maryland",30,"L",,,,,,,,,,,,3,23,7.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eric Roberts","eric-roberts-1","[]","2003-09-27",4,"Navy",7,"@","Rutgers",39,"L",,,,,,,,9,125,13.9,1,2,70,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brett Robin","brett-robin-1","[]","2003-09-27",4,"Texas",48,,"Tulane",11,"W",,,,,,,,15,87,5.8,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dominic Robinson","dominic-robinson-1","[]","2003-09-27",5,"Florida St.",16,"@","Duke",15,"W",,,,,,,,,,,,3,60,20,0,,,,,,,,,,,,,,,,,,,,,,,,,1,16,16,0
"Ryne Robinson","ryne-robinson-1","['WR']","2003-09-27",4,"Miami (OH)",78,,"Cincinnati",2,"W",,,,,,,,,,,,2,14,7,0,,,,,,,,,,,,,,,,,,,,,,,,,3,23,7.7,0
"Cory Rodgers","cory-rodgers-1","['RB', 'WR']","2003-09-27",4,"TCU",47,"@","Arizona",95,"W",,,,,,,,1,-7,-7,0,1,17,17,0,,,,,,,,,,,,,,,,,,,,,1,20,20,0,4,27,6.8,0
"Andy Roland","andy-roland-1","['TE']","2003-09-27",5,"Duke",15,,"Florida St.",16,"L",,,,,,,,,,,,1,18,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Derick Ross","derick-ross-1","['WR']","2003-09-27",4,"Cincinnati",2,"@","Miami (OH)",78,"L",,,,,,,,,,,,4,103,25.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lydell Ross","lydell-ross-1","[]","2003-09-27",5,"Ohio St.",36,,"Northwestern",35,"W",,,,,,,,9,43,4.8,1,1,15,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Steven Ross","steven-ross-1","[]","2003-09-27",4,"Auburn",109,,"Western Kentucky",64,"W",,,,,,,,,,,,1,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Matt Rushbrook","matt-rushbrook-1","[]","2003-09-27",4,"SMU",8,"@","Nevada",88,"L",,,,,,,,1,6,6,0,3,48,16,0,,,,,,,,,,,,,,,,,,,,,,,,,3,26,8.7,0
"J.R. Russell","jr-russell-1","[]","2003-09-27",4,"Louisville",18,,"Temple",10,"W",,,,,,,,,,,,5,99,19.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hiawatha Rutland","hiawatha-rutland-1","[]","2003-09-27",4,"Iowa St.",42,"@","Northern Illinois",79,"L",,,,,,,,7,31,4.4,1,1,18,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sean Ryan","sean-ryan-1","[]","2003-09-27",5,"Boston College",13,,"Ball St.",72,"W",,,,,,,,,,,,4,36,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lorne Sam","lorne-sam-1","['WR', 'QB']","2003-09-27",5,"Florida St.",16,"@","Duke",15,"W",,,,,,,,,,,,1,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"P.K. Sam","pk-sam-1","[]","2003-09-27",5,"Florida St.",16,"@","Duke",15,"W",,,,,,,,,,,,4,40,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jeff Samardzija","jeff-samardzija-1","['WR']","2003-09-27",4,"Notre Dame",70,"@","Purdue",38,"L",,,,,,,,,,,,4,18,4.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
