"Player","unique_id","position","Date","G","School","Team Code","Loc","Opponent","Team Code opp","WL","Pass Comp","Pass Att","Pass Pct","Pass Yard","Pass TD","Pass Int","QBR","Rush Att","Rush Yard","Rush Avg","Rush TD","Rec","Rec Yards","Rec Avg","Rec TD","Tackle Solo","Tackle Assist","Tackle Tot","Tackle for Loss","Sack","Int Ret","Int Ret Yds","Int TD","Pass Broken Up","FR","FR Yds","FR TD","Fumble Forced","XP Made","XP Att","XP %","FG Made","FG Att","FG %","Pts","Kick Ret","Kick Ret Yds","Kick Ret Avg","Kick Ret TD","Punt Ret","Punt Ret Yds","Punt Ret Avg","Punt Ret TD"
"Steve Burke","steve-burke-1","['DB']","2004-08-28",1,"Miami (OH)",78,,"Indiana State",183,"W",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Lofa Tatupu","lofa-tatupu-1","[]","2004-08-28",1,"USC",103,"N","Virginia Tech",25,"W",,,,,,,,,,,,,,,,,,,,,1,32,0,,,,,,,,,,,,,,,,,,,,
"Steven Bednarik","steven-bednarik-1","['LB']","2004-09-02",1,"Eastern Michigan",76,,"Buffalo",74,"W",,,,,,,,,,,,,,,,,,,,,1,22,0,,,,,,,,,,,,,,,,,,,,
"Quency Darley","quency-darley-1","['DL']","2004-09-02",1,"Arizona St.",96,,"UTEP",62,"W",,,,,,,,,,,,,,,,,,,,,1,5,0,,,,,,,,,,,,,,,,,,,,
"Mike Davis Jr.","mike-davis-jr-1","['DB']","2004-09-02",1,"Arizona St.",96,,"UTEP",62,"W",,,,,,,,,,,,,,,,,,,,,1,9,0,,,,,,,,,,,,,,,,,,,,
"Sir James Delgardo","sir-james-delgardo-1","['DB']","2004-09-02",1,"UTEP",62,"@","Arizona St.",96,"L",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,1,24,24,0
"Emmanuel Franklin","emmanuel-franklin-1","[]","2004-09-02",1,"Arizona St.",96,,"UTEP",62,"W",,,,,,,,,,,,,,,,,,,,,2,76,1,,,,,,,,,,,,,,,,,,,,
"David Gater","david-gater-1","['DB']","2004-09-02",1,"Ball St.",72,,"Boston College",13,"L",,,,,,,,,,,,,,,,,,,,,1,37,0,,,,,,,,,,,,,,,,,,,,
"Mike Giorgianni","mike-giorgianni-1","[]","2004-09-02",1,"Western Michigan",82,,"Tennessee-Martin",209,"W",,,,,,,,,,,,,,,,,,,,,1,33,1,,,,,,,,,,,,,,,,,,,,
"Marvin Godbolt","marvin-godbolt-1","[]","2004-09-02",1,"TCU",47,,"Northwestern",35,"W",,,,,,,,,,,,,,,,,,,,,1,29,0,,,,,,,,,,,,,,,,,,,,
"Steven Lewis","steven-lewis-1","['DB']","2004-09-02",1,"Eastern Michigan",76,,"Buffalo",74,"W",,,,,,,,,,,,,,,,,,,,,1,22,0,,,,,,,,,,,,,,,,,,,,
"Dominique Price","dominique-price-1","[]","2004-09-02",1,"Northwestern",35,"@","TCU",47,"L",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Husain Abdullah","husain-abdullah-1","['DB']","2004-09-03",1,"Washington St.",106,"@","New Mexico",89,"W",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Brandon Payne","brandon-payne-1","[]","2004-09-03",1,"New Mexico",89,,"Washington St.",106,"L",,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,,,,,,,,,,,,
"Alex Teems","alex-teems-1","['DB']","2004-09-03",1,"Washington St.",106,"@","New Mexico",89,"W",,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,,,,,,,,,,,,
"Theo Baines","theo-baines-1","['DB']","2004-09-04",1,"Kansas",43,,"Tulsa",12,"W",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
"Donny Baker","donny-baker-1","['DB']","2004-09-04",1,"San Diego St.",90,,"Idaho State",134,"W",,,,,,,,,,,,,,,,,,,,,1,15,0,,,,,,,,,,,,,,,,,,,,
"Bobby Blackshire","bobby-blackshire-1","['DB']","2004-09-04",1,"Tulsa",12,"@","Kansas",43,"L",,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,
