Player,Date,G,School,Loc,Opponent,WL,unique_id,Int Ret,Int Ret Yds,Int TD,Pass Broken Up
Tom Brandt,2012-08-30,1,Massachusetts,@,Connecticut,L,tom-brandt-1,1.0,20.0,0.0,1.0
Lyle Dankenbring,2012-08-30,1,Central Florida,@,Akron,W,lyle-dankenbring-1,1.0,9.0,0.0,1.0
Alden Darby,2012-08-30,1,Arizona State,,Northern Arizona,W,alden-darby-1,1.0,50.0,0.0,1.0
Dwayne Gratz,2012-08-30,1,Connecticut,,Massachusetts,W,dwayne-gratz-1,1.0,37.0,1.0,2.0
La'Bradford Harold,2012-08-30,1,Utah State,,Southern Utah,W,labradford-harold-1,1.0,0.0,0.0,1.0
Jeremy Harris,2012-08-30,1,New Mexico State,,Sacramento State,W,jeremy-harris-1,1.0,0.0,0.0,2.0
Tim Hasson,2012-08-30,1,Nevada-Las Vegas,,Minnesota,L,tim-hasson-1,1.0,44.0,0.0,2.0
Jordan Johnson,2012-08-30,1,Brigham Young,,Washington State,W,jordan-johnson-3,1.0,64.0,0.0,2.0
Uona Kaveinga,2012-08-30,1,Brigham Young,,Washington State,W,uona-kaveinga-1,1.0,0.0,0.0,1.0
Joe Kruger,2012-08-30,1,Utah,,Northern Colorado,W,joe-kruger-1,1.0,24.0,1.0,2.0
Kenny Ladler,2012-08-30,1,Vanderbilt,,South Carolina,L,kenny-ladler-1,1.0,17.0,0.0,2.0
Brandon Magee,2012-08-30,1,Arizona State,,Northern Arizona,W,brandon-magee-1,1.0,45.0,1.0,1.0
Justin March,2012-08-30,1,Akron,,Central Florida,L,justin-march-1,1.0,0.0,0.0,1.0
Homer Mauga,2012-08-30,1,Idaho,,Eastern Washington,L,homer-mauga-1,1.0,2.0,0.0,1.0
Viliami Moeakiola,2012-08-30,1,Arizona State,,Northern Arizona,W,viliami-moeakiola-1,1.0,22.0,0.0,1.0
Cameron Nwosu,2012-08-30,1,Rice,,UCLA,L,cameron-nwosu-1,1.0,8.0,0.0,1.0
Sheldon Price,2012-08-30,1,UCLA,@,Rice,W,sheldon-price-1,1.0,0.0,0.0,1.0
Antoine Tharpe,2012-08-30,1,Massachusetts,@,Connecticut,L,antoine-tharpe-1,1.0,0.0,0.0,1.0
Brock Vereen,2012-08-30,1,Minnesota,@,Nevada-Las Vegas,W,brock-vereen-1,1.0,-2.0,0.0,0.0
Derrick Wells,2012-08-30,1,Minnesota,@,Nevada-Las Vegas,W,derrick-wells-1,2.0,0.0,0.0,4.0
Shaq Wilson,2012-08-30,1,South Carolina,@,Vanderbilt,W,shaq-wilson-1,1.0,37.0,0.0,1.0
Norman Wolfe Jr.,2012-08-30,1,Kent State,,Towson,W,norman-wolfe-jr-1,1.0,0.0,0.0,2.0
Luke Wollet,2012-08-30,1,Kent State,,Towson,W,luke-wollet-1,1.0,0.0,0.0,3.0
Vaughn Carraway,2012-08-31,1,Temple,,Villanova,W,vaughn-carraway-1,1.0,57.0,1.0,1.0
Eric Gordon,2012-08-31,1,Tennessee,N,North Carolina State,W,eric-gordon-2,1.0,12.0,0.0,1.0
Lee Hightower,2012-08-31,1,Boise State,@,Michigan State,L,lee-hightower-1,1.0,0.0,0.0,1.0
Jeremy Ioane,2012-08-31,1,Boise State,@,Michigan State,L,jeremy-ioane-1,1.0,43.0,1.0,1.0
Byron Moore,2012-08-31,1,Tennessee,N,North Carolina State,W,byron-moore-1,1.0,18.0,0.0,1.0
Ed Reynolds,2012-08-31,1,Stanford,,San Jose State,W,ed-reynolds-1,1.0,23.0,0.0,1.0
D'Joun Smith,2012-08-31,1,Florida Atlantic,,Wagner,W,djoun-smith-1,1.0,0.0,0.0,2.0
Jamar Taylor,2012-08-31,1,Boise State,@,Michigan State,L,jamar-taylor-2,1.0,26.0,0.0,2.0
Marsalis Teague,2012-08-31,1,Tennessee,N,North Carolina State,W,marsalis-teague-1,1.0,0.0,0.0,1.0
Prentiss Waggner,2012-08-31,1,Tennessee,N,North Carolina State,W,prentiss-waggner-1,1.0,8.0,0.0,1.0
Rj Williamson,2012-08-31,1,Michigan State,,Boise State,W,rj-williamson-1,1.0,0.0,0.0,2.0
Sean Alston,2012-09-01,1,Fresno State,,Weber State,W,sean-alston-1,1.0,0.0,0.0,2.0
