Player,Date,G,School,Loc,Opponent,WL,FR,FR Yds,FR TD,Fumble Forced,unique_id
Morris Blueford,2009-09-03,1,Temple,,Villanova,L,0,0,0,1,morris-blueford-1
Audie Cole,2009-09-03,1,North Carolina State,,South Carolina,L,0,0,0,1,audie-cole-1
Robert Eddins,2009-09-03,1,Ball State,,North Texas,L,0,0,0,1,robert-eddins-1
Sean Enesi,2009-09-03,1,Utah State,@,Utah,L,0,0,0,1,sean-enesi-1
Ray Fisher,2009-09-03,1,Indiana,,Eastern Kentucky,W,0,0,0,1,ray-fisher-1
Nai Fotu,2009-09-03,1,Utah,,Utah State,W,0,0,0,1,nai-fotu-1
Fred Garrin,2009-09-03,1,Iowa State,,North Dakota State,W,0,0,0,1,fred-garrin-1
Kevin Kroboth,2009-09-03,1,Temple,,Villanova,L,0,0,0,1,kevin-kroboth-1
Javes Lewis,2009-09-03,1,Oregon,@,Boise State,L,0,0,0,1,javes-lewis-1
Doug Martin,2009-09-03,1,Boise State,,Oregon,W,0,0,0,1,doug-martin-1
Cliff Matthews,2009-09-03,1,South Carolina,@,North Carolina State,W,0,0,0,1,cliff-matthews-1
Tobe Nwigwe,2009-09-03,1,North Texas,@,Ball State,W,0,0,0,1,tobe-nwigwe-1
Rashawn Parker,2009-09-03,1,Iowa State,,North Dakota State,W,0,0,0,1,rashawn-parker-1
J.C. Percy,2009-09-03,1,Boise State,,Oregon,W,0,0,0,1,jc-percy-1
Chris Randle,2009-09-03,1,Utah State,@,Utah,L,0,0,0,1,chris-randle-1
Jerrett Sanderson,2009-09-03,1,Bowling Green State,,Troy,W,0,0,0,1,jerrett-sanderson-1
Monte Simmons,2009-09-03,1,Kent State,,Coastal Carolina,W,0,0,0,2,monte-simmons-1
Jesse Smith,2009-09-03,1,Iowa State,,North Dakota State,W,0,0,0,1,jesse-smith-1
Devin Taylor,2009-09-03,1,South Carolina,@,North Carolina State,W,0,0,0,2,devin-taylor-1
Mike Bryan,2009-09-04,1,Tulsa,@,Tulane,W,0,0,0,1,mike-bryan-1
Chinonso Echebelem,2009-09-04,1,Tulane,,Tulsa,L,0,0,0,1,chinonso-echebelem-1
Corey Paredes,2009-09-04,1,Hawaii,,Central Arkansas,W,0,0,0,1,corey-paredes-1
Nate Allen,2009-09-05,1,South Florida,,Wofford,W,0,0,0,1,nate-allen-1
Tyson Alualu,2009-09-05,1,California,,Maryland,W,0,0,0,1,tyson-alualu-1
Eryk Anders,2009-09-05,1,Alabama,N,Virginia Tech,W,0,0,0,1,eryk-anders-1
Lucien Antoine,2009-09-05,1,Oklahoma State,,Georgia,W,0,0,0,1,lucien-antoine-1
Tim Atchison,2009-09-05,1,Baylor,@,Wake Forest,W,0,0,0,1,tim-atchison-1
Chris Banjo,2009-09-05,1,Southern Methodist,,Stephen F. Austin,W,0,0,0,1,chris-banjo-1
Anthony Barnes,2009-09-05,1,Georgia Tech,,Jacksonville State,W,0,0,0,1,anthony-barnes-1
Jeremy Beal,2009-09-05,1,Oklahoma,N,Brigham Young,L,0,0,0,1,jeremy-beal-1
Nick Bellore,2009-09-05,1,Central Michigan,@,Arizona,L,0,0,0,1,nick-bellore-1
Josh Biezuns,2009-09-05,1,Wyoming,,Weber State,W,0,0,0,1,josh-biezuns-1
Chykie Brown,2009-09-05,1,Texas,,Louisiana-Monroe,W,0,0,0,1,chykie-brown-1
Beau Brudzinski,2009-09-05,1,Toledo,@,Purdue,L,0,0,0,1,beau-brudzinski-1
Tanner Burns,2009-09-05,1,San Jose State,@,Southern California,L,0,0,0,1,tanner-burns-1
Isaac Butts,2009-09-05,1,Idaho,@,New Mexico State,W,0,0,0,1,isaac-butts-1
Joel Caldwell,2009-09-05,1,Vanderbilt,,Western Carolina,W,0,0,0,1,joel-caldwell-1
C.C. Carpenter,2009-09-05,1,Louisiana-Monroe,@,Texas,L,0,0,0,1,cc-carpenter-1
Jurrell Casey,2009-09-05,1,Southern California,,San Jose State,W,0,0,0,1,jurrell-casey-1
Ricky Cavanaugh,2009-09-05,1,Texas A&M,,New Mexico,W,0,0,0,1,ricky-cavanaugh-1
Tim Clark,2009-09-05,1,Oregon State,,Portland State,W,0,0,0,1,tim-clark-1
Adrien Cole,2009-09-05,1,Louisiana Tech,@,Auburn,L,0,0,0,2,adrien-cole-1
Kurt Coleman,2009-09-05,1,Ohio State,,Navy,W,0,0,0,1,kurt-coleman-1
Da'Mon Cromartie-Smith,2009-09-05,1,Texas-El Paso,,Buffalo,L,0,0,0,1,damon-cromartie-smith-1
Brandon Davis,2009-09-05,1,San Diego State,@,UCLA,L,0,0,0,1,brandon-davis-3
Bruce Davis,2009-09-05,1,Iowa,,Northern Iowa,W,0,0,0,1,bruce-davis-3
Demario Davis,2009-09-05,1,Arkansas State,,Mississippi Valley State,W,0,0,0,1,demario-davis-1
Dexter Davis,2009-09-05,1,Arizona State,,Idaho State,W,0,0,0,1,dexter-davis-1
Ryan Downard,2009-09-05,1,Eastern Michigan,,Army,L,0,0,0,1,ryan-downard-1
Obi Ezeh,2009-09-05,1,Michigan,,Western Michigan,W,0,0,0,1,obi-ezeh-1
Andre Ferguson,2009-09-05,1,Idaho,@,New Mexico State,W,0,0,0,1,andre-ferguson-1
John Fletcher,2009-09-05,1,Wyoming,,Weber State,W,0,0,0,1,john-fletcher-1
Mason Foster,2009-09-05,1,Washington,,Louisiana State,L,0,0,0,1,mason-foster-1
Chris Galippo,2009-09-05,1,Southern California,,San Jose State,W,0,0,0,1,chris-galippo-1
Carl Gettis,2009-09-05,1,Missouri,N,Illinois,W,0,0,0,1,carl-gettis-1
Thaddeus Gibson,2009-09-05,1,Ohio State,,Navy,W,0,0,0,1,thaddeus-gibson-1
Mike Gothard,2009-09-05,1,Western Kentucky,@,Tennessee,L,0,0,0,2,mike-gothard-1
Cody Grimm,2009-09-05,1,Virginia Tech,N,Alabama,L,0,0,0,1,cody-grimm-1
Chris Harris,2009-09-05,1,Kansas,,Northern Colorado,W,0,0,0,1,chris-harris-1
Kellen Harris,2009-09-05,1,Marshall,,Southern Illinois,W,0,0,0,1,kellen-harris-1
Justin Hill,2009-09-05,1,Rice,@,Alabama-Birmingham,L,0,0,0,1,justin-hill-1
Mario Hill,2009-09-05,1,Army,@,Eastern Michigan,W,0,0,0,1,mario-hill-2
Shane Jarka,2009-09-05,1,Oklahoma State,,Georgia,W,0,0,0,1,shane-jarka-1
Brandon Jones,2009-09-05,1,Washington State,,Stanford,L,0,0,0,1,brandon-jones-8
Hank Keighley,2009-09-05,1,Toledo,@,Purdue,L,0,0,0,1,hank-keighley-1
Brian Kelly,2009-09-05,1,Buffalo,@,Texas-El Paso,W,0,0,0,1,brian-kelly-4
