Player,Date,G,School,Loc,Opponent,WL,XP Made,XP Att,XP %,FG Made,FG Att,FG %,Pts,unique_id
Matt Anderson,2016-08-26,1,California,N,Hawaii,W,6,6,100.0,3,3,100.0,15,matt-anderson-3
Rigoberto Sanchez,2016-08-26,1,Hawaii,N,California,L,4,4,100.0,1,1,100.0,7,rigoberto-sanchez-1
Kyle Bambard,2016-09-01,1,North Carolina State,,William & Mary,W,5,6,83.3,0,0,,5,kyle-bambard-1
Emmit Carpenter,2016-09-01,1,Minnesota,,Oregon State,W,3,3,100.0,1,1,100.0,6,emmit-carpenter-1
Blaton Creque,2016-09-01,1,Louisville,,UNC Charlotte,W,1,1,100.0,0,0,,1,blaton-creque-1
Brian Eavey,2016-09-01,1,Central Michigan,,Presbyterian,W,7,7,100.0,0,0,,7,brian-eavey-1
Elliot Fry,2016-09-01,1,South Carolina,@,Vanderbilt,W,1,1,100.0,2,2,100.0,7,elliot-fry-1
Connor Haskins,2016-09-01,1,North Carolina State,,William & Mary,W,1,1,100.0,0,0,,1,connor-haskins-1
Aaron Medley,2016-09-01,1,Tennessee,,Appalachian State,W,2,2,100.0,2,2,100.0,8,aaron-medley-1
Stephen Muscarello,2016-09-01,1,UNC Charlotte,@,Louisville,L,2,2,100.0,0,0,,2,stephen-muscarello-1
Ryan Nuss,2016-09-01,1,Western Kentucky,,Rice,W,2,2,100.0,2,3,66.7,8,ryan-nuss-1
Evan O'Hara,2016-09-01,1,Louisville,,UNC Charlotte,W,9,9,100.0,0,0,,9,evan-ohara-1
Griffin Oakes,2016-09-01,1,Indiana,@,Florida International,W,3,3,100.0,1,2,50.0,6,griffin-oakes-1
Tommy Openshaw,2016-09-01,1,Vanderbilt,,South Carolina,L,1,1,100.0,1,2,50.0,4,tommy-openshaw-1
Garrett Owens,2016-09-01,1,Oregon State,@,Minnesota,L,3,3,100.0,0,0,,3,garrett-owens-1
Evan Pantels,2016-09-01,1,Nevada-Las Vegas,,Jackson State,W,9,9,100.0,0,0,,9,evan-pantels-1
Josh Pasley,2016-09-01,1,Cincinnati,,Tennessee-Martin,W,2,3,66.7,0,1,0.0,2,josh-pasley-1
Andy Phillips,2016-09-01,1,Utah,,Southern Utah,W,3,3,100.0,1,2,50.0,6,andy-phillips-2
Bobby Puyol,2016-09-01,1,Connecticut,,Maine,W,3,3,100.0,1,1,100.0,6,bobby-puyol-1
Austin Rehkow,2016-09-01,1,Idaho,,Montana State,W,2,2,100.0,2,2,100.0,8,austin-rehkow-1
Michael Rubino,2016-09-01,1,Appalachian State,@,Tennessee,L,1,2,50.0,0,1,0.0,1,michael-rubino-1
Jason Sanders,2016-09-01,1,New Mexico,,South Dakota,W,6,6,100.0,2,2,100.0,12,jason-sanders-1
Skyler Simcox,2016-09-01,1,Western Kentucky,,Rice,W,3,3,100.0,1,1,100.0,6,skyler-simcox-1
Austin Taylor,2016-09-01,1,Florida International,,Indiana,L,1,1,100.0,2,2,100.0,7,austin-taylor-2
Hayden Tobola,2016-09-01,1,Rice,@,Western Kentucky,L,2,2,100.0,0,0,,2,hayden-tobola-1
Brock Warren,2016-09-01,1,Utah State,,Weber State,W,6,6,100.0,1,1,100.0,9,brock-warren-1
Mike Weaver,2016-09-01,1,Wake Forest,,Tulane,W,1,1,100.0,0,0,,1,mike-weaver-1
Wyatt Bryan,2016-09-02,1,Colorado State,N,Colorado,L,1,1,100.0,0,0,,1,wyatt-bryan-1
Chris Callahan,2016-09-02,1,Baylor,,Northwestern State,W,7,7,100.0,2,2,100.0,13,chris-callahan-3
Paul Fricano,2016-09-02,1,Eastern Michigan,,Mississippi Valley State,W,8,8,100.0,1,2,50.0,11,paul-fricano-1
Michael Geiger,2016-09-02,1,Michigan State,,Furman,W,4,4,100.0,0,1,0.0,4,michael-geiger-1
Diego Gonzalez,2016-09-02,1,Colorado,N,Colorado State,W,5,5,100.0,3,3,100.0,14,diego-gonzalez-2
Morgan Hagee,2016-09-02,1,Ball State,@,Georgia State,W,4,4,100.0,1,2,50.0,7,morgan-hagee-1
JD Houston,2016-09-02,1,Arkansas State,,Toledo,L,1,1,100.0,1,1,100.0,4,jd-houston-1
Mitchell Howard,2016-09-02,1,Army,@,Temple,W,4,4,100.0,0,2,0.0,4,mitchell-howard-1
Austin Jones,2016-09-02,1,Temple,,Army,L,1,1,100.0,2,2,100.0,7,austin-jones-4
Matthew McCrane,2016-09-02,1,Kansas State,@,Stanford,L,1,1,100.0,2,3,66.7,7,matthew-mccrane-1
Adam Mitcheson,2016-09-02,1,Buffalo,,Albany,L,1,1,100.0,3,4,75.0,10,adam-mitcheson-1
Cole Murphy,2016-09-02,1,Syracuse,,Colgate,W,3,3,100.0,4,4,100.0,15,cole-murphy-1
Rogier Ten Lohuis,2016-09-02,1,Georgia State,,Ball State,L,3,3,100.0,0,0,,3,rogier-ten-lohuis-1
Conrad Ukropina,2016-09-02,1,Stanford,,Kansas State,W,3,3,100.0,1,1,100.0,6,conrad-ukropina-1
Jameson Vest,2016-09-02,1,Toledo,@,Arkansas State,W,4,4,100.0,1,2,50.0,7,jameson-vest-1
Brent Zuzo,2016-09-02,1,Nevada,,Cal Poly,W,3,3,100.0,1,2,50.0,6,brent-zuzo-1
Kenneth Allen,2016-09-03,1,Michigan,,Hawaii,W,5,5,100.0,0,0,,5,kenneth-allen-1
Rhett Almond,2016-09-03,1,Brigham Young,N,Arizona,W,0,1,0.0,1,1,100.0,3,rhett-almond-1
Matt Ammendola,2016-09-03,1,Oklahoma State,,Southeastern Louisiana,W,0,1,0.0,0,0,,0,matt-ammendola-1
Stevie Artigue,2016-09-03,1,Louisiana,,Boise State,L,1,1,100.0,1,2,50.0,4,stevie-artigue-1
Michael Badgley,2016-09-03,1,Miami (FL),,Florida A&M,W,10,10,100.0,0,1,0.0,10,michael-badgley-1
Jonathan Barnes,2016-09-03,1,Louisiana Tech,@,Arkansas,L,2,2,100.0,2,4,50.0,8,jonathan-barnes-1
John Baron,2016-09-03,1,San Diego State,,New Hampshire,W,4,4,100.0,1,1,100.0,7,john-baron-1
Tyler Bass,2016-09-03,1,Georgia Southern,,Savannah State,W,6,7,85.7,0,0,,6,tyler-bass-3
Chris Blewitt,2016-09-03,1,Pittsburgh,,Villanova,W,4,4,100.0,0,2,0.0,4,chris-blewitt-1
David Bonagura,2016-09-03,1,Rutgers,@,Washington,L,1,1,100.0,2,2,100.0,7,david-bonagura-1
Drew Brown,2016-09-03,1,Nebraska,,Fresno State,W,4,4,100.0,0,0,,4,drew-brown-1
Harrison Butker,2016-09-03,1,Georgia Tech,N,Boston College,W,2,2,100.0,1,1,100.0,5,harrison-butker-1
Mike Caggiano,2016-09-03,1,Massachusetts,@,Florida,L,1,1,100.0,0,0,,1,mike-caggiano-1
Daniel Carlson,2016-09-03,1,Auburn,,Clemson,L,1,1,100.0,2,2,100.0,7,daniel-carlson-1
Bryce Crawford,2016-09-03,1,San Jose State,@,Tulsa,L,1,1,100.0,1,1,100.0,4,bryce-crawford-1
Ty Cummings,2016-09-03,1,Houston,N,Oklahoma,W,3,3,100.0,4,4,100.0,15,ty-cummings-1
Parker Davidson,2016-09-03,1,New Mexico State,@,Texas-El Paso,L,1,2,50.0,1,1,100.0,4,parker-davidson-1
Tyler Davis,2016-09-03,1,Penn State,,Kent State,W,3,3,100.0,2,2,100.0,9,tyler-davis-3
Colby Delahoussaye,2016-09-03,1,Louisiana State,N,Wisconsin,L,2,2,100.0,0,0,,2,colby-delahoussaye-1
J.D. Dillinger,2016-09-03,1,Purdue,,Eastern Kentucky,W,6,6,100.0,1,2,50.0,9,jd-dillinger-1
Nick Dowd,2016-09-03,1,Miami (OH),@,Iowa,L,3,3,100.0,0,0,,3,nick-dowd-1
Keith Duncan,2016-09-03,1,Iowa,,Miami (OH),W,6,6,100.0,1,1,100.0,9,keith-duncan-1
Tyler Durbin,2016-09-03,1,Ohio State,,Bowling Green State,W,11,11,100.0,0,0,,11,tyler-durbin-1
Jake Elliott,2016-09-03,1,Memphis,,Southeast Missouri State,W,3,3,100.0,2,2,100.0,9,jake-elliott-1
Craig Ford,2016-09-03,1,Louisiana-Monroe,,Southern,W,5,5,100.0,1,1,100.0,8,craig-ford-1
Rafael Gaglianone,2016-09-03,1,Wisconsin,N,Louisiana State,W,1,1,100.0,3,3,100.0,10,rafael-gaglianone-1
Zane Gonzalez,2016-09-03,1,Arizona State,,Northern Arizona,W,3,4,75.0,3,3,100.0,12,zane-gonzalez-1
Ryan Graf,2016-09-03,1,Texas Christian,,South Dakota State,W,8,8,100.0,1,1,100.0,11,ryan-graf-1
Westin Graves,2016-09-03,1,Mississippi State,,South Alabama,L,2,2,100.0,2,4,50.0,8,westin-graves-1
Adam Greene,2016-09-03,1,Maryland,,Howard,W,7,7,100.0,1,1,100.0,10,adam-greene-1
Adam Griffith,2016-09-03,1,Alabama,N,Southern California,W,7,7,100.0,1,1,100.0,10,adam-griffith-1
Ben Grogan,2016-09-03,1,Oklahoma State,,Southeastern Louisiana,W,7,7,100.0,2,2,100.0,13,ben-grogan-1
Christian Hagan,2016-09-03,1,Northern Illinois,@,Wyoming,L,4,5,80.0,0,2,0.0,4,christian-hagan-1
William Ham,2016-09-03,1,Georgia,N,North Carolina,W,4,4,100.0,1,2,50.0,7,william-ham-1
Butch Hampton,2016-09-03,1,Western Michigan,@,Northwestern,W,1,1,100.0,3,4,75.0,10,butch-hampton-1
Clayton Hatfield,2016-09-03,1,Texas Tech,,Stephen F. Austin,W,9,9,100.0,2,2,100.0,15,clayton-hatfield-1
Cole Hedlund,2016-09-03,1,Arkansas,,Louisiana Tech,W,3,3,100.0,0,0,,3,cole-hedlund-1
Greg Huegel,2016-09-03,1,Clemson,@,Auburn,W,1,2,50.0,2,2,100.0,7,greg-huegel-1
Shane Hynes,2016-09-03,1,Kent State,@,Penn State,L,1,1,100.0,2,3,66.7,7,shane-hynes-1
Redford Jones,2016-09-03,1,Tulsa,,San Jose State,W,6,6,100.0,1,1,100.0,9,redford-jones-1
