Player,Date,G,School,Loc,Opponent,WL,Int Ret,Int Ret Yds,Int TD,Pass Broken Up,unique_id
Devin Abraham,2017-08-26,1,South Florida,@,San Jose State,W,1,27,0,1,devin-abraham-1
Terrence Alexander,2017-08-26,1,Stanford,N,Rice,W,0,0,0,1,terrence-alexander-1
Malik Antoine,2017-08-26,1,Stanford,N,Rice,W,0,0,0,1,malik-antoine-1
Brandon Arnold,2017-08-26,1,Oregon State,@,Colorado State,L,0,0,0,1,brandon-arnold-1
Christian Bertrand,2017-08-26,1,Rice,N,Stanford,L,0,0,0,1,christian-bertrand-1
Justin Bickham,2017-08-26,1,Rice,N,Stanford,L,0,0,0,1,justin-bickham-1
Trevon Bierria,2017-08-26,1,San Jose State,,South Florida,L,0,0,0,1,trevon-bierria-1
Andre Chachere,2017-08-26,1,San Jose State,,South Florida,L,0,0,0,1,andre-chachere-1
Thomas Cole,2017-08-26,1,Rice,N,Stanford,L,0,0,0,2,thomas-cole-3
Emmanuel Ellerbee,2017-08-26,1,Rice,N,Stanford,L,0,0,0,1,emmanuel-ellerbee-1
Leon Flanagan Jr.,2017-08-26,1,Massachusetts,,Hawaii,L,0,0,0,1,leon-flanagan-jr-1
Frank Ginda,2017-08-26,1,San Jose State,,South Florida,L,0,0,0,1,frank-ginda-1
Marlon Gonzalez,2017-08-26,1,South Florida,@,San Jose State,W,0,0,0,1,marlon-gonzalez-1
Preston Gordon,2017-08-26,1,Rice,N,Stanford,L,0,0,0,1,preston-gordon-1
Mike Hampton,2017-08-26,1,South Florida,@,San Jose State,W,0,0,0,1,mike-hampton-2
Anthony Hawkins,2017-08-26,1,Colorado State,,Oregon State,W,1,14,0,2,anthony-hawkins-1
Ronnie Hoggins,2017-08-26,1,South Florida,@,San Jose State,W,0,0,0,2,ronnie-hoggins-1
Manu Hudson-Rasmussen,2017-08-26,1,Hawaii,@,Massachusetts,W,0,0,0,1,manu-hudson-rasmussen-1
Andrzej Hughes-Murray,2017-08-26,1,Oregon State,@,Colorado State,L,0,0,0,1,andrzej-hughes-murray-1
Peter Kalambayi,2017-08-26,1,Stanford,N,Rice,W,0,0,0,1,peter-kalambayi-1
Jermaine Kelly,2017-08-26,1,San Jose State,,South Florida,L,0,0,0,1,jermaine-kelly-1
Richard King,2017-08-26,1,Colorado State,,Oregon State,W,0,0,0,1,richard-king-3
Kirk Livingstone,2017-08-26,1,South Florida,@,San Jose State,W,0,0,0,1,kirk-livingstone-1
