Player,Date,G,School,Loc,Opponent,WL,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Pass Int,QBR,unique_id
Mike Bercovici,2011-09-01,1,Arizona State,,California-Davis,W,1,2,50.0,7,0,0,79.4,mike-bercovici-1
Joe Brennan,2011-09-01,1,Wisconsin,,Nevada-Las Vegas,W,1,2,50.0,3,0,0,62.6,joe-brennan-1
Teddy Bridgewater,2011-09-01,1,Louisville,,Murray State,W,0,1,0.0,0,0,1,-200.0,teddy-bridgewater-1
Logan Bushnell,2011-09-01,1,Idaho,,Bowling Green State,L,1,1,100.0,51,0,0,528.4,logan-bushnell-1
Wesley Carroll,2011-09-01,1,Florida International,,North Texas,W,16,22,72.7,193,1,0,161.4,wesley-carroll-1
Austin Dantin,2011-09-01,1,Toledo,,New Hampshire,W,15,21,71.4,161,3,0,183.0,austin-dantin-1
Synjyn Days,2011-09-01,1,Georgia Tech,,Western Carolina,W,3,3,100.0,94,0,0,363.2,synjyn-days-1
Chas Dodd,2011-09-01,1,Rutgers,,North Carolina Central,W,9,17,52.9,113,1,1,116.4,chas-dodd-1
Mike Gerardi,2011-09-01,1,Temple,,Villanova,W,14,20,70.0,235,2,0,201.7,mike-gerardi-1
Caleb Herring,2011-09-01,1,Nevada-Las Vegas,@,Wisconsin,L,18,27,66.7,146,2,0,136.5,caleb-herring-1
Kawaun Jakes,2011-09-01,1,Western Kentucky,N,Kentucky,L,9,27,33.3,93,0,4,32.6,kawaun-jakes-1
Taylor Kelly,2011-09-01,1,Arizona State,,California-Davis,W,4,4,100.0,31,0,0,165.1,taylor-kelly-1
Dwight Macon,2011-09-01,1,Toledo,,New Hampshire,W,2,2,100.0,21,0,0,188.2,dwight-macon-1
Jake Medlock,2011-09-01,1,Florida International,,North Texas,W,0,1,0.0,0,0,0,0.0,jake-medlock-1
Ryan Nassib,2011-09-01,1,Syracuse,,Wake Forest,W,20,28,71.4,178,3,0,160.2,ryan-nassib-1
Morgan Newton,2011-09-01,1,Kentucky,N,Western Kentucky,W,7,18,38.9,97,1,3,69.2,morgan-newton-1
Gary Nova,2011-09-01,1,Rutgers,,North Carolina Central,W,6,17,35.3,97,1,0,102.6,gary-nova-1
Brent Osborn,2011-09-01,1,North Texas,@,Florida International,L,5,8,62.5,37,0,0,101.4,brent-osborn-1
Brock Osweiler,2011-09-01,1,Arizona State,,California-Davis,W,19,26,73.1,262,2,1,175.4,brock-osweiler-1
Terrance Owens,2011-09-01,1,Toledo,,New Hampshire,W,10,13,76.9,122,2,0,206.5,terrance-owens-1
Tanner Price,2011-09-01,1,Wake Forest,@,Syracuse,L,18,31,58.1,289,3,0,168.3,tanner-price-1
Ryan Radcliff,2011-09-01,1,Central Michigan,,South Carolina State,W,14,27,51.9,168,2,2,113.7,ryan-radcliff-1
Brian Reader,2011-09-01,1,Idaho,,Bowling Green State,L,19,43,44.2,177,2,1,89.5,brian-reader-1
Taylor Reed,2011-09-01,1,Memphis,,Mississippi State,L,23,35,65.7,149,1,1,105.2,taylor-reed-2
Chris Relf,2011-09-01,1,Mississippi State,@,Memphis,W,13,21,61.9,202,2,0,174.1,chris-relf-1
Tyler Russell,2011-09-01,1,Mississippi State,@,Memphis,W,5,9,55.6,138,1,0,221.0,tyler-russell-1
Matt Schilz,2011-09-01,1,Bowling Green State,@,Idaho,W,19,31,61.3,291,2,0,161.4,matt-schilz-1
Ted Stachitas,2011-09-01,1,Wake Forest,@,Syracuse,L,6,10,60.0,37,0,1,71.1,ted-stachitas-1
Will Stein,2011-09-01,1,Louisville,,Murray State,W,17,32,53.1,226,2,0,133.1,will-stein-1
Andy Summerlin,2011-09-01,1,Memphis,,Mississippi State,L,3,5,60.0,25,0,0,102.0,andy-summerlin-1
Baker Swedenburg,2011-09-01,1,Mississippi State,@,Memphis,W,1,1,100.0,-4,0,0,66.4,baker-swedenburg-1
Derek Thompson,2011-09-01,1,North Texas,@,Florida International,L,14,27,51.9,167,0,0,103.8,derek-thompson-1
Tevin Washington,2011-09-01,1,Georgia Tech,,Western Carolina,W,8,13,61.5,271,3,0,312.8,tevin-washington-1
Russell Wilson,2011-09-01,1,Wisconsin,,Nevada-Las Vegas,W,10,13,76.9,255,2,0,292.5,russell-wilson-1
Jordan Wynn,2011-09-01,1,Utah,,Montana State,W,15,23,65.2,101,2,0,130.8,jordan-wynn-1
Kirk Cousins,2011-09-02,1,Michigan State,,Youngstown State,W,18,22,81.8,222,1,0,181.6,kirk-cousins-1
Robert Griffin III,2011-09-02,1,Baylor,,Texas Christian,W,21,27,77.8,359,5,0,250.6,robert-griffin-iii-1
Andrew Maxwell,2011-09-02,1,Michigan State,,Youngstown State,W,1,1,100.0,15,0,0,226.0,andrew-maxwell-1
Casey Pachall,2011-09-02,1,Texas Christian,@,Baylor,L,25,39,64.1,251,4,1,146.9,casey-pachall-1
Kendall Wright,2011-09-02,1,Baylor,,Texas Christian,W,2,2,100.0,55,1,0,496.0,kendall-wright-1
Drew Allen,2011-09-03,1,Oklahoma,,Tulsa,W,4,7,57.1,42,0,0,107.5,drew-allen-1
Chazz Anderson,2011-09-03,1,Buffalo,@,Pittsburgh,L,32,49,65.3,276,0,1,108.5,chazz-anderson-2
Ryan Aplin,2011-09-03,1,Arkansas State,@,Illinois,L,20,32,62.5,290,0,1,132.4,ryan-aplin-1
David Ash,2011-09-03,1,Texas,,Rice,W,1,1,100.0,2,0,0,116.8,david-ash-1
