Player,Date,G,School,Loc,Opponent,WL,Punt Ret,Punt Ret Yds,Punt Ret Avg,Punt Ret TD,unique_id
Dennis Campbell,2007-08-30,1,Rutgers,,Buffalo,W,1,20,20.0,0,dennis-campbell-1
Jeremy Childs,2007-08-30,1,Boise State,,Weber State,W,1,33,33.0,0,jeremy-childs-1
Charles Davis,2007-08-30,1,Tulsa,@,Louisiana-Monroe,W,3,14,4.7,0,charles-davis-2
Early Doucet,2007-08-30,1,Louisiana State,@,Mississippi State,W,1,5,5.0,0,early-doucet-1
Jon Drager,2007-08-30,1,Kent State,@,Iowa State,W,2,12,6.0,0,jon-drager-1
Casey Flair,2007-08-30,1,Nevada-Las Vegas,@,Utah State,W,3,13,4.3,0,casey-flair-1
Trent Guy,2007-08-30,1,Louisville,,Murray State,W,1,54,54.0,1,trent-guy-1
Eugene Harris,2007-08-30,1,Miami (OH),@,Ball State,W,4,110,27.5,0,eugene-harris-1
B.J. Hill,2007-08-30,1,Ball State,,Miami (OH),L,3,37,12.3,0,bj-hill-2
Taylor Kavanaugh,2007-08-30,1,Oregon State,,Utah,W,4,42,10.5,0,taylor-kavanaugh-1
Lance Long,2007-08-30,1,Mississippi State,,Louisiana State,L,1,4,4.0,0,lance-long-1
Darrell McNeal,2007-08-30,1,Louisiana-Monroe,,Tulsa,L,3,32,10.7,0,darrell-mcneal-1
Haruki Nakamura,2007-08-30,1,Cincinnati,,Southeast Missouri State,W,1,3,3.0,0,haruki-nakamura-1
Derek Pegues,2007-08-30,1,Mississippi State,,Louisiana State,L,3,14,4.7,0,derek-pegues-1
Kevin Robinson,2007-08-30,1,Utah State,,Nevada-Las Vegas,L,2,47,23.5,0,kevin-robinson-1
Zac Sandvig,2007-08-30,1,Iowa State,,Kent State,L,2,0,0.0,0,zac-sandvig-1
Jajuan Spillman,2007-08-30,1,Louisville,,Murray State,W,3,29,9.7,0,jajuan-spillman-1
Marty Tadman,2007-08-30,1,Boise State,,Weber State,W,2,82,41.0,0,marty-tadman-1
Chris Williams,2007-08-30,1,New Mexico State,,Southeastern Louisiana,W,1,5,5.0,0,chris-williams-2
Kyle Wilson,2007-08-30,1,Boise State,,Weber State,W,3,82,27.3,0,kyle-wilson-1
Marquis Wilson,2007-08-30,1,Utah,@,Oregon State,L,1,7,7.0,0,marquis-wilson-1
Titus Young,2007-08-30,1,Boise State,,Weber State,W,1,2,2.0,0,titus-young-1
Reggie Campbell,2007-08-31,1,Navy,@,Temple,W,1,7,7.0,0,reggie-campbell-1
Marquise Liverpool,2007-08-31,1,Temple,,Navy,L,1,12,12.0,0,marquise-liverpool-1
Bruce Williams,2007-08-31,1,Syracuse,,Washington,L,2,20,10.0,0,bruce-williams-1
Joshua Abrams,2007-09-01,1,Ohio,,Gardner-Webb,W,3,30,10.0,0,joshua-abrams-1
Javier Arenas,2007-09-01,1,Alabama,,Western Carolina,W,2,13,6.5,0,javier-arenas-1
Terrence Austin,2007-09-01,1,UCLA,@,Stanford,W,3,41,13.7,0,terrence-austin-1
Nate Beard,2007-09-01,1,Eastern Michigan,@,Pittsburgh,L,1,16,16.0,0,nate-beard-1
Philip Beck,2007-09-01,1,Louisiana Tech,,Central Arkansas,W,3,121,40.3,0,philip-beck-1
Earl Bennett,2007-09-01,1,Vanderbilt,,Richmond,W,3,62,20.7,0,earl-bennett-1
Joe Bennett,2007-09-01,1,Baylor,@,Texas Christian,L,6,38,6.3,0,joe-bennett-1
Aaron Berry,2007-09-01,1,Pittsburgh,,Eastern Michigan,W,1,8,8.0,0,aaron-berry-1
Darrell Blackman,2007-09-01,1,North Carolina State,,Central Florida,L,5,90,18.0,0,darrell-blackman-1
Brian Bonner,2007-09-01,1,Texas Christian,,Baylor,W,4,81,20.3,0,brian-bonner-1
Carldayle Brantley,2007-09-01,1,Florida Atlantic,,Middle Tennessee State,W,3,7,2.3,0,carldayle-brantley-1
Tim Brazzel,2007-09-01,1,Central Michigan,@,Kansas,L,1,0,0.0,0,tim-brazzel-1
Andy Brodell,2007-09-01,1,Iowa,@,Northern Illinois,W,6,75,12.5,0,andy-brodell-1
Andiel Brown,2007-09-01,1,Oregon,,Houston,W,2,35,17.5,0,andiel-brown-1
Dorien Bryant,2007-09-01,1,Purdue,@,Toledo,W,1,16,16.0,0,dorien-bryant-1
Michael Bumpus,2007-09-01,1,Washington State,@,Wisconsin,L,1,3,3.0,0,michael-bumpus-1
Joe Burnett,2007-09-01,1,Central Florida,@,North Carolina State,W,3,5,1.7,0,joe-burnett-1
Bruce Carter,2007-09-01,1,North Carolina,,James Madison,W,1,4,4.0,0,bruce-carter-1
Antoine Cason,2007-09-01,1,Arizona,@,Brigham Young,L,1,22,22.0,0,antoine-cason-1
Zach Charles,2007-09-01,1,Bowling Green State,@,Minnesota,W,3,15,5.0,0,zach-charles-1
Patrick Chung,2007-09-01,1,Oregon,,Houston,W,1,10,10.0,0,patrick-chung-1
Graig Cooper,2007-09-01,1,Miami (FL),,Marshall,W,3,28,9.3,0,graig-cooper-1
Quan Cosby,2007-09-01,1,Texas,,Arkansas State,W,1,30,30.0,0,quan-cosby-1
Vontae Davis,2007-09-01,1,Illinois,N,Missouri,L,1,16,16.0,1,vontae-davis-1
Kirk Decremer,2007-09-01,1,Wisconsin,,Washington State,W,1,0,0.0,0,kirk-decremer-1
