Player,Date,G,School,Loc,Opponent,WL,Int Ret,Int Ret Yds,Int TD,Pass Broken Up,unique_id
Donny Baker,2006-08-31,1,San Diego State,,Texas-El Paso,L,2,0,0,4,donny-baker-1
Chris Baloney,2006-08-31,1,Arizona State,,Northern Arizona,W,1,35,1,1,chris-baloney-1
Anthony Barksdale,2006-08-31,1,Connecticut,,Rhode Island,W,1,0,0,,anthony-barksdale-1
Ray Bass,2006-08-31,1,San Diego State,,Texas-El Paso,L,1,0,0,1,ray-bass-1
Fred Bennett,2006-08-31,1,South Carolina,@,Mississippi State,W,1,30,0,1,fred-bennett-1
Bobby Blackshire,2006-08-31,1,Tulsa,,Stephen F. Austin,W,1,5,0,1,bobby-blackshire-1
Colt Brooks,2006-08-31,1,Boise State,,Sacramento State,W,1,0,0,1,colt-brooks-1
Courtney Bryan,2006-08-31,1,New Mexico State,,Southeastern Louisiana,W,1,1,0,2,courtney-bryan-1
Darius Butler,2006-08-31,1,Connecticut,,Rhode Island,W,1,0,0,2,darius-butler-1
Quinton Culberson,2006-08-31,1,Mississippi State,,South Carolina,L,1,0,0,2,quinton-culberson-1
Quintin Demps,2006-08-31,1,Texas-El Paso,@,San Diego State,W,2,37,0,2,quintin-demps-1
Gary Ham,2006-08-31,1,Kent State,,Minnesota,L,1,32,0,1,gary-ham-1
Chris Hampton,2006-08-31,1,South Carolina,@,Mississippi State,W,1,0,0,1,chris-hampton-1
Jamal Harris,2006-08-31,1,Minnesota,@,Kent State,W,2,0,0,2,jamal-harris-1
Jesse Imes,2006-08-31,1,Buffalo,,Temple,W,1,0,0,2,jesse-imes-1
Dominic Jones,2006-08-31,1,Minnesota,@,Kent State,W,1,0,0,1,dominic-jones-1
Alex Knipp,2006-08-31,1,Ball State,,Eastern Michigan,W,1,9,0,1,alex-knipp-1
T.J. McKay,2006-08-31,1,San Diego State,,Texas-El Paso,L,1,10,0,1,tj-mckay-1
Tyrone McKenzie,2006-08-31,1,Iowa State,,Toledo,W,1,17,0,2,tyrone-mckenzie-1
Kevin Payne,2006-08-31,1,Louisiana-Monroe,,Alcorn State,W,1,0,0,2,kevin-payne-1
Sabby Piscitelli,2006-08-31,1,Oregon State,,Eastern Washington,W,1,0,0,,sabby-piscitelli-1
Lionell Singleton,2006-08-31,1,Florida International,@,Middle Tennessee State,L,1,20,0,,lionell-singleton-1
Brian Toal,2006-08-31,1,Boston College,@,Central Michigan,W,1,0,0,1,brian-toal-1
James Wright,2006-08-31,1,Louisiana-Monroe,,Alcorn State,W,1,33,1,1,james-wright-2
Taheem Acevedo,2006-09-02,1,Florida Atlantic,@,Clemson,L,1,0,0,2,taheem-acevedo-1
Quinton Andrews,2006-09-02,1,West Virginia,,Marshall,W,1,14,0,1,quinton-andrews-1
Trey Brown,2006-09-02,1,UCLA,,Utah,W,1,0,0,2,trey-brown-1
Antoine Bush,2006-09-02,1,North Texas,@,Texas,L,1,5,0,1,antoine-bush-1
Manny Collins,2006-09-02,1,Rutgers,@,North Carolina,W,2,25,0,,manny-collins-1
