Player,Date,G,School,Loc,Opponent,WL,unique_id,Int Ret,Int Ret Yds,Int TD,Pass Broken Up
Lorenzo Burns,2019-08-24,1,Arizona,@,Hawaii,L,lorenzo-burns-1,1.0,14.0,0.0,1.0
Amari Carter,2019-08-24,1,Miami (FL),N,Florida,L,amari-carter-1,1.0,22.0,0.0,0.0
Tony Fields II,2019-08-24,1,Arizona,@,Hawaii,L,tony-fields-ii-1,1.0,14.0,0.0,0.0
Romeo Finley,2019-08-24,1,Miami (FL),N,Florida,L,romeo-finley-1,1.0,19.0,0.0,0.0
Kai Kaneshiro,2019-08-24,1,Hawaii,,Arizona,W,kai-kaneshiro-1,1.0,0.0,0.0,0.0
Ikem Okeke,2019-08-24,1,Hawaii,,Arizona,W,ikem-okeke-1,1.0,49.0,0.0,0.0
Jace Whittaker,2019-08-24,1,Arizona,@,Hawaii,L,jace-whittaker-1,2.0,17.0,0.0,1.0
Francis Bernard,2019-08-29,1,Utah,@,Brigham Young,W,francis-bernard-1,1.0,58.0,1.0,0.0
Julian Blackmon,2019-08-29,1,Utah,@,Brigham Young,W,julian-blackmon-1,1.0,39.0,1.0,1.0
Bobby Brown II,2019-08-29,1,San Jose State,,Northern Colorado,W,bobby-brown-ii-1,1.0,14.0,0.0,0.0
Roney Elam,2019-08-29,1,Texas A&M,,Texas State,W,roney-elam-1,1.0,24.0,0.0,2.0
Ja'Von Hicks,2019-08-29,1,Cincinnati,,UCLA,W,javon-hicks-1,1.0,15.0,0.0,0.0
Denzel Johnson,2019-08-29,1,Clemson,,Georgia Tech,W,denzel-johnson-2,1.0,6.0,0.0,0.0
Myles Jones,2019-08-29,1,Texas A&M,,Texas State,W,myles-jones-1,2.0,33.0,0.0,0.0
Thakarius Keyes,2019-08-29,1,Tulane,,Florida International,W,thakarius-keyes-1,1.0,0.0,0.0,1.0
Bryan London,2019-08-29,1,Texas State,@,Texas A&M,L,bryan-london-1,1.0,13.0,0.0,0.0
