Player,Date,G,School,Loc,Opponent,WL,Punt Ret,Punt Ret Yds,Punt Ret Avg,Punt Ret TD,unique_id
Dri Archer,2010-09-02,1,Kent State,,Murray State,W,3,25,8.3,0,dri-archer-1
Travis Benjamin,2010-09-02,1,Miami (FL),,Florida A&M,W,2,17,8.5,0,travis-benjamin-1
Brandon Bing,2010-09-02,1,Rutgers,,Norfolk State,W,1,28,28.0,0,brandon-bing-1
Corey Brown,2010-09-02,1,Ohio State,,Marshall,W,1,11,11.0,0,corey-brown-2
Kevin Bush,2010-09-02,1,Indiana,,Towson,W,1,13,13.0,0,kevin-bush-1
Brandon Green,2010-09-02,1,Minnesota,@,Middle Tennessee State,W,2,18,9.0,0,brandon-green-1
Jordan Hall,2010-09-02,1,Ohio State,,Marshall,W,3,19,6.3,0,jordan-hall-1
Avery Holley,2010-09-02,1,Florida Atlantic,@,Alabama-Birmingham,W,1,1,1.0,0,avery-holley-1
Terrell Jackson,2010-09-02,1,Buffalo,,Rhode Island,W,3,43,14.3,0,terrell-jackson-3
Eugene Jarvis,2010-09-02,1,Kent State,,Murray State,W,5,46,9.2,0,eugene-jarvis-1
Ronald Johnson,2010-09-02,1,Southern California,@,Hawaii,W,3,100,33.3,1,ronald-johnson-2
Jermaine Kelson,2010-09-02,1,Marshall,@,Ohio State,L,1,2,2.0,0,jermaine-kelson-1
Shiloh Keo,2010-09-02,1,Idaho,,North Dakota,W,2,9,4.5,0,shiloh-keo-1
Tracy Lampley,2010-09-02,1,Southern Mississippi,@,South Carolina,L,1,13,13.0,0,tracy-lampley-1
Josh Lenz,2010-09-02,1,Iowa State,,Northern Illinois,W,1,11,11.0,0,josh-lenz-1
Francisco Llanos,2010-09-02,1,Southern Mississippi,@,South Carolina,L,1,17,17.0,0,francisco-llanos-1
Rishard Matthews,2010-09-02,1,Nevada,,Eastern Washington,W,3,33,11.0,0,rishard-matthews-1
Lamar Miller,2010-09-02,1,Miami (FL),,Florida A&M,W,1,15,15.0,0,lamar-miller-1
Briggs Orsbon,2010-09-02,1,Ball State,,Southeast Missouri State,W,1,0,0.0,0,briggs-orsbon-1
Antwuan Reed,2010-09-02,1,Pittsburgh,@,Utah,L,1,18,18.0,0,antwuan-reed-1
Mason Robinson,2010-09-02,1,Rutgers,,Norfolk State,W,2,29,14.5,0,mason-robinson-1
Casey Robottom,2010-09-02,1,Tulane,,Southeastern Louisiana,W,3,20,6.7,0,casey-robottom-1
Pat Shed,2010-09-02,1,Alabama-Birmingham,,Florida Atlantic,L,5,27,5.4,0,pat-shed-1
Jamill Smith,2010-09-02,1,Ball State,,Southeast Missouri State,W,1,10,10.0,0,jamill-smith-1
Shaky Smithson,2010-09-02,1,Utah,,Pittsburgh,W,1,-2,-2.0,0,shaky-smithson-1
Cody Wilson,2010-09-02,1,Central Michigan,,Hampton,W,2,28,14.0,0,cody-wilson-1
Ryan Alderman,2010-09-03,1,Temple,,Villanova,W,1,28,28.0,0,ryan-alderman-1
Delano Green,2010-09-03,1,Temple,,Villanova,W,2,6,3.0,0,delano-green-1
Eric Page,2010-09-03,1,Toledo,,Arizona,L,3,-10,-3.3,0,eric-page-1
William Wright,2010-09-03,1,Arizona,@,Toledo,W,3,47,15.7,0,william-wright-1
Joe Adams,2010-09-04,1,Arkansas,,Tennessee Tech,W,1,7,7.0,0,joe-adams-1
Armando Allen,2010-09-04,1,Notre Dame,,Purdue,W,1,38,38.0,0,armando-allen-1
Braxton Amy,2010-09-04,1,Texas-El Paso,,Arkansas-Pine Bluff,W,4,36,9.0,0,braxton-amy-1
Derrall Anderson,2010-09-04,1,Arizona State,,Portland State,W,1,5,5.0,0,derrall-anderson-1
Doug Baldwin,2010-09-04,1,Stanford,,Sacramento State,W,1,8,8.0,0,doug-baldwin-1
Kenjon Barner,2010-09-04,1,Oregon,,New Mexico,W,1,9,9.0,0,kenjon-barner-1
Doug Beaumont,2010-09-04,1,Louisville,,Kentucky,L,1,28,28.0,0,doug-beaumont-1
Leon Brooks,2010-09-04,1,Washington State,@,Oklahoma State,L,1,14,14.0,0,leon-brooks-1
Curtis Brown,2010-09-04,1,Texas,@,Rice,W,1,17,17.0,0,curtis-brown-2
Justin Brown,2010-09-04,1,Penn State,,Youngstown State,W,2,4,2.0,0,justin-brown-1
Krys Buerck,2010-09-04,1,Baylor,,Sam Houston State,W,3,41,13.7,0,krys-buerck-1
Chad Bumphis,2010-09-04,1,Mississippi State,,Memphis,W,4,49,12.3,0,chad-bumphis-1
Justin Byers,2010-09-04,1,North Carolina State,,Western Carolina,W,1,9,9.0,0,justin-byers-1
Quindarius Carr,2010-09-04,1,Auburn,,Arkansas State,W,5,47,9.4,0,quindarius-carr-1
