Player,Date,G,School,Loc,Opponent,WL,Punt Ret,Punt Ret Yds,Punt Ret Avg,Punt Ret TD,unique_id
Jared Abbrederis,2011-09-01,1,Wisconsin,,Nevada-Las Vegas,W,3,58,19.3,0,jared-abbrederis-1
Kama Bailey,2011-09-01,1,Idaho,,Bowling Green State,L,1,18,18.0,0,kama-bailey-1
Johnthan Banks,2011-09-01,1,Mississippi State,@,Memphis,W,3,25,8.3,0,johnthan-banks-1
Matt Brown,2011-09-01,1,Temple,,Villanova,W,1,37,37.0,0,matt-brown-1
Michael Campanaro,2011-09-01,1,Wake Forest,@,Syracuse,L,2,12,6.0,0,michael-campanaro-1
Brelan Chancellor,2011-09-01,1,North Texas,@,Florida International,L,1,3,3.0,0,brelan-chancellor-1
Eugene Cooper,2011-09-01,1,Bowling Green State,@,Idaho,W,4,32,8.0,0,eugene-cooper-1
John Evans,2011-09-01,1,Western Kentucky,N,Kentucky,L,2,9,4.5,0,john-evans-1
Charles Henderson,2011-09-01,1,Utah,,Montana State,W,3,32,10.7,0,charles-henderson-1
T.Y. Hilton,2011-09-01,1,Florida International,,North Texas,W,2,10,5.0,0,ty-hilton-1
Zach Laskey,2011-09-01,1,Georgia Tech,,Western Carolina,W,2,31,15.5,0,zach-laskey-1
Jameon Lewis,2011-09-01,1,Mississippi State,@,Memphis,W,3,10,3.3,0,jameon-lewis-1
Matt Martinez,2011-09-01,1,Utah,,Montana State,W,1,5,5.0,0,matt-martinez-2
Griffin McNabb,2011-09-01,1,Utah,,Montana State,W,2,8,4.0,0,griffin-mcnabb-1
Jamal Miles,2011-09-01,1,Arizona State,,California-Davis,W,3,54,18.0,0,jamal-miles-1
Eric Page,2011-09-01,1,Toledo,,New Hampshire,W,2,43,21.5,0,eric-page-1
Scott Radcliff,2011-09-01,1,Louisville,,Murray State,W,3,31,10.3,0,scott-radcliff-1
Mason Robinson,2011-09-01,1,Rutgers,,North Carolina Central,W,2,5,2.5,0,mason-robinson-1
Rashad Ross,2011-09-01,1,Arizona State,,California-Davis,W,3,39,13.0,0,rashad-ross-1
