Player,Date,G,School,Loc,Opponent,WL,Int Ret,Int Ret Yds,Int TD,Pass Broken Up,unique_id
Joseph Peterson,2014-08-27,1,Georgia State,,Abilene Christian,W,1,28,0,0,joseph-peterson-1
Tony Annese,2014-08-28,1,Central Michigan,,Chattanooga,W,2,0,0,0,tony-annese-1
Tony Conner,2014-08-28,1,Mississippi,N,Boise State,W,1,0,0,0,tony-conner-1
Senquez Golson,2014-08-28,1,Mississippi,N,Boise State,W,1,0,0,0,senquez-golson-1
Justin Goodwin,2014-08-28,1,Rutgers,@,Washington State,W,1,0,0,0,justin-goodwin-1
Tyler Gray,2014-08-28,1,Boise State,N,Mississippi,L,1,7,0,0,tyler-gray-1
Jeremy Ioane,2014-08-28,1,Boise State,N,Mississippi,L,1,0,0,1,jeremy-ioane-1
Cequan Jefferson,2014-08-28,1,Temple,@,Vanderbilt,W,1,20,0,0,cequan-jefferson-1
Antonio Johnson,2014-08-28,1,Minnesota,,Eastern Illinois,W,1,17,0,1,antonio-johnson-4
C.J. Johnson,2014-08-28,1,Mississippi,N,Boise State,W,1,0,0,1,cj-johnson-3
Kevin King,2014-08-28,1,Central Michigan,,Chattanooga,W,1,0,0,0,kevin-king-2
Mitch Lane,2014-08-28,1,Louisiana-Monroe,,Wake Forest,W,1,31,0,0,mitch-lane-1
Demarco Nelson,2014-08-28,1,Tulsa,,Tulane,W,1,0,0,0,demarco-nelson-1
Parry Nickerson,2014-08-28,1,Tulane,@,Tulsa,L,1,0,0,0,parry-nickerson-1
Taurean Nixon,2014-08-28,1,Tulane,@,Tulsa,L,1,22,0,0,taurean-nixon-2
Cody Prewitt,2014-08-28,1,Mississippi,N,Boise State,W,1,22,0,0,cody-prewitt-1
Tana Pritchard,2014-08-28,1,Washington State,,Rutgers,L,1,9,0,0,tana-pritchard-1
Winston Rose,2014-08-28,1,New Mexico State,,Cal Poly,W,1,0,0,0,winston-rose-1
Blake Serpa,2014-08-28,1,Central Michigan,,Chattanooga,W,1,2,0,0,blake-serpa-1
Albert Smalls,2014-08-28,1,Northern Illinois,,Presbyterian,W,1,10,0,0,albert-smalls-1
Darian Thompson,2014-08-28,1,Boise State,N,Mississippi,L,1,0,0,0,darian-thompson-1
Cleveland Wallace,2014-08-28,1,San Jose State,,North Dakota,W,1,4,0,0,cleveland-wallace-1
Armani Watts,2014-08-28,1,Texas A&M,@,South Carolina,W,1,0,0,2,armani-watts-1
Tavon Young,2014-08-28,1,Temple,@,Vanderbilt,W,2,35,0,0,tavon-young-1
Crosby Adams,2014-08-29,1,Texas-San Antonio,@,Houston,W,1,21,0,0,crosby-adams-1
Kurtis Drummond,2014-08-29,1,Michigan State,,Jacksonville State,W,1,17,0,1,kurtis-drummond-1
Darian Hicks,2014-08-29,1,Michigan State,,Jacksonville State,W,1,0,0,1,darian-hicks-1
