Player,Date,G,School,Loc,Opponent,WL,Rec,Rec Yards,Rec Avg,Rec TD,unique_id
Noah Herron,2004-09-02,1,Northwestern,@,Texas Christian,L,4,39,9.8,0,noah-herron-1
Johnnie Lee Higgins Jr.,2004-09-02,1,Texas-El Paso,@,Arizona State,L,2,43,21.5,0,johnnie-lee-higgins-jr-1
Hakim Hill,2004-09-02,1,Arizona State,,Texas-El Paso,W,1,0,0.0,0,hakim-hill-1
Lonta Hobbs,2004-09-02,1,Texas Christian,,Northwestern,W,2,14,7.0,0,lonta-hobbs-1
Brian Jackson,2004-09-02,1,Western Michigan,,Tennessee-Martin,W,1,30,30.0,0,brian-jackson-4
Howard Jackson,2004-09-02,1,Texas-El Paso,@,Arizona State,L,3,8,2.7,0,howard-jackson-1
Adam Jacobs,2004-09-02,1,Eastern Michigan,,Buffalo,W,1,8,8.0,1,adam-jacobs-1
Greg Jennings,2004-09-02,1,Western Michigan,,Tennessee-Martin,W,4,33,8.3,0,greg-jennings-1
Taylor Jones,2004-09-02,1,Northwestern,@,Texas Christian,L,1,8,8.0,0,taylor-jones-1
David Kashetta,2004-09-02,1,Boston College,@,Ball State,W,3,16,5.3,0,david-kashetta-1
Steven King,2004-09-02,1,Buffalo,@,Eastern Michigan,L,1,4,4.0,0,steven-king-1
Matt Knueven,2004-09-02,1,Buffalo,@,Eastern Michigan,L,4,39,9.8,0,matt-knueven-1
Travis Latendresse,2004-09-02,1,Utah,,Texas A&M,W,5,69,13.8,0,travis-latendresse-1
Justin Lemay,2004-09-02,1,Western Michigan,,Tennessee-Martin,W,2,63,31.5,1,justin-lemay-1
Courtney Lewis,2004-09-02,1,Texas A&M,@,Utah,L,1,14,14.0,0,courtney-lewis-1
Jamaal Lewis,2004-09-02,1,Arizona State,,Texas-El Paso,W,1,15,15.0,0,jamaal-lewis-1
Travis Lewis,2004-09-02,1,Eastern Michigan,,Buffalo,W,1,5,5.0,0,travis-lewis-1
Jason Lilly,2004-09-02,1,Boston College,@,Ball State,W,3,27,9.0,0,jason-lilly-1
John Madsen,2004-09-02,1,Utah,,Texas A&M,W,3,53,17.7,1,john-madsen-1
Chris Marrow,2004-09-02,1,Texas-El Paso,@,Arizona State,L,5,33,6.6,0,chris-marrow-1
Cody McCarty,2004-09-02,1,Texas Christian,,Northwestern,W,1,25,25.0,0,cody-mccarty-1
Gabriel McClover,2004-09-02,1,Buffalo,@,Eastern Michigan,L,1,22,22.0,0,gabriel-mcclover-1
Robert Merrill,2004-09-02,1,Texas Christian,,Northwestern,W,1,9,9.0,0,robert-merrill-1
Brent Miller,2004-09-02,1,Arizona State,,Texas-El Paso,W,1,2,2.0,1,brent-miller-1
Brian Miller,2004-09-02,1,Buffalo,@,Eastern Michigan,L,3,25,8.3,1,brian-miller-2
Chris Miller,2004-09-02,1,Boston College,@,Ball State,W,1,16,16.0,1,chris-miller-3
Matt Miller,2004-09-02,1,Arizona State,,Texas-El Paso,W,1,14,14.0,0,matt-miller-2
Terry Moss,2004-09-02,1,Ball State,,Boston College,L,3,28,9.3,0,terry-moss-1
Terrence Murphy,2004-09-02,1,Texas A&M,@,Utah,L,8,116,14.5,0,terrence-murphy-1
Moey Mutz,2004-09-02,1,Arizona State,,Texas-El Paso,W,3,43,14.3,0,moey-mutz-1
Mike Onaga,2004-09-02,1,Western Michigan,,Tennessee-Martin,W,1,14,14.0,1,mike-onaga-1
Jared Patterson,2004-09-02,1,Buffalo,@,Eastern Michigan,L,3,17,5.7,0,jared-patterson-1
Jeremy Payton,2004-09-02,1,Arizona State,,Texas-El Paso,W,1,7,7.0,0,jeremy-payton-1
Mark Philmore,2004-09-02,1,Northwestern,@,Texas Christian,L,12,131,10.9,0,mark-philmore-1
Terry Richardson,2004-09-02,1,Arizona State,,Texas-El Paso,W,5,70,14.0,1,terry-richardson-1
Dante Ridgeway,2004-09-02,1,Ball State,,Boston College,L,8,47,5.9,0,dante-ridgeway-1
L'Tydrick Riley,2004-09-02,1,Texas A&M,@,Utah,L,1,4,4.0,0,ltydrick-riley-1
Cory Rodgers,2004-09-02,1,Texas Christian,,Northwestern,W,4,51,12.8,1,cory-rodgers-1
J. Survival Ross,2004-09-02,1,Boston College,@,Ball State,W,1,16,16.0,0,j-survival-ross-1
Brad Salyer,2004-09-02,1,Ball State,,Boston College,L,2,17,8.5,0,brad-salyer-1
Steve Savoy,2004-09-02,1,Utah,,Texas A&M,W,5,108,21.6,1,steve-savoy-1
Tony Scheffler,2004-09-02,1,Western Michigan,,Tennessee-Martin,W,2,25,12.5,1,tony-scheffler-1
Jimmy Smith,2004-09-02,1,Texas-El Paso,@,Arizona State,L,1,7,7.0,0,jimmy-smith-2
Michael Steinhaus,2004-09-02,1,Ball State,,Boston College,L,1,15,15.0,0,michael-steinhaus-1
Chris Talley,2004-09-02,1,Eastern Michigan,,Buffalo,W,1,5,5.0,1,chris-talley-1
Earvin Taylor,2004-09-02,1,Texas A&M,@,Utah,L,1,11,11.0,0,earvin-taylor-1
Marcus Thomas,2004-09-02,1,Texas-El Paso,@,Arizona State,L,2,5,2.5,0,marcus-thomas-2
Kim Thompson,2004-09-02,1,Northwestern,@,Texas Christian,L,1,3,3.0,0,kim-thompson-1
Chad Upshaw,2004-09-02,1,Buffalo,@,Eastern Michigan,L,2,32,16.0,0,chad-upshaw-1
Tyrone Walker,2004-09-02,1,Western Michigan,,Tennessee-Martin,W,2,23,11.5,0,tyrone-walker-1
Paris Warren,2004-09-02,1,Utah,,Texas A&M,W,7,116,16.6,0,paris-warren-2
Brian Watson,2004-09-02,1,Buffalo,@,Eastern Michigan,L,2,4,2.0,0,brian-watson-1
