Player,Date,G,School,Loc,Opponent,WL,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Pass Int,QBR,unique_id
Blake Bortles,2013-08-29,1,Central Florida,,Akron,W,18,24,75.0,314,3,0,226.2,blake-bortles-1
Brandon Bridge,2013-08-29,1,South Alabama,,Southern Utah,L,6,11,54.5,36,0,1,63.9,brandon-bridge-1
Tyler Cameron,2013-08-29,1,Wake Forest,,Presbyterian,W,0,1,0.0,0,0,0,0.0,tyler-cameron-1
Derek Carr,2013-08-29,1,Fresno State,,Rutgers,W,52,73,71.2,456,5,1,143.6,derek-carr-1
Austyn Carta-Samuels,2013-08-29,1,Vanderbilt,,Mississippi,L,21,36,58.3,300,2,2,135.6,austyn-carta-samuels-1
Cameron Coffman,2013-08-29,1,Indiana,,Indiana State,W,2,7,28.6,29,0,1,34.8,cameron-coffman-1
Dane Evans,2013-08-29,1,Tulsa,@,Bowling Green State,L,3,7,42.9,50,1,0,150.0,dane-evans-1
David Fales,2013-08-29,1,San Jose State,,Sacramento State,W,16,32,50.0,225,2,0,129.7,david-fales-1
Tyler Gabbert,2013-08-29,1,Central Florida,,Akron,W,1,3,33.3,5,0,0,47.3,tyler-gabbert-1
Taylor Graham,2013-08-29,1,Hawaii,,Southern California,L,16,41,39.0,208,1,4,70.2,taylor-graham-1
Austin Grammer,2013-08-29,1,Middle Tennessee State,,Western Carolina,W,7,9,77.8,61,0,0,134.7,austin-grammer-1
Cody Green,2013-08-29,1,Tulsa,@,Bowling Green State,L,17,34,50.0,172,0,0,92.5,cody-green-1
Caleb Herring,2013-08-29,1,Nevada-Las Vegas,@,Minnesota,L,1,1,100.0,0,0,0,100.0,caleb-herring-1
Nick Hirschman,2013-08-29,1,Akron,@,Central Florida,L,2,4,50.0,18,1,0,170.3,nick-hirschman-2
Matt Johnson,2013-08-29,1,Bowling Green State,,Tulsa,W,11,23,47.8,151,0,1,94.3,matt-johnson-3
Chuckie Keeton,2013-08-29,1,Utah State,@,Utah,L,31,40,77.5,314,2,0,159.9,chuckie-keeton-1
Cody Kessler,2013-08-29,1,Southern California,@,Hawaii,W,10,19,52.6,95,1,1,101.5,cody-kessler-1
Logan Kilgore,2013-08-29,1,Middle Tennessee State,,Western Carolina,W,12,18,66.7,144,1,0,152.2,logan-kilgore-1
Ross Metheny,2013-08-29,1,South Alabama,,Southern Utah,L,12,17,70.6,112,2,0,164.8,ross-metheny-1
Nick Montana,2013-08-29,1,Tulane,,Jackson State,W,6,14,42.9,144,2,0,176.4,nick-montana-1
Philip Nelson,2013-08-29,1,Minnesota,,Nevada-Las Vegas,W,10,22,45.5,99,1,1,89.2,philip-nelson-1
Gary Nova,2013-08-29,1,Rutgers,@,Fresno State,L,26,41,63.4,348,5,1,170.1,gary-nova-1
Kyle Pohl,2013-08-29,1,Akron,@,Central Florida,L,16,21,76.2,98,0,1,105.9,kyle-pohl-1
Devin Powell,2013-08-29,1,Tulane,,Jackson State,W,1,2,50.0,6,0,0,75.2,devin-powell-1
Tanner Price,2013-08-29,1,Wake Forest,,Presbyterian,W,14,25,56.0,219,1,0,142.8,tanner-price-1
Colin Reardon,2013-08-29,1,Kent State,,Liberty,W,21,28,75.0,194,2,0,156.8,colin-reardon-1
Bryn Renner,2013-08-29,1,North Carolina,@,South Carolina,L,26,43,60.5,194,1,0,106.0,bryn-renner-1
Tre Roberson,2013-08-29,1,Indiana,,Indiana State,W,3,6,50.0,71,2,0,259.4,tre-roberson-1
Matt Schilz,2013-08-29,1,Bowling Green State,,Tulsa,W,1,4,25.0,12,0,0,50.2,matt-schilz-1
Connor Shaw,2013-08-29,1,South Carolina,,North Carolina,W,11,20,55.0,149,1,0,134.1,connor-shaw-1
Nick Sherry,2013-08-29,1,Nevada-Las Vegas,@,Minnesota,L,35,50,70.0,226,2,2,113.2,nick-sherry-1
Nate Sudfeld,2013-08-29,1,Indiana,,Indiana State,W,12,17,70.6,219,4,1,244.7,nate-sudfeld-1
Dylan Thompson,2013-08-29,1,South Carolina,,North Carolina,W,1,1,100.0,29,1,0,673.6,dylan-thompson-1
Bo Wallace,2013-08-29,1,Mississippi,@,Vanderbilt,W,31,47,66.0,283,0,0,116.5,bo-wallace-1
Keith Wenning,2013-08-29,1,Ball State,,Illinois State,W,24,40,60.0,340,3,0,156.2,keith-wenning-1
Chandler Whitmer,2013-08-29,1,Connecticut,,Towson,L,16,28,57.1,206,2,1,135.4,chandler-whitmer-1
Travis Wilson,2013-08-29,1,Utah,,Utah State,W,17,28,60.7,302,2,0,174.9,travis-wilson-4
Max Wittek,2013-08-29,1,Southern California,@,Hawaii,W,5,10,50.0,77,0,0,114.7,max-wittek-1
Ronnie Bell,2013-08-30,1,Georgia State,,Samford,L,28,51,54.9,391,3,2,130.9,ronnie-bell-1
Connor Cook,2013-08-30,1,Michigan State,,Western Michigan,W,6,16,37.5,42,0,0,59.6,connor-cook-1
B.J. Denker,2013-08-30,1,Arizona,,Northern Arizona,W,9,13,69.2,87,1,0,150.8,bj-denker-1
Garrett Gilbert,2013-08-30,1,Southern Methodist,,Texas Tech,L,41,62,66.1,388,0,0,118.7,garrett-gilbert-1
Greg Hankerson,2013-08-30,1,Florida Atlantic,@,Miami (FL),L,5,11,45.5,34,0,0,71.4,greg-hankerson-1
Jaquez Johnson,2013-08-30,1,Florida Atlantic,@,Miami (FL),L,11,20,55.0,83,0,0,89.9,jaquez-johnson-1
Andrew Maxwell,2013-08-30,1,Michigan State,,Western Michigan,W,11,21,52.4,74,0,0,82.0,andrew-maxwell-1
Baker Mayfield,2013-08-30,1,Texas Tech,@,Southern Methodist,W,43,60,71.7,413,4,0,151.5,baker-mayfield-1
Stephen Morris,2013-08-30,1,Miami (FL),,Florida Atlantic,W,15,27,55.6,160,1,1,110.1,stephen-morris-1
John O'Korn,2013-08-30,1,Houston,N,Southern,W,11,15,73.3,107,3,0,199.3,john-okorn-1
