Player,Date,G,School,Loc,Opponent,WL,unique_id,Int Ret,Int Ret Yds,Int TD,Pass Broken Up
B.J. Hill,2007-08-30,1,Ball State,,Miami (OH),L,bj-hill-2,1.0,0.0,0.0,2.0
Fritz Jacques,2007-08-30,1,Kent State,@,Iowa State,W,fritz-jacques-1,1.0,0.0,0.0,2.0
Greg James,2007-08-30,1,Louisiana-Monroe,,Tulsa,L,greg-james-1,1.0,31.0,0.0,2.0
Brian Lainhart,2007-08-30,1,Kent State,@,Iowa State,W,brian-lainhart-1,1.0,50.0,0.0,1.0
Trey Lewis,2007-08-30,1,Ball State,,Miami (OH),L,trey-lewis-1,1.0,1.0,0.0,3.0
Danny McCray,2007-08-30,1,Louisiana State,@,Mississippi State,W,danny-mccray-1,1.0,0.0,0.0,1.0
Brandon McKinney,2007-08-30,1,New Mexico State,,Southeastern Louisiana,W,brandon-mckinney-1,1.0,68.0,1.0,2.0
Mike Mickens,2007-08-30,1,Cincinnati,,Southeast Missouri State,W,mike-mickens-1,2.0,45.0,1.0,2.0
Chris Singleton,2007-08-30,1,Iowa State,,Kent State,L,chris-singleton-1,1.0,0.0,0.0,1.0
James Smith,2007-08-30,1,Iowa State,,Kent State,L,james-smith-3,1.0,15.0,0.0,1.0
Sean Smith,2007-08-30,1,Utah,@,Oregon State,L,sean-smith-2,2.0,0.0,0.0,3.0
Craig Steltz,2007-08-30,1,Louisiana State,@,Mississippi State,W,craig-steltz-1,3.0,100.0,0.0,4.0
Curtis Taylor,2007-08-30,1,Louisiana State,@,Mississippi State,W,curtis-taylor-1,1.0,22.0,0.0,1.0
Jonathan Zenon,2007-08-30,1,Louisiana State,@,Mississippi State,W,jonathan-zenon-1,1.0,0.0,0.0,1.0
Ketric Buffin,2007-08-31,1,Navy,@,Temple,W,ketric-buffin-1,1.0,29.0,0.0,1.0
Matt Wimsatt,2007-08-31,1,Navy,@,Temple,W,matt-wimsatt-1,1.0,11.0,0.0,1.0
Spencer Adkins,2007-09-01,1,Miami (FL),,Marshall,W,spencer-adkins-1,1.0,13.0,0.0,1.0
Nate Allen,2007-09-01,1,South Florida,,Elon,W,nate-allen-1,1.0,0.0,0.0,1.0
Jonathon Amaya,2007-09-01,1,Nevada,@,Nebraska,L,jonathon-amaya-1,1.0,80.0,1.0,1.0
Kevin Barnes,2007-09-01,1,Maryland,,Villanova,W,kevin-barnes-1,1.0,28.0,0.0,1.0
Pierre Bell,2007-09-01,1,East Carolina,@,Virginia Tech,L,pierre-bell-1,1.0,0.0,0.0,1.0
Carson Bird,2007-09-01,1,Air Force,,South Carolina State,W,carson-bird-1,1.0,4.0,0.0,1.0
Tray Blackmon,2007-09-01,1,Auburn,,Kansas State,W,tray-blackmon-1,1.0,49.0,0.0,2.0
Cornelius Brown,2007-09-01,1,Missouri,N,Illinois,W,cornelius-brown-1,1.0,0.0,0.0,1.0
Weldon Brown,2007-09-01,1,Louisiana Tech,,Central Arkansas,W,weldon-brown-1,1.0,0.0,0.0,2.0
Joe Burnett,2007-09-01,1,Central Florida,@,North Carolina State,W,joe-burnett-1,1.0,5.0,0.0,2.0
Darius Butler,2007-09-01,1,Connecticut,@,Duke,W,darius-butler-1,1.0,36.0,1.0,1.0
Jairus Byrd,2007-09-01,1,Oregon,,Houston,W,jairus-byrd-1,1.0,0.0,0.0,1.0
Calais Campbell,2007-09-01,1,Miami (FL),,Marshall,W,calais-campbell-1,1.0,1.0,0.0,2.0
Marquis Carpenter,2007-09-01,1,Texas A&M,,Montana State,W,marquis-carpenter-1,1.0,31.0,0.0,2.0
Patrick Chung,2007-09-01,1,Oregon,,Houston,W,patrick-chung-1,1.0,0.0,0.0,2.0
Ashton Cobb,2007-09-01,1,Kentucky,,Eastern Kentucky,W,ashton-cobb-1,1.0,22.0,0.0,1.0
Steven Coleman,2007-09-01,1,Texas Christian,,Baylor,W,steven-coleman-1,1.0,10.0,0.0,2.0
Reggie Corner,2007-09-01,1,Akron,,Army,W,reggie-corner-1,1.0,74.0,1.0,1.0
Anthony Crosby,2007-09-01,1,Louisiana Tech,,Central Arkansas,W,anthony-crosby-1,1.0,0.0,0.0,1.0
Kevin Dixon,2007-09-01,1,Nebraska,,Nevada,W,kevin-dixon-1,1.0,0.0,0.0,1.0
Brandent Englemon,2007-09-01,1,Michigan,,Appalachian State,L,brandent-englemon-1,1.0,0.0,0.0,1.0
Chris Evans,2007-09-01,1,Auburn,,Kansas State,W,chris-evans-1,1.0,19.0,0.0,1.0
Jeffrey Fitzgerald,2007-09-01,1,Virginia,@,Wyoming,L,jeffrey-fitzgerald-1,1.0,0.0,0.0,1.0
Ricky Gary,2007-09-01,1,Pittsburgh,,Eastern Michigan,W,ricky-gary-1,1.0,2.0,0.0,1.0
Trimane Goddard,2007-09-01,1,North Carolina,,James Madison,W,trimane-goddard-1,1.0,0.0,0.0,1.0
Charles Godfrey,2007-09-01,1,Iowa,@,Northern Illinois,W,charles-godfrey-1,2.0,25.0,0.0,3.0
Jonathan Goff,2007-09-01,1,Vanderbilt,,Richmond,W,jonathan-goff-1,1.0,0.0,0.0,1.0
Tavares Gooden,2007-09-01,1,Miami (FL),,Marshall,W,tavares-gooden-1,1.0,35.0,0.0,1.0
Nic Harris,2007-09-01,1,Oklahoma,,North Texas,W,nic-harris-1,1.0,25.0,1.0,2.0
Victor Harris,2007-09-01,1,Virginia Tech,,East Carolina,W,victor-harris-1,1.0,17.0,1.0,3.0
Montis Harrison,2007-09-01,1,Arkansas State,@,Texas,L,montis-harrison-1,1.0,6.0,0.0,1.0
Aaron Henry,2007-09-01,1,Wisconsin,,Washington State,W,aaron-henry-1,1.0,26.0,0.0,2.0
Robert Henson,2007-09-01,1,Texas Christian,,Baylor,W,robert-henson-1,1.0,43.0,0.0,2.0
Matt Hewitt,2007-09-01,1,Arkansas,,Troy,W,matt-hewitt-1,1.0,0.0,0.0,3.0
Eddie Hicks,2007-09-01,1,Southern Mississippi,,Tennessee-Martin,W,eddie-hicks-1,1.0,6.0,0.0,1.0
Lendy Holmes,2007-09-01,1,Oklahoma,,North Texas,W,lendy-holmes-1,1.0,4.0,0.0,1.0
Mike Humpal,2007-09-01,1,Iowa,@,Northern Illinois,W,mike-humpal-1,1.0,28.0,0.0,1.0
Ervin Jackson,2007-09-01,1,Ohio,,Gardner-Webb,W,ervin-jackson-1,1.0,2.0,0.0,1.0
Robert James,2007-09-01,1,Arizona State,,San Jose State,W,robert-james-1,1.0,6.0,0.0,1.0
Kelin Johnson,2007-09-01,1,Georgia,,Oklahoma State,W,kelin-johnson-1,1.0,41.0,0.0,2.0
Tyrell Johnson,2007-09-01,1,Arkansas State,@,Texas,L,tyrell-johnson-1,1.0,4.0,0.0,1.0
Eddie Jones,2007-09-01,1,Texas,,Arkansas State,W,eddie-jones-1,1.0,0.0,0.0,1.0
James Jones,2007-09-01,1,Purdue,@,Toledo,W,james-jones-2,1.0,0.0,0.0,
Jarrett Jones,2007-09-01,1,Louisiana,@,South Carolina,L,jarrett-jones-1,1.0,0.0,0.0,1.0
Keenan Jones,2007-09-01,1,Hawaii,,Northern Colorado,W,keenan-jones-1,1.0,0.0,0.0,1.0
Shiloh Keo,2007-09-01,1,Idaho,@,Southern California,L,shiloh-keo-1,2.0,31.0,0.0,2.0
Maurice Kitchens,2007-09-01,1,Marshall,@,Miami (FL),L,maurice-kitchens-1,1.0,19.0,0.0,1.0
Joe Kleinsmith,2007-09-01,1,Indiana,,Indiana State,W,joe-kleinsmith-1,1.0,44.0,0.0,
Antonio Lewis,2007-09-01,1,West Virginia,,Western Michigan,W,antonio-lewis-1,1.0,0.0,0.0,
Kenny Lewis,2007-09-01,1,Bowling Green State,@,Minnesota,W,kenny-lewis-1,1.0,6.0,0.0,1.0
Scott Lutrus,2007-09-01,1,Connecticut,@,Duke,W,scott-lutrus-1,1.0,7.0,0.0,1.0
P.J. Mahone,2007-09-01,1,Bowling Green State,@,Minnesota,W,pj-mahone-1,1.0,43.0,0.0,1.0
D.J. Moore,2007-09-01,1,Vanderbilt,,Richmond,W,dj-moore-1,1.0,22.0,0.0,1.0
William Moore,2007-09-01,1,Missouri,N,Illinois,W,william-moore-1,1.0,0.0,0.0,1.0
