Player,Date,G,School,Loc,Opponent,WL,Rush Att,Rush Yard,Rush Avg,Rush TD,unique_id
Nick Arbuckle,2014-08-27,1,Georgia State,,Abilene Christian,W,5,25,5.0,0,nick-arbuckle-1
Krysten Hammon,2014-08-27,1,Georgia State,,Abilene Christian,W,13,74,5.7,0,krysten-hammon-1
Donovan Harden,2014-08-27,1,Georgia State,,Abilene Christian,W,1,2,2.0,0,donovan-harden-2
Jonathan Lytle,2014-08-27,1,Georgia State,,Abilene Christian,W,1,2,2.0,1,jonathan-lytle-1
Kyler Neal,2014-08-27,1,Georgia State,,Abilene Christian,W,8,46,5.8,0,kyler-neal-1
Duvall Smith,2014-08-27,1,Georgia State,,Abilene Christian,W,5,4,0.8,0,duvall-smith-1
Jay Ajayi,2014-08-28,1,Boise State,N,Mississippi,L,20,86,4.3,0,jay-ajayi-1
Sherman Badie,2014-08-28,1,Tulane,@,Tulsa,L,15,215,14.3,1,sherman-badie-1
Kalen Ballage,2014-08-28,1,Arizona State,,Weber State,W,12,36,3.0,1,kalen-ballage-1
Mike Bercovici,2014-08-28,1,Arizona State,,Weber State,W,2,10,5.0,0,mike-bercovici-1
Brandon Betancourt,2014-08-28,1,New Mexico State,,Cal Poly,W,7,42,6.0,0,brandon-betancourt-1
Devontae Booker,2014-08-28,1,Utah,,Idaho State,W,10,78,7.8,2,devontae-booker-1
Joel Bouagnon,2014-08-28,1,Northern Illinois,,Presbyterian,W,16,97,6.1,4,joel-bouagnon-1
D'Angelo Brewer,2014-08-28,1,Tulsa,,Tulane,W,4,11,2.8,0,dangelo-brewer-1
Brayle Brown,2014-08-28,1,Louisiana-Monroe,,Wake Forest,W,1,-4,-4.0,0,brayle-brown-1
Da'Ron Brown,2014-08-28,1,Northern Illinois,,Presbyterian,W,1,5,5.0,0,daron-brown-1
Osirius Burke,2014-08-28,1,San Jose State,,North Dakota,W,1,2,2.0,0,osirius-burke-1
Dante Butler,2014-08-28,1,Tulane,@,Tulsa,L,3,8,2.7,0,dante-butler-1
