Player,Date,G,School,Loc,Opponent,WL,Kick Ret,Kick Ret Yds,Kick Ret Avg,Kick Ret TD,unique_id
Glenn Smith,2014-08-27,1,Georgia State,,Abilene Christian,W,1,18,18.0,0,glenn-smith-2
Avery Sweeting,2014-08-27,1,Georgia State,,Abilene Christian,W,7,131,18.7,0,avery-sweeting-1
Devin Boutte,2014-08-28,1,Tulane,@,Tulsa,L,2,42,21.0,0,devin-boutte-1
Tyler Cain,2014-08-28,1,Louisiana-Monroe,,Wake Forest,W,2,52,26.0,0,tyler-cain-1
Shon Carson,2014-08-28,1,South Carolina,,Texas A&M,L,2,32,16.0,0,shon-carson-1
Kaelin Clay,2014-08-28,1,Utah,,Idaho State,W,1,100,100.0,1,kaelin-clay-1
Tim Crawley,2014-08-28,1,San Jose State,,North Dakota,W,1,21,21.0,0,tim-crawley-1
Bryan Douglas,2014-08-28,1,Boise State,N,Mississippi,L,6,135,22.5,0,bryan-douglas-1
Janarion Grant,2014-08-28,1,Rutgers,@,Washington State,W,6,131,21.8,0,janarion-grant-1
Tyler Henderson,2014-08-28,1,Wake Forest,@,Louisiana-Monroe,L,1,14,14.0,0,tyler-henderson-2
Khalif Herbin,2014-08-28,1,Temple,@,Vanderbilt,W,2,48,24.0,0,khalif-herbin-1
Tre Herndon,2014-08-28,1,Vanderbilt,,Temple,L,3,78,26.0,0,tre-herndon-1
Gregory Hogan,2014-08-28,1,New Mexico State,,Cal Poly,W,1,17,17.0,0,gregory-hogan-1
Marcus Jones,2014-08-28,1,Minnesota,,Eastern Illinois,W,2,33,16.5,0,marcus-jones-8
Paris Logan,2014-08-28,1,Northern Illinois,,Presbyterian,W,1,21,21.0,0,paris-logan-1
Bishop Louie,2014-08-28,1,Tulsa,,Tulane,W,1,14,14.0,0,bishop-louie-1
Teldrick Morgan,2014-08-28,1,New Mexico State,,Cal Poly,W,1,10,10.0,0,teldrick-morgan-1
Sidney Rhodes,2014-08-28,1,South Carolina,,Texas A&M,L,1,23,23.0,0,sidney-rhodes-1
Colby Scott,2014-08-28,1,Tulsa,,Tulane,W,1,8,8.0,0,colby-scott-1
Rowdy Simon,2014-08-28,1,Tulsa,,Tulane,W,2,43,21.5,0,rowdy-simon-1
Darrius Sims,2014-08-28,1,Vanderbilt,,Temple,L,4,72,18.0,0,darrius-sims-1
Rob Sterling,2014-08-28,1,Northern Illinois,,Presbyterian,W,1,21,21.0,0,rob-sterling-1
Laquon Treadwell,2014-08-28,1,Mississippi,N,Boise State,W,1,3,3.0,0,laquon-treadwell-1
Teddy Veal,2014-08-28,1,Tulane,@,Tulsa,L,1,17,17.0,0,teddy-veal-1
Courtney Williams,2014-08-28,1,Central Michigan,,Chattanooga,W,1,18,18.0,0,courtney-williams-2
Kristoff Williams,2014-08-28,1,Washington State,,Rutgers,L,7,155,22.1,0,kristoff-williams-1
Trey Williams,2014-08-28,1,Texas A&M,@,South Carolina,W,1,32,32.0,0,trey-williams-2
Corey Willis,2014-08-28,1,Central Michigan,,Chattanooga,W,2,46,23.0,0,corey-willis-1
Demarcus Ayers,2014-08-29,1,Houston,,Texas-San Antonio,L,5,81,16.2,0,demarcus-ayers-1
Ryan Burbrink,2014-08-29,1,Bowling Green State,@,Western Kentucky,L,1,21,21.0,0,ryan-burbrink-1
Fred Coppet,2014-08-29,1,Bowling Green State,@,Western Kentucky,L,1,20,20.0,0,fred-coppet-1
Deshon Foxx,2014-08-29,1,Connecticut,,Brigham Young,L,3,48,16.0,0,deshon-foxx-1
Deionte Gaines,2014-08-29,1,Colorado State,N,Colorado,W,3,87,29.0,0,deionte-gaines-1
Samajie Grant,2014-08-29,1,Arizona,,Nevada-Las Vegas,W,2,37,18.5,0,samajie-grant-1
Adam Hine,2014-08-29,1,Brigham Young,@,Connecticut,W,1,27,27.0,0,adam-hine-1
Paul Lasike,2014-08-29,1,Brigham Young,@,Connecticut,W,1,18,18.0,0,paul-lasike-1
Phillip Lindsay,2014-08-29,1,Colorado,N,Colorado State,L,2,42,21.0,0,phillip-lindsay-1
