Player,Date,G,School,Loc,Opponent,WL,FR,FR Yds,FR TD,Fumble Forced,unique_id
Olaniyi Adewole,2011-09-01,1,Temple,,Villanova,W,0,0,0,1,olaniyi-adewole-1
Robert Bell,2011-09-01,1,Toledo,,New Hampshire,W,0,0,0,2,robert-bell-1
Xavius Boyd,2011-09-01,1,Western Kentucky,N,Kentucky,L,0,0,0,1,xavius-boyd-1
Morkeith Brown,2011-09-01,1,Temple,,Villanova,W,0,0,0,1,morkeith-brown-1
Michael Cosgrove,2011-09-01,1,Idaho,,Bowling Green State,L,0,0,0,1,michael-cosgrove-1
Daniel Drummond,2011-09-01,1,Georgia Tech,,Western Carolina,W,0,0,0,1,daniel-drummond-1
David Gilbert,2011-09-01,1,Wisconsin,,Nevada-Las Vegas,W,0,0,0,1,david-gilbert-1
Greg Hickman,2011-09-01,1,Florida International,,North Texas,W,0,0,0,1,greg-hickman-2
Chris Jones,2011-09-01,1,Bowling Green State,@,Idaho,W,0,0,0,1,chris-jones-6
Devin Jones,2011-09-01,1,Mississippi State,@,Memphis,W,0,0,0,1,devin-jones-2
Johnathan Lamb,2011-09-01,1,Toledo,,New Hampshire,W,0,0,0,1,johnathan-lamb-1
Jamal Merrell,2011-09-01,1,Rutgers,,North Carolina Central,W,0,0,0,1,jamal-merrell-1
David Milewski,2011-09-01,1,Rutgers,,North Carolina Central,W,0,0,0,1,david-milewski-1
Ted Ouellet,2011-09-01,1,Bowling Green State,@,Idaho,W,0,0,0,1,ted-ouellet-1
Daniel Prior,2011-09-01,1,North Texas,@,Florida International,L,0,0,0,1,daniel-prior-1
Anthony Robey,2011-09-01,1,Temple,,Villanova,W,0,0,0,2,anthony-robey-1
Luis Rosado,2011-09-01,1,Florida International,,North Texas,W,0,0,0,1,luis-rosado-1
Trevor Stigers,2011-09-01,1,Mississippi State,@,Memphis,W,0,0,0,1,trevor-stigers-1
Brandon Watts,2011-09-01,1,Georgia Tech,,Western Carolina,W,0,0,0,1,brandon-watts-1
Nikita Whitlock,2011-09-01,1,Wake Forest,@,Syracuse,L,0,0,0,1,nikita-whitlock-1
Chance Casey,2011-09-02,1,Baylor,,Texas Christian,W,0,0,0,1,chance-casey-1
Stansly Maponga,2011-09-02,1,Texas Christian,@,Baylor,L,0,0,0,1,stansly-maponga-1
Chas Alecxih,2011-09-03,1,Pittsburgh,,Buffalo,W,0,0,0,1,chas-alecxih-1
Antonio Allen,2011-09-03,1,South Carolina,N,East Carolina,W,1,25,1,2,antonio-allen-1
Alan Baxter,2011-09-03,1,Northern Illinois,,Army,W,0,0,0,1,alan-baxter-1
Jake Bequette,2011-09-03,1,Arkansas,,Missouri State,W,0,0,0,1,jake-bequette-1
Matt Brewer,2011-09-03,1,Navy,,Delaware,W,0,0,0,2,matt-brewer-1
Davis Burl,2011-09-03,1,Colorado State,@,New Mexico,W,0,0,0,1,davis-burl-1
Brayden Burnett,2011-09-03,1,Missouri,,Miami (OH),W,0,0,0,1,brayden-burnett-1
Dartwan Bush,2011-09-03,1,Texas Tech,,Texas State,W,0,0,0,2,dartwan-bush-1
Nordly Capi,2011-09-03,1,Colorado State,@,New Mexico,W,0,0,0,4,nordly-capi-1
Anthony Carpenter,2011-09-03,1,Washington State,,Idaho State,W,0,0,0,1,anthony-carpenter-1
Darryl Cato-Bishop,2011-09-03,1,North Carolina State,,Liberty,W,0,0,0,1,darryl-cato-bishop-1
Michael Clay,2011-09-03,1,Oregon,N,Louisiana State,L,0,0,0,1,michael-clay-1
Nick Conrad,2011-09-03,1,Kent State,@,Alabama,L,0,0,0,1,nick-conrad-1
Benny Cunningham,2011-09-03,1,Middle Tennessee State,@,Purdue,L,0,0,0,1,benny-cunningham-1
Kevin Cyrille,2011-09-03,1,Florida Atlantic,@,Florida,L,0,0,0,1,kevin-cyrille-2
Claude Davis,2011-09-03,1,South Florida,@,Notre Dame,W,0,0,0,1,claude-davis-1
Blake Dees,2011-09-03,1,Texas Tech,,Texas State,W,0,0,0,1,blake-dees-1
Marquise Dixon,2011-09-03,1,Middle Tennessee State,@,Purdue,L,0,0,0,1,marquise-dixon-1
Darron Edwards,2011-09-03,1,Arkansas State,@,Illinois,L,0,0,0,1,darron-edwards-1
Kindred Evans,2011-09-03,1,Texas Tech,,Texas State,W,0,0,0,1,kindred-evans-1
Mark Fackler,2011-09-03,1,Kent State,@,Alabama,L,0,0,0,1,mark-fackler-1
Jake Fely,2011-09-03,1,San Diego State,,Cal Poly,W,0,0,0,1,jake-fely-1
Tim Fugger,2011-09-03,1,Vanderbilt,,Elon,W,0,0,0,1,tim-fugger-1
Cooper Gerami,2011-09-03,1,Louisiana,@,Oklahoma State,L,0,0,0,1,cooper-gerami-1
Jourdan Grandon,2011-09-03,1,Arizona,,Northern Arizona,W,0,0,0,1,jourdan-grandon-1
Isaiah Green,2011-09-03,1,Fresno State,N,California,L,0,0,0,1,isaiah-green-1
John Griggs,2011-09-03,1,Akron,@,Ohio State,L,0,0,0,1,john-griggs-1
Logan Harrell,2011-09-03,1,Fresno State,N,California,L,0,0,0,1,logan-harrell-1
Javon Harris,2011-09-03,1,Oklahoma,,Tulsa,W,0,0,0,1,javon-harris-1
Joseph Harris,2011-09-03,1,New Mexico,,Colorado State,L,0,0,0,1,joseph-harris-2
Jordan Hill,2011-09-03,1,Penn State,,Indiana State,W,0,0,0,1,jordan-hill-2
Ty Holmes,2011-09-03,1,East Carolina,N,South Carolina,L,0,0,0,1,ty-holmes-1
Derrick Hopkins,2011-09-03,1,Virginia Tech,,Appalachian State,W,0,0,0,1,derrick-hopkins-1
Milton Howell,2011-09-03,1,Tulsa,@,Oklahoma,L,0,0,0,1,milton-howell-1
Demontre Hurst,2011-09-03,1,Oklahoma,,Tulsa,W,0,0,0,1,demontre-hurst-1
Austen Jacks,2011-09-03,1,Tulane,,Southeastern Louisiana,W,0,0,0,1,austen-jacks-1
Steven Johnson,2011-09-03,1,Kansas,,McNeese State,W,0,0,0,1,steven-johnson-2
Dom Joseph,2011-09-03,1,Virginia,,William & Mary,W,0,0,0,1,dom-joseph-1
Uona Kaveinga,2011-09-03,1,Brigham Young,@,Mississippi,W,0,0,0,1,uona-kaveinga-1
Clayton Keller,2011-09-03,1,Army,@,Northern Illinois,L,0,0,0,1,clayton-keller-1
Jordan Kovacs,2011-09-03,1,Michigan,,Western Michigan,W,0,0,0,1,jordan-kovacs-1
Patrick Larimore,2011-09-03,1,UCLA,@,Houston,L,0,0,0,1,patrick-larimore-1
Cordarro Law,2011-09-03,1,Southern Mississippi,,Louisiana Tech,W,0,0,0,1,cordarro-law-1
Craig Loston,2011-09-03,1,Louisiana State,N,Oregon,W,0,0,0,1,craig-loston-1
Khalil Mack,2011-09-03,1,Buffalo,@,Pittsburgh,L,0,0,0,1,khalil-mack-1
Markelle Martin,2011-09-03,1,Oklahoma State,,Louisiana,W,0,0,0,1,markelle-martin-1
Sean Martin,2011-09-03,1,Oregon State,,Sacramento State,L,0,0,0,1,sean-martin-1
Tyrann Mathieu,2011-09-03,1,Louisiana State,N,Oregon,W,1,3,1,1,tyrann-mathieu-1
Whitney Mercilus,2011-09-03,1,Illinois,,Arkansas State,W,0,0,0,1,whitney-mercilus-1
Matt Merletti,2011-09-03,1,North Carolina,,James Madison,W,0,0,0,1,matt-merletti-1
Sam Montgomery,2011-09-03,1,Louisiana State,N,Oregon,W,0,0,0,1,sam-montgomery-1
Ben Motter,2011-09-03,1,Oregon State,,Sacramento State,L,0,0,0,1,ben-motter-1
Nigel Nicholas,2011-09-03,1,Oklahoma State,,Louisiana,W,0,0,0,1,nigel-nicholas-1
Nick Perry,2011-09-03,1,Southern California,,Minnesota,W,0,0,0,1,nick-perry-1
Marke Powell,2011-09-03,1,East Carolina,N,South Carolina,L,0,0,0,1,marke-powell-1
Jeff Rieskamp,2011-09-03,1,North Carolina State,,Liberty,W,0,0,0,1,jeff-rieskamp-1
John Robles,2011-09-03,1,Troy,@,Clemson,L,0,0,0,1,john-robles-1
Ace Sanders,2011-09-03,1,South Carolina,N,East Carolina,W,0,0,0,1,ace-sanders-1
Supo Sanni,2011-09-03,1,Illinois,,Arkansas State,W,0,0,0,1,supo-sanni-1
Dextrell Simmons,2011-09-03,1,Boise State,@,Georgia,W,0,0,0,1,dextrell-simmons-1
Brian Slay,2011-09-03,1,North Carolina State,,Liberty,W,1,52,1,1,brian-slay-1
Daimion Stafford,2011-09-03,1,Nebraska,,Chattanooga,W,0,0,0,1,daimion-stafford-1
Timothy Starson,2011-09-03,1,Arkansas State,@,Illinois,L,0,0,0,1,timothy-starson-1
Andrew Sweat,2011-09-03,1,Ohio State,,Akron,W,0,0,0,1,andrew-sweat-1
A.J. Tarpley,2011-09-03,1,Stanford,,San Jose State,W,0,0,0,1,aj-tarpley-2
Chase Thomas,2011-09-03,1,Stanford,,San Jose State,W,0,0,0,1,chase-thomas-1
Lamaar Thomas,2011-09-03,1,New Mexico,,Colorado State,L,0,0,0,1,lamaar-thomas-1
Brandon Thompson,2011-09-03,1,Clemson,,Troy,W,0,0,0,1,brandon-thompson-3
Desmond Trufant,2011-09-03,1,Washington,,Eastern Washington,W,0,0,0,1,desmond-trufant-1
Mohammed Usman,2011-09-03,1,Arizona,,Northern Arizona,W,0,0,0,1,mohammed-usman-2
Chidera Uzo-Diribe,2011-09-03,1,Colorado,@,Hawaii,L,0,0,0,1,chidera-uzo-diribe-1
Kyle Van Noy,2011-09-03,1,Brigham Young,@,Mississippi,W,1,9,1,1,kyle-van-noy-1
Brock Vereen,2011-09-03,1,Minnesota,@,Southern California,L,0,0,0,1,brock-vereen-1
Ronnie Weaver,2011-09-03,1,Central Florida,,Charleston Southern,W,0,0,0,1,ronnie-weaver-1
Bjoern Werner,2011-09-03,1,Florida State,,Louisiana-Monroe,W,0,0,0,1,bjoern-werner-1
Cecil Whiteside,2011-09-03,1,California,N,Fresno State,W,0,0,0,1,cecil-whiteside-1
K'Waun Williams,2011-09-03,1,Pittsburgh,,Buffalo,W,0,0,0,1,kwaun-williams-1
Terry Williams,2011-09-03,1,East Carolina,N,South Carolina,L,0,0,0,1,terry-williams-2
Reggie Wilson,2011-09-03,1,Texas,,Rice,W,0,0,0,1,reggie-wilson-1
Adrian Witty,2011-09-03,1,Cincinnati,,Austin Peay,W,0,0,0,2,adrian-witty-1
Derek Wolfe,2011-09-03,1,Cincinnati,,Austin Peay,W,0,0,0,1,derek-wolfe-1
Earl Wolff,2011-09-03,1,North Carolina State,,Liberty,W,0,0,0,1,earl-wolff-1
Jerrell Young,2011-09-03,1,South Florida,@,Notre Dame,W,0,0,0,1,jerrell-young-1
George Carpenter,2011-09-04,1,Marshall,@,West Virginia,L,0,0,0,1,george-carpenter-1
Richard Crawford,2011-09-04,1,Southern Methodist,@,Texas A&M,L,0,0,0,1,richard-crawford-1
Justin Cudworth,2011-09-04,1,Eastern Michigan,,Howard,W,0,0,0,1,justin-cudworth-1
Bryan Pali,2011-09-04,1,Eastern Michigan,,Howard,W,0,0,0,1,bryan-pali-1
Gavin Stansbury,2011-09-04,1,Texas A&M,,Southern Methodist,W,0,0,0,1,gavin-stansbury-1
Cameron Chism,2011-09-05,1,Maryland,,Miami (FL),W,0,0,0,1,cameron-chism-1
Darin Drakeford,2011-09-05,1,Maryland,,Miami (FL),W,0,0,0,1,darin-drakeford-1
Daytawion Lowe,2011-09-08,2,Oklahoma State,,Arizona,W,0,0,0,1,daytawion-lowe-1
Corey Adams,2011-09-09,2,Arizona State,,Missouri,W,0,0,0,1,corey-adams-2
Matt Akers,2011-09-10,2,Fresno State,@,Nebraska,L,0,0,0,1,matt-akers-1
Brandon Akpunku,2011-09-10,2,North Texas,,Houston,L,0,0,0,1,brandon-akpunku-1
Brady Amack,2011-09-10,2,Air Force,,Texas Christian,L,0,0,0,2,brady-amack-1
