Player,Date,G,School,Loc,Opponent,WL,Tackle Solo,Tackle Assist,Tackle Tot,Tackle For Loss,Sack,unique_id
Spencer Adkins,2008-08-28,1,Miami (FL),,Charleston Southern,W,3,0,3,2.0,2.0,spencer-adkins-1
Harris Agbor,2008-08-28,1,Connecticut,,Hofstra,W,0,2,2,0.0,0.0,harris-agbor-1
Vincent Agnew,2008-08-28,1,Central Michigan,,Eastern Illinois,W,1,2,3,0.0,0.0,vincent-agnew-1
Ladi Ajiboye,2008-08-28,1,South Carolina,,North Carolina State,W,1,0,1,0.0,0.0,ladi-ajiboye-1
Adekunle Akingba,2008-08-28,1,Buffalo,,Texas-El Paso,W,2,1,3,0.0,0.0,adekunle-akingba-1
Raphael Akobundu,2008-08-28,1,Buffalo,,Texas-El Paso,W,3,5,8,0.0,0.0,raphael-akobundu-1
Josh Allen,2008-08-28,1,Vanderbilt,@,Miami (OH),W,1,0,1,0.0,0.0,josh-allen-3
Chike Amajoyi,2008-08-28,1,Stanford,,Oregon State,W,1,2,3,0.0,0.0,chike-amajoyi-1
Elris Anyaibe,2008-08-28,1,Georgia Tech,,Jacksonville State,W,1,0,1,0.0,0.0,elris-anyaibe-1
Carlos Armour,2008-08-28,1,Miami (FL),,Charleston Southern,W,1,0,1,0.0,0.0,carlos-armour-1
Stanley Arnoux,2008-08-28,1,Wake Forest,@,Baylor,W,2,3,5,0.5,0.0,stanley-arnoux-1
Matt Ashmead,2008-08-28,1,Connecticut,,Hofstra,W,1,0,1,0.0,0.0,matt-ashmead-1
Tim Atchison,2008-08-28,1,Baylor,,Wake Forest,L,1,1,2,0.0,0.0,tim-atchison-1
Audi Augustin,2008-08-28,1,North Carolina State,@,South Carolina,L,0,1,1,0.0,0.0,audi-augustin-1
Aaron Bagsby,2008-08-28,1,Connecticut,,Hofstra,W,2,0,2,0.0,0.0,aaron-bagsby-1
Sean Baker,2008-08-28,1,Ball State,,Northeastern,W,3,4,7,0.0,0.0,sean-baker-1
Kennard Banks,2008-08-28,1,Iowa State,,South Dakota State,W,2,1,3,0.0,0.0,kennard-banks-1
Gonzalo Barinaga,2008-08-28,1,Ball State,,Northeastern,W,0,2,2,0.5,0.0,gonzalo-barinaga-1
Anthony Barnes,2008-08-28,1,Georgia Tech,,Jacksonville State,W,0,1,1,0.0,0.0,anthony-barnes-1
Mark Barnes,2008-08-28,1,South Carolina,,North Carolina State,W,1,0,1,0.0,0.0,mark-barnes-1
Connor Barwin,2008-08-28,1,Cincinnati,,Eastern Kentucky,W,4,1,5,3.0,2.0,connor-barwin-1
Antonio Beasley,2008-08-28,1,Ball State,,Northeastern,W,1,0,1,0.0,0.0,antonio-beasley-1
Tommy Beecher,2008-08-28,1,South Carolina,,North Carolina State,W,0,1,1,0.0,0.0,tommy-beecher-1
Allen Bell,2008-08-28,1,Iowa State,,South Dakota State,W,2,0,2,0.0,0.0,allen-bell-1
Cameron Bell,2008-08-28,1,Iowa State,,South Dakota State,W,1,0,1,0.0,0.0,cameron-bell-1
Dustin Bell,2008-08-28,1,Texas-El Paso,@,Buffalo,L,1,0,1,0.0,0.0,dustin-bell-2
Nick Bellore,2008-08-28,1,Central Michigan,,Eastern Illinois,W,5,11,16,0.5,0.0,nick-bellore-1
Patrick Benoist,2008-08-28,1,Vanderbilt,@,Miami (OH),W,2,3,5,0.0,0.0,patrick-benoist-1
Ter'Ran Benton,2008-08-28,1,Iowa State,,South Dakota State,W,3,0,3,0.0,0.0,terran-benton-1
Max Bergen,2008-08-28,1,Stanford,,Oregon State,W,1,0,1,0.0,0.0,max-bergen-1
Matt Berning,2008-08-28,1,Central Michigan,,Eastern Illinois,W,1,2,3,0.0,0.0,matt-berning-1
Michael Bibbs,2008-08-28,1,Iowa State,,South Dakota State,W,7,2,9,0.0,0.0,michael-bibbs-1
Jerrod Black,2008-08-28,1,Iowa State,,South Dakota State,W,1,0,1,1.0,0.0,jerrod-black-1
Jake Blackwood,2008-08-28,1,Georgia Tech,,Jacksonville State,W,3,1,4,0.5,0.5,jake-blackwood-1
Antwon Blake,2008-08-28,1,Texas-El Paso,@,Buffalo,L,0,1,1,0.0,0.0,antwon-blake-1
Pernell Booth,2008-08-28,1,Oregon State,@,Stanford,L,1,1,2,0.5,0.5,pernell-booth-1
Matt Bosher,2008-08-28,1,Miami (FL),,Charleston Southern,W,1,0,1,0.0,0.0,matt-bosher-1
Caleb Bostic,2008-08-28,1,Miami (OH),,Vanderbilt,L,2,4,6,0.0,0.0,caleb-bostic-1
Shane Bowen,2008-08-28,1,Georgia Tech,,Jacksonville State,W,0,1,1,0.0,0.0,shane-bowen-1
