Player,Date,G,School,Loc,Opponent,WL,Kick Ret,Kick Ret Yds,Kick Ret Avg,Kick Ret TD,unique_id
Dri Archer,2010-09-02,1,Kent State,,Murray State,W,2,40,20.0,0,dri-archer-1
Kama Bailey,2010-09-02,1,Idaho,,North Dakota,W,1,15,15.0,0,kama-bailey-1
Mike Ball,2010-09-02,1,Nevada,,Eastern Washington,W,2,75,37.5,0,mike-ball-1
Stephen Barnett,2010-09-02,1,Tulane,,Southeastern Louisiana,W,1,12,12.0,0,stephen-barnett-1
Jaamal Berry,2010-09-02,1,Ohio State,,Marshall,W,2,36,18.0,0,jaamal-berry-1
Malcolm Beyah,2010-09-02,1,Middle Tennessee State,,Minnesota,L,4,86,21.5,0,malcolm-beyah-1
Jeff Blanchard,2010-09-02,1,Florida Atlantic,@,Alabama-Birmingham,W,6,114,19.0,0,jeff-blanchard-1
Andre Booker,2010-09-02,1,Marshall,@,Ohio State,L,6,151,25.2,0,andre-booker-1
Daniel Borne,2010-09-02,1,Alabama-Birmingham,,Florida Atlantic,L,2,35,17.5,0,daniel-borne-1
Anthony Bowman,2010-09-02,1,Kent State,,Murray State,W,1,92,92.0,1,anthony-bowman-1
Jereme Brooks,2010-09-02,1,Utah,,Pittsburgh,W,3,63,21.0,0,jereme-brooks-1
Devon Brown,2010-09-02,1,Wake Forest,,Presbyterian,W,1,59,59.0,0,devon-brown-1
Michael Campanaro,2010-09-02,1,Wake Forest,,Presbyterian,W,2,39,19.5,0,michael-campanaro-1
Paul Carrezola,2010-09-02,1,Rutgers,,Norfolk State,W,1,18,18.0,0,paul-carrezola-1
Ricky Crider,2010-09-02,1,Northern Illinois,@,Iowa State,L,2,49,24.5,0,ricky-crider-1
Orleans Darkwa,2010-09-02,1,Tulane,,Southeastern Louisiana,W,3,41,13.7,0,orleans-darkwa-1
Tommy Davis,2010-09-02,1,Northern Illinois,@,Iowa State,L,3,57,19.0,0,tommy-davis-2
Armand Dehaney,2010-09-02,1,Ball State,,Southeast Missouri State,W,1,14,14.0,0,armand-dehaney-1
Jason Douglas,2010-09-02,1,Pittsburgh,@,Utah,L,3,51,17.0,0,jason-douglas-1
Frantrell Forrest,2010-09-02,1,Alabama-Birmingham,,Florida Atlantic,L,3,72,24.0,0,frantrell-forrest-1
Zack Heberer,2010-09-02,1,Southern California,@,Hawaii,W,1,5,5.0,0,zack-heberer-1
Jeremy Hester,2010-09-02,1,Southern Mississippi,@,South Carolina,L,3,53,17.7,0,jeremy-hester-1
Terrell Jackson,2010-09-02,1,Buffalo,,Rhode Island,W,1,18,18.0,0,terrell-jackson-3
Jermaine Kelson,2010-09-02,1,Marshall,@,Ohio State,L,1,22,22.0,0,jermaine-kelson-1
Tracy Lampley,2010-09-02,1,Southern Mississippi,@,South Carolina,L,2,34,17.0,0,tracy-lampley-1
Taylor Mansfield,2010-09-02,1,Iowa State,,Northern Illinois,W,1,7,7.0,0,taylor-mansfield-1
Lamar Miller,2010-09-02,1,Miami (FL),,Florida A&M,W,1,34,34.0,0,lamar-miller-1
Quentin Pierce,2010-09-02,1,Southern Mississippi,@,South Carolina,L,1,21,21.0,0,quentin-pierce-1
Royce Pollard,2010-09-02,1,Hawaii,,Southern California,L,2,38,19.0,0,royce-pollard-1
Cameron Saddler,2010-09-02,1,Pittsburgh,@,Utah,L,1,24,24.0,0,cameron-saddler-1
Allen Sampson,2010-09-02,1,Hawaii,,Southern California,L,2,44,22.0,0,allen-sampson-1
Bryce Sherman,2010-09-02,1,South Carolina,,Southern Mississippi,W,3,69,23.0,0,bryce-sherman-1
Troy Stoudermire,2010-09-02,1,Minnesota,@,Middle Tennessee State,W,3,78,26.0,0,troy-stoudermire-1
