Player,Date,G,School,Loc,Opponent,WL,FR,FR Yds,FR TD,Fumble Forced,unique_id
Myles Adams,2018-08-25,1,Rice,,Prairie View A&M,W,0,,,1,myles-adams-1
Anthony Ekpe,2018-08-25,1,Rice,,Prairie View A&M,W,0,,,1,anthony-ekpe-1
Brice McAllister,2018-08-25,1,Massachusetts,,Duquesne,W,0,,,1,brice-mcallister-1
Braylin Scott,2018-08-25,1,Colorado State,,Hawaii,L,0,,,1,braylin-scott-1
Paul Scott,2018-08-25,1,Hawaii,@,Colorado State,W,0,,,1,paul-scott-1
Roe Wilkins,2018-08-25,1,Rice,,Prairie View A&M,W,0,,,1,roe-wilkins-1
Brett Anderson II,2018-08-30,1,Ball State,,Central Connecticut State,W,0,,,1,brett-anderson-ii-1
Rashard Causey,2018-08-30,1,Central Florida,@,Connecticut,W,0,,,1,rashard-causey-1
Kenneth Edison-McGruder,2018-08-30,1,Oklahoma State,,Missouri State,W,1,,,1,kenneth-edison-mcgruder-1
Paddy Fisher,2018-08-30,1,Northwestern,@,Purdue,W,0,,,1,paddy-fisher-1
Pat Jasinski,2018-08-30,1,Central Florida,@,Connecticut,W,0,,,1,pat-jasinski-1
Terry Thomas,2018-08-30,1,Georgia State,,,W,0,,,1,terry-thomas-4
Rasha Ajayi,2018-08-31,2,Colorado State,N,Colorado,L,0,,,1,rasha-ajayi-1
Jan-Phillip Bombek,2018-08-31,2,Colorado State,N,Colorado,L,0,,,1,jan-phillip-bombek-1
Eric Burrell,2018-08-31,1,Wisconsin,,Western Kentucky,W,0,,,1,eric-burrell-1
Najee Clayton,2018-08-31,1,Western Michigan,,Syracuse,L,0,,,1,najee-clayton-1
Tacorian Darden,2018-08-31,1,Western Kentucky,@,Wisconsin,L,0,,,1,tacorian-darden-1
Victor Dimukeje,2018-08-31,1,Duke,,Army,W,0,,,1,victor-dimukeje-1
Tipa Galeai,2018-08-31,1,Utah State,@,Michigan State,L,0,,,1,tipa-galeai-1
James Gibson,2018-08-31,1,Army,@,Duke,L,0,,,1,james-gibson-2
Trenton Irwin,2018-08-31,1,Stanford,,San Diego State,W,1,,,1,trenton-irwin-1
Trevon McSwain,2018-08-31,1,Duke,,Army,W,0,,,1,trevon-mcswain-1
Damani Neal,2018-08-31,1,Duke,,Army,W,0,,,1,damani-neal-1
Turan Rush,2018-08-31,1,Eastern Michigan,,Monmouth,W,0,,,1,turan-rush-1
Deondre Singleton,2018-08-31,1,Duke,,Army,W,0,,,1,deondre-singleton-1
Kenny Willekes,2018-08-31,1,Michigan State,,Utah State,W,0,,,1,kenny-willekes-1
Brandon Adams,2018-09-01,1,Georgia Tech,,Alcorn State,W,0,,,1,brandon-adams-1
Jordan Baldwin,2018-09-01,1,Louisiana Tech,@,South Alabama,W,1,,,1,jordan-baldwin-1
