Player,Date,G,School,Loc,Opponent,WL,Int Ret,Int Ret Yds,Int TD,Pass Broken Up,unique_id
Josh Alexander,2005-09-01,1,Louisiana-Monroe,,Northwestern State,L,1,9,0,1,josh-alexander-1
Trent Allen,2005-09-01,1,Houston,,Oregon,L,1,11,0,2,trent-allen-1
Darrius Battles,2005-09-01,1,Louisiana-Monroe,,Northwestern State,L,1,0,0,1,darrius-battles-1
Fred Bennett,2005-09-01,1,South Carolina,,Central Florida,W,1,1,0,1,fred-bennett-1
Kareem Byrom,2005-09-01,1,Buffalo,@,Connecticut,L,1,0,0,1,kareem-byrom-1
Mike Davis Jr.,2005-09-01,1,Arizona State,,Temple,W,1,7,0,1,mike-davis-jr-1
Josh Gattis,2005-09-01,1,Wake Forest,,Vanderbilt,L,1,0,0,2,josh-gattis-1
Aaron Gipson,2005-09-01,1,Oregon,@,Houston,W,1,22,0,2,aaron-gipson-1
Nick Graham,2005-09-01,1,Tulsa,,Minnesota,L,1,0,0,1,nick-graham-1
Willie Hardemon,2005-09-01,1,Temple,@,Arizona State,L,1,0,0,1,willie-hardemon-1
Ray Lamb,2005-09-01,1,Temple,@,Arizona State,L,1,0,0,2,ray-lamb-1
Antonio Malone,2005-09-01,1,Toledo,,Western Illinois,W,1,60,1,,antonio-malone-1
Bo Martin,2005-09-01,1,Toledo,,Western Illinois,W,2,38,0,2,bo-martin-1
Jason Martin,2005-09-01,1,Idaho,@,Washington State,L,1,0,0,1,jason-martin-2
Brandon Owens,2005-09-01,1,Minnesota,@,Tulsa,W,1,22,0,1,brandon-owens-1
Willie Smith,2005-09-01,1,Marshall,,William & Mary,W,1,0,0,2,willie-smith-1
Cole Snyder,2005-09-01,1,Idaho,@,Washington State,L,1,7,0,1,cole-snyder-1
Darron Ware,2005-09-01,1,Arizona State,,Temple,W,1,20,0,1,darron-ware-1
Chaz Williams,2005-09-01,1,Louisiana-Monroe,,Northwestern State,L,1,34,1,1,chaz-williams-1
Rodney Woods,2005-09-01,1,Oregon,@,Houston,W,1,0,0,,rodney-woods-1
Casey Evans,2005-09-02,1,Utah,,Arizona,W,1,0,0,1,casey-evans-1
Pacino Horne,2005-09-02,1,Central Michigan,,Indiana,L,1,0,0,1,pacino-horne-1
Eric Weddle,2005-09-02,1,Utah,,Arizona,W,1,24,1,1,eric-weddle-1
Michael Adams,2005-09-03,1,Louisiana,@,Texas,L,1,11,0,1,michael-adams-3
Zachary Baker,2005-09-03,1,East Carolina,,Duke,W,2,0,0,2,zachary-baker-1
Corey Barnes,2005-09-03,1,Rutgers,@,Illinois,L,1,0,0,1,corey-barnes-1
Tra Battle,2005-09-03,1,Georgia,,Boise State,W,1,17,0,1,tra-battle-1
Anthony Belmonte,2005-09-03,1,Western Michigan,@,Virginia,L,1,10,0,1,anthony-belmonte-1
Jason Berryman,2005-09-03,1,Iowa State,,Illinois State,W,1,4,0,2,jason-berryman-1
Jacob Biles,2005-09-03,1,Navy,N,Maryland,L,1,0,0,1,jacob-biles-1
J.J. Billingsley,2005-09-03,1,Colorado,,Colorado State,W,1,0,0,1,jj-billingsley-1
Darnell Bing,2005-09-03,1,Southern California,@,Hawaii,W,1,65,1,1,darnell-bing-1
Greg Blue,2005-09-03,1,Georgia,,Boise State,W,1,0,0,1,greg-blue-1
Keyonvis Bouie,2005-09-03,1,Florida International,@,Kansas State,L,1,0,0,2,keyonvis-bouie-1
Vernell Brown,2005-09-03,1,Florida,,Wyoming,W,1,0,0,2,vernell-brown-1
Gerett Burl,2005-09-03,1,Colorado,,Colorado State,W,1,14,0,1,gerett-burl-1
Adam Carper,2005-09-03,1,Iowa State,,Illinois State,W,1,0,0,1,adam-carper-1
Michael Coe,2005-09-03,1,Arkansas,,Missouri State,W,1,16,0,1,michael-coe-1
Drew Coleman,2005-09-03,1,Texas Christian,@,Oklahoma,W,1,15,0,3,drew-coleman-1
Quinton Culberson,2005-09-03,1,Mississippi State,,Murray State,W,1,0,0,1,quinton-culberson-1
Akarika Dawn,2005-09-03,1,Colorado,,Colorado State,W,1,5,0,1,akarika-dawn-1
Derrick Doggett,2005-09-03,1,Oregon State,,Portland State,W,1,0,0,1,derrick-doggett-1
Dannell Ellerbe,2005-09-03,1,Georgia,,Boise State,W,1,9,0,1,dannell-ellerbe-1
Johnny Faulk,2005-09-03,1,Troy,,Cal Poly,W,1,2,0,1,johnny-faulk-1
Josh Ferguson,2005-09-03,1,Texas-El Paso,@,New Mexico State,W,1,19,0,2,josh-ferguson-2
Sergio Gilliam,2005-09-03,1,Clemson,,Texas A&M,W,1,37,0,1,sergio-gilliam-1
Ron Girault,2005-09-03,1,Rutgers,@,Illinois,L,1,41,0,1,ron-girault-1
Michael Grant,2005-09-03,1,Arkansas,,Missouri State,W,1,0,0,2,michael-grant-1
Kamichael Hall,2005-09-03,1,Georgia Tech,@,Auburn,W,1,8,0,1,kamichael-hall-1
Jamey Harper,2005-09-03,1,Southern Methodist,,Baylor,L,1,34,0,1,jamey-harper-1
Chris Harrell,2005-09-03,1,Penn State,,South Florida,W,1,16,0,3,chris-harrell-1
Justin Harrell,2005-09-03,1,Tennessee,,Alabama-Birmingham,W,1,29,0,1,justin-harrell-1
Dedrick Harrington,2005-09-03,1,Missouri,,Arkansas State,W,1,0,0,1,dedrick-harrington-1
Spencer Havner,2005-09-03,1,UCLA,@,San Diego State,W,1,27,0,1,spencer-havner-1
Lamar Herron,2005-09-03,1,Oregon State,,Portland State,W,1,12,0,2,lamar-herron-1
Thomas Howard,2005-09-03,1,Texas-El Paso,@,New Mexico State,W,1,20,0,3,thomas-howard-2
Darrell Hunter,2005-09-03,1,Miami (OH),@,Ohio State,L,1,0,0,1,darrell-hunter-1
Clint Ingram,2005-09-03,1,Oklahoma,,Texas Christian,L,1,23,0,2,clint-ingram-1
Tyrell Johnson,2005-09-03,1,Arkansas State,@,Missouri,L,1,20,0,1,tyrell-johnson-1
Miles Kochevar,2005-09-03,1,Colorado State,@,Colorado,L,1,33,0,2,miles-kochevar-1
Dawan Landry,2005-09-03,1,Georgia Tech,@,Auburn,W,1,12,0,1,dawan-landry-1
D.D. Lee,2005-09-03,1,Southern Methodist,,Baylor,L,1,7,0,1,dd-lee-1
Ulisese Liua,2005-09-03,1,San Jose State,,Eastern Washington,W,1,6,1,1,ulisese-liua-1
Nate Lyles,2005-09-03,1,Virginia,,Western Michigan,W,1,0,0,1,nate-lyles-1
Terrill Mayberry,2005-09-03,1,Bowling Green State,@,Wisconsin,L,1,0,0,1,terrill-mayberry-1
Jason McQuay,2005-09-03,1,Texas-El Paso,@,New Mexico State,W,1,4,0,1,jason-mcquay-1
Michael Norris,2005-09-03,1,UCLA,@,San Diego State,W,1,11,0,1,michael-norris-1
Pierre Parker,2005-09-03,1,East Carolina,,Duke,W,1,1,0,4,pierre-parker-1
Kenny Patton,2005-09-03,1,Hawaii,,Southern California,L,1,0,0,1,kenny-patton-1
Troy Pindell,2005-09-03,1,Florida Atlantic,@,Kansas,L,1,19,0,1,troy-pindell-1
Montavis Pitts,2005-09-03,1,Auburn,,Georgia Tech,L,1,0,0,1,montavis-pitts-1
Maurice Porter,2005-09-03,1,Kansas State,,Florida International,W,1,0,0,2,maurice-porter-1
Brandon Register,2005-09-03,1,Alabama-Birmingham,@,Tennessee,L,2,0,0,2,brandon-register-1
Darrelle Revis,2005-09-03,1,Pittsburgh,,Notre Dame,L,1,3,0,3,darrelle-revis-1
Bradley Robinson,2005-09-03,1,Middle Tennessee State,@,Alabama,L,1,0,0,2,bradley-robinson-1
Aaron Ross,2005-09-03,1,Texas,,Louisiana,W,1,4,0,2,aaron-ross-1
Levonne Rowan,2005-09-03,1,Wisconsin,,Bowling Green State,W,1,0,0,3,levonne-rowan-1
Bo Ruud,2005-09-03,1,Nebraska,,Maine,W,1,27,1,2,bo-ruud-1
Kevin Sanders,2005-09-03,1,Alabama-Birmingham,@,Tennessee,L,1,2,0,1,kevin-sanders-1
Lorenzo Sims,2005-09-03,1,Colorado,,Colorado State,W,1,2,0,3,lorenzo-sims-1
Quincy Skinner,2005-09-03,1,Florida Atlantic,@,Kansas,L,1,0,0,2,quincy-skinner-1
Eric Smith,2005-09-03,1,Michigan State,,Kent State,W,1,16,0,2,eric-smith-2
Greg Sudderth,2005-09-03,1,Navy,N,Maryland,L,1,16,0,1,greg-sudderth-1
Frederic Tarver,2005-09-03,1,Northwestern,,Ohio,W,1,3,0,3,frederic-tarver-1
Christian Varner,2005-09-03,1,Maryland,N,Navy,W,1,0,0,1,christian-varner-1
Philip Wheeler,2005-09-03,1,Georgia Tech,@,Auburn,W,1,8,0,2,philip-wheeler-1
Donte Whitner,2005-09-03,1,Ohio State,,Miami (OH),W,1,26,1,1,donte-whitner-1
Gerris Wilkinson,2005-09-03,1,Georgia Tech,@,Auburn,W,1,33,0,1,gerris-wilkinson-1
Trae Williams,2005-09-03,1,South Florida,@,Penn State,L,1,8,0,1,trae-williams-1
C.J. Wilson,2005-09-03,1,Western Michigan,@,Virginia,L,1,55,1,1,cj-wilson-3
T.J. Wright,2005-09-03,1,Ohio,@,Northwestern,L,1,0,0,1,tj-wright-1
Usama Young,2005-09-03,1,Kent State,@,Michigan State,L,1,0,0,1,usama-young-1
Tom Zbikowski,2005-09-03,1,Notre Dame,@,Pittsburgh,W,1,0,0,2,tom-zbikowski-1
Tanard Jackson,2005-09-04,1,Syracuse,,West Virginia,L,1,0,0,1,tanard-jackson-1
Anthony Mims,2005-09-04,1,West Virginia,@,Syracuse,W,1,0,0,1,anthony-mims-1
Aaron Rouse,2005-09-04,1,Virginia Tech,@,North Carolina State,W,2,18,0,4,aaron-rouse-1
Eric Wicks,2005-09-04,1,West Virginia,@,Syracuse,W,1,31,1,,eric-wicks-1
Gabriel Fulbright,2005-09-05,1,New Mexico,,Nevada-Las Vegas,W,1,0,0,1,gabriel-fulbright-1
Kyler Hall,2005-09-05,1,Florida State,,Miami (FL),W,1,25,0,1,kyler-hall-1
Marcus Maxey,2005-09-05,1,Miami (FL),@,Florida State,L,1,0,0,2,marcus-maxey-1
Trumaine McBride,2005-09-05,1,Mississippi,@,Memphis,W,1,30,0,2,trumaine-mcbride-1
Brandon McDonald,2005-09-05,1,Memphis,,Mississippi,L,1,0,0,3,brandon-mcdonald-1
Garry Pack,2005-09-05,1,Mississippi,@,Memphis,W,1,35,0,1,garry-pack-1
Ernie Sims,2005-09-05,1,Florida State,,Miami (FL),W,1,0,0,1,ernie-sims-1
Rod Smith,2005-09-05,1,Memphis,,Mississippi,L,1,7,0,1,rod-smith-1
Dion Byrum,2005-09-09,2,Ohio,,Pittsburgh,W,2,123,2,3,dion-byrum-1
Eric Frampton,2005-09-09,2,Washington State,@,Nevada,W,1,36,1,1,eric-frampton-1
Todd Koenig,2005-09-09,2,Ohio,,Pittsburgh,W,1,0,0,1,todd-koenig-1
Ben Alexander,2005-09-10,2,Idaho,@,Nevada-Las Vegas,L,1,38,0,1,ben-alexander-1
Josh Alexander,2005-09-10,2,Louisiana-Monroe,@,Wyoming,L,1,0,0,1,josh-alexander-1
