"Player","Date","G","School","Loc","Opponent","WL","Pass Comp","Pass Att","Pass Pct","Pass Yard","Pass TD","Pass Int","QBR","unique_id"
"K.J. Carta-Samuels","2018-08-25",1,"Colorado State",,"Hawaii","L",34,50,68,537,5,1,187.2,"kj-carta-samuels-1"
"Ross Comis","2018-08-25",1,"Massachusetts",,"Duquesne","W",6,9,66.7,104,2,0,237.1,"ross-comis-1"
"Andrew Ford","2018-08-25",1,"Massachusetts",,"Duquesne","W",13,19,68.4,186,2,0,185.4,"andrew-ford-1"
"Nick Jeanty","2018-08-25",1,"New Mexico State",,"Wyoming","L",2,6,33.3,4,0,0,38.9,"nick-jeanty-1"
"Cole McDonald","2018-08-25",1,"Hawaii","@","Colorado State","W",26,37,70.3,418,3,0,191.9,"cole-mcdonald-1"
"Matt Romero","2018-08-25",1,"New Mexico State",,"Wyoming","L",16,27,59.3,140,1,0,115,"matt-romero-1"
"Nick Smith","2018-08-25",1,"Wyoming","@","New Mexico State","W",0,1,0,0,0,0,0,"nick-smith-4"
"Shawn Stankavage","2018-08-25",1,"Rice",,"Prairie View A&M","W",7,15,46.7,43,0,0,70.7,"shawn-stankavage-1"
"Jackson Tyner","2018-08-25",1,"Rice",,"Prairie View A&M","W",5,9,55.6,44,0,0,96.6,"jackson-tyner-1"
"Tyler Vander Waal","2018-08-25",1,"Wyoming","@","New Mexico State","W",13,21,61.9,137,0,0,116.7,"tyler-vander-waal-1"
"Montel Aaron","2018-08-30",1,"San Jose State",,"California-Davis","L",13,19,68.4,254,2,0,215.5,"montel-aaron-1"
"Zack Annexstad","2018-08-30",1,"Minnesota",,"New Mexico State","W",16,33,48.5,220,2,0,124.5,"zack-annexstad-1"
"Jonathan Banks","2018-08-30",1,"Tulane",,"Wake Forest","L",18,37,48.6,281,2,0,130.3,"jonathan-banks-1"
"David Blough","2018-08-30",1,"Purdue",,"Northwestern","L",12,16,75,74,0,0,113.9,"david-blough-1"
"Connor Blumkirk","2018-08-30",1,"Texas A&M",,"Northwestern State","W",1,1,100,8,0,0,167.2,"connor-blumkirk-1"
"Michael Carrillo","2018-08-30",1,"San Jose State",,"California-Davis","L",1,4,25,2,0,1,-20.8,"michael-carrillo-1"
"Taylor Cornelius","2018-08-30",1,"Oklahoma State",,"Missouri State","W",25,35,71.4,300,5,1,184.9,"taylor-cornelius-1"
"Dan Ellington","2018-08-30",1,"Georgia State",,,"W",20,28,71.4,187,3,0,162.9,"dan-ellington-1"
"A.J. Erdely","2018-08-30",1,"Alabama-Birmingham",,"Savannah State","W",22,28,78.6,228,2,1,163.4,"aj-erdely-1"
"Caleb Evans","2018-08-30",1,"Louisiana-Monroe",,"Southeastern Louisiana","W",35,53,66,346,2,1,129.6,"caleb-evans-2"
"TJ Green","2018-08-30",1,"Northwestern","@","Purdue","W",7,11,63.6,63,0,0,111.7,"tj-green-2"
"Sam Hartman","2018-08-30",1,"Wake Forest","@","Tulane","W",31,51,60.8,378,2,2,128.1,"sam-hartman-1"
