Player,Date,G,School,Loc,Opponent,WL,Rec,Rec Yards,Rec Avg,Rec TD,unique_id
Tarrion Adams,2006-08-31,1,Tulsa,,Stephen F. Austin,W,1,36,36.0,1,tarrion-adams-1
Brandon Allen,2006-08-31,1,New Mexico State,,Southeastern Louisiana,W,1,6,6.0,0,brandon-allen-1
John Allen,2006-08-31,1,Toledo,@,Iowa State,L,4,36,9.0,0,john-allen-1
Justin Amaral,2006-08-31,1,San Diego State,,Texas-El Paso,L,1,12,12.0,0,justin-amaral-1
Bryan Anderson,2006-08-31,1,Central Michigan,,Boston College,L,3,11,3.7,0,bryan-anderson-1
Ben Barkema,2006-08-31,1,Iowa State,,Toledo,W,1,5,5.0,0,ben-barkema-1
Hunter Birtsch,2006-08-31,1,Middle Tennessee State,,Florida International,W,2,5,2.5,0,hunter-birtsch-1
Tanyon Bissell,2006-08-31,1,Boise State,,Sacramento State,W,1,9,9.0,0,tanyon-bissell-1
Todd Blythe,2006-08-31,1,Iowa State,,Toledo,W,5,93,18.6,2,todd-blythe-1
Ken Bohnet,2006-08-31,1,Eastern Michigan,@,Ball State,L,2,32,16.0,0,ken-bohnet-1
Larry Bostic,2006-08-31,1,Ball State,,Eastern Michigan,W,2,3,1.5,0,larry-bostic-1
Cory Boyd,2006-08-31,1,South Carolina,@,Mississippi State,W,4,67,16.8,1,cory-boyd-1
Andre Bratton,2006-08-31,1,Miami (OH),,Northwestern,L,1,-9,-9.0,0,andre-bratton-1
Terrance Breaux,2006-08-31,1,Buffalo,,Temple,W,3,68,22.7,0,terrance-breaux-1
Richie Brockel,2006-08-31,1,Boise State,,Sacramento State,W,1,12,12.0,0,richie-brockel-1
Steve Brouse,2006-08-31,1,Connecticut,,Rhode Island,W,1,14,14.0,0,steve-brouse-1
Donald Brown,2006-08-31,1,Connecticut,,Rhode Island,W,1,7,7.0,0,donald-brown-1
Marcus Brown,2006-08-31,1,Temple,@,Buffalo,L,1,2,2.0,0,marcus-brown-2
Tim Brown,2006-08-31,1,Temple,@,Buffalo,L,6,23,3.8,0,tim-brown-2
Christopher Buckner,2006-08-31,1,New Mexico State,,Southeastern Louisiana,W,5,41,8.2,0,christopher-buckner-1
Rudy Burgess,2006-08-31,1,Arizona State,,Northern Arizona,W,7,112,16.0,0,rudy-burgess-1
Eric Butler,2006-08-31,1,Mississippi State,,South Carolina,L,1,20,20.0,0,eric-butler-2
Andre Callender,2006-08-31,1,Boston College,@,Central Michigan,W,5,32,6.4,0,andre-callender-1
Terry Caulley,2006-08-31,1,Connecticut,,Rhode Island,W,1,8,8.0,0,terry-caulley-1
Obed Cetoute,2006-08-31,1,Central Michigan,,Boston College,L,6,102,17.0,0,obed-cetoute-1
Kevin Challenger,2006-08-31,1,Boston College,@,Central Michigan,W,6,61,10.2,1,kevin-challenger-1
Jeremy Childs,2006-08-31,1,Boise State,,Sacramento State,W,2,16,8.0,0,jeremy-childs-1
Chris Clancy,2006-08-31,1,Ball State,,Eastern Michigan,W,1,6,6.0,0,chris-clancy-1
Nick Cleaver,2006-08-31,1,New Mexico State,,Southeastern Louisiana,W,2,41,20.5,0,nick-cleaver-1
Jacob Collums,2006-08-31,1,Tulsa,,Stephen F. Austin,W,2,93,46.5,1,jacob-collums-1
Omarr Conner,2006-08-31,1,Mississippi State,,South Carolina,L,2,21,10.5,0,omarr-conner-1
Jared Cook,2006-08-31,1,South Carolina,@,Mississippi State,W,1,20,20.0,0,jared-cook-2
Tom Crabtree,2006-08-31,1,Miami (OH),,Northwestern,L,2,19,9.5,0,tom-crabtree-1
Howard Croom,2006-08-31,1,Oregon State,,Eastern Washington,W,1,3,3.0,0,howard-croom-1
Ted Curtis,2006-08-31,1,Tulsa,,Stephen F. Austin,W,1,11,11.0,0,ted-curtis-1
Jon Davis,2006-08-31,1,Iowa State,,Toledo,W,3,30,10.0,0,jon-davis-1
Mike Davis,2006-08-31,1,South Carolina,@,Mississippi State,W,3,19,6.3,0,mike-davis-1
Richard Davis,2006-08-31,1,Toledo,@,Iowa State,L,4,30,7.5,0,richard-davis-1
Calvin Dawson,2006-08-31,1,Louisiana-Monroe,,Alcorn State,W,1,3,3.0,0,calvin-dawson-1
Eric Decker,2006-08-31,1,Minnesota,@,Kent State,W,1,39,39.0,1,eric-decker-1
Eric Deslauriers,2006-08-31,1,Eastern Michigan,@,Ball State,L,10,127,12.7,1,eric-deslauriers-1
Shaun Dewitty,2006-08-31,1,Arizona State,,Northern Arizona,W,2,34,17.0,1,shaun-dewitty-1
Brandon Diles,2006-08-31,1,Tulsa,,Stephen F. Austin,W,1,11,11.0,0,brandon-diles-1
Alex Dimichele,2006-08-31,1,Temple,@,Buffalo,L,1,3,3.0,0,alex-dimichele-1
Derek Dubois,2006-08-31,1,New Mexico State,,Southeastern Louisiana,W,7,93,13.3,1,derek-dubois-1
Austin Flynn,2006-08-31,1,Iowa State,,Toledo,W,4,53,13.3,0,austin-flynn-1
Bruce Francis,2006-08-31,1,Temple,@,Buffalo,L,3,17,5.7,0,bruce-francis-1
Dontayo Gage,2006-08-31,1,Eastern Michigan,@,Ball State,L,1,6,6.0,0,dontayo-gage-1
Tony Gonzalez,2006-08-31,1,Boston College,@,Central Michigan,W,5,66,13.2,1,tony-gonzalez-1
Jonathan Grigsby,2006-08-31,1,Middle Tennessee State,,Florida International,W,1,5,5.0,0,jonathan-grigsby-1
Kyle Grooms,2006-08-31,1,Tulsa,,Stephen F. Austin,W,1,7,7.0,0,kyle-grooms-1
Eugene Gross,2006-08-31,1,Middle Tennessee State,,Florida International,W,1,4,4.0,0,eugene-gross-1
Rich Gunnell,2006-08-31,1,Boston College,@,Central Michigan,W,2,19,9.5,0,rich-gunnell-1
Domerio Hamilton,2006-08-31,1,Temple,@,Buffalo,L,2,15,7.5,0,domerio-hamilton-1
Lynell Hamilton,2006-08-31,1,San Diego State,,Texas-El Paso,L,6,64,10.7,0,lynell-hamilton-1
Jason Harper,2006-08-31,1,Temple,@,Buffalo,L,1,-3,-3.0,0,jason-harper-1
A.J. Harris,2006-08-31,1,New Mexico State,,Southeastern Louisiana,W,4,44,11.0,0,aj-harris-1
Andrew Hawkins,2006-08-31,1,Toledo,@,Iowa State,L,1,8,8.0,0,andrew-hawkins-1
Nick Henderson,2006-08-31,1,Tulsa,,Stephen F. Austin,W,1,4,4.0,1,nick-henderson-1
Ben Hendy,2006-08-31,1,Temple,@,Buffalo,L,2,17,8.5,0,ben-hendy-1
Taron Henry,2006-08-31,1,Middle Tennessee State,,Florida International,W,4,39,9.8,0,taron-henry-1
Shaun Herbert,2006-08-31,1,Northwestern,@,Miami (OH),W,4,33,8.3,0,shaun-herbert-1
Stevie Hicks Jr.,2006-08-31,1,Iowa State,,Toledo,W,1,-1,-1.0,0,stevie-hicks-jr-1
Johnnie Lee Higgins Jr.,2006-08-31,1,Texas-El Paso,@,San Diego State,W,7,90,12.9,1,johnnie-lee-higgins-jr-1
B.J. Hill,2006-08-31,1,Ball State,,Eastern Michigan,W,2,27,13.5,0,bj-hill-2
Darius Hill,2006-08-31,1,Ball State,,Eastern Michigan,W,4,64,16.0,2,darius-hill-1
Marcus Hill,2006-08-31,1,Kent State,,Minnesota,L,1,31,31.0,0,marcus-hill-1
Erroll Hogan,2006-08-31,1,Louisiana-Monroe,,Alcorn State,W,1,8,8.0,0,erroll-hogan-1
Mike Holley,2006-08-31,1,Temple,@,Buffalo,L,4,29,7.3,0,mike-holley-1
Chris Hopkins,2006-08-31,1,Toledo,@,Iowa State,L,13,139,10.7,3,chris-hopkins-1
Jamar Hunt,2006-08-31,1,Texas-El Paso,@,San Diego State,W,2,18,9.0,1,jamar-hunt-1
Jovan Hutchinson,2006-08-31,1,Boise State,,Sacramento State,W,1,4,4.0,0,jovan-hutchinson-1
Cauvey Jackson,2006-08-31,1,Tulsa,,Stephen F. Austin,W,2,31,15.5,0,cauvey-jackson-1
Ruben Jackson,2006-08-31,1,Oregon State,,Eastern Washington,W,3,79,26.3,1,ruben-jackson-1
Drisan James,2006-08-31,1,Boise State,,Sacramento State,W,3,125,41.7,1,drisan-james-1
