Player,Date,G,School,Loc,Opponent,WL,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Pass Int,QBR,unique_id
Austen Arnaud,2009-09-03,1,Iowa State,,North Dakota State,W,16,28,57.1,227,2,0,148.8,austen-arnaud-1
Diondre Borel,2009-09-03,1,Utah State,@,Utah,L,10,26,38.5,121,0,1,69.9,diondre-borel-1
Levi Brown,2009-09-03,1,Troy,@,Bowling Green State,L,28,44,63.6,263,1,2,112.3,levi-brown-1
Terrance Cain,2009-09-03,1,Utah,,Utah State,W,20,30,66.7,286,2,1,162.1,terrance-cain-1
Ben Chappell,2009-09-03,1,Indiana,,Eastern Kentucky,W,27,36,75.0,326,1,2,149.1,ben-chappell-1
Vaughn Charlton,2009-09-03,1,Temple,,Villanova,L,19,28,67.9,317,2,3,165.1,vaughn-charlton-1
Michael Choate,2009-09-03,1,Boise State,,Oregon,W,0,1,0.0,0,0,0,0.0,michael-choate-1
Riley Dodge,2009-09-03,1,North Texas,@,Ball State,W,23,33,69.7,216,1,1,128.6,riley-dodge-1
Stephen Garcia,2009-09-03,1,South Carolina,@,North Carolina State,W,13,22,59.1,148,0,1,106.5,stephen-garcia-1
Mike Glennon,2009-09-03,1,North Carolina State,,South Carolina,L,1,2,50.0,0,0,0,50.0,mike-glennon-1
Jeremiah Masoli,2009-09-03,1,Oregon,@,Boise State,L,14,27,51.9,121,0,1,82.1,jeremiah-masoli-1
Kellen Moore,2009-09-03,1,Boise State,,Oregon,W,19,29,65.5,197,1,0,134.0,kellen-moore-1
Giorgio Morgan,2009-09-03,1,Kent State,,Coastal Carolina,W,21,35,60.0,201,0,2,96.8,giorgio-morgan-1
Kelly Page,2009-09-03,1,Ball State,,North Texas,L,15,34,44.1,140,0,1,72.8,kelly-page-1
Darius Reynolds,2009-09-03,1,Iowa State,,North Dakota State,W,0,1,0.0,0,0,0,0.0,darius-reynolds-1
Tyler Sheehan,2009-09-03,1,Bowling Green State,,Troy,W,32,44,72.7,339,2,1,147.9,tyler-sheehan-1
Jerome Tiller,2009-09-03,1,Iowa State,,North Dakota State,W,1,2,50.0,11,0,0,96.2,jerome-tiller-1
Russell Wilson,2009-09-03,1,North Carolina State,,South Carolina,L,12,23,52.2,74,0,0,79.2,russell-wilson-1
Greg Alexander,2009-09-04,1,Hawaii,,Central Arkansas,W,21,32,65.6,304,3,1,170.1,greg-alexander-1
D.J. Banks,2009-09-04,1,Tulane,,Tulsa,L,1,2,50.0,39,0,1,113.8,dj-banks-1
Joe Kemp,2009-09-04,1,Tulane,,Tulsa,L,16,26,61.5,278,1,1,156.4,joe-kemp-1
G.J. Kinne,2009-09-04,1,Tulsa,@,Tulane,W,15,20,75.0,211,1,0,180.1,gj-kinne-1
Kevin Moore,2009-09-04,1,Tulane,,Tulsa,L,2,4,50.0,8,0,0,66.8,kevin-moore-2
Mackenzi Adams,2009-09-05,1,Vanderbilt,,Western Carolina,W,3,7,42.9,34,0,0,83.7,mackenzi-adams-1
Brian Anderson,2009-09-05,1,Marshall,,Southern Illinois,W,27,36,75.0,316,3,1,170.7,brian-anderson-1
Ryan Aplin,2009-09-05,1,Arkansas State,,Mississippi Valley State,W,1,1,100.0,9,0,0,175.6,ryan-aplin-1
Andrew Banks,2009-09-05,1,Middle Tennessee State,@,Clemson,L,1,2,50.0,3,0,0,62.6,andrew-banks-1
Matt Barkley,2009-09-05,1,Southern California,,San Jose State,W,15,19,78.9,233,1,0,199.3,matt-barkley-1
Joe Bauserman,2009-09-05,1,Ohio State,,Navy,W,3,5,60.0,36,0,0,120.5,joe-bauserman-1
Robert Benjamin,2009-09-05,1,Wyoming,,Weber State,W,8,14,57.1,87,0,0,109.3,robert-benjamin-1
Codi Boek,2009-09-05,1,Boston College,,Northeastern,W,2,4,50.0,18,0,0,87.8,codi-boek-1
Zach Bolger,2009-09-05,1,Wyoming,,Weber State,W,0,1,0.0,0,0,0,0.0,zach-bolger-1
Sam Bradford,2009-09-05,1,Oklahoma,N,Brigham Young,L,10,14,71.4,96,1,0,152.6,sam-bradford-1
John Brantley,2009-09-05,1,Florida,,Charleston Southern,W,8,12,66.7,67,2,0,168.6,john-brantley-1
Richard Brehaut,2009-09-05,1,UCLA,,San Diego State,W,2,2,100.0,39,0,0,263.8,richard-brehaut-1
Jarrett Brown,2009-09-05,1,West Virginia,,Liberty,W,19,26,73.1,243,0,0,151.6,jarrett-brown-1
Chad Bumphis,2009-09-05,1,Mississippi State,,Jackson State,W,0,1,0.0,0,0,0,0.0,chad-bumphis-1
Justin Burke,2009-09-05,1,Louisville,,Indiana State,W,17,31,54.8,223,0,2,102.4,justin-burke-1
Kodi Burns,2009-09-05,1,Auburn,,Louisiana Tech,W,0,1,0.0,0,0,0,0.0,kodi-burns-1
Rob Calabrese,2009-09-05,1,Central Florida,,Samford,W,3,7,42.9,28,0,0,76.5,rob-calabrese-1
Sean Canfield,2009-09-05,1,Oregon State,,Portland State,W,8,11,72.7,158,1,0,223.4,sean-canfield-1
Alex Carder,2009-09-05,1,Western Michigan,@,Michigan,L,1,1,100.0,4,0,0,133.6,alex-carder-1
Derek Carr,2009-09-05,1,Fresno State,,California-Davis,W,2,2,100.0,37,0,0,255.4,derek-carr-1
Austyn Carta-Samuels,2009-09-05,1,Wyoming,,Weber State,W,8,17,47.1,101,0,0,97.0,austyn-carta-samuels-1
Daryll Clark,2009-09-05,1,Penn State,,Akron,W,29,40,72.5,353,3,1,166.4,daryll-clark-1
Jimmy Clausen,2009-09-05,1,Notre Dame,,Nevada,W,15,18,83.3,315,4,0,303.7,jimmy-clausen-1
Mike Clausen,2009-09-05,1,Nevada-Las Vegas,,Sacramento State,W,4,4,100.0,37,0,0,177.7,mike-clausen-1
Omar Clayton,2009-09-05,1,Nevada-Las Vegas,,Sacramento State,W,13,17,76.5,213,1,0,201.1,omar-clayton-1
Carson Coffman,2009-09-05,1,Kansas State,,Massachusetts,W,14,27,51.9,182,2,1,125.5,carson-coffman-1
Ryan Colburn,2009-09-05,1,Fresno State,,California-Davis,W,5,9,55.6,161,1,1,220.3,ryan-colburn-1
Dajuane Collins,2009-09-05,1,Toledo,@,Purdue,L,0,1,0.0,0,0,0,0.0,dajuane-collins-1
David Cone,2009-09-05,1,Michigan,,Western Michigan,W,0,2,0.0,0,0,0,0.0,david-cone-1
Aaron Corp,2009-09-05,1,Southern California,,San Jose State,W,4,4,100.0,45,1,0,277.0,aaron-corp-1
Jimmy Costello,2009-09-05,1,Missouri,N,Illinois,W,1,2,50.0,6,0,0,75.2,jimmy-costello-1
Kirk Cousins,2009-09-05,1,Michigan State,,Montana State,W,10,17,58.8,183,3,0,207.5,kirk-cousins-1
Joe Cox,2009-09-05,1,Georgia,@,Oklahoma State,L,15,30,50.0,162,1,1,99.7,joe-cox-1
Dayne Crist,2009-09-05,1,Notre Dame,,Nevada,W,2,2,100.0,17,0,0,171.4,dayne-crist-1
Jonathan Crompton,2009-09-05,1,Tennessee,,Western Kentucky,W,21,28,75.0,233,5,2,189.5,jonathan-crompton-1
B.J. Daniels,2009-09-05,1,South Florida,,Wofford,W,2,2,100.0,30,1,0,391.0,bj-daniels-1
Dwight Dasher,2009-09-05,1,Middle Tennessee State,@,Clemson,L,20,42,47.6,204,1,3,82.0,dwight-dasher-1
Austin Davis,2009-09-05,1,Southern Mississippi,,Alcorn State,W,19,25,76.0,217,3,0,188.5,austin-davis-1
Preston Davis,2009-09-05,1,Idaho,@,New Mexico State,W,0,1,0.0,0,0,0,0.0,preston-davis-1
Ricky Dobbs,2009-09-05,1,Navy,@,Ohio State,L,9,13,69.2,156,2,1,205.4,ricky-dobbs-1
Tommy Dorman,2009-09-05,1,Texas A&M,,New Mexico,W,1,2,50.0,12,0,0,100.4,tommy-dorman-1
Myles Eden,2009-09-05,1,San Jose State,@,Southern California,L,1,2,50.0,3,0,0,62.6,myles-eden-1
Joey Elliott,2009-09-05,1,Purdue,,Toledo,W,17,28,60.7,220,3,3,140.6,joey-elliott-1
Nathan Enderle,2009-09-05,1,Idaho,@,New Mexico State,W,11,21,52.4,179,2,1,145.9,nathan-enderle-1
Richie Falgout,2009-09-05,1,Louisiana,,Southern,W,1,1,100.0,42,1,0,782.8,richie-falgout-1
Nick Fanuzzi,2009-09-05,1,Rice,@,Alabama-Birmingham,L,12,20,60.0,154,1,0,141.2,nick-fanuzzi-1
Ebahn Feathers,2009-09-05,1,Fresno State,,California-Davis,W,1,1,100.0,3,0,0,125.2,ebahn-feathers-1
Will Fidler,2009-09-05,1,Kentucky,N,Miami (OH),W,2,3,66.7,21,0,0,125.5,will-fidler-1
Jeff Fleming,2009-09-05,1,New Mexico State,,Idaho,L,21,33,63.6,230,0,1,116.1,jeff-fleming-1
Tate Forcier,2009-09-05,1,Michigan,,Western Michigan,W,13,20,65.0,179,3,0,189.7,tate-forcier-1
Zach Frazer,2009-09-05,1,Connecticut,@,Ohio,W,11,24,45.8,127,2,3,92.8,zach-frazer-1
Blaine Gabbert,2009-09-05,1,Missouri,N,Illinois,W,25,33,75.8,319,3,0,187.0,blaine-gabbert-1
Garrett Gilbert,2009-09-05,1,Texas,,Louisiana-Monroe,W,4,5,80.0,46,0,0,157.3,garrett-gilbert-1
Cody Green,2009-09-05,1,Nebraska,,Florida Atlantic,W,2,3,66.7,18,0,0,117.1,cody-green-1
Robert Griffin III,2009-09-05,1,Baylor,@,Wake Forest,W,15,24,62.5,136,1,0,123.9,robert-griffin-iii-1
Matt Grothe,2009-09-05,1,South Florida,,Wofford,W,19,23,82.6,155,1,1,144.9,matt-grothe-1
Max Hall,2009-09-05,1,Brigham Young,N,Oklahoma,W,26,38,68.4,329,2,2,148.0,max-hall-1
Vic Hall,2009-09-05,1,Virginia,,William & Mary,L,2,5,40.0,7,0,0,51.8,vic-hall-1
Braden Hanson,2009-09-05,1,North Carolina,,Citadel,W,0,2,0.0,0,0,1,-100.0,braden-hanson-1
Chandler Harnish,2009-09-05,1,Northern Illinois,@,Wisconsin,L,15,24,62.5,174,0,0,123.4,chandler-harnish-1
Mike Hartline,2009-09-05,1,Kentucky,N,Miami (OH),W,18,27,66.7,222,2,0,160.2,mike-hartline-1
Tim Hiller,2009-09-05,1,Western Michigan,@,Michigan,L,22,38,57.9,259,1,2,113.3,tim-hiller-1
Brett Hodges,2009-09-05,1,Central Florida,,Samford,W,10,17,58.8,129,1,1,130.2,brett-hodges-1
David Isabelle,2009-09-05,1,Alabama-Birmingham,,Rice,W,0,1,0.0,0,0,0,0.0,david-isabelle-1
Boo Jackson,2009-09-05,1,Ohio,,Connecticut,L,8,16,50.0,117,1,0,132.1,boo-jackson-1
Chris Jacquemain,2009-09-05,1,Akron,@,Penn State,L,13,22,59.1,158,1,1,125.3,chris-jacquemain-1
Kawaun Jakes,2009-09-05,1,Western Kentucky,@,Tennessee,L,1,3,33.3,5,0,1,-19.3,kawaun-jakes-1
Jordan Jefferson,2009-09-05,1,Louisiana State,@,Washington,W,11,19,57.9,172,3,0,186.0,jordan-jefferson-1
Tim Jefferson,2009-09-05,1,Air Force,,Nicholls State,W,5,7,71.4,102,1,0,241.0,tim-jefferson-1
Ross Jenkins,2009-09-05,1,Louisiana Tech,@,Auburn,L,18,33,54.5,149,1,1,96.4,ross-jenkins-1
Jerrod Johnson,2009-09-05,1,Texas A&M,,New Mexico,W,31,41,75.6,349,2,0,163.2,jerrod-johnson-1
Landry Jones,2009-09-05,1,Oklahoma,N,Brigham Young,L,6,12,50.0,51,0,0,85.7,landry-jones-1
Colin Kaepernick,2009-09-05,1,Nevada,@,Notre Dame,L,12,23,52.2,149,0,2,89.2,colin-kaepernick-1
Mike Kafka,2009-09-05,1,Northwestern,,Towson,W,15,20,75.0,192,0,0,155.6,mike-kafka-1
Ryan Katz,2009-09-05,1,Oregon State,,Portland State,W,7,12,58.3,124,0,0,145.1,ryan-katz-1
Case Keenum,2009-09-05,1,Houston,,Northwestern State,W,23,30,76.7,359,4,0,221.2,case-keenum-1
Jordan La Secla,2009-09-05,1,San Jose State,@,Southern California,L,5,10,50.0,43,0,0,86.1,jordan-la-secla-1
Tyler Lantrip,2009-09-05,1,Nevada,@,Notre Dame,L,1,4,25.0,5,0,0,35.5,tyler-lantrip-1
Tyson Lee,2009-09-05,1,Mississippi State,,Jackson State,W,9,14,64.3,97,0,0,122.5,tyson-lee-1
Zac Lee,2009-09-05,1,Nebraska,,Florida Atlantic,W,15,22,68.2,213,2,1,170.4,zac-lee-1
Dan Lefevour,2009-09-05,1,Central Michigan,@,Arizona,L,18,31,58.1,108,0,1,80.9,dan-lefevour-1
Corey Leonard,2009-09-05,1,Arkansas State,,Mississippi Valley State,W,8,13,61.5,129,1,0,170.3,corey-leonard-1
Thaddeus Lewis,2009-09-05,1,Duke,,Richmond,L,34,55,61.8,350,2,0,127.3,thaddeus-lewis-2
Ryan Lindley,2009-09-05,1,San Diego State,@,UCLA,L,18,45,40.0,238,2,3,85.8,ryan-lindley-1
Marshall Lobbestael,2009-09-05,1,Washington State,,Stanford,L,8,13,61.5,78,0,0,111.9,marshall-lobbestael-1
Jake Locker,2009-09-05,1,Washington,,Louisiana State,L,25,45,55.6,321,2,1,125.7,jake-locker-1
Kevin Lopina,2009-09-05,1,Washington State,,Stanford,L,10,16,62.5,122,1,0,147.2,kevin-lopina-1
Andrew Luck,2009-09-05,1,Stanford,@,Washington State,W,11,23,47.8,193,1,0,132.7,andrew-luck-1
Ryan Mallett,2009-09-05,1,Arkansas,,Missouri State,W,17,22,77.3,309,1,0,210.3,ryan-mallett-1
Brock Mansion,2009-09-05,1,California,,Maryland,W,0,1,0.0,0,0,0,0.0,brock-mansion-1
Mike Marscovetra,2009-09-05,1,Boston College,,Northeastern,W,3,3,100.0,21,0,0,158.8,mike-marscovetra-1
Chris Masson,2009-09-05,1,Louisiana,,Southern,W,18,24,75.0,283,2,0,201.6,chris-masson-1
Zach Maynard,2009-09-05,1,Buffalo,@,Texas-El Paso,W,12,19,63.2,159,1,0,150.8,zach-maynard-1
Colt McCoy,2009-09-05,1,Texas,,Louisiana-Monroe,W,21,29,72.4,317,2,1,180.1,colt-mccoy-1
Greg McElroy,2009-09-05,1,Alabama,N,Virginia Tech,W,15,30,50.0,230,1,1,118.7,greg-mcelroy-1
Eddie McGee,2009-09-05,1,Illinois,N,Missouri,L,4,9,44.4,36,0,0,78.0,eddie-mcgee-1
Bo Levi Mitchell,2009-09-05,1,Southern Methodist,,Stephen F. Austin,W,23,45,51.1,202,1,2,87.3,bo-levi-mitchell-1
Josh Nesbitt,2009-09-05,1,Georgia Tech,,Jacksonville State,W,6,11,54.5,141,1,0,192.2,josh-nesbitt-1
Kevin Newsome,2009-09-05,1,Penn State,,Akron,W,3,4,75.0,26,0,0,129.6,kevin-newsome-1
