Player,Date,G,School,Loc,Opponent,WL,Int Ret,Int Ret Yds,Int TD,Pass Broken Up,unique_id
Tom Brandt,2012-08-30,1,Massachusetts,@,Connecticut,L,1,20,0,1,tom-brandt-1
Lyle Dankenbring,2012-08-30,1,Central Florida,@,Akron,W,1,9,0,1,lyle-dankenbring-1
Alden Darby,2012-08-30,1,Arizona State,,Northern Arizona,W,1,50,0,1,alden-darby-1
Dwayne Gratz,2012-08-30,1,Connecticut,,Massachusetts,W,1,37,1,2,dwayne-gratz-1
La'Bradford Harold,2012-08-30,1,Utah State,,Southern Utah,W,1,0,0,1,labradford-harold-1
Jeremy Harris,2012-08-30,1,New Mexico State,,Sacramento State,W,1,0,0,2,jeremy-harris-1
Tim Hasson,2012-08-30,1,Nevada-Las Vegas,,Minnesota,L,1,44,0,2,tim-hasson-1
Jordan Johnson,2012-08-30,1,Brigham Young,,Washington State,W,1,64,0,2,jordan-johnson-3
Uona Kaveinga,2012-08-30,1,Brigham Young,,Washington State,W,1,0,0,1,uona-kaveinga-1
Joe Kruger,2012-08-30,1,Utah,,Northern Colorado,W,1,24,1,2,joe-kruger-1
Kenny Ladler,2012-08-30,1,Vanderbilt,,South Carolina,L,1,17,0,2,kenny-ladler-1
Brandon Magee,2012-08-30,1,Arizona State,,Northern Arizona,W,1,45,1,1,brandon-magee-1
Justin March,2012-08-30,1,Akron,,Central Florida,L,1,0,0,1,justin-march-1
Homer Mauga,2012-08-30,1,Idaho,,Eastern Washington,L,1,2,0,1,homer-mauga-1
Viliami Moeakiola,2012-08-30,1,Arizona State,,Northern Arizona,W,1,22,0,1,viliami-moeakiola-1
Cameron Nwosu,2012-08-30,1,Rice,,UCLA,L,1,8,0,1,cameron-nwosu-1
Sheldon Price,2012-08-30,1,UCLA,@,Rice,W,1,0,0,1,sheldon-price-1
Antoine Tharpe,2012-08-30,1,Massachusetts,@,Connecticut,L,1,0,0,1,antoine-tharpe-1
Brock Vereen,2012-08-30,1,Minnesota,@,Nevada-Las Vegas,W,1,-2,0,0,brock-vereen-1
Derrick Wells,2012-08-30,1,Minnesota,@,Nevada-Las Vegas,W,2,0,0,4,derrick-wells-1
Shaq Wilson,2012-08-30,1,South Carolina,@,Vanderbilt,W,1,37,0,1,shaq-wilson-1
Norman Wolfe Jr.,2012-08-30,1,Kent State,,Towson,W,1,0,0,2,norman-wolfe-jr-1
Luke Wollet,2012-08-30,1,Kent State,,Towson,W,1,0,0,3,luke-wollet-1
Vaughn Carraway,2012-08-31,1,Temple,,Villanova,W,1,57,1,1,vaughn-carraway-1
Eric Gordon,2012-08-31,1,Tennessee,N,North Carolina State,W,1,12,0,1,eric-gordon-2
Lee Hightower,2012-08-31,1,Boise State,@,Michigan State,L,1,0,0,1,lee-hightower-1
Jeremy Ioane,2012-08-31,1,Boise State,@,Michigan State,L,1,43,1,1,jeremy-ioane-1
Byron Moore,2012-08-31,1,Tennessee,N,North Carolina State,W,1,18,0,1,byron-moore-1
Ed Reynolds,2012-08-31,1,Stanford,,San Jose State,W,1,23,0,1,ed-reynolds-1
D'Joun Smith,2012-08-31,1,Florida Atlantic,,Wagner,W,1,0,0,2,djoun-smith-1
