"Player","Date","G","School","Loc","Opponent","WL","Rush Att","Rush Yard","Rush Avg","Rush TD","unique_id"
"LJ Scott","2018-08-31",1,"Michigan State",,"Utah State","W",23,84,3.7,0,"lj-scott-2"
"Davis Shanley","2018-08-31",1,"Western Kentucky","@","Wisconsin","L",3,31,10.3,0,"davis-shanley-1"
"Laviska Shenault Jr.","2018-08-31",1,"Colorado","N","Colorado State","W",1,5,5,0,"laviska-shenault-jr-1"
"Jacquez Sloan","2018-08-31",1,"Western Kentucky","@","Wisconsin","L",1,1,1,0,"jacquez-sloan-1"
"Connor Slomka","2018-08-31",1,"Army","@","Duke","L",5,20,4,0,"connor-slomka-1"
"Cristian Solano","2018-08-31",1,"Nevada",,"Portland State","W",2,15,7.5,1,"cristian-solano-1"
"Trevor Speights","2018-08-31",1,"Stanford",,"San Diego State","W",2,7,3.5,0,"trevor-speights-1"
"Darrell Stewart Jr.","2018-08-31",1,"Michigan State",,"Utah State","W",1,15,15,0,"darrell-stewart-jr-1"
"Dontae Strickland","2018-08-31",1,"Syracuse","@","Western Michigan","W",11,38,3.5,2,"dontae-strickland-2"
"Carson Strong","2018-08-31",1,"Nevada",,"Portland State","W",1,4,4,0,"carson-strong-1"
"Toa Taua","2018-08-31",1,"Nevada",,"Portland State","W",8,56,7,0,"toa-taua-1"
"Jonathan Taylor","2018-08-31",1,"Wisconsin",,"Western Kentucky","W",18,145,8.1,2,"jonathan-taylor-1"
"Cam Thomas","2018-08-31",1,"Army","@","Duke","L",1,4,4,0,"cam-thomas-3"
"Darwin Thompson","2018-08-31",1,"Utah State","@","Michigan State","L",10,28,2.8,2,"darwin-thompson-1"
"Marquez Trigg","2018-08-31",1,"Western Kentucky","@","Wisconsin","L",4,3,0.8,0,"marquez-trigg-1"
"Shaq Vann","2018-08-31",1,"Eastern Michigan",,"Monmouth","W",12,46,3.8,0,"shaq-vann-1"
"Aaren Vaughns","2018-08-31",1,"Utah State","@","Michigan State","L",1,-5,-5,0,"aaren-vaughns-1"
"Kell Walker","2018-08-31",1,"Army","@","Duke","L",6,8,1.3,0,"kell-walker-1"
"Juwan Washington","2018-08-31",1,"San Diego State","@","Stanford","L",24,158,6.6,1,"juwan-washington-1"
"Jon Wassink","2018-08-31",1,"Western Michigan",,"Syracuse","L",7,14,2,1,"jon-wassink-1"
"Tyler Wiegers","2018-08-31",1,"Eastern Michigan",,"Monmouth","W",3,19,6.3,0,"tyler-wiegers-1"
"Darnell Woolfolk","2018-08-31",1,"Army","@","Duke","L",7,20,2.9,0,"darnell-woolfolk-1"
"Blake Wright","2018-08-31",1,"Nevada",,"Portland State","W",3,15,5,0,"blake-wright-1"
"Zach Abey","2018-09-01",1,"Navy","@","Hawaii","L",5,17,3.4,4,"zach-abey-1"
"Jack Abraham","2018-09-01",1,"Southern Mississippi",,"Jackson State","W",2,-9,-4.5,0,"jack-abraham-1"
"Salvon Ahmed","2018-09-01",1,"Washington","N","Auburn","L",7,36,5.1,0,"salvon-ahmed-1"
"Christian Alexander","2018-09-01",1,"Florida International",,"Indiana","L",3,7,2.3,0,"christian-alexander-1"
"Kazmeir Allen","2018-09-01",1,"UCLA",,"Cincinnati","L",5,103,20.6,1,"kazmeir-allen-1"
"Mark Allen","2018-09-01",1,"Penn State",,"Appalachian State","W",6,25,4.2,0,"mark-allen-5"
"Bilal Ally","2018-09-01",2,"Massachusetts","@","Boston College","L",9,18,2,0,"bilal-ally-1"
"Garrett Amy","2018-09-01",1,"Air Force",,"Stony Brook","W",2,6,3,0,"garrett-amy-1"
"Anthony Anderson","2018-09-01",1,"Marshall","@","Miami (OH)","W",3,6,2,2,"anthony-anderson-4"
"Brad Anderson","2018-09-01",1,"Middle Tennessee State","@","Vanderbilt","L",1,0,0,0,"brad-anderson-3"
"Darius Anderson","2018-09-01",1,"Texas Christian",,"Southern","W",8,36,4.5,0,"darius-anderson-1"
"Kilton Anderson","2018-09-01",1,"Coastal Carolina","@","South Carolina","L",10,8,0.8,0,"kilton-anderson-1"
"Rodney Anderson","2018-09-01",1,"Oklahoma",,"Florida Atlantic","W",5,100,20,2,"rodney-anderson-1"
"Steven Anderson","2018-09-01",1,"Southern Mississippi",,"Jackson State","W",4,33,8.3,0,"steven-anderson-1"
"Theo Anderson","2018-09-01",1,"Buffalo",,"Delaware State","W",4,11,2.8,0,"theo-anderson-1"
"Rafael Araujo-Lopes","2018-09-01",1,"Pittsburgh",,"Albany","W",2,17,8.5,0,"rafael-araujo-lopes-1"
"Ryquell Armstead","2018-09-01",1,"Temple",,"Villanova","L",14,31,2.2,0,"ryquell-armstead-1"
"Brennan Armstrong","2018-09-01",1,"Virginia",,"Richmond","W",3,11,3.7,0,"brennan-armstrong-1"
"Jafar Armstrong","2018-09-01",1,"Notre Dame",,"Michigan","W",15,35,2.3,2,"jafar-armstrong-1"
"Lamont Atkins","2018-09-01",1,"Virginia",,"Richmond","W",1,5,5,0,"lamont-atkins-1"
"Calvin Austin III","2018-09-01",1,"Memphis",,"Mercer","W",1,83,83,1,"calvin-austin-iii-1"
"Even Austrie","2018-09-01",1,"Nevada-Las Vegas","@","Southern California","L",1,36,36,0,"even-austrie-1"
"Tyler Badie","2018-09-01",1,"Missouri",,"Tennessee-Martin","W",10,32,3.2,0,"tyler-badie-1"
"David Bailey","2018-09-01",1,"Boston College",,"Massachusetts","W",5,24,4.8,1,"david-bailey-3"
"Kawaan Baker","2018-09-01",1,"South Alabama",,"Louisiana Tech","L",6,51,8.5,2,"kawaan-baker-1"
"Jeremy Banks","2018-09-01",1,"Tennessee","N","West Virginia","L",5,11,2.2,0,"jeremy-banks-2"
"Kaleb Barker","2018-09-01",1,"Troy",,"Boise State","L",17,25,1.5,0,"kaleb-barker-1"
"Alex Barnes","2018-09-01",1,"Kansas State",,"South Dakota","W",21,103,4.9,0,"alex-barnes-1"
"Blake Barnett","2018-09-01",1,"South Florida",,"Elon","W",8,31,3.9,1,"blake-barnett-2"
"Woody Barrett","2018-09-01",1,"Kent State","@","Illinois","L",18,117,6.5,1,"woody-barrett-2"
"B.J. Baylor","2018-09-01",1,"Oregon State","@","Ohio State","L",2,7,3.5,0,"bj-baylor-1"
"Peyton Bender","2018-09-01",1,"Kansas",,"Nicholls State","L",10,-15,-1.5,0,"peyton-bender-1"
"Eno Benjamin","2018-09-01",1,"Arizona State",,"Texas-San Antonio","W",16,131,8.2,1,"eno-benjamin-1"
"KirVonte Benson","2018-09-01",1,"Georgia Tech",,"Alcorn State","W",10,75,7.5,2,"kirvonte-benson-1"
"Jake Bentley","2018-09-01",1,"South Carolina",,"Coastal Carolina","W",4,-1,-0.3,0,"jake-bentley-2"
"Jaylon Bester","2018-09-01",1,"Miami (OH)",,"Marshall","L",4,1,0.3,0,"jaylon-bester-1"
"Jevon Bigelow","2018-09-01",2,"Wyoming",,"Washington State","L",11,42,3.8,0,"jevon-bigelow-1"
"Taven Birdow","2018-09-01",1,"Air Force",,"Stony Brook","W",7,18,2.6,0,"taven-birdow-1"
"Raheem Blackshear","2018-09-01",1,"Rutgers",,"Texas State","W",12,62,5.2,1,"raheem-blackshear-1"
"Khari Blasingame","2018-09-01",1,"Vanderbilt",,"Middle Tennessee State","W",9,52,5.8,1,"khari-blasingame-1"
"Conor Blount","2018-09-01",1,"Oregon State","@","Ohio State","L",6,-43,-7.2,0,"conor-blount-1"
"Ra'Von Bonner","2018-09-01",1,"Illinois",,"Kent State","W",7,26,3.7,1,"ravon-bonner-1"
"Max Borghi","2018-09-01",1,"Washington State","@","Wyoming","W",1,14,14,1,"max-borghi-1"
"Ross Bowers","2018-09-01",1,"California",,"North Carolina","W",3,-7,-2.3,0,"ross-bowers-1"
"Alan Bowman","2018-09-01",1,"Texas Tech","N","Mississippi","L",3,19,6.3,0,"alan-bowman-1"
"De'Quan Bowman","2018-09-01",1,"Texas Tech","N","Mississippi","L",1,4,4,0,"dequan-bowman-1"
"Frank Boyd","2018-09-01",1,"Liberty",,"Old Dominion","W",4,33,8.3,0,"frank-boyd-1"
"Rakeem Boyd","2018-09-01",1,"Arkansas",,"Eastern Illinois","W",6,12,2,0,"rakeem-boyd-2"
"Trevon Bradford","2018-09-01",1,"Oregon State","@","Ohio State","L",3,23,7.7,0,"trevon-bradford-1"
"Carter Bradley","2018-09-01",1,"Toledo",,"Virginia Military Institute","W",2,-12,-6,0,"carter-bradley-1"
"Brenden Brady","2018-09-01",1,"Texas-San Antonio","@","Arizona State","L",2,6,3,0,"brenden-brady-1"
"Charlie Brewer","2018-09-01",1,"Baylor",,"Abilene Christian","W",1,15,15,0,"charlie-brewer-1"
"Chase Brice","2018-09-01",1,"Clemson",,"Furman","W",2,6,3,0,"chase-brice-1"
"Gary Brightwell","2018-09-01",1,"Arizona",,"Brigham Young","L",9,30,3.3,0,"gary-brightwell-1"
"Kennedy Brooks","2018-09-01",1,"Oklahoma",,"Florida Atlantic","W",4,51,12.8,1,"kennedy-brooks-1"
"Shamari Brooks","2018-09-01",1,"Tulsa",,"Central Arkansas","W",27,129,4.8,2,"shamari-brooks-1"
"Tony Brooks-James","2018-09-01",1,"Oregon",,"Bowling Green State","W",5,27,5.4,0,"tony-brooks-james-1"
"Anthony Brown","2018-09-01",1,"Boston College",,"Massachusetts","W",1,8,8,0,"anthony-brown-11"
"D.J. Brown","2018-09-01",1,"Northern Illinois","@","Iowa","L",2,-4,-2,0,"dj-brown-3"
"Devon Brown","2018-09-01",1,"Old Dominion","@","Liberty","L",1,4,4,0,"devon-brown-2"
"Jordon Brown","2018-09-01",1,"North Carolina","@","California","L",6,35,5.8,0,"jordon-brown-1"
"Leddie Brown","2018-09-01",1,"West Virginia","N","Tennessee","W",8,33,4.1,0,"leddie-brown-1"
"Jake Browning","2018-09-01",1,"Washington","N","Auburn","L",8,-5,-0.6,0,"jake-browning-1"
"Kelly Bryant","2018-09-01",1,"Clemson",,"Furman","W",5,44,8.8,1,"kelly-bryant-1"
"Braxton Burmeister","2018-09-01",1,"Oregon",,"Bowling Green State","W",1,9,9,0,"braxton-burmeister-1"
"Logan Burnett","2018-09-01",1,"Mississippi State",,"Stephen F. Austin","W",1,3,3,0,"logan-burnett-1"
"AJ Bush","2018-09-01",1,"Illinois",,"Kent State","W",21,139,6.6,0,"aj-bush-1"
"Tevin Bush","2018-09-01",1,"West Virginia","N","Tennessee","W",1,2,2,0,"tevin-bush-1"
"Raymond Calais","2018-09-01",1,"Louisiana",,"Grambling State","W",7,69,9.9,1,"raymond-calais-1"
"Calvin Camp","2018-09-01",1,"UNC Charlotte",,"Fordham","W",4,18,4.5,0,"calvin-camp-1"
"Greg Campbell Jr.","2018-09-01",1,"Texas-San Antonio","@","Arizona State","L",1,-4,-4,0,"greg-campbell-3"
"Xzaviar Campbell","2018-09-01",1,"Nevada-Las Vegas","@","Southern California","L",4,24,6,0,"xzaviar-campbell-1"
"Squally Canada","2018-09-01",1,"Brigham Young","@","Arizona","W",24,98,4.1,3,"squally-canada-1"
"Mulbah Car","2018-09-01",1,"Houston","@","Rice","W",7,41,5.9,0,"mulbah-car-1"
"Bryce Carpenter","2018-09-01",1,"Coastal Carolina","@","South Carolina","L",2,-3,-1.5,0,"bryce-carpenter-1"
"Patrick Carr","2018-09-01",1,"Houston","@","Rice","W",8,74,9.3,1,"patrick-carr-1"
"Stephen Carr","2018-09-01",1,"Southern California",,"Nevada-Las Vegas","W",9,54,6,0,"stephen-carr-2"
"Slade Carroll","2018-09-01",1,"South Carolina",,"Coastal Carolina","W",4,46,11.5,0,"slade-carroll-1"
"A.J. Carter","2018-09-01",1,"Arizona State",,"Texas-San Antonio","W",2,7,3.5,0,"aj-carter-1"
"KeSean Carter","2018-09-01",1,"Texas Tech","N","Mississippi","L",1,10,10,0,"kesean-carter-1"
"McLane Carter","2018-09-01",1,"Texas Tech","N","Mississippi","L",3,13,4.3,0,"mclane-carter-1"
"Todd Centeio","2018-09-01",1,"Temple",,"Villanova","L",2,6,3,0,"todd-centeio-1"
"Ty Chandler","2018-09-01",1,"Tennessee","N","West Virginia","L",4,-4,-1,0,"ty-chandler-1"
"Marcus Childers","2018-09-01",1,"Northern Illinois","@","Iowa","L",10,-33,-3.3,0,"marcus-childers-1"
"Adam Choice","2018-09-01",1,"Clemson",,"Furman","W",2,6,3,0,"adam-choice-1"
"Andrew Clair","2018-09-01",1,"Bowling Green State","@","Oregon","L",25,113,4.5,0,"andrew-clair-1"
"Derrick Clark","2018-09-01",1,"California",,"North Carolina","W",1,1,1,0,"derrick-clark-1"
"Ronnie Clark","2018-09-01",1,"Alabama","N","Louisville","W",3,10,3.3,0,"ronnie-clark-1"
"Iverson Clement","2018-09-01",1,"Florida",,"Charleston Southern","W",1,5,5,0,"iverson-clement-1"
"Rona Cleveland","2018-09-01",1,"Air Force",,"Stony Brook","W",6,14,2.3,0,"rona-cleveland-1"
"Brian Cobbs","2018-09-01",1,"Maryland","N","Texas","W",1,3,3,0,"brian-cobbs-2"
"Jack Colletto","2018-09-01",1,"Oregon State","@","Ohio State","L",4,14,3.5,0,"jack-colletto-1"
"Dylan Collie","2018-09-01",1,"Brigham Young","@","Arizona","W",1,13,13,0,"dylan-collie-1"
"Tyleek Collins","2018-09-01",1,"Nevada-Las Vegas","@","Southern California","L",1,-3,-3,0,"tyleek-collins-1"
"Ross Comis","2018-09-01",2,"Massachusetts","@","Boston College","L",7,12,1.7,0,"ross-comis-1"
"Austin Conway","2018-09-01",2,"Wyoming",,"Washington State","L",1,9,9,0,"austin-conway-1"
"James Cook","2018-09-01",1,"Georgia",,"Austin Peay","W",6,66,11,0,"james-cook-2"
"Reggie Corbin","2018-09-01",1,"Illinois",,"Kent State","W",10,79,7.9,2,"reggie-corbin-1"
"Chase Cord","2018-09-01",1,"Boise State","@","Troy","W",1,44,44,1,"chase-cord-1"
"Nate Cottrell","2018-09-01",1,"Georgia Tech",,"Alcorn State","W",1,25,25,0,"nate-cottrell-1"
"Dante Cousart","2018-09-01",1,"Florida Atlantic","@","Oklahoma","L",1,1,1,0,"dante-cousart-1"
"Avante' Cox","2018-09-01",2,"Wyoming",,"Washington State","L",1,23,23,1,"avante-cox-1"
"Chandler Cox","2018-09-01",1,"Auburn","N","Washington","W",1,1,1,0,"chandler-cox-1"
"Jeremy Cox","2018-09-01",1,"Old Dominion","@","Liberty","L",12,34,2.8,0,"jeremy-cox-1"
"Josh Crawford","2018-09-01",1,"Vanderbilt",,"Middle Tennessee State","W",2,5,2.5,0,"josh-crawford-1"
"Damarea Crockett","2018-09-01",1,"Missouri",,"Tennessee-Martin","W",12,42,3.5,1,"damarea-crockett-1"
"Michael Curtis","2018-09-01",2,"Massachusetts","@","Boston College","L",3,6,2,1,"michael-curtis-2"
"Jaquis Dancy","2018-09-01",1,"Louisiana Tech","@","South Alabama","W",15,144,9.6,2,"jaquis-dancy-1"
"B.J. Daniels","2018-09-01",1,"Texas-San Antonio","@","Arizona State","L",9,24,2.7,1,"bj-daniels-2"
"JT Daniels","2018-09-01",1,"Southern California",,"Nevada-Las Vegas","W",5,-1,-0.2,0,"jt-daniels-1"
"T'Rod Daniels","2018-09-01",1,"Southern Mississippi",,"Jackson State","W",4,17,4.3,0,"trod-daniels-1"
"A.J. Davis","2018-09-01",1,"Pittsburgh",,"Albany","W",13,46,3.5,0,"aj-davis-4"
"Ahmari Davis","2018-09-01",1,"New Mexico",,"Incarnate Word","W",7,39,5.6,0,"ahmari-davis-1"
"Avery Davis","2018-09-01",1,"Notre Dame",,"Michigan","W",2,-3,-1.5,0,"avery-davis-1"
"Keion Davis","2018-09-01",1,"Marshall","@","Miami (OH)","W",17,76,4.5,1,"keion-davis-1"
"Malik Davis","2018-09-01",1,"Florida",,"Charleston Southern","W",6,38,6.3,0,"malik-davis-1"
"Melvin Davis","2018-09-01",1,"Georgia Tech",,"Alcorn State","W",1,3,3,0,"melvin-davis-1"
"Ryan Davis","2018-09-01",1,"Auburn","N","Washington","W",1,10,10,0,"ryan-davis-5"
"Javian Dayne","2018-09-01",1,"Boston College",,"Massachusetts","W",3,7,2.3,0,"javian-dayne-1"
"Alex Delton","2018-09-01",1,"Kansas State",,"South Dakota","W",12,78,6.5,0,"alex-delton-1"
"Emari Demercado","2018-09-01",1,"Texas Christian",,"Southern","W",8,57,7.1,0,"emari-demercado-1"
"Bryson Denley","2018-09-01",1,"Bowling Green State","@","Oregon","L",12,36,3,0,"bryson-denley-1"
"AJ Dillon","2018-09-01",1,"Boston College",,"Massachusetts","W",20,98,4.9,0,"aj-dillon-1"
"Winston Dimel","2018-09-01",1,"Texas-El Paso",,"Northern Arizona","L",1,1,1,0,"winston-dimel-1"
"Lyn-J Dixon","2018-09-01",1,"Clemson",,"Furman","W",6,89,14.8,0,"lyn-j-dixon-1"
"J.K. Dobbins","2018-09-01",1,"Ohio State",,"Oregon State","W",15,74,4.9,0,"jk-dobbins-1"
"Jarret Doege","2018-09-01",1,"Bowling Green State","@","Oregon","L",5,-11,-2.2,0,"jarret-doege-1"
"Ian Donald-McIntyre","2018-09-01",1,"Georgia",,"Austin Peay","W",1,1,1,0,"ian-donald-mcintyre-1"
"Rico Dowdle","2018-09-01",1,"South Carolina",,"Coastal Carolina","W",15,105,7,1,"rico-dowdle-1"
"Dawson Downing","2018-09-01",1,"Missouri",,"Tennessee-Martin","W",5,6,1.2,0,"dawson-downing-1"
"Matthew Downing","2018-09-01",1,"Georgia",,"Austin Peay","W",1,2,2,0,"matthew-downing-1"
"Mike Dudek","2018-09-01",1,"Illinois",,"Kent State","W",1,7,7,0,"mike-dudek-1"
"Jovon Durante","2018-09-01",1,"Florida Atlantic","@","Oklahoma","L",2,-3,-1.5,0,"jovon-durante-1"
"Travis Dye","2018-09-01",1,"Oregon",,"Bowling Green State","W",7,37,5.3,0,"travis-dye-1"
"Loren Easly","2018-09-01",1,"North Texas",,"Southern Methodist","W",12,31,2.6,0,"loren-easly-1"
"Trestan Ebner","2018-09-01",1,"Baylor",,"Abilene Christian","W",3,28,9.3,0,"trestan-ebner-1"
"Sam Ehlinger","2018-09-01",1,"Texas","N","Maryland","L",7,30,4.3,0,"sam-ehlinger-1"
"Nathan Elliott","2018-09-01",1,"North Carolina","@","California","L",10,58,5.8,0,"nathan-elliott-1"
"Jordan Ellis","2018-09-01",1,"Virginia",,"Richmond","W",20,146,7.3,2,"jordan-ellis-2"
"Mike Epstein","2018-09-01",1,"Illinois",,"Kent State","W",8,33,4.1,1,"mike-epstein-2"
