Player,Date,G,School,Loc,Opponent,WL,Kick Ret,Kick Ret Yds,Kick Ret Avg,Kick Ret TD,unique_id
Reggie Bush,2004-08-28,1,Southern California,N,Virginia Tech,W,3,44,14.7,0,reggie-bush-1
Darrell Hunter,2004-08-28,1,Miami (OH),,Indiana State,W,1,17,17.0,0,darrell-hunter-1
Josh Hyman,2004-08-28,1,Virginia Tech,N,Southern California,L,1,12,12.0,0,josh-hyman-1
Eddie Royal,2004-08-28,1,Virginia Tech,N,Southern California,L,2,58,29.0,0,eddie-royal-1
Jeff Backes,2004-09-02,1,Northwestern,@,Texas Christian,L,2,55,27.5,0,jeff-backes-1
Josh Behrens,2004-09-02,1,Western Michigan,,Tennessee-Martin,W,1,13,13.0,0,josh-behrens-1
Will Blackmon,2004-09-02,1,Boston College,@,Ball State,W,2,105,52.5,1,will-blackmon-1
Rudy Burgess,2004-09-02,1,Arizona State,,Texas-El Paso,W,2,57,28.5,0,rudy-burgess-1
Jason Carter,2004-09-02,1,Texas A&M,@,Utah,L,1,16,16.0,0,jason-carter-2
Michael Depriest,2004-09-02,1,Texas Christian,,Northwestern,W,1,7,7.0,0,michael-depriest-1
Nate Draughon,2004-09-02,1,Texas-El Paso,@,Arizona State,L,1,26,26.0,0,nate-draughon-1
Renuel Greene,2004-09-02,1,Texas A&M,@,Utah,L,1,0,0.0,0,renuel-greene-1
Johnnie Lee Higgins Jr.,2004-09-02,1,Texas-El Paso,@,Arizona State,L,1,19,19.0,0,johnnie-lee-higgins-jr-1
Howard Jackson,2004-09-02,1,Texas-El Paso,@,Arizona State,L,2,26,13.0,0,howard-jackson-1
Derell Jenkins,2004-09-02,1,Northwestern,@,Texas Christian,L,5,86,17.2,0,derell-jenkins-1
Steven King,2004-09-02,1,Buffalo,@,Eastern Michigan,L,1,6,6.0,0,steven-king-1
Darran Matthews,2004-09-02,1,Eastern Michigan,,Buffalo,W,2,24,12.0,0,darran-matthews-1
Chris McDuffie,2004-09-02,1,Buffalo,@,Eastern Michigan,L,4,100,25.0,0,chris-mcduffie-1
Randall Means,2004-09-02,1,Ball State,,Boston College,L,1,2,2.0,0,randall-means-1
Terry Moss,2004-09-02,1,Ball State,,Boston College,L,2,18,9.0,0,terry-moss-1
Bo Nagahi,2004-09-02,1,Utah,,Texas A&M,W,1,20,20.0,0,bo-nagahi-1
Dante Ridgeway,2004-09-02,1,Ball State,,Boston College,L,1,10,10.0,0,dante-ridgeway-1
Trumaine Riley,2004-09-02,1,Eastern Michigan,,Buffalo,W,1,20,20.0,0,trumaine-riley-1
Chris Roberson,2004-09-02,1,Eastern Michigan,,Buffalo,W,1,12,12.0,0,chris-roberson-1
Cory Rodgers,2004-09-02,1,Texas Christian,,Northwestern,W,4,89,22.3,0,cory-rodgers-1
Joey Thomas,2004-09-02,1,Texas A&M,@,Utah,L,1,6,6.0,0,joey-thomas-1
Justin Walker,2004-09-02,1,Utah,,Texas A&M,W,1,39,39.0,0,justin-walker-1
Tyron Brackenridge,2004-09-03,1,Washington State,@,New Mexico,W,3,67,22.3,0,tyron-brackenridge-1
Anthony Carter,2004-09-03,1,New Mexico,,Washington State,L,1,11,11.0,0,anthony-carter-1
Joseph Addai,2004-09-04,1,Louisiana State,,Oregon State,W,2,16,8.0,0,joseph-addai-1
David Alston,2004-09-04,1,Kent State,@,Iowa,L,1,39,39.0,0,david-alston-1
Chase Anastasio,2004-09-04,1,Notre Dame,@,Brigham Young,L,1,40,40.0,0,chase-anastasio-1
David Anderson,2004-09-04,1,Colorado State,@,Colorado,L,2,46,23.0,0,david-anderson-1
Willie Andrews,2004-09-04,1,Baylor,@,Alabama-Birmingham,L,6,171,28.5,0,willie-andrews-1
Andre Ashley,2004-09-04,1,Kent State,@,Iowa,L,1,11,11.0,0,andre-ashley-1
Marion Barber III,2004-09-04,1,Minnesota,,Toledo,W,1,17,17.0,0,marion-barber-iii-1
Josh Barge,2004-09-04,1,Wyoming,,Appalachian State,W,1,15,15.0,0,josh-barge-1
Lance Bennett,2004-09-04,1,Indiana,,Central Michigan,W,2,62,31.0,0,lance-bennett-1
Brett Biggs,2004-09-04,1,Akron,@,Penn State,L,1,11,11.0,0,brett-biggs-1
Brandon Bornes,2004-09-04,1,San Diego State,,Idaho State,W,2,43,21.5,0,brandon-bornes-1
Jovon Bouknight,2004-09-04,1,Wyoming,,Appalachian State,W,1,23,23.0,0,jovon-bouknight-1
Mark Bradley,2004-09-04,1,Oklahoma,,Bowling Green State,W,1,14,14.0,0,mark-bradley-1
Ahmad Bradshaw,2004-09-04,1,Marshall,,Troy,L,1,20,20.0,0,ahmad-bradshaw-1
Tyvon Branch,2004-09-04,1,Connecticut,,Murray State,W,1,28,28.0,0,tyvon-branch-1
Ahmad Brooks,2004-09-04,1,Virginia,@,Temple,W,1,40,40.0,0,ahmad-brooks-2
John Broussard,2004-09-04,1,San Jose State,@,Stanford,L,2,36,18.0,0,john-broussard-1
Thomas Brown,2004-09-04,1,Georgia,,Georgia Southern,W,1,18,18.0,0,thomas-brown-1
Tim Brown,2004-09-04,1,Temple,,Virginia,L,1,13,13.0,0,tim-brown-2
Tyson Browning,2004-09-04,1,Georgia,,Georgia Southern,W,1,4,4.0,0,tyson-browning-1
Kenneth Buckley,2004-09-04,1,New Mexico State,@,Arkansas,L,5,98,19.6,0,kenneth-buckley-1
Jerrell Carter,2004-09-04,1,Louisiana,,Northwestern State,W,2,9,4.5,0,jerrell-carter-1
Courtney Clency,2004-09-04,1,Indiana,,Central Michigan,W,1,71,71.0,0,courtney-clency-1
Deandra Cobb,2004-09-04,1,Michigan State,@,Rutgers,L,2,35,17.5,0,deandra-cobb-1
Austin Collie,2004-09-04,1,Brigham Young,,Notre Dame,W,1,17,17.0,0,austin-collie-1
Brett Cooper,2004-09-04,1,Brigham Young,,Notre Dame,W,1,7,7.0,0,brett-cooper-1
Airese Currie,2004-09-04,1,Clemson,,Wake Forest,W,1,26,26.0,0,airese-currie-1
Mike Daniels,2004-09-04,1,Cincinnati,@,Ohio State,L,2,33,16.5,0,mike-daniels-1
Ashlan Davis,2004-09-04,1,Tulsa,@,Kansas,L,3,67,22.3,0,ashlan-davis-1
Reggie Davis,2004-09-04,1,North Carolina State,,Richmond,W,1,0,0.0,0,reggie-davis-1
Jerome Dennis,2004-09-04,1,Utah State,@,Alabama,L,1,24,24.0,0,jerome-dennis-1
Ross Dickerson,2004-09-04,1,Hawaii,,Florida Atlantic,L,4,138,34.5,0,ross-dickerson-1
Kwane Doster,2004-09-04,1,Vanderbilt,,South Carolina,L,3,64,21.3,0,kwane-doster-1
Damon Dotson,2004-09-04,1,Baylor,@,Alabama-Birmingham,L,1,10,10.0,0,damon-dotson-1
Ronnie Elliott,2004-09-04,1,Duke,@,Navy,L,2,31,15.5,0,ronnie-elliott-1
Mike Espy,2004-09-04,1,Mississippi,,Memphis,L,2,53,26.5,0,mike-espy-1
Charles Estes,2004-09-04,1,Louisiana-Monroe,@,Auburn,L,1,15,15.0,0,charles-estes-1
Willie Foster,2004-09-04,1,Rutgers,,Michigan State,W,2,43,21.5,0,willie-foster-1
Michael Franklin,2004-09-04,1,San Diego State,,Idaho State,W,1,19,19.0,0,michael-franklin-1
C.J. Gaddis,2004-09-04,1,Clemson,,Wake Forest,W,2,28,14.0,0,cj-gaddis-1
Trestin George,2004-09-04,1,San Jose State,@,Stanford,L,2,35,17.5,0,trestin-george-1
Adrian Ghent,2004-09-04,1,Troy,@,Marshall,W,1,17,17.0,0,adrian-ghent-1
Jamie Goodwin,2004-09-04,1,Akron,@,Penn State,L,2,25,12.5,0,jamie-goodwin-1
Charles Gordon,2004-09-04,1,Kansas,,Tulsa,W,1,17,17.0,0,charles-gordon-1
Michael Grant,2004-09-04,1,Arkansas,,New Mexico State,W,1,11,11.0,0,michael-grant-1
Skyler Green,2004-09-04,1,Louisiana State,,Oregon State,W,2,43,21.5,0,skyler-green-1
Tierre Green,2004-09-04,1,Nebraska,,Western Illinois,W,1,21,21.0,0,tierre-green-1
Maurice Hall,2004-09-04,1,Ohio State,,Cincinnati,W,2,84,42.0,0,maurice-hall-1
Stevelan Harper,2004-09-04,1,New Mexico State,@,Arkansas,L,2,33,16.5,0,stevelan-harper-1
Ivan Harrison,2004-09-04,1,Wyoming,,Appalachian State,W,1,20,20.0,0,ivan-harrison-1
Greg Heaggans,2004-09-04,1,Kansas,,Tulsa,W,2,78,39.0,0,greg-heaggans-1
Peyton Hillis,2004-09-04,1,Arkansas,,New Mexico State,W,1,10,10.0,0,peyton-hillis-1
