Player,Date,G,School,Loc,Opponent,WL,FR,FR Yds,FR TD,Fumble Forced,unique_id
Ade Aruna,2015-09-03,1,Tulane,,Duke,L,0,,,1,ade-aruna-1
Ayden Bonilla,2015-09-03,1,North Carolina,N,South Carolina,L,0,,,1,ayden-bonilla-1
Quinton Bradley,2015-09-03,1,Idaho,,Ohio,L,0,,,1,quinton-bradley-1
Chequan Burkett,2015-09-03,1,Central Florida,,Florida International,L,0,,,1,chequan-burkett-1
Folorunso Fatukasi,2015-09-03,1,Connecticut,,Villanova,W,0,,,1,folorunso-fatukasi-1
Jase Franke,2015-09-03,1,Colorado,@,Hawaii,L,0,,,1,jase-franke-1
Keshun Freeman,2015-09-03,1,Georgia Tech,,Alcorn State,W,0,,,1,keshun-freeman-1
Corey Hall,2015-09-03,1,Ball State,,Virginia Military Institute,W,0,,,1,corey-hall-2
Aaron Hepp,2015-09-03,1,Ball State,,Virginia Military Institute,W,0,,,1,aaron-hepp-1
Matthew Jordan,2015-09-03,1,Georgia Tech,,Alcorn State,W,0,,,1,matthew-jordan-1
Francis Kallon,2015-09-03,1,Georgia Tech,,Alcorn State,W,0,,,1,francis-kallon-1
Derrick Kindred,2015-09-03,1,Texas Christian,@,Minnesota,W,0,,,1,derrick-kindred-1
Terrell Lathan,2015-09-03,1,Texas Christian,@,Minnesota,W,0,,,1,terrell-lathan-1
Tevin Lawson,2015-09-03,1,Texas Christian,@,Minnesota,W,0,,,1,tevin-lawson-1
Desmond Morgan,2015-09-03,1,Michigan,@,Utah,L,0,,,1,desmond-morgan-1
Eric Murray,2015-09-03,1,Minnesota,,Texas Christian,L,0,,,1,eric-murray-1
Jason Neill,2015-09-03,1,Texas-San Antonio,@,Arizona,L,0,,,1,jason-neill-1
Nick Newton,2015-09-03,1,Western Kentucky,@,Vanderbilt,W,0,,,1,nick-newton-1
William Parks,2015-09-03,1,Arizona,,Texas-San Antonio,W,0,,,1,william-parks-1
Denzell Perine,2015-09-03,1,Florida International,@,Central Florida,W,0,,,1,denzell-perine-1
Quentin Poling,2015-09-03,1,Ohio,@,Idaho,W,0,,,1,quentin-poling-1
Josh Posley,2015-09-03,1,Ball State,,Virginia Military Institute,W,0,,,1,josh-posley-1
Ramon Richards,2015-09-03,1,Oklahoma State,@,Central Michigan,W,0,,,1,ramon-richards-1
Antonio Simmons,2015-09-03,1,Georgia Tech,,Alcorn State,W,0,,,1,antonio-simmons-1
M.J. Stewart,2015-09-03,1,North Carolina,N,South Carolina,L,0,,,1,mj-stewart-1
Michael Wakefield,2015-09-03,1,Florida International,@,Central Florida,W,0,,,1,michael-wakefield-1
Lance Williams,2015-09-03,1,Hawaii,,Colorado,W,0,,,1,lance-williams-2
Luke Arciniega,2015-09-04,1,Syracuse,,Rhode Island,W,0,,,1,luke-arciniega-1
Brandon Banks,2015-09-04,1,UNC Charlotte,@,Georgia State,W,0,,,1,brandon-banks-3
Nick Cook,2015-09-04,1,UNC Charlotte,@,Georgia State,W,1,,,1,nick-cook-1
Carnell Hopson,2015-09-04,1,Georgia State,,UNC Charlotte,L,0,,,1,carnell-hopson-1
Rommel Mageo,2015-09-04,1,Oregon State,,Weber State,W,0,,,1,rommel-mageo-1
Joe Mathis,2015-09-04,1,Washington,@,Boise State,L,1,,,1,joe-mathis-1
Ryan Norton,2015-09-04,1,Syracuse,,Rhode Island,W,0,,,1,ryan-norton-2
Trey Payne,2015-09-04,1,Georgia State,,UNC Charlotte,L,0,,,1,trey-payne-3
Devin Pearson,2015-09-04,1,UNC Charlotte,@,Georgia State,W,0,,,1,devin-pearson-1
Jason Sylva,2015-09-04,1,Western Michigan,,Michigan State,L,0,,,1,jason-sylva-1
Tanner Vallejo,2015-09-04,1,Boise State,,Washington,W,0,,,1,tanner-vallejo-1
Bayle Wolf,2015-09-04,1,Army,,Fordham,L,0,,,1,bayle-wolf-1
Montravius Adams,2015-09-05,1,Auburn,N,Louisville,W,0,,,1,montravius-adams-1
Okezie Alozie,2015-09-05,1,Buffalo,,Albany,W,0,,,1,okezie-alozie-1
Jarred Alwan,2015-09-05,1,Temple,,Penn State,W,0,,,1,jarred-alwan-1
D'Nerius Antoine,2015-09-05,1,Southern Mississippi,,Mississippi State,L,0,,,1,dnerius-antoine-1
Brandon Bell,2015-09-05,1,Penn State,@,Temple,L,0,,,1,brandon-bell-2
Kris Boyd,2015-09-05,1,Texas,@,Notre Dame,L,0,,,1,kris-boyd-1
Brison Burris,2015-09-05,1,Miami (OH),,Presbyterian,W,0,,,1,brison-burris-1
Terry Caldwell,2015-09-05,1,Mississippi,,Tennessee-Martin,W,0,,,1,terry-caldwell-1
Trevon Coley,2015-09-05,1,Florida Atlantic,@,Tulsa,L,1,,,2,trevon-coley-1
Darian Cotton,2015-09-05,1,Iowa State,,Northern Iowa,W,0,,,1,darian-cotton-1
Maurice Daniels,2015-09-05,1,New Mexico,,Mississippi Valley State,W,0,,,1,maurice-daniels-2
Sean Davis,2015-09-05,1,Maryland,,Richmond,W,0,,,1,sean-davis-1
Blake Dees,2015-09-05,1,South Alabama,,Gardner-Webb,W,0,,,2,blake-dees-1
Quinton Dent,2015-09-05,1,South Alabama,,Gardner-Webb,W,0,,,1,quinton-dent-1
Michael Edwards,2015-09-05,1,Memphis,,Missouri State,W,0,,,1,michael-edwards-2
Javien Elliott,2015-09-05,1,Florida State,,Texas State,W,0,,,1,javien-elliott-1
Jake Fely,2015-09-05,1,San Diego State,,San Diego,W,0,,,1,jake-fely-1
Johnathan Ford,2015-09-05,1,Auburn,N,Louisville,W,0,,,1,johnathan-ford-1
Claude Garrett,2015-09-05,1,South Alabama,,Gardner-Webb,W,0,,,1,claude-garrett-1
Myles Garrett,2015-09-05,1,Texas A&M,N,Arizona State,W,0,,,1,myles-garrett-1
Nardo Govan,2015-09-05,1,Georgia Southern,@,West Virginia,L,0,,,1,nardo-govan-1
Pat Green,2015-09-05,1,East Carolina,,Towson,W,0,,,1,pat-green-1
Daeshon Hall,2015-09-05,1,Texas A&M,N,Arizona State,W,0,,,2,daeshon-hall-1
Terrill Hanks,2015-09-05,1,New Mexico State,@,Florida,L,0,,,1,terrill-hanks-1
J.D. Harmon,2015-09-05,1,Kentucky,,Louisiana,W,0,,,1,jd-harmon-1
Charles Harris,2015-09-05,1,Missouri,,Southeast Missouri State,W,0,,,1,charles-harris-4
Jah'Shawn Johnson,2015-09-05,1,Texas Tech,,Sam Houston State,W,0,,,1,jahshawn-johnson-1
Malique Johnson,2015-09-05,1,Old Dominion,@,Eastern Michigan,W,0,,,1,malique-johnson-1
Justin Jones,2015-09-05,1,North Carolina State,,Troy,W,0,,,1,justin-jones-4
Joe Kawulok,2015-09-05,1,Colorado State,,Savannah State,W,0,,,1,joe-kawulok-1
Tim Kimbrough,2015-09-05,1,Georgia,,Louisiana-Monroe,W,0,,,1,tim-kimbrough-1
Harold Landry,2015-09-05,1,Boston College,,Maine,W,0,,,2,harold-landry-1
Eric Lee,2015-09-05,1,South Florida,,Florida A&M,W,0,,,1,eric-lee-3
Terris Lewis,2015-09-05,1,Troy,@,North Carolina State,L,0,,,1,terris-lewis-1
Tevin Madison,2015-09-05,1,Texas Tech,,Sam Houston State,W,0,,,1,tevin-madison-1
Kelly Mason,2015-09-05,1,Kentucky,,Louisiana,W,0,,,1,kelly-mason-1
Kevin McCoy,2015-09-05,1,Navy,,Colgate,W,1,54,1,1,kevin-mccoy-3
A.J. Moore,2015-09-05,1,Mississippi,,Tennessee-Martin,W,0,,,1,aj-moore-2
Cory Morrow,2015-09-05,1,Akron,@,Oklahoma,L,0,,,1,cory-morrow-1
Noble Nwachukwu,2015-09-05,1,West Virginia,,Georgia Southern,W,0,,,1,noble-nwachukwu-1
Marcus Oliver,2015-09-05,1,Indiana,,Southern Illinois,W,0,,,2,marcus-oliver-2
Drew Ott,2015-09-05,1,Iowa,,Illinois State,W,0,,,1,drew-ott-1
Ejuan Price,2015-09-05,1,Pittsburgh,,Youngstown State,W,0,,,1,ejuan-price-1
Jeremy Reaves,2015-09-05,1,South Alabama,,Gardner-Webb,W,0,,,1,jeremy-reaves-1
B.J. Ross,2015-09-05,1,Memphis,,Missouri State,W,0,,,1,bj-ross-1
Jabari Ruffin,2015-09-05,1,Southern California,,Arkansas State,W,0,,,1,jabari-ruffin-1
Christian Sam,2015-09-05,1,Arizona State,N,Texas A&M,L,0,,,1,christian-sam-1
Drew Smith,2015-09-05,1,Northwestern,,Stanford,W,0,,,1,drew-smith-1
C.J. Stancil,2015-09-05,1,Buffalo,,Albany,W,0,,,1,cj-stancil-1
Nigel Tribune,2015-09-05,1,Iowa State,,Northern Iowa,W,0,,,1,nigel-tribune-1
Peni Vea,2015-09-05,1,Nevada-Las Vegas,@,Northern Illinois,L,0,,,1,peni-vea-1
Charles Walker,2015-09-05,1,Oklahoma,,Akron,W,0,,,1,charles-walker-3
Stanton Weber,2015-09-05,1,Kansas State,,South Dakota,W,1,,,1,stanton-weber-1
Kodi Whitfield,2015-09-05,1,Stanford,@,Northwestern,L,0,,,1,kodi-whitfield-1
Donovan Wilson,2015-09-05,1,Texas A&M,N,Arizona State,W,0,,,2,donovan-wilson-2
Brian Womac,2015-09-05,1,Rice,,Wagner,W,0,,,1,brian-womac-1
Dravious Wright,2015-09-05,1,North Carolina State,,Troy,W,1,,,1,dravious-wright-1
Taj Letman,2015-09-06,1,Marshall,,Purdue,W,0,,,1,taj-letman-1
Tomell One,2015-09-06,1,Marshall,,Purdue,W,0,,,1,tomell-one-1
Michael Rouse III,2015-09-06,1,Purdue,@,Marshall,L,0,,,1,michael-rouse-iii-1
Frankie Williams,2015-09-06,1,Purdue,@,Marshall,L,0,,,1,frankie-williams-1
Der'Woun Greene,2015-09-07,1,Virginia Tech,,Ohio State,L,0,,,1,derwoun-greene-1
Jalyn Holmes,2015-09-07,1,Ohio State,@,Virginia Tech,W,0,,,1,jalyn-holmes-1
C.J. Cleveland,2015-09-10,2,Louisiana Tech,@,Western Kentucky,L,0,,,1,cj-cleveland-1
Marcus Ward,2015-09-10,2,Western Kentucky,,Louisiana Tech,W,0,,,1,marcus-ward-1
Jamal Carter,2015-09-11,2,Miami (FL),@,Florida Atlantic,W,0,,,1,jamal-carter-1
Jason Fanaika,2015-09-11,2,Utah,,Utah State,W,0,,,1,jason-fanaika-3
Pita Taumoepenu,2015-09-11,2,Utah,,Utah State,W,0,,,1,pita-taumoepenu-3
Chad Thomas,2015-09-11,2,Miami (FL),@,Florida Atlantic,W,0,,,1,chad-thomas-1
Kohl Adams-Hurd,2015-09-12,2,Old Dominion,,Norfolk State,W,0,,,1,kohl-adams-hurd-1
Damnani Alexcee,2015-09-12,2,Texas State,,Prairie View A&M,W,0,,,1,damnani-alexcee-1
Jarred Alwan,2015-09-12,2,Temple,@,Cincinnati,W,0,,,1,jarred-alwan-1
Micah Awe,2015-09-12,2,Texas Tech,,Texas-El Paso,W,0,,,1,micah-awe-1
Blake Bean,2015-09-12,1,North Texas,@,Southern Methodist,L,0,,,1,blake-bean-1
Kevin Bletzer,2015-09-12,2,Boston College,,Howard,W,0,,,1,kevin-bletzer-1
Devante Bond,2015-09-12,2,Oklahoma,@,Tennessee,W,0,,,1,devante-bond-1
Brock Boxen,2015-09-12,2,Akron,,Pittsburgh,L,0,,,1,brock-boxen-1
Kevin Bronson,2015-09-12,2,South Florida,@,Florida State,L,0,,,1,kevin-bronson-1
Jatavis Brown,2015-09-12,2,Akron,,Pittsburgh,L,0,,,1,jatavis-brown-1
Ryan Carter,2015-09-12,2,Clemson,,Appalachian State,W,1,,,1,ryan-carter-2
Taco Charlton,2015-09-12,2,Michigan,,Oregon State,W,0,,,1,taco-charlton-1
Deonte Clyburn,2015-09-12,2,Colorado State,,Minnesota,L,0,,,1,deonte-clyburn-1
Kamalei Correa,2015-09-12,2,Boise State,@,Brigham Young,L,0,,,1,kamalei-correa-1
Darian Cotton,2015-09-12,2,Iowa State,,Iowa,L,0,,,1,darian-cotton-1
Travis Daugherty,2015-09-12,2,Ohio,,Marshall,W,0,,,1,travis-daugherty-1
Sean Davis,2015-09-12,2,Maryland,,Bowling Green State,L,0,,,1,sean-davis-1
Clay Dawson,2015-09-12,2,Eastern Michigan,@,Wyoming,W,1,,,1,clay-dawson-1
Duke Dawson,2015-09-12,2,Florida,,East Carolina,W,0,,,1,duke-dawson-1
Donte Deayon,2015-09-12,2,Boise State,@,Brigham Young,L,0,,,1,donte-deayon-1
Chris Delarosa,2015-09-12,2,Georgia Southern,,Western Michigan,W,0,,,1,chris-delarosa-1
Dylan Detwiler,2015-09-12,2,Fresno State,@,Mississippi,L,0,,,1,dylan-detwiler-1
Jordan Diggs,2015-09-12,2,South Carolina,,Kentucky,L,0,,,1,jordan-diggs-1
Jordan Dobrich,2015-09-12,2,Nevada,,Arizona,L,0,,,1,jordan-dobrich-1
Alex Duncan,2015-09-12,2,UNC Charlotte,,Presbyterian,W,0,,,1,alex-duncan-1
Titus Failauga,2015-09-12,2,Oregon State,@,Michigan,L,0,,,1,titus-failauga-1
Edwin Freeman,2015-09-12,2,Texas,,Rice,W,0,,,1,edwin-freeman-1
Tim Gay,2015-09-12,2,Texas State,,Prairie View A&M,W,0,,,1,tim-gay-1
Justin Green,2015-09-12,2,Fresno State,@,Mississippi,L,0,,,1,justin-green-4
David Griffith,2015-09-12,2,Louisiana-Monroe,,Nicholls State,W,0,,,1,david-griffith-1
Joel Heath,2015-09-12,2,Michigan State,,Oregon,W,0,,,1,joel-heath-1
