Player,Date,G,School,Loc,Opponent,WL,Rec,Rec Yards,Rec Avg,Rec TD,unique_id
Michael Alisa,2012-08-30,1,Brigham Young,,Washington State,W,1,7,7.0,0,michael-alisa-1
Anthony Amos,2012-08-30,1,Middle Tennessee State,,McNeese State,L,8,70,8.8,1,anthony-amos-1
Keegan Andersen,2012-08-30,1,Utah State,,Southern Utah,W,1,16,16.0,0,keegan-andersen-1
Dres Anderson,2012-08-30,1,Utah,,Northern Colorado,W,4,53,13.3,0,dres-anderson-1
Ross Apo,2012-08-30,1,Brigham Young,,Washington State,W,4,31,7.8,0,ross-apo-1
Dri Archer,2012-08-30,1,Kent State,,Towson,W,1,8,8.0,0,dri-archer-1
Matt Austin,2012-08-30,1,Utah State,,Southern Utah,W,5,119,23.8,1,matt-austin-2
James Baker,2012-08-30,1,Idaho,,Eastern Washington,L,1,9,9.0,0,james-baker-1
A.J. Barker,2012-08-30,1,Minnesota,@,Nevada-Las Vegas,W,3,101,33.7,0,aj-barker-1
Taylor Barnhill,2012-08-30,1,Nevada-Las Vegas,,Minnesota,L,2,9,4.5,0,taylor-barnhill-1
Kellen Bartlett,2012-08-30,1,Utah State,,Southern Utah,W,2,21,10.5,0,kellen-bartlett-1
Brett Bartolone,2012-08-30,1,Washington State,@,Brigham Young,L,1,22,22.0,0,brett-bartolone-1
Kemonte Bateman,2012-08-30,1,New Mexico State,,Sacramento State,W,3,44,14.7,0,kemonte-bateman-1
Rob Blanchflower,2012-08-30,1,Massachusetts,@,Connecticut,L,2,17,8.5,0,rob-blanchflower-1
Chris Boyd,2012-08-30,1,Vanderbilt,,South Carolina,L,1,9,9.0,0,chris-boyd-1
Josh Boyle,2012-08-30,1,Kent State,,Towson,W,3,95,31.7,1,josh-boyle-1
Jordan Broadnax,2012-08-30,1,Massachusetts,@,Connecticut,L,1,-3,-3.0,0,jordan-broadnax-1
Leon Brooks,2012-08-30,1,Washington State,@,Brigham Young,L,3,-2,-0.7,0,leon-brooks-1
Jerrel Brown,2012-08-30,1,New Mexico State,,Sacramento State,W,2,59,29.5,1,jerrel-brown-1
Chris Burns,2012-08-30,1,Massachusetts,@,Connecticut,L,2,13,6.5,0,chris-burns-1
Damiere Byrd,2012-08-30,1,South Carolina,@,Vanderbilt,W,1,13,13.0,0,damiere-byrd-1
Rob Calabrese,2012-08-30,1,Central Florida,@,Akron,W,1,12,12.0,1,rob-calabrese-1
Teondray Caldwell,2012-08-30,1,Washington State,@,Brigham Young,L,1,2,2.0,0,teondray-caldwell-1
Drayton Calhoun,2012-08-30,1,Middle Tennessee State,,McNeese State,L,1,3,3.0,0,drayton-calhoun-1
Jawon Chisholm,2012-08-30,1,Akron,,Central Florida,L,1,-2,-2.0,0,jawon-chisholm-1
Devonte Christopher,2012-08-30,1,Utah,,Northern Colorado,W,2,13,6.5,0,devonte-christopher-1
Christian Collis,2012-08-30,1,Middle Tennessee State,,McNeese State,L,3,41,13.7,0,christian-collis-1
Taylor Cook,2012-08-30,1,Rice,,UCLA,L,1,10,10.0,0,taylor-cook-1
Chris Coyle,2012-08-30,1,Arizona State,,Northern Arizona,W,2,65,32.5,0,chris-coyle-1
Devin Crawford-Tufts,2012-08-30,1,Minnesota,@,Nevada-Las Vegas,W,4,49,12.3,0,devin-crawford-tufts-1
Dustin Creel,2012-08-30,1,Eastern Michigan,@,Ball State,L,2,25,12.5,0,dustin-creel-1
Justice Cunningham,2012-08-30,1,South Carolina,@,Vanderbilt,W,1,20,20.0,0,justice-cunningham-1
Devante Davis,2012-08-30,1,Nevada-Las Vegas,,Minnesota,L,5,27,5.4,1,devante-davis-1
Geremy Davis,2012-08-30,1,Connecticut,,Massachusetts,W,5,79,15.8,0,geremy-davis-1
Imani Davis,2012-08-30,1,Akron,,Central Florida,L,1,-10,-10.0,0,imani-davis-1
Titus Davis,2012-08-30,1,Central Michigan,,Southeast Missouri State,W,4,51,12.8,0,titus-davis-1
Mitchell Dawkins,2012-08-30,1,Eastern Michigan,@,Ball State,L,1,7,7.0,1,mitchell-dawkins-1
Anthony Denham,2012-08-30,1,Utah,,Northern Colorado,W,2,18,9.0,0,anthony-denham-1
Jerrod Dillard,2012-08-30,1,Akron,,Central Florida,L,1,6,6.0,0,jerrod-dillard-1
Reggie Dunn,2012-08-30,1,Utah,,Northern Colorado,W,1,10,10.0,0,reggie-dunn-1
Trayion Durham,2012-08-30,1,Kent State,,Towson,W,1,3,3.0,0,trayion-durham-1
Jeremy Eddington,2012-08-30,1,Rice,,UCLA,L,1,0,0.0,0,jeremy-eddington-1
Jahwan Edwards,2012-08-30,1,Ball State,,Eastern Michigan,W,2,7,3.5,0,jahwan-edwards-1
Derrick Engel,2012-08-30,1,Minnesota,@,Nevada-Las Vegas,W,1,33,33.0,0,derrick-engel-1
Tim Erjavec,2012-08-30,1,Kent State,,Towson,W,2,10,5.0,0,tim-erjavec-1
Shaquelle Evans,2012-08-30,1,UCLA,@,Rice,W,4,42,10.5,0,shaquelle-evans-1
Zane Fakes,2012-08-30,1,Ball State,,Eastern Michigan,W,4,48,12.0,0,zane-fakes-1
J.D. Falslev,2012-08-30,1,Brigham Young,,Washington State,W,5,55,11.0,0,jd-falslev-1
Joseph Fauria,2012-08-30,1,UCLA,@,Rice,W,3,53,17.7,1,joseph-fauria-1
Jarrett Fleming,2012-08-30,1,Central Michigan,,Southeast Missouri State,W,2,36,18.0,1,jarrett-fleming-1
Andrew Flory,2012-08-30,1,Central Michigan,,Southeast Missouri State,W,2,29,14.5,0,andrew-flory-1
D.J. Foster,2012-08-30,1,Arizona State,,Northern Arizona,W,4,32,8.0,0,dj-foster-1
Austin Franklin,2012-08-30,1,New Mexico State,,Sacramento State,W,8,236,29.5,2,austin-franklin-1
Johnathan Franklin,2012-08-30,1,UCLA,@,Rice,W,1,4,4.0,0,johnathan-franklin-1
Kaneakua Friel,2012-08-30,1,Brigham Young,,Washington State,W,6,101,16.8,2,kaneakua-friel-1
Dee Frieson,2012-08-30,1,Akron,,Central Florida,L,2,11,5.5,0,dee-frieson-1
Isaac Fruechte,2012-08-30,1,Minnesota,@,Nevada-Las Vegas,W,1,7,7.0,0,isaac-fruechte-1
Rickey Galvin,2012-08-30,1,Washington State,@,Brigham Young,L,6,38,6.3,0,rickey-galvin-1
Anthony Garland,2012-08-30,1,Central Michigan,,Southeast Missouri State,W,1,9,9.0,0,anthony-garland-1
Jeff Godfrey,2012-08-30,1,Central Florida,@,Akron,W,2,13,6.5,0,jeff-godfrey-1
Tyrell Goodman,2012-08-30,1,Akron,,Central Florida,L,3,15,5.0,0,tyrell-goodman-1
Chris Gordon,2012-08-30,1,Kent State,,Towson,W,1,11,11.0,0,chris-gordon-1
Josh Grady,2012-08-30,1,Vanderbilt,,South Carolina,L,1,32,32.0,0,josh-grady-1
Javonti Greene,2012-08-30,1,Eastern Michigan,@,Ball State,L,3,51,17.0,0,javonti-greene-1
