Player,Date,G,School,Loc,Opponent,WL,Punt Ret,Punt Ret Yds,Punt Ret Avg,Punt Ret TD,unique_id
Vic Wharton,2016-08-26,1,California,N,Hawaii,W,2,1,0.5,0,vic-wharton-1
Jaire Alexander,2016-09-01,1,Louisville,,UNC Charlotte,W,1,0,0.0,0,jaire-alexander-1
V.J. Banks,2016-09-01,1,Rice,@,Western Kentucky,L,1,2,2.0,0,vj-banks-1
Victor Bolden,2016-09-01,1,Oregon State,@,Minnesota,L,2,0,0.0,0,victor-bolden-1
Jaquil Capel,2016-09-01,1,Appalachian State,@,Tennessee,L,1,45,45.0,0,jaquil-capel-1
Bra'Lon Cherry,2016-09-01,1,North Carolina State,,William & Mary,W,1,13,13.0,0,bralon-cherry-1
Chris Davis,2016-09-01,1,New Mexico,,South Dakota,W,3,37,12.3,0,chris-davis-12
Rahmel Dockery,2016-09-01,1,Oregon State,@,Minnesota,L,1,4,4.0,0,rahmel-dockery-1
Austin Duke,2016-09-01,1,UNC Charlotte,@,Louisville,L,1,0,0.0,0,austin-duke-1
C.J. Duncan,2016-09-01,1,Vanderbilt,,South Carolina,L,2,4,2.0,0,cj-duncan-1
Nacarius Fant,2016-09-01,1,Western Kentucky,,Rice,W,2,-4,-2.0,0,nacarius-fant-1
Dontrell Hilliard,2016-09-01,1,Tulane,@,Wake Forest,L,2,10,5.0,0,dontrell-hilliard-1
Tabari Hines,2016-09-01,1,Wake Forest,,Tulane,W,2,2,1.0,0,tabari-hines-1
Boobie Hobbs,2016-09-01,1,Utah,,Southern Utah,W,5,55,11.0,0,boobie-hobbs-1
D.J. Olmstead,2016-09-01,1,Idaho,,Montana State,W,1,1,1.0,0,dj-olmstead-1
Alfonso Onunwor,2016-09-01,1,Idaho,,Montana State,W,3,12,4.0,0,alfonso-onunwor-1
Thomas Owens,2016-09-01,1,Florida International,,Indiana,L,1,7,7.0,0,thomas-owens-1
Khane Pass,2016-09-01,1,Louisville,,UNC Charlotte,W,2,-3,-1.5,0,khane-pass-1
Brandon Presley,2016-09-01,1,Nevada-Las Vegas,,Jackson State,W,1,-7,-7.0,0,brandon-presley-1
Andrew Rodriguez,2016-09-01,1,Utah State,,Weber State,W,2,28,14.0,0,andrew-rodriguez-2
Deebo Samuel,2016-09-01,1,South Carolina,@,Vanderbilt,W,2,8,4.0,0,deebo-samuel-1
Cameron Sutton,2016-09-01,1,Tennessee,,Appalachian State,W,3,0,0.0,0,cameron-sutton-1
Emmitt Thomas,2016-09-01,1,Central Michigan,,Presbyterian,W,1,26,26.0,0,emmitt-thomas-1
Drew Wolitarsky,2016-09-01,1,Minnesota,,Oregon State,W,1,0,0.0,0,drew-wolitarsky-1
Blake Banham,2016-09-02,1,Eastern Michigan,,Mississippi Valley State,W,1,5,5.0,0,blake-banham-1
Cameron Echols-Luper,2016-09-02,1,Arkansas State,,Toledo,L,1,24,24.0,0,cameron-echols-luper-1
Jamarl Eiland,2016-09-02,1,Buffalo,,Albany,L,4,20,5.0,0,jamarl-eiland-1
Brisly Estime,2016-09-02,1,Syracuse,,Colgate,W,2,21,10.5,0,brisly-estime-1
Penny Hart,2016-09-02,1,Georgia State,,Ball State,L,1,0,0.0,0,penny-hart-1
