Player,Date,G,School,Loc,Opponent,WL,Punt Ret,Punt Ret Yds,Punt Ret Avg,Punt Ret TD,unique_id
Cedric Byrd,2018-08-25,1,Hawaii,@,Colorado State,W,1,3,3.0,0,cedric-byrd-1
OJ Clark,2018-08-25,1,New Mexico State,,Wyoming,L,1,17,17.0,0,oj-clark-1
Austin Conway,2018-08-25,1,Wyoming,@,New Mexico State,W,5,26,5.2,0,austin-conway-1
Andy Isabella,2018-08-25,1,Massachusetts,,Duquesne,W,1,-1,-1.0,0,andy-isabella-1
Shamad Lomax,2018-08-25,1,New Mexico State,,Wyoming,L,1,7,7.0,0,shamad-lomax-1
Sadiq Palmer,2018-08-25,1,Massachusetts,,Duquesne,W,1,3,3.0,0,sadiq-palmer-1
Austin Trammell,2018-08-25,1,Rice,,Prairie View A&M,W,1,-1,-1.0,0,austin-trammell-1
JoJo Ward,2018-08-25,1,Hawaii,@,Colorado State,W,1,2,2.0,0,jojo-ward-1
Otis Anderson,2018-08-30,1,Central Florida,@,Connecticut,W,1,1,1.0,0,otis-anderson-1
OJ Clark,2018-08-30,2,New Mexico State,@,Minnesota,L,3,13,4.3,0,oj-clark-1
Thai Cottrell,2018-08-30,1,San Jose State,,California-Davis,L,2,9,4.5,0,thai-cottrell-1
Britain Covey,2018-08-30,1,Utah,,Weber State,W,3,2,0.7,0,britain-covey-1
Greg Dortch,2018-08-30,1,Wake Forest,@,Tulane,W,2,25,12.5,0,greg-dortch-1
Justin Hall,2018-08-30,1,Ball State,,Central Connecticut State,W,1,22,22.0,0,justin-hall-3
Riley Lees,2018-08-30,1,Northwestern,@,Purdue,W,1,2,2.0,0,riley-lees-1
Roshauud Paul,2018-08-30,1,Texas A&M,,Northwestern State,W,3,9,3.0,0,roshauud-paul-1
Sam Renner,2018-08-30,1,Minnesota,,New Mexico State,W,1,34,34.0,0,sam-renner-1
Jacob Robertson,2018-08-30,1,Tulane,,Wake Forest,L,1,8,8.0,0,jacob-robertson-1
Dillon Stoner,2018-08-30,1,Oklahoma State,,Missouri State,W,2,7,3.5,0,dillon-stoner-1
Andre Wilson,2018-08-30,1,Alabama-Birmingham,,Savannah State,W,2,24,12.0,0,andre-wilson-1
Antoine Winfield Jr.,2018-08-30,1,Minnesota,,New Mexico State,W,2,79,39.5,1,antoine-winfield-jr-1
Landon Wolf,2018-08-30,1,Oklahoma State,,Missouri State,W,2,-8,-4.0,0,landon-wolf-1
Blake Banham,2018-08-31,1,Eastern Michigan,,Monmouth,W,2,27,13.5,0,blake-banham-1
Ronnie Blackmon,2018-08-31,1,Colorado,N,Colorado State,W,5,82,16.4,0,ronnie-blackmon-1
Roger Cray,2018-08-31,1,Western Kentucky,@,Wisconsin,L,1,-2,-2.0,0,roger-cray-1
Romeo Doubs,2018-08-31,1,Nevada,,Portland State,W,1,80,80.0,1,romeo-doubs-1
Kaleb Fossum,2018-08-31,1,Nevada,,Portland State,W,1,7,7.0,0,kaleb-fossum-1
