Player,Date,G,School,Loc,Opponent,WL,Tackle Solo,Tackle Assist,Tackle Tot,Tackle For Loss,Sack,unique_id
Andrew Abbott,2012-08-30,1,UCLA,@,Rice,W,4,0,4,0.0,0.0,andrew-abbott-1
Andrew Adams,2012-08-30,1,Connecticut,,Massachusetts,W,1,0,1,1.0,0.0,andrew-adams-1
Ishmael Adams,2012-08-30,1,UCLA,@,Rice,W,0,1,1,0.0,0.0,ishmael-adams-1
Jahleel Addae,2012-08-30,1,Central Michigan,,Southeast Missouri State,W,5,5,10,2.0,0.5,jahleel-addae-1
Bj Adolpho,2012-08-30,1,New Mexico State,,Sacramento State,W,0,2,2,0.5,0.0,bj-adolpho-1
Brandon Alexander,2012-08-30,1,Central Florida,@,Akron,W,3,1,4,0.0,0.0,brandon-alexander-4
Craig Allen,2012-08-30,1,Middle Tennessee State,,McNeese State,L,2,2,4,0.0,0.0,craig-allen-2
Trent Allmang-Wilder,2012-08-30,1,Nevada-Las Vegas,,Minnesota,L,1,1,2,0.0,0.0,trent-allmang-wilder-1
Terrence Alston,2012-08-30,1,Utah State,,Southern Utah,W,5,0,5,1.0,1.0,terrence-alston-1
Michael Amaefula,2012-08-30,1,Minnesota,@,Nevada-Las Vegas,W,0,2,2,0.0,0.0,michael-amaefula-1
Desmond Anaya,2012-08-30,1,New Mexico State,,Sacramento State,W,2,4,6,1.0,0.0,desmond-anaya-1
Stanley Andre,2012-08-30,1,Massachusetts,@,Connecticut,L,2,4,6,0.0,0.0,stanley-andre-1
Ezekiel Ansah,2012-08-30,1,Brigham Young,,Washington State,W,3,0,3,2.0,0.0,ezekiel-ansah-1
Alexandro Antoine,2012-08-30,1,Middle Tennessee State,,McNeese State,L,0,1,1,0.0,0.0,alexandro-antoine-1
Kevin Ayers,2012-08-30,1,Arizona State,,Northern Arizona,W,1,3,4,0.0,0.0,kevin-ayers-1
Michael Ayers,2012-08-30,1,Ball State,,Eastern Michigan,W,0,1,1,0.0,0.0,michael-ayers-1
Khary Baily-Smith,2012-08-30,1,Massachusetts,@,Connecticut,L,3,0,3,0.0,0.0,khary-baily-smith-1
Gabe Baker,2012-08-30,1,Rice,,UCLA,L,2,1,3,1.0,0.0,gabe-baker-1
Jeremy Baltazar,2012-08-30,1,Minnesota,@,Nevada-Las Vegas,W,2,0,2,0.0,0.0,jeremy-baltazar-1
