Player,Date,G,School,Loc,Opponent,WL,Tackle Solo,Tackle Assist,Tackle Tot,Tackle For Loss,Sack,unique_id
Luke Adams,2013-08-29,1,Central Florida,,Akron,W,0,1,1,0.5,0.0,luke-adams-1
Johnathan Aiken,2013-08-29,1,Rutgers,@,Fresno State,L,1,0,1,0.0,0.0,johnathan-aiken-1
Kris Albarado,2013-08-29,1,Southern California,@,Hawaii,W,1,0,1,0.0,0.0,kris-albarado-1
Bill Alexander,2013-08-29,1,Akron,@,Central Florida,L,1,0,1,0.0,0.0,bill-alexander-1
Brandon Alexander,2013-08-29,1,Central Florida,,Akron,W,4,2,6,1.0,0.0,brandon-alexander-4
Maurice Alexander,2013-08-29,1,Utah State,@,Utah,L,7,4,11,1.5,1.5,maurice-alexander-1
Antonio Allen,2013-08-29,1,Indiana,,Indiana State,W,2,1,3,0.5,0.0,antonio-allen-2
Richard Allen,2013-08-29,1,Tulane,,Jackson State,W,3,0,3,0.0,0.0,richard-allen-2
Kamalani Alo,2013-08-29,1,Hawaii,,Southern California,L,2,0,2,0.0,0.0,kamalani-alo-1
Michael Amaefula,2013-08-29,1,Minnesota,,Nevada-Las Vegas,W,1,0,1,0.0,0.0,michael-amaefula-1
Demetris Anderson,2013-08-29,1,Central Florida,,Akron,W,0,3,3,1.0,0.0,demetris-anderson-1
Alexandro Antoine,2013-08-29,1,Middle Tennessee State,,Western Carolina,W,2,0,2,0.0,0.0,alexandro-antoine-1
Jefferson Ashiru,2013-08-29,1,Connecticut,,Towson,L,0,1,1,0.0,0.0,jefferson-ashiru-1
Caleb Azubike,2013-08-29,1,Vanderbilt,,Mississippi,L,1,1,2,0.0,0.0,caleb-azubike-1
Sean Bacon,2013-08-29,1,San Jose State,,Sacramento State,W,2,1,3,0.0,0.0,sean-bacon-1
Dion Bailey,2013-08-29,1,Southern California,@,Hawaii,W,7,0,7,1.0,1.0,dion-bailey-1
Matthew Bailey,2013-08-29,1,Tulane,,Jackson State,W,1,0,1,0.0,0.0,matthew-bailey-1
