Player,Date,G,School,Loc,Opponent,WL,Rec,Rec Yards,Rec Avg,Rec TD,unique_id
Stanley Berryhill III,2019-08-24,1,Arizona,@,Hawaii,L,3,92,30.7,1,stanley-berryhill-iii-1
Gary Brightwell,2019-08-24,1,Arizona,@,Hawaii,L,1,11,11.0,0,gary-brightwell-1
Cedric Byrd,2019-08-24,1,Hawaii,,Arizona,W,14,224,16.0,4,cedric-byrd-1
Brian Casteel,2019-08-24,1,Arizona,@,Hawaii,L,3,31,10.3,0,brian-casteel-1
Tyrie Cleveland,2019-08-24,1,Florida,N,Miami (FL),W,1,13,13.0,0,tyrie-cleveland-1
Tayvian Cunningham,2019-08-24,1,Arizona,@,Hawaii,L,4,65,16.3,0,tayvian-cunningham-1
Deejay Dallas,2019-08-24,1,Miami (FL),N,Florida,L,4,37,9.3,0,deejay-dallas-1
Drew Dixon,2019-08-24,1,Arizona,@,Hawaii,L,2,13,6.5,0,drew-dixon-1
Dayton Furuta,2019-08-24,1,Hawaii,,Arizona,W,1,4,4.0,0,dayton-furuta-1
Trevon Grimes,2019-08-24,1,Florida,N,Miami (FL),W,1,10,10.0,0,trevon-grimes-1
Josh Hammond,2019-08-24,1,Florida,N,Miami (FL),W,4,93,23.3,0,josh-hammond-1
Mike Harley,2019-08-24,1,Miami (FL),N,Florida,L,1,12,12.0,0,mike-harley-1
Cam'ron Harris,2019-08-24,1,Miami (FL),N,Florida,L,2,4,2.0,0,camron-harris-1
Van Jefferson,2019-08-24,1,Florida,N,Miami (FL),W,1,14,14.0,0,van-jefferson-1
Jamarye Joiner,2019-08-24,1,Arizona,@,Hawaii,L,4,72,18.0,1,jamarye-joiner-1
Brevin Jordan,2019-08-24,1,Miami (FL),N,Florida,L,5,88,17.6,1,brevin-jordan-1
K.J. Osborn,2019-08-24,1,Miami (FL),N,Florida,L,4,41,10.3,0,kj-osborn-1
Lamical Perine,2019-08-24,1,Florida,N,Miami (FL),W,6,25,4.2,1,lamical-perine-1
James Phillips,2019-08-24,1,Hawaii,,Arizona,W,1,18,18.0,0,james-phillips-3
Kyle Pitts,2019-08-24,1,Florida,N,Miami (FL),W,3,33,11.0,0,kyle-pitts-1
Mark Pope,2019-08-24,1,Miami (FL),N,Florida,L,1,4,4.0,0,mark-pope-1
Jason-Matthew Sharsh,2019-08-24,1,Hawaii,,Arizona,W,8,52,6.5,0,jason-matthew-sharsh-1
Jared Smart,2019-08-24,1,Hawaii,,Arizona,W,6,68,11.3,0,jared-smart-1
