Player,Date,G,School,Loc,Opponent,WL,XP Made,XP Att,XP %,FG Made,FG Att,FG %,Pts,unique_id
Devin Barclay,2010-09-02,1,Ohio State,,Marshall,W,6,6,100.0,1,1,100.0,9,devin-barclay-1
Drew Basil,2010-09-02,1,Ohio State,,Marshall,W,0,0,,0,1,0.0,0,drew-basil-1
Matt Bosher,2010-09-02,1,Miami (FL),,Florida A&M,W,6,6,100.0,1,1,100.0,9,matt-bosher-1
Michael Cklamovski,2010-09-02,1,Northern Illinois,@,Iowa State,L,0,0,,0,2,0.0,0,michael-cklamovski-1
Freddy Cortez,2010-09-02,1,Kent State,,Murray State,W,5,5,100.0,2,2,100.0,11,freddy-cortez-1
Eric Ellestad,2010-09-02,1,Minnesota,@,Middle Tennessee State,W,3,3,100.0,1,3,33.3,6,eric-ellestad-1
Scott Enos,2010-09-02,1,Hawaii,,Southern California,L,3,3,100.0,3,3,100.0,12,scott-enos-1
Mitch Ewald,2010-09-02,1,Indiana,,Towson,W,1,1,100.0,1,1,100.0,4,mitch-ewald-1
Trey Farquhar,2010-09-02,1,Idaho,,North Dakota,W,6,6,100.0,1,2,50.0,9,trey-farquhar-1
Nick Freeland,2010-09-02,1,Indiana,,Towson,W,5,5,100.0,2,2,100.0,11,nick-freeland-1
Alan Gendreau,2010-09-02,1,Middle Tennessee State,,Minnesota,L,2,2,100.0,1,1,100.0,5,alan-gendreau-1
Danny Hrapmann,2010-09-02,1,Southern Mississippi,@,South Carolina,L,1,1,100.0,2,2,100.0,7,danny-hrapmann-1
Dan Hutchins,2010-09-02,1,Pittsburgh,@,Utah,L,1,1,100.0,3,4,75.0,10,dan-hutchins-1
Spencer Lanning,2010-09-02,1,South Carolina,,Southern Mississippi,W,5,5,100.0,2,2,100.0,11,spencer-lanning-1
Grant Mahoney,2010-09-02,1,Iowa State,,Northern Illinois,W,3,3,100.0,2,3,66.7,9,grant-mahoney-1
Ian McGarvey,2010-09-02,1,Ball State,,Southeast Missouri State,W,3,3,100.0,2,2,100.0,9,ian-mcgarvey-1
Paul Mudgett,2010-09-02,1,Central Michigan,,Hampton,W,4,4,100.0,1,4,25.0,7,paul-mudgett-1
Jimmy Newman,2010-09-02,1,Wake Forest,,Presbyterian,W,6,6,100.0,1,2,50.0,9,jimmy-newman-1
Joe Phillips,2010-09-02,1,Utah,,Pittsburgh,W,3,3,100.0,2,2,100.0,9,joe-phillips-1
A.J. Principe,2010-09-02,1,Buffalo,,Rhode Island,W,4,4,100.0,1,1,100.0,7,aj-principe-1
Cairo Santos,2010-09-02,1,Tulane,,Southeastern Louisiana,W,3,3,100.0,2,2,100.0,9,cairo-santos-1
Mathew Sims,2010-09-02,1,Northern Illinois,@,Iowa State,L,1,1,100.0,1,1,100.0,4,mathew-sims-1
San San Te,2010-09-02,1,Rutgers,,Norfolk State,W,2,2,100.0,3,5,60.0,11,san-san-te-1
Tyler Warner,2010-09-02,1,Marshall,@,Ohio State,L,1,1,100.0,0,1,0.0,1,tyler-warner-1
Josh Zahn,2010-09-02,1,Alabama-Birmingham,,Florida Atlantic,L,4,4,100.0,1,2,50.0,7,josh-zahn-1
Brandon McManus,2010-09-03,1,Temple,,Villanova,W,1,1,100.0,4,5,80.0,13,brandon-mcmanus-1
Dan Bailey,2010-09-04,1,Oklahoma State,,Washington State,W,8,8,100.0,1,1,100.0,11,dan-bailey-1
Casey Barth,2010-09-04,1,North Carolina,N,Louisiana State,L,3,3,100.0,1,1,100.0,6,casey-barth-1
Tyler Bitancurt,2010-09-04,1,West Virginia,,Coastal Carolina,W,4,4,100.0,1,1,100.0,7,tyler-bitancurt-1
Chris Boswell,2010-09-04,1,Rice,,Texas,L,2,2,100.0,1,2,50.0,5,chris-boswell-1
Jacob Branstetter,2010-09-04,1,Kansas,,North Dakota State,L,0,0,,1,3,33.3,3,jacob-branstetter-1
Sean Brauchle,2010-09-04,1,Mississippi State,,Memphis,W,1,1,100.0,0,1,0.0,1,sean-brauchle-1
Randy Bullock,2010-09-04,1,Texas A&M,,Stephen F. Austin,W,6,6,100.0,2,3,66.7,12,randy-bullock-1
Wes Byrum,2010-09-04,1,Auburn,,Arkansas State,W,7,7,100.0,1,1,100.0,10,wes-byrum-1
Peter Caldwell,2010-09-04,1,Utah State,@,Oklahoma,L,3,3,100.0,1,2,50.0,6,peter-caldwell-1
Anthony Cantele,2010-09-04,1,Kansas State,,UCLA,W,4,4,100.0,1,1,100.0,7,anthony-cantele-1
Alex Carlton,2010-09-04,1,Army,@,Eastern Michigan,W,4,4,100.0,1,2,50.0,7,alex-carlton-1
Nick Cattoi,2010-09-04,1,Central Florida,,South Dakota,W,5,5,100.0,1,1,100.0,8,nick-cattoi-1
Dan Conroy,2010-09-04,1,Michigan State,,Western Michigan,W,5,5,100.0,1,1,100.0,8,dan-conroy-1
Trevor Cook,2010-09-04,1,Miami (OH),@,Florida,L,0,0,,4,4,100.0,12,trevor-cook-1
Josh Czajkowski,2010-09-04,1,North Carolina State,,Western Carolina,W,4,4,100.0,2,2,100.0,10,josh-czajkowski-1
Brian Davis,2010-09-04,1,Arkansas State,@,Auburn,L,2,3,66.7,2,2,100.0,8,brian-davis-1
Trent Deans,2010-09-04,1,North Texas,@,Clemson,L,1,1,100.0,1,1,100.0,4,trent-deans-1
