Player,Date,G,School,Loc,Opponent,WL,Rec,Rec Yards,Rec Avg,Rec TD,unique_id
Marcus Armstrong-Brown,2018-08-25,1,Hawaii,@,Colorado State,W,2,34,17.0,0,marcus-armstrong-brown-1
Johnathan Boone,2018-08-25,1,New Mexico State,,Wyoming,L,3,21,7.0,0,johnathan-boone-1
Jaeger Bull,2018-08-25,1,Rice,,Prairie View A&M,W,2,18,9.0,0,jaeger-bull-1
Cameron Butler,2018-08-25,1,Colorado State,,Hawaii,L,5,26,5.2,0,cameron-butler-1
Cedric Byrd,2018-08-25,1,Hawaii,@,Colorado State,W,11,181,16.5,1,cedric-byrd-1
Rhett Cardwell,2018-08-25,1,Rice,,Prairie View A&M,W,1,2,2.0,0,rhett-cardwell-1
Aaron Cephus,2018-08-25,1,Rice,,Prairie View A&M,W,1,10,10.0,0,aaron-cephus-1
OJ Clark,2018-08-25,1,New Mexico State,,Wyoming,L,5,12,2.4,0,oj-clark-1
Austin Conway,2018-08-25,1,Wyoming,@,New Mexico State,W,2,16,8.0,0,austin-conway-1
Drew Dan,2018-08-25,1,New Mexico State,,Wyoming,L,2,60,30.0,1,drew-dan-1
Brennon Dingle,2018-08-25,1,Massachusetts,,Duquesne,W,3,61,20.3,1,brennon-dingle-1
Nico Evans,2018-08-25,1,Wyoming,@,New Mexico State,W,1,10,10.0,0,nico-evans-1
Austin Fort,2018-08-25,1,Wyoming,@,New Mexico State,W,2,51,25.5,0,austin-fort-1
Brenden Fulton,2018-08-25,1,Colorado State,,Hawaii,L,1,17,17.0,0,brenden-fulton-1
Dayton Furuta,2018-08-25,1,Hawaii,@,Colorado State,W,2,22,11.0,0,dayton-furuta-1
Griffin Hammer,2018-08-25,1,Colorado State,,Hawaii,L,2,19,9.5,0,griffin-hammer-1
Brendan Harmon,2018-08-25,1,Rice,,Prairie View A&M,W,1,8,8.0,0,brendan-harmon-1
Josh Harshman,2018-08-25,1,Wyoming,@,New Mexico State,W,1,4,4.0,0,josh-harshman-1
Shea Holebrook Jr.,2018-08-25,1,New Mexico State,,Wyoming,L,1,6,6.0,0,shea-holebrook-jr-1
Freddie Holly,2018-08-25,1,Hawaii,@,Colorado State,W,2,38,19.0,0,freddie-holly-1
Kyle Horn,2018-08-25,1,Massachusetts,,Duquesne,W,5,49,9.8,0,kyle-horn-1
Jason Huntley,2018-08-25,1,New Mexico State,,Wyoming,L,5,25,5.0,0,jason-huntley-1
Andy Isabella,2018-08-25,1,Massachusetts,,Duquesne,W,5,131,26.2,2,andy-isabella-1
Raghib Ismail Jr.,2018-08-25,1,Wyoming,@,New Mexico State,W,2,10,5.0,0,raghib-ismail-jr-1
Warren Jackson,2018-08-25,1,Colorado State,,Hawaii,L,5,72,14.4,0,warren-jackson-2
Olabisi Johnson,2018-08-25,1,Colorado State,,Hawaii,L,6,157,26.2,2,olabisi-johnson-1
Izzy Matthews,2018-08-25,1,Colorado State,,Hawaii,L,6,58,9.7,1,izzy-matthews-1
Tyree Mayfield,2018-08-25,1,Wyoming,@,New Mexico State,W,4,39,9.8,0,tyree-mayfield-1
Anthony Muse,2018-08-25,1,New Mexico State,,Wyoming,L,2,20,10.0,0,anthony-muse-1
Jordan Myers,2018-08-25,1,Rice,,Prairie View A&M,W,1,4,4.0,0,jordan-myers-1
John Okwoli,2018-08-25,1,Wyoming,@,New Mexico State,W,1,7,7.0,0,john-okwoli-1
Sadiq Palmer,2018-08-25,1,Massachusetts,,Duquesne,W,1,13,13.0,0,sadiq-palmer-1
Avien Peah,2018-08-25,1,Massachusetts,,Duquesne,W,2,10,5.0,0,avien-peah-1
Jason-Matthew Sharsh,2018-08-25,1,Hawaii,@,Colorado State,W,1,12,12.0,0,jason-matthew-sharsh-1
Zak Simon,2018-08-25,1,Massachusetts,,Duquesne,W,1,14,14.0,1,zak-simon-1
Austin Trammell,2018-08-25,1,Rice,,Prairie View A&M,W,5,37,7.4,0,austin-trammell-1
John Ursua,2018-08-25,1,Hawaii,@,Colorado State,W,7,123,17.6,2,john-ursua-1
Austin Walter,2018-08-25,1,Rice,,Prairie View A&M,W,1,8,8.0,0,austin-walter-1
JoJo Ward,2018-08-25,1,Hawaii,@,Colorado State,W,1,8,8.0,0,jojo-ward-1
Preston Williams,2018-08-25,1,Colorado State,,Hawaii,L,9,188,20.9,2,preston-williams-4
Marquis Young,2018-08-25,1,Massachusetts,,Duquesne,W,2,12,6.0,0,marquis-young-1
Otis Anderson,2018-08-30,1,Central Florida,@,Connecticut,W,1,5,5.0,1,otis-anderson-1
Jackson Anthrop,2018-08-30,1,Purdue,,Northwestern,L,2,12,6.0,0,jackson-anthrop-1
Jhamon Ausbon,2018-08-30,1,Texas A&M,,Northwestern State,W,6,81,13.5,0,jhamon-ausbon-1
Chris Autman-Bell,2018-08-30,1,Minnesota,,New Mexico State,W,4,43,10.8,0,chris-autman-bell-1
Alex Bachman,2018-08-30,1,Wake Forest,@,Tulane,W,5,62,12.4,2,alex-bachman-1
Rashod Bateman,2018-08-30,1,Minnesota,,New Mexico State,W,5,52,10.4,0,rashod-bateman-1
Taz Bateman,2018-08-30,1,Georgia State,,,W,4,23,5.8,0,taz-bateman-1
Tyraiq Beals,2018-08-30,1,Connecticut,,Central Florida,L,1,9,9.0,0,tyraiq-beals-1
JaQuan Blackwell,2018-08-30,1,San Jose State,,California-Davis,L,4,26,6.5,1,jaquan-blackwell-1
Johnathan Boone,2018-08-30,2,New Mexico State,@,Minnesota,L,8,67,8.4,0,johnathan-boone-1
Andrew Boykin,2018-08-30,1,Texas A&M,,Northwestern State,W,1,8,8.0,0,andrew-boykin-1
LD Brown,2018-08-30,1,Oklahoma State,,Missouri State,W,1,5,5.0,0,ld-brown-2
Xavier Brown,2018-08-30,1,Louisiana-Monroe,,Southeastern Louisiana,W,6,60,10.0,0,xavier-brown-2
Devin Brumfield,2018-08-30,1,Utah,,Weber State,W,1,5,5.0,0,devin-brumfield-1
Camron Buckley,2018-08-30,1,Texas A&M,,Northwestern State,W,3,44,14.7,0,camron-buckley-1
Jarrett Burgess,2018-08-30,1,Purdue,,Northwestern,L,1,9,9.0,0,jarrett-burgess-1
Kyle Buss,2018-08-30,1,Connecticut,,Central Florida,L,7,113,16.1,0,kyle-buss-1
Royce Caldwell,2018-08-30,2,New Mexico State,@,Minnesota,L,1,4,4.0,0,royce-caldwell-1
Cade Carney,2018-08-30,1,Wake Forest,@,Tulane,W,1,7,7.0,0,cade-carney-1
Kailon Carter,2018-08-30,1,Alabama-Birmingham,,Savannah State,W,1,4,4.0,0,kailon-carter-1
Roger Carter,2018-08-30,1,Georgia State,,,W,1,4,4.0,0,roger-carter-2
Diondre Champaigne,2018-08-30,1,Georgia State,,,W,1,8,8.0,1,diondre-champaigne-1
Brandon Chapman,2018-08-30,1,Wake Forest,@,Tulane,W,1,2,2.0,0,brandon-chapman-1
Ramaud Chiaokhiao-Bowman,2018-08-30,1,Northwestern,@,Purdue,W,1,14,14.0,0,ramaud-chiaokhiao-bowman-1
OJ Clark,2018-08-30,2,New Mexico State,@,Minnesota,L,3,19,6.3,0,oj-clark-1
Steven Claude,2018-08-30,1,Wake Forest,@,Tulane,W,1,8,8.0,0,steven-claude-1
Jabril Clewis,2018-08-30,1,Tulane,,Wake Forest,L,1,13,13.0,0,jabril-clewis-1
Michael Colubiale,2018-08-30,1,Central Florida,@,Connecticut,W,1,17,17.0,0,michael-colubiale-1
Jashaun Corbin,2018-08-30,1,Texas A&M,,Northwestern State,W,1,8,8.0,0,jashaun-corbin-1
Britain Covey,2018-08-30,1,Utah,,Weber State,W,7,79,11.3,0,britain-covey-1
Drew Dan,2018-08-30,2,New Mexico State,@,Minnesota,L,6,61,10.2,0,drew-dan-1
Antwan Davis,2018-08-30,1,Ball State,,Central Connecticut State,W,1,8,8.0,0,antwan-davis-2
Gabriel Davis,2018-08-30,1,Central Florida,@,Connecticut,W,6,40,6.7,1,gabriel-davis-1
Tyler Davis,2018-08-30,1,Connecticut,,Central Florida,L,2,18,9.0,1,tyler-davis-2
Jaylen Dixon,2018-08-30,1,Utah,,Weber State,W,1,40,40.0,0,jaylen-dixon-1
Keyion Dixon,2018-08-30,1,Connecticut,,Central Florida,L,1,11,11.0,0,keyion-dixon-1
Greg Dortch,2018-08-30,1,Wake Forest,@,Tulane,W,12,149,12.4,0,greg-dortch-1
Demetrius Douglas,2018-08-30,1,Minnesota,,New Mexico State,W,1,4,4.0,0,demetrius-douglas-2
Malik Dunner,2018-08-30,1,Ball State,,Central Connecticut State,W,4,49,12.3,0,malik-dunner-1
Terren Encalade,2018-08-30,1,Tulane,,Wake Forest,L,8,189,23.6,2,terren-encalade-1
Solomon Enis,2018-08-30,1,Utah,,Weber State,W,2,34,17.0,0,solomon-enis-1
Charlie Fessler,2018-08-30,1,Northwestern,@,Purdue,W,1,7,7.0,0,charlie-fessler-1
Sione Finefeuiaki,2018-08-30,1,Oklahoma State,,Missouri State,W,1,3,3.0,1,sione-finefeuiaki-1
Cole Fotheringham,2018-08-30,1,Utah,,Weber State,W,1,3,3.0,1,cole-fotheringham-1
Tario Fuller,2018-08-30,1,Purdue,,Northwestern,L,2,14,7.0,0,tario-fuller-1
Bailey Gaither,2018-08-30,1,San Jose State,,California-Davis,L,6,137,22.8,2,bailey-gaither-1
Clay Geary,2018-08-30,1,Minnesota,,New Mexico State,W,1,7,7.0,0,clay-geary-1
Devin Gentry,2018-08-30,1,Georgia State,,,W,1,16,16.0,0,devin-gentry-1
James Gilbert,2018-08-30,1,Ball State,,Central Connecticut State,W,2,5,2.5,0,james-gilbert-2
Cullen Gillaspia,2018-08-30,1,Texas A&M,,Northwestern State,W,1,-1,-1.0,0,cullen-gillaspia-1
Nolan Givan,2018-08-30,1,Ball State,,Central Connecticut State,W,3,36,12.0,1,nolan-givan-1
Derrick Gore,2018-08-30,1,Louisiana-Monroe,,Southeastern Louisiana,W,3,18,6.0,0,derrick-gore-1
Cameron Green,2018-08-30,1,Northwestern,@,Purdue,W,5,50,10.0,0,cameron-green-1
Marcus Green,2018-08-30,1,Louisiana-Monroe,,Southeastern Louisiana,W,7,99,14.1,2,marcus-green-6
TJ Green,2018-08-30,1,Utah,,Weber State,W,1,6,6.0,0,tj-green-4
Justin Hall,2018-08-30,1,Ball State,,Central Connecticut State,W,5,38,7.6,0,justin-hall-3
Penny Hart,2018-08-30,1,Georgia State,,,W,5,46,9.2,1,penny-hart-1
Justice Hill,2018-08-30,1,Oklahoma State,,Missouri State,W,1,22,22.0,0,justice-hill-1
Jonathan Hodoh,2018-08-30,1,Louisiana-Monroe,,Southeastern Louisiana,W,2,12,6.0,0,jonathan-hodoh-1
Justin Holmes,2018-08-30,1,San Jose State,,California-Davis,L,3,24,8.0,0,justin-holmes-2
Brycen Hopkins,2018-08-30,1,Purdue,,Northwestern,L,1,7,7.0,0,brycen-hopkins-1
Chuba Hubbard,2018-08-30,1,Oklahoma State,,Missouri State,W,3,65,21.7,1,chuba-hubbard-1
Caleb Huntley,2018-08-30,1,Ball State,,Central Connecticut State,W,1,2,2.0,0,caleb-huntley-1
Jason Huntley,2018-08-30,2,New Mexico State,@,Minnesota,L,3,11,3.7,0,jason-huntley-1
Jonathan Ifedi,2018-08-30,1,Georgia State,,,W,1,15,15.0,0,jonathan-ifedi-1
Jake Jackson,2018-08-30,1,Utah,,Weber State,W,1,8,8.0,0,jake-jackson-1
Tyrick James,2018-08-30,1,Tulane,,Wake Forest,L,1,5,5.0,0,tyrick-james-1
Tyler Johnson,2018-08-30,1,Minnesota,,New Mexico State,W,5,100,20.0,2,tyler-johnson-6
Tyron Johnson,2018-08-30,1,Oklahoma State,,Missouri State,W,2,13,6.5,0,tyron-johnson-1
Markell Jones,2018-08-30,1,Purdue,,Northwestern,L,1,5,5.0,0,markell-jones-1
Adrian Killins,2018-08-30,1,Central Florida,@,Connecticut,W,2,44,22.0,0,adrian-killins-1
J.D. King,2018-08-30,1,Oklahoma State,,Missouri State,W,1,25,25.0,0,jd-king-1
D.J. Knox,2018-08-30,1,Purdue,,Northwestern,L,1,-1,-1.0,0,dj-knox-1
Brant Kuithe,2018-08-30,1,Utah,,Weber State,W,1,29,29.0,1,brant-kuithe-1
Corey Lacanaria,2018-08-30,1,Ball State,,Central Connecticut State,W,2,32,16.0,0,corey-lacanaria-1
Jeremy Larkin,2018-08-30,1,Northwestern,@,Purdue,W,4,20,5.0,0,jeremy-larkin-1
Donnie Lee,2018-08-30,1,Alabama-Birmingham,,Savannah State,W,1,8,8.0,0,donnie-lee-1
Riley Lees,2018-08-30,1,Northwestern,@,Purdue,W,2,14,7.0,0,riley-lees-1
Austin Liles,2018-08-30,1,San Jose State,,California-Davis,L,2,19,9.5,0,austin-liles-1
Collin Lisa,2018-08-30,1,Alabama-Birmingham,,Savannah State,W,10,93,9.3,1,collin-lisa-1
Hassan Littles,2018-08-30,1,Ball State,,Central Connecticut State,W,1,0,0.0,0,hassan-littles-1
Izaiah Lottie,2018-08-30,2,New Mexico State,@,Minnesota,L,5,54,10.8,1,izaiah-lottie-1
Siaosi Mariner,2018-08-30,1,Utah,,Weber State,W,6,73,12.2,1,siaosi-mariner-1
Heron Maurisseau,2018-08-30,1,Connecticut,,Central Florida,L,2,-3,-1.5,0,heron-maurisseau-1
Hergy Mayala,2018-08-30,1,Connecticut,,Central Florida,L,3,31,10.3,0,hergy-mayala-1
Jalen McCleskey,2018-08-30,1,Oklahoma State,,Missouri State,W,6,66,11.0,2,jalen-mccleskey-1
Cornelius McCoy,2018-08-30,1,Georgia State,,,W,1,5,5.0,0,cornelius-mccoy-1
Greg McCrae,2018-08-30,1,Central Florida,@,Connecticut,W,1,36,36.0,1,greg-mccrae-1
Markis McCray,2018-08-30,1,Louisiana-Monroe,,Southeastern Louisiana,W,1,8,8.0,0,markis-mccray-1
Aaron McLean,2018-08-30,1,Connecticut,,Central Florida,L,5,42,8.4,0,aaron-mclean-1
Kevin Mensah,2018-08-30,1,Connecticut,,Central Florida,L,1,5,5.0,0,kevin-mensah-1
Riley Miller,2018-08-30,1,Ball State,,Central Connecticut State,W,4,65,16.3,0,riley-miller-1
Darnell Mooney,2018-08-30,1,Tulane,,Wake Forest,L,8,74,9.3,0,darnell-mooney-1
Rondale Moore,2018-08-30,1,Purdue,,Northwestern,L,11,109,9.9,1,rondale-moore-1
Zack Moss,2018-08-30,1,Utah,,Weber State,W,3,24,8.0,1,zack-moss-1
John Moten IV,2018-08-30,1,Northwestern,@,Purdue,W,2,25,12.5,0,john-moten-iv-1
Anthony Muse,2018-08-30,2,New Mexico State,@,Minnesota,L,3,17,5.7,0,anthony-muse-1
Flynn Nagel,2018-08-30,1,Northwestern,@,Purdue,W,5,58,11.6,0,flynn-nagel-1
Tyler Nevens,2018-08-30,1,San Jose State,,California-Davis,L,3,21,7.0,0,tyler-nevens-1
Tre Nixon,2018-08-30,1,Central Florida,@,Connecticut,W,5,101,20.2,2,tre-nixon-2
Josh Oliver,2018-08-30,1,San Jose State,,California-Davis,L,8,86,10.8,0,josh-oliver-1
Christian Owens,2018-08-30,1,Georgia State,,,W,6,70,11.7,1,christian-owens-1
DeJon Packer,2018-08-30,1,San Jose State,,California-Davis,L,1,12,12.0,0,dejon-packer-1
Kendall Parham,2018-08-30,1,Alabama-Birmingham,,Savannah State,W,2,26,13.0,0,kendall-parham-1
Roshauud Paul,2018-08-30,1,Texas A&M,,Northwestern State,W,1,2,2.0,0,roshauud-paul-1
