Player,Date,G,School,Loc,Opponent,WL,unique_id,Int Ret,Int Ret Yds,Int TD,Pass Broken Up
Donny Baker,2006-08-31,1,San Diego State,,Texas-El Paso,L,donny-baker-1,2.0,0.0,0.0,4.0
Chris Baloney,2006-08-31,1,Arizona State,,Northern Arizona,W,chris-baloney-1,1.0,35.0,1.0,1.0
Anthony Barksdale,2006-08-31,1,Connecticut,,Rhode Island,W,anthony-barksdale-1,1.0,0.0,0.0,
Ray Bass,2006-08-31,1,San Diego State,,Texas-El Paso,L,ray-bass-1,1.0,0.0,0.0,1.0
Fred Bennett,2006-08-31,1,South Carolina,@,Mississippi State,W,fred-bennett-1,1.0,30.0,0.0,1.0
Bobby Blackshire,2006-08-31,1,Tulsa,,Stephen F. Austin,W,bobby-blackshire-1,1.0,5.0,0.0,1.0
Colt Brooks,2006-08-31,1,Boise State,,Sacramento State,W,colt-brooks-1,1.0,0.0,0.0,1.0
Courtney Bryan,2006-08-31,1,New Mexico State,,Southeastern Louisiana,W,courtney-bryan-1,1.0,1.0,0.0,2.0
Darius Butler,2006-08-31,1,Connecticut,,Rhode Island,W,darius-butler-1,1.0,0.0,0.0,2.0
Quinton Culberson,2006-08-31,1,Mississippi State,,South Carolina,L,quinton-culberson-1,1.0,0.0,0.0,2.0
Quintin Demps,2006-08-31,1,Texas-El Paso,@,San Diego State,W,quintin-demps-1,2.0,37.0,0.0,2.0
Gary Ham,2006-08-31,1,Kent State,,Minnesota,L,gary-ham-1,1.0,32.0,0.0,1.0
Chris Hampton,2006-08-31,1,South Carolina,@,Mississippi State,W,chris-hampton-1,1.0,0.0,0.0,1.0
Jamal Harris,2006-08-31,1,Minnesota,@,Kent State,W,jamal-harris-1,2.0,0.0,0.0,2.0
Jesse Imes,2006-08-31,1,Buffalo,,Temple,W,jesse-imes-1,1.0,0.0,0.0,2.0
Dominic Jones,2006-08-31,1,Minnesota,@,Kent State,W,dominic-jones-1,1.0,0.0,0.0,1.0
Alex Knipp,2006-08-31,1,Ball State,,Eastern Michigan,W,alex-knipp-1,1.0,9.0,0.0,1.0
T.J. McKay,2006-08-31,1,San Diego State,,Texas-El Paso,L,tj-mckay-1,1.0,10.0,0.0,1.0
Tyrone McKenzie,2006-08-31,1,Iowa State,,Toledo,W,tyrone-mckenzie-1,1.0,17.0,0.0,2.0
Kevin Payne,2006-08-31,1,Louisiana-Monroe,,Alcorn State,W,kevin-payne-1,1.0,0.0,0.0,2.0
Sabby Piscitelli,2006-08-31,1,Oregon State,,Eastern Washington,W,sabby-piscitelli-1,1.0,0.0,0.0,
Lionell Singleton,2006-08-31,1,Florida International,@,Middle Tennessee State,L,lionell-singleton-1,1.0,20.0,0.0,
Brian Toal,2006-08-31,1,Boston College,@,Central Michigan,W,brian-toal-1,1.0,0.0,0.0,1.0
James Wright,2006-08-31,1,Louisiana-Monroe,,Alcorn State,W,james-wright-2,1.0,33.0,1.0,1.0
Taheem Acevedo,2006-09-02,1,Florida Atlantic,@,Clemson,L,taheem-acevedo-1,1.0,0.0,0.0,2.0
Quinton Andrews,2006-09-02,1,West Virginia,,Marshall,W,quinton-andrews-1,1.0,14.0,0.0,1.0
Trey Brown,2006-09-02,1,UCLA,,Utah,W,trey-brown-1,1.0,0.0,0.0,2.0
Antoine Bush,2006-09-02,1,North Texas,@,Texas,L,antoine-bush-1,1.0,5.0,0.0,1.0
Manny Collins,2006-09-02,1,Rutgers,@,North Carolina,W,manny-collins-1,2.0,25.0,0.0,
Perrish Cox,2006-09-02,1,Oklahoma State,,Missouri State,W,perrish-cox-1,1.0,21.0,0.0,2.0
Vontae Davis,2006-09-02,1,Illinois,,Eastern Illinois,W,vontae-davis-1,1.0,0.0,0.0,1.0
Louis Delmas,2006-09-02,1,Western Michigan,@,Indiana,L,louis-delmas-1,1.0,0.0,0.0,3.0
Zach Diles,2006-09-02,1,Kansas State,,Illinois State,W,zach-diles-1,1.0,0.0,0.0,1.0
Chris Felder,2006-09-02,1,Alabama-Birmingham,@,Oklahoma,L,chris-felder-1,1.0,0.0,0.0,1.0
Brandon Flowers,2006-09-02,1,Virginia Tech,,Northeastern,W,brandon-flowers-1,1.0,0.0,0.0,2.0
Louis Gachette,2006-09-02,1,South Florida,,McNeese State,W,louis-gachette-1,1.0,0.0,0.0,
Larry Grant,2006-09-02,1,Ohio State,,Northern Illinois,W,larry-grant-1,1.0,49.0,0.0,2.0
Michael Hamlin,2006-09-02,1,Clemson,,Florida Atlantic,W,michael-hamlin-1,1.0,74.0,0.0,1.0
Brandon Hampton,2006-09-02,1,California,@,Tennessee,L,brandon-hampton-1,1.0,30.0,0.0,1.0
Cary Harris,2006-09-02,1,Southern California,@,Arkansas,W,cary-harris-1,1.0,28.0,0.0,1.0
Will Herring,2006-09-02,1,Auburn,,Washington State,W,will-herring-1,1.0,16.0,0.0,2.0
David Herron Jr.,2006-09-02,1,Michigan State,,Idaho,W,david-herron-jr-1,1.0,23.0,0.0,1.0
Mike Humpal,2006-09-02,1,Iowa,,Montana,W,mike-humpal-1,1.0,0.0,0.0,2.0
Tanard Jackson,2006-09-02,1,Syracuse,@,Wake Forest,L,tanard-jackson-1,1.0,12.0,0.0,1.0
Cameron Jensen,2006-09-02,1,Brigham Young,@,Arizona,L,cameron-jensen-1,1.0,0.0,0.0,1.0
Inquoris Johnson,2006-09-02,1,Tennessee,,California,W,inquoris-johnson-1,1.0,10.0,0.0,2.0
Kelin Johnson,2006-09-02,1,Georgia,,Western Kentucky,W,kelin-johnson-1,1.0,2.0,0.0,1.0
Tony Joiner,2006-09-02,1,Florida,,Southern Mississippi,W,tony-joiner-1,1.0,0.0,0.0,2.0
Stanford Keglar,2006-09-02,1,Purdue,,Indiana State,W,stanford-keglar-1,1.0,14.0,0.0,2.0
Kenny Lewis,2006-09-02,1,Bowling Green State,,Wisconsin,L,kenny-lewis-1,1.0,11.0,0.0,1.0
