Player,Date,G,School,Loc,Opponent,WL,Rush Att,Rush Yard,Rush Avg,Rush TD,unique_id
Josh Adams,2008-08-28,1,Wake Forest,@,Baylor,W,14,37,2.6,1,josh-adams-1
Mackenzi Adams,2008-08-28,1,Vanderbilt,@,Miami (OH),W,2,3,1.5,0,mackenzi-adams-1
Austen Arnaud,2008-08-28,1,Iowa State,,South Dakota State,W,2,4,2.0,1,austen-arnaud-1
Mikail Baker,2008-08-28,1,Baylor,,Wake Forest,L,1,-1,-1.0,0,mikail-baker-1
Marcus Barnett,2008-08-28,1,Cincinnati,,Eastern Kentucky,W,2,5,2.5,0,marcus-barnett-1
Phil Bates,2008-08-28,1,Iowa State,,South Dakota State,W,9,55,6.1,0,phil-bates-1
Tommy Beecher,2008-08-28,1,South Carolina,,North Carolina State,W,12,25,2.1,0,tommy-beecher-1
Rich Belton,2008-08-28,1,Wake Forest,@,Baylor,W,1,3,3.0,0,rich-belton-1
Terrence Blevins,2008-08-28,1,Eastern Michigan,,Indiana State,W,21,176,8.4,2,terrence-blevins-1
Demir Boldin,2008-08-28,1,Wake Forest,@,Baylor,W,2,10,5.0,0,demir-boldin-1
Calvin Booker,2008-08-28,1,Georgia Tech,,Jacksonville State,W,1,0,0.0,0,calvin-booker-1
Andre Bratton,2008-08-28,1,Miami (OH),,Vanderbilt,L,7,13,1.9,0,andre-bratton-1
Andre Brown,2008-08-28,1,North Carolina State,@,South Carolina,L,21,101,4.8,0,andre-brown-1
Antonio Brown,2008-08-28,1,Central Michigan,,Eastern Illinois,W,1,-20,-20.0,0,antonio-brown-1
Devon Brown,2008-08-28,1,Wake Forest,@,Baylor,W,1,0,0.0,0,devon-brown-1
Donald Brown,2008-08-28,1,Connecticut,,Hofstra,W,23,146,6.3,4,donald-brown-1
Donald Buckram,2008-08-28,1,Texas-El Paso,@,Buffalo,L,2,5,2.5,0,donald-buckram-1
Lee Chambers,2008-08-28,1,Miami (FL),,Charleston Southern,W,5,25,5.0,0,lee-chambers-1
Graig Cooper,2008-08-28,1,Miami (FL),,Charleston Southern,W,4,22,5.5,1,graig-cooper-1
Lucas Cox,2008-08-28,1,Georgia Tech,,Jacksonville State,W,1,22,22.0,0,lucas-cox-1
Joe Craddock,2008-08-28,1,Middle Tennessee State,,Troy,L,11,-14,-1.3,0,joe-craddock-1
Anthony Davis,2008-08-28,1,Connecticut,,Hofstra,W,1,3,3.0,0,anthony-davis-1
Mike Davis,2008-08-28,1,South Carolina,,North Carolina State,W,14,101,7.2,1,mike-davis-1
Nate Davis,2008-08-28,1,Ball State,,Northeastern,W,2,8,4.0,0,nate-davis-1
Jonathan Dwyer,2008-08-28,1,Georgia Tech,,Jacksonville State,W,11,112,10.2,2,jonathan-dwyer-1
Frank Edmonds,2008-08-28,1,Ball State,,Northeastern,W,4,15,3.8,0,frank-edmonds-1
Cody Endres,2008-08-28,1,Connecticut,,Hofstra,W,1,-18,-18.0,0,cody-endres-1
Daniel Evans,2008-08-28,1,North Carolina State,@,South Carolina,L,1,-10,-10.0,0,daniel-evans-1
Jay Finley,2008-08-28,1,Baylor,,Wake Forest,L,10,22,2.2,0,jay-finley-1
Vernon Frazier,2008-08-28,1,Texas-El Paso,@,Buffalo,L,1,3,3.0,0,vernon-frazier-1
Kirby Freeman,2008-08-28,1,Baylor,,Wake Forest,L,2,0,0.0,0,kirby-freeman-1
Robbie Frey,2008-08-28,1,Connecticut,,Hofstra,W,9,34,3.8,1,robbie-frey-1
Dontayo Gage,2008-08-28,1,Eastern Michigan,,Indiana State,W,2,0,0.0,0,dontayo-gage-1
Desmond Gee,2008-08-28,1,Middle Tennessee State,,Troy,L,18,60,3.3,0,desmond-gee-1
