Player,Date,G,School,Loc,Opponent,WL,Tackle Solo,Tackle Assist,Tackle Tot,Tackle For Loss,Sack,unique_id
Antreal Allen,2014-08-27,1,Georgia State,,Abilene Christian,W,1,0,1,0.0,0.0,antreal-allen-1
Tarris Batiste,2014-08-27,1,Georgia State,,Abilene Christian,W,4,0,4,0.0,0.0,tarris-batiste-1
Marcus Caffey,2014-08-27,1,Georgia State,,Abilene Christian,W,4,0,4,0.0,0.0,marcus-caffey-1
Mackendy Cheridor,2014-08-27,1,Georgia State,,Abilene Christian,W,3,3,6,0.0,0.0,mackendy-cheridor-1
Will Cunningham,2014-08-27,1,Georgia State,,Abilene Christian,W,1,0,1,0.0,0.0,will-cunningham-1
Robert Dowling,2014-08-27,1,Georgia State,,Abilene Christian,W,0,1,1,0.5,0.0,robert-dowling-1
Bruce Dukes,2014-08-27,1,Georgia State,,Abilene Christian,W,6,2,8,0.0,0.0,bruce-dukes-2
Donovan Harden,2014-08-27,1,Georgia State,,Abilene Christian,W,1,0,1,0.0,0.0,donovan-harden-2
Carnell Hopson,2014-08-27,1,Georgia State,,Abilene Christian,W,1,1,2,0.0,0.0,carnell-hopson-1
David Huey,2014-08-27,1,Georgia State,,Abilene Christian,W,1,0,1,0.0,0.0,david-huey-1
Sean Jeppesen,2014-08-27,1,Georgia State,,Abilene Christian,W,3,2,5,0.0,0.0,sean-jeppesen-1
Tevin Jones,2014-08-27,1,Georgia State,,Abilene Christian,W,3,1,4,0.0,0.0,tevin-jones-2
Jalen Lawrence,2014-08-27,1,Georgia State,,Abilene Christian,W,4,0,4,1.0,0.0,jalen-lawrence-1
Shawayne Lawrence,2014-08-27,1,Georgia State,,Abilene Christian,W,0,3,3,0.5,0.0,shawayne-lawrence-1
Joseph Peterson,2014-08-27,1,Georgia State,,Abilene Christian,W,6,5,11,0.0,0.0,joseph-peterson-1
Jarrell Robinson,2014-08-27,1,Georgia State,,Abilene Christian,W,4,0,4,4.0,2.0,jarrell-robinson-1
Nate Simon,2014-08-27,1,Georgia State,,Abilene Christian,W,4,0,4,1.0,0.0,nate-simon-1
Bryan Williams,2014-08-27,1,Georgia State,,Abilene Christian,W,1,0,1,0.0,0.0,bryan-williams-2
Ladarion Young,2014-08-27,1,Georgia State,,Abilene Christian,W,3,0,3,0.0,0.0,ladarion-young-1
Chad Adams,2014-08-28,1,Arizona State,,Weber State,W,1,0,1,0.0,0.0,chad-adams-1
Torey Agee,2014-08-28,1,Vanderbilt,,Temple,L,0,3,3,0.0,0.0,torey-agee-1
Johnathan Aiken,2014-08-28,1,Rutgers,@,Washington State,W,7,0,7,1.0,0.0,johnathan-aiken-1
Esston Al-Uqdah,2014-08-28,1,San Jose State,,North Dakota,W,3,1,4,0.0,0.0,esston-al-uqdah-1
Derrick Alexander,2014-08-28,1,Tulsa,,Tulane,W,2,1,3,1.0,0.0,derrick-alexander-3
Anthony Alford,2014-08-28,1,Mississippi,N,Boise State,W,1,1,2,0.0,0.0,anthony-alford-2
Kyle Allen,2014-08-28,1,Texas A&M,@,South Carolina,W,1,0,1,0.0,0.0,kyle-allen-1
