Player,Date,G,School,Loc,Opponent,WL,XP Made,XP Att,XP %,FG Made,FG Att,FG %,Pts,unique_id
Anthony Melchiori,2012-08-30,1,Kent State,,Towson,W,0,0,,0,1,0.0,0,anthony-melchiori-1
Sean Galvin,2012-08-30,1,Central Florida,@,Akron,W,1,1,100.0,0,0,,1,sean-galvin-1
Kody Fulkerson,2012-08-30,1,Eastern Michigan,@,Ball State,L,2,3,66.7,0,0,,2,kody-fulkerson-1
Robert Stein,2012-08-30,1,Akron,,Central Florida,L,2,2,100.0,0,1,0.0,2,robert-stein-1
Trey Farquhar,2012-08-30,1,Idaho,,Eastern Washington,L,0,0,,1,1,100.0,3,trey-farquhar-1
Brock Warren,2012-08-30,1,Utah State,,Southern Utah,W,4,4,100.0,0,0,,4,brock-warren-1
Ka'Imi Fairbairn,2012-08-30,1,UCLA,@,Rice,W,2,5,40.0,1,1,100.0,5,kaimi-fairbairn-1
Coleman Petersen,2012-08-30,1,Utah,,Northern Colorado,W,5,6,83.3,0,1,0.0,5,coleman-petersen-1
Adam Yates,2012-08-30,1,South Carolina,@,Vanderbilt,W,2,2,100.0,1,1,100.0,5,adam-yates-1
Chris Boswell,2012-08-30,1,Rice,,UCLA,L,3,3,100.0,1,2,50.0,6,chris-boswell-1
Andrew Furney,2012-08-30,1,Washington State,@,Brigham Young,L,0,0,,2,2,100.0,6,andrew-furney-1
Carlos Lopez,2012-08-30,1,Middle Tennessee State,,McNeese State,L,1,1,100.0,2,2,100.0,7,carlos-lopez-1
Shawn Moffitt,2012-08-30,1,Central Florida,@,Akron,W,7,7,100.0,0,0,,7,shawn-moffitt-1
Carey Spear,2012-08-30,1,Vanderbilt,,South Carolina,L,1,1,100.0,2,3,66.7,7,carey-spear-1
Tyler Stampler,2012-08-30,1,New Mexico State,,Sacramento State,W,7,7,100.0,0,0,,7,tyler-stampler-1
David Harman,2012-08-30,1,Central Michigan,,Southeast Missouri State,W,5,5,100.0,1,1,100.0,8,david-harman-1
Alex Garoutte,2012-08-30,1,Arizona State,,Northern Arizona,W,9,9,100.0,0,0,,9,alex-garoutte-1
Nolan Kohorst,2012-08-30,1,Nevada-Las Vegas,,Minnesota,L,3,3,100.0,2,2,100.0,9,nolan-kohorst-1
Freddy Cortez,2012-08-30,1,Kent State,,Towson,W,5,5,100.0,2,3,66.7,11,freddy-cortez-1
Riley Stephenson,2012-08-30,1,Brigham Young,,Washington State,W,3,3,100.0,3,4,75.0,12,riley-stephenson-1
Jordan Wettstein,2012-08-30,1,Minnesota,@,Nevada-Las Vegas,W,3,3,100.0,3,4,75.0,12,jordan-wettstein-1
Chad Christen,2012-08-30,1,Connecticut,,Massachusetts,W,4,4,100.0,3,3,100.0,13,chad-christen-1
Steven Schott,2012-08-30,1,Ball State,,Eastern Michigan,W,4,4,100.0,3,4,75.0,13,steven-schott-1
Sean Kelley,2012-08-31,1,Florida Atlantic,,Wagner,W,0,0,,0,1,0.0,0,sean-kelley-1
Vinny Zaccario,2012-08-31,1,Florida Atlantic,,Wagner,W,1,1,100.0,0,0,,1,vinny-zaccario-2
Niklas Sade,2012-08-31,1,North Carolina State,N,Tennessee,L,3,3,100.0,0,1,0.0,3,niklas-sade-1
Dan Conroy,2012-08-31,1,Michigan State,,Boise State,W,2,2,100.0,1,2,50.0,5,dan-conroy-1
Austin Lopez,2012-08-31,1,San Jose State,@,Stanford,L,2,2,100.0,1,1,100.0,5,austin-lopez-1
Michael Frisina,2012-08-31,1,Boise State,@,Michigan State,L,1,1,100.0,2,2,100.0,7,michael-frisina-1
Jordan Williamson,2012-08-31,1,Stanford,,San Jose State,W,2,2,100.0,2,2,100.0,8,jordan-williamson-1
Michael Palardy,2012-08-31,1,Tennessee,N,North Carolina State,W,3,4,75.0,2,2,100.0,9,michael-palardy-1
Brandon McManus,2012-08-31,1,Temple,,Villanova,W,5,5,100.0,2,2,100.0,11,brandon-mcmanus-1
Spencer Benton,2012-09-01,1,Clemson,N,Auburn,W,0,0,,0,1,0.0,0,spencer-benton-1
Steven Valadez,2012-09-01,1,Texas-El Paso,,Oklahoma,L,0,0,,0,1,0.0,0,steven-valadez-1
Brad Craddock,2012-09-01,1,Maryland,,William & Mary,W,1,1,100.0,0,1,0.0,1,brad-craddock-1
Andrew Haldeman,2012-09-01,1,Western Michigan,@,Illinois,L,1,1,100.0,0,2,0.0,1,andrew-haldeman-1
Daniel Schwarz,2012-09-01,1,Tulsa,@,Iowa State,L,1,2,50.0,0,0,,1,daniel-schwarz-1
Dakota Warren,2012-09-01,1,Texas-El Paso,,Oklahoma,L,1,1,100.0,0,2,0.0,1,dakota-warren-1
Sam Ficken,2012-09-01,1,Penn State,,Ohio,L,2,2,100.0,0,0,,2,sam-ficken-1
Brendan Gibbons,2012-09-01,1,Michigan,N,Alabama,L,2,2,100.0,0,0,,2,brendan-gibbons-1
Jack Griffin,2012-09-01,1,Florida International,@,Duke,L,2,2,100.0,0,2,0.0,2,jack-griffin-1
Paul Griggs,2012-09-01,1,Purdue,,Eastern Kentucky,W,2,2,100.0,0,0,,2,paul-griggs-1
Jimmy Newman,2012-09-01,1,Wake Forest,,Liberty,W,2,2,100.0,0,1,0.0,2,jimmy-newman-1
Zach Olen,2012-09-01,1,North Texas,@,Louisiana State,L,2,2,100.0,0,0,,2,zach-olen-1
Jesse Roy,2012-09-01,1,Western Kentucky,,Austin Peay,W,2,2,100.0,0,2,0.0,2,jesse-roy-1
Stephen Stein,2012-09-01,1,Bowling Green State,@,Florida,L,2,2,100.0,0,2,0.0,2,stephen-stein-1
Travis Coons,2012-09-01,1,Washington,,San Diego State,W,3,3,100.0,0,1,0.0,3,travis-coons-1
Stuart Williams,2012-09-01,1,Wyoming,@,Texas,L,0,1,0.0,1,1,100.0,3,stuart-williams-1
Cade Foster,2012-09-01,1,Alabama,N,Michigan,W,0,0,,1,2,50.0,3,cade-foster-1
Devon Bell,2012-09-01,1,Mississippi State,,Jackson State,W,4,4,100.0,0,1,0.0,4,devon-bell-1
Maikon Bonani,2012-09-01,1,South Florida,,Chattanooga,W,4,4,100.0,0,0,,4,maikon-bonani-1
Charlie Grandfield,2012-09-01,1,Mississippi State,,Jackson State,W,4,4,100.0,0,0,,4,charlie-grandfield-1
Tyler Hadden,2012-09-01,1,Hawaii,@,Southern California,L,1,1,100.0,1,1,100.0,4,tyler-hadden-1
Sam McCartney,2012-09-01,1,Purdue,,Eastern Kentucky,W,4,5,80.0,0,0,,4,sam-mccartney-1
Kaleb Patterson,2012-09-01,1,Miami (OH),@,Ohio State,L,1,1,100.0,1,2,50.0,4,kaleb-patterson-1
Nick Sloan,2012-09-01,1,Navy,N,Notre Dame,L,1,1,100.0,1,1,100.0,4,nick-sloan-1
