Player,Date,G,School,Loc,Opponent,WL,Rec,Rec Yards,Rec Avg,Rec TD,unique_id
Jacob Actkinson,2007-08-30,1,Utah State,,Nevada-Las Vegas,L,2,10,5.0,0,jacob-actkinson-1
Tarrion Adams,2007-08-30,1,Tulsa,@,Louisiana-Monroe,W,2,27,13.5,1,tarrion-adams-1
Anthony Allen,2007-08-30,1,Louisville,,Murray State,W,1,4,4.0,0,anthony-allen-1
Brandon Allen,2007-08-30,1,New Mexico State,,Southeastern Louisiana,W,2,62,31.0,1,brandon-allen-1
Jeremy Avery,2007-08-30,1,Boise State,,Weber State,W,1,7,7.0,0,jeremy-avery-1
Ben Barkema,2007-08-30,1,Iowa State,,Kent State,L,2,19,9.5,0,ben-barkema-1
Marcus Barnett,2007-08-30,1,Cincinnati,,Southeast Missouri State,W,3,16,5.3,0,marcus-barnett-1
Gary Barnidge,2007-08-30,1,Louisville,,Murray State,W,4,46,11.5,2,gary-barnidge-1
Connor Barwin,2007-08-30,1,Cincinnati,,Southeast Missouri State,W,3,33,11.0,0,connor-barwin-1
J.J. Bass,2007-08-30,1,Iowa State,,Kent State,L,1,-1,-1.0,0,jj-bass-1
Shawn Bayes,2007-08-30,1,Kent State,@,Iowa State,W,3,28,9.3,0,shawn-bayes-1
Butler Benton,2007-08-30,1,Cincinnati,,Southeast Missouri State,W,1,14,14.0,1,butler-benton-1
Yvenson Bernard,2007-08-30,1,Oregon State,,Utah,W,4,23,5.8,0,yvenson-bernard-1
Todd Blythe,2007-08-30,1,Iowa State,,Kent State,L,5,65,13.0,1,todd-blythe-1
Jimmy Bohm,2007-08-30,1,Utah State,,Nevada-Las Vegas,L,2,9,4.5,0,jimmy-bohm-1
Kenny Britt,2007-08-30,1,Rutgers,,Buffalo,W,4,59,14.8,0,kenny-britt-1
Richie Brockel,2007-08-30,1,Boise State,,Weber State,W,1,10,10.0,0,richie-brockel-1
Anthony Brown,2007-08-30,1,Oregon State,,Utah,W,1,29,29.0,0,anthony-brown-2
Will Bryant,2007-08-30,1,Ball State,,Miami (OH),L,1,4,4.0,0,will-bryant-1
Justine Buries,2007-08-30,1,New Mexico State,,Southeastern Louisiana,W,1,12,12.0,0,justine-buries-1
Tony Burks,2007-08-30,1,Mississippi State,,Louisiana State,L,1,45,45.0,0,tony-burks-1
Patrick Carter,2007-08-30,1,Louisville,,Murray State,W,1,35,35.0,0,patrick-carter-2
Brent Casteel,2007-08-30,1,Utah,@,Oregon State,L,7,64,9.1,1,brent-casteel-1
Darrell Catchings,2007-08-30,1,Oregon State,,Utah,W,2,23,11.5,1,darrell-catchings-1
Jeremy Childs,2007-08-30,1,Boise State,,Weber State,W,5,61,12.2,0,jeremy-childs-1
Charles Clay,2007-08-30,1,Tulsa,@,Louisiana-Monroe,W,8,92,11.5,0,charles-clay-1
Nick Cleaver,2007-08-30,1,New Mexico State,,Southeastern Louisiana,W,3,55,18.3,0,nick-cleaver-1
Cameron Clemons,2007-08-30,1,Tulsa,@,Louisiana-Monroe,W,5,55,11.0,0,cameron-clemons-1
Aaron Connacher,2007-08-30,1,Buffalo,@,Rutgers,L,2,6,3.0,0,aaron-connacher-1
Tom Crabtree,2007-08-30,1,Miami (OH),@,Ball State,W,1,5,5.0,0,tom-crabtree-1
Howard Croom,2007-08-30,1,Oregon State,,Utah,W,1,12,12.0,0,howard-croom-1
Early Doucet,2007-08-30,1,Louisiana State,@,Mississippi State,W,9,78,8.7,1,early-doucet-1
Harry Douglas,2007-08-30,1,Louisville,,Murray State,W,5,151,30.2,2,harry-douglas-1
Derek Dubois,2007-08-30,1,New Mexico State,,Southeastern Louisiana,W,7,47,6.7,1,derek-dubois-1
Christian Ducre,2007-08-30,1,Mississippi State,,Louisiana State,L,2,2,1.0,0,christian-ducre-1
Frank Edmonds,2007-08-30,1,Ball State,,Miami (OH),L,1,2,2.0,0,frank-edmonds-1
Casey Flair,2007-08-30,1,Nevada-Las Vegas,@,Utah State,W,3,40,13.3,0,casey-flair-1
Tommy Gallarda,2007-08-30,1,Boise State,,Weber State,W,2,14,7.0,0,tommy-gallarda-1
Phil Garner,2007-08-30,1,Kent State,@,Iowa State,W,4,28,7.0,0,phil-garner-1
Antwuan Giddens,2007-08-30,1,Cincinnati,,Southeast Missouri State,W,2,27,13.5,0,antwuan-giddens-1
Marshwan Gilyard,2007-08-30,1,Cincinnati,,Southeast Missouri State,W,8,134,16.8,1,marshwan-gilyard-1
Bradley Glatthaar,2007-08-30,1,Cincinnati,,Southeast Missouri State,W,1,7,7.0,0,bradley-glatthaar-1
Tonny Glynn,2007-08-30,1,New Mexico State,,Southeastern Louisiana,W,1,7,7.0,0,tonny-glynn-1
Bradon Godfrey,2007-08-30,1,Utah,@,Oregon State,L,3,25,8.3,0,bradon-godfrey-1
Dominick Goodman,2007-08-30,1,Cincinnati,,Southeast Missouri State,W,1,0,0.0,0,dominick-goodman-1
Madaris Grant,2007-08-30,1,Ball State,,Miami (OH),L,1,6,6.0,0,madaris-grant-1
Kyle Grooms,2007-08-30,1,Tulsa,@,Louisiana-Monroe,W,1,11,11.0,0,kyle-grooms-1
Ben Guidugli,2007-08-30,1,Cincinnati,,Southeast Missouri State,W,2,20,10.0,1,ben-guidugli-1
Marquis Hamilton,2007-08-30,1,Iowa State,,Kent State,L,3,24,8.0,0,marquis-hamilton-1
Brett Hamlin,2007-08-30,1,Buffalo,@,Rutgers,L,4,54,13.5,0,brett-hamlin-1
A.J. Harris,2007-08-30,1,New Mexico State,,Southeastern Louisiana,W,5,50,10.0,0,aj-harris-1
